m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.7347258922691544	0.8563250452917345	
183.0781	23.19	0.5606934424118248	1.6113785066870372	
237.1272	113.22	0.3662270870325246	3.054226487002212	
116.0622	38.62	0.8836362674583862	-0.43140315988925737	
237.9547	2.24	0.5423116236416071	1.7214968928840284	
237.9779	2.89	0.9657113803342272	0.18081017446006223	
238.1201	26.76	0.9995163006410052	-0.007782970749134245	
117.0741	23.19	0.9373892330867206	-0.2668111219150252	
238.2276	0.79	0.9589551266475067	-0.19755602853867976	
184.8889	20.04	0.9696110908707799	-0.1610467991852697	
294.1555	27.81	0.6297763864152186	1.3081769728058434	
294.2789	215.88	0.6682044275040825	-1.0761454218929443	
294.2789	220.63	0.7955111897403336	-0.6937873748718943	
239.1754	0.66	0.8616978001313401	0.5012693262608292	
239.1754	21.75	0.5332954758760162	1.8308609464143453	
294.9386	21.09	0.44158494734527215	-2.498659353150211	
119.0492	27.15	0.6308720186161166	1.2934515418132244	C8H6O
119.0492	30.87	0.45186993626381783	2.403700766444689	
295.1515	25.29	0.69622593770697	1.0129873071847404	
295.9419	21.09	0.589007439699898	-1.4192215296993402	
240.1804	24.51	0.9464440617778501	-0.24557144306008175	
296.2073	24.64	0.9787169203794523	-0.12650630813930924	
185.1648	0.79	0.6632673499738736	-1.14020256022927	
240.2683	78.69	0.44991624135439023	-2.4174233191621237	
240.9668	21.09	0.5332954758760162	-1.822209730687638	
120.0809	24.51	0.4571299919008691	-2.3211786363004827	
241.1042	24.51	0.9131588543546387	0.3402504462379345	
298.0829	26.5	0.7932291565323574	0.7044213684251628	
298.0829	68.03	0.5029037069123337	2.1007136801353865	
186.1681	0.79	0.7128323211712024	-0.9330392793477014	
241.1545	0.79	0.34428391464258806	-3.217212809979774	
298.1861	24.64	0.7619847459687172	0.787914345091713	
121.0649	30.74	0.5372484595435185	1.761991936980052	C8H8O
241.1838	24.51	0.9689112819575277	0.16490378148206067	
121.0843	24.77	0.45733610335230285	-2.2957811086020325	
298.2737	36.91	0.10136113202778545	-6.335639875729137	C18H35NO2
298.2737	48.78	0.033746614973693675	-10.259673404547303	C18H35NO2
299.0886	24.11	0.8442736421725655	-0.5579397487185521	
299.1483	36.52	0.5047972517839435	2.0490237174717008	
299.2771	36.91	0.2782508958164467	-3.8115815690867856	C18H35NO2
299.2771	48.78	0.03283772636818946	-10.669320360111419	C18H35NO2
242.1861	0.79	0.1252518798414982	-5.663137559975466	
122.0686	30.61	0.8832865143575527	0.4377865224943376	C8H8O
122.0686	65.25	0.9526625544679821	-0.22611976589882926	C8H8O
242.9253	22.8	0.5047972517839435	-2.0516466020999578	
188.0705	24.51	0.8290605258603869	-0.6060222122171691	
300.9046	20.17	0.9526625544679821	0.22715136560321442	
301.0945	26.63	0.6671288710142709	1.1138702753941607	
301.1044	24.51	0.6308720186161166	-1.3002159648317921	
243.1826	21.09	0.8400795047860025	0.5677432949840042	
188.1756	23.19	0.8561157283904354	-0.5276208196345437	
243.6844	20.7	0.7992690086670325	0.6807153649647006	
243.9415	22.14	0.5423116236416071	1.739524838105968	
189.0522	22.93	0.7871413358168533	0.7151033847859731	
189.0732	22.14	0.4571299919008691	2.342410980059175	
303.1197	26.1	0.9947348029653253	-0.09103716895230181	
244.0342	22.27	0.9975563322043179	0.06005962531737391	
189.1022	0.66	0.5047972517839435	-2.057894222107957	
189.112	108.19	0.8674815490638649	-0.48485098294404394	C9H16O4
189.123	22.01	0.9526625544679821	0.2292073259837457	C6H13NO3
244.2137	610.37	0.7128323211712024	0.9392022335655003	
190.0862	24.51	0.4672616801239105	2.2610988184335694	
244.2632	36.39	0.9131588543546387	0.3283449993472487	
244.2632	41.14	0.9538824044421571	-0.2191985389277683	
244.2632	44.29	0.6633074905904875	1.1327458412768718	
305.0992	24.64	0.8847557060094758	0.4218048694887158	
305.1355	26.37	0.9975563322043179	-0.05557588529785428	
245.0993	22.27	0.8616978001313401	0.5057761017033695	
190.1224	108.85	0.7795639860814467	-0.7389543543069015	
124.0245	1.05	0.7347258922691544	0.8609278142509673	
124.0587	23.19	0.7128323211712024	0.9404904655102525	
306.2279	25.97	0.3963660720649544	2.742510259157661	
246.1012	22.41	0.7619485519241064	0.7903846499078487	
307.892	20.04	0.9975563322043179	-0.06224203622599225	
308.1429	69.34	0.4688101627451489	2.2305380712689424	
308.1965	0.66	0.8554256770727141	0.5300528302253913	
308.1965	36.91	0.8845696652567897	-0.4244654684859837	
309.1459	69.6	0.5377702382771167	1.754176409498885	
309.2279	31.4	0.654900934250812	-1.1959636304068473	
309.2279	33.1	0.9131588543546387	0.3244943124363289	
310.9124	22.93	0.5423116236416071	-1.7146884975460919	
248.237	36.52	0.5423116236416071	1.7124697889265035	
248.237	41.14	0.5699951485974138	1.5722335160364693	
311.0887	24.11	0.6686149144228578	1.074217217154135	
