m/z	rtime	p-value	t-score	custom_id
114.0894	37.7	0.6790758963481573	0.8811007179382149	
114.0894	139.04	0.17289439605171641	4.0408554126274066	
114.0894	205.88	0.5925551275005051	1.1300460648082016	
114.0894	208.9	0.7782685664905087	0.5915680833172989	
114.0894	214.17	0.9947427374570894	0.025288075016004465	
114.0894	279.61	0.42047957303055306	1.7251301345650536	
114.0894	285.17	0.6705446572781154	0.9052433370753458	
114.0894	300.63	0.38116259260538465	1.9729793459610991	
114.0894	305.64	0.38116259260538465	1.9875772448211242	
114.0894	656.15	0.5946823188629405	1.1230003322164162	
114.0894	666.31	0.9206289421103869	-0.24236469770048416	
114.0894	673.95	0.6218158457760757	-1.0320332322496253	
114.0894	676.07	0.9702928107695228	0.11555468909095841	
114.1028	0.79	0.9633698869157676	0.13299431780787485	
114.1047	0.92	0.38268259357932777	1.9414774344869912	
183.0781	23.19	0.344745074168524	2.3194660734659727	
237.1272	113.22	0.4374591073653385	1.65801662967965	
115.0949	24.64	0.6644321480826096	-0.9233283737156939	
115.1061	0.79	0.949459899370917	-0.169887791367283	
116.0622	38.62	0.19905043390889202	3.6369301690975844	
116.0708	23.19	0.5480581449729857	1.264278826645352	
237.9547	2.24	0.9822766515112955	-0.07841627765128592	
237.9779	2.89	0.6756333800106673	-0.8889044156931553	
293.1725	28.2	0.4130377071058041	-1.76234495577629	
238.1201	26.76	0.4466306156995261	1.6140191481344361	
117.0741	23.19	0.636955627874555	0.9900729186803695	
238.2276	0.79	0.38116259260538465	1.9797202278118493	
184.8889	20.04	0.12861043099766503	5.006689650666625	
184.9803	23.85	0.4584533211493212	1.5732801387138284	
294.1555	27.81	0.9803705609852983	0.08843290825829646	
294.1918	24.77	0.9805058530319882	-0.08562174864710213	
294.2789	195.75	0.8394477327394361	0.44593996809185915	
294.2789	215.88	0.7839000954977188	-0.5790188570199497	
294.2789	220.63	0.3972121975401956	-1.8386816176933138	
239.1365	21.62	0.3986838748967051	-1.8223164319159555	
294.9386	21.09	0.8348539402462811	-0.4607931108376345	
295.0938	24.38	0.9805058530319882	0.08569597481523357	C13H20O5
295.1148	24.38	0.35476997888603784	2.2664717583610887	
119.0492	27.15	0.5073622806082059	1.3901600119769573	C8H6O
119.0492	30.87	0.2846794266269186	2.6980804549913295	C8H6O
295.1515	25.29	0.6135263377781077	-1.0530597099039583	
239.1754	0.66	0.5624726576707927	-1.2279589860176832	
239.1754	2.24	0.8348539402462811	0.4607287757030387	
239.1754	21.75	0.38800240077484466	-1.8855981095323957	
239.2309	0.79	0.38116259260538465	2.069250258062442	
295.9419	21.09	0.8674914838156456	-0.37156135510478056	
185.1648	0.79	0.22648129889679533	3.211898937794266	
185.1841	1.19	0.38291137952530446	1.9255268659315539	
296.2073	24.64	0.8235741839063262	-0.4929373074750884	
120.0526	27.15	0.7208799613245862	-0.7670821981179735	C8H6O
120.0526	30.17	0.6758817270747792	-0.8873981145754629	C8H6O
240.1804	24.51	0.6396705492482221	0.9833733595978528	
120.0657	24.11	0.38116259260538465	2.072858581541433	
120.0809	24.51	0.7561307415725532	0.6568824993653658	
297.1634	62.88	0.38116259260538465	2.023904964683678	C17H25ClO2
240.2434	1.19	0.02945024212847119	9.874153768993466	
240.2683	78.69	0.38521476113950953	-1.8997168229611423	
297.2057	29.25	0.9393678390519874	-0.19426890812762393	
186.1681	0.79	0.23601445507941307	3.10438914694267	
240.9668	21.09	0.9790626510574355	-0.09588309676501588	
121.0649	30.74	0.48056660045085764	1.4681767381638702	C8H8O
121.0649	65.25	0.7630609906443329	0.6308535577622237	C8H8O
298.0829	26.5	0.5099869704931747	-1.3812667062363737	
298.0829	68.03	0.5137233781310127	1.3623879938714074	
298.1861	24.64	0.8237449198909595	0.4880230172148943	
121.0843	24.77	0.7229185175616715	0.7630378518083107	
241.1042	24.51	0.9063990951931195	0.27893041656288475	
241.1545	0.79	0.6318196018512551	-1.0051277302127108	
298.2737	36.91	0.14262602712676417	-4.572308892687558	C18H35NO2
298.2737	48.78	0.12861043099766503	-4.994821502460053	C18H35NO2
241.1838	24.51	0.6948614817485309	0.8405013066493148	
241.1909	0.66	0.6723475396170051	0.8949440385747385	
241.2027	0.79	0.990486363899644	0.05276021027193964	
298.31	92.25	0.12216347202041228	-5.541149340457728	
298.31	216.93	0.9803705609852983	-0.09032000077420231	
122.0686	30.61	0.7047519235943596	0.8158569402356465	C8H8O
122.0686	65.25	0.8158047070891561	0.5114845998525209	C8H8O
299.0886	24.11	0.6519724217517902	0.9543076119729651	
299.125	0.79	0.951362135751286	0.1620870341739658	
299.125	24.38	0.5820700138214284	1.1700071693449916	
299.1483	36.52	0.8019210919634226	0.5348332558056039	
299.2771	36.91	0.12988468646364348	-4.91740606118811	C18H35NO2
299.2771	48.78	0.12861043099766503	-5.330212399449086	C18H35NO2
187.1998	1.32	0.037530531385295184	9.037287242213244	
242.1861	0.79	0.9367072417945905	0.19918066112072022	
242.1861	24.51	0.9947368094111652	-0.0341473766315258	
123.0441	22.93	0.26485437053038074	2.867849011832352	
123.0554	23.19	0.9709447452718021	-0.11363954559840933	
188.0705	24.51	0.2316480577256931	3.1293703546181733	
242.9253	22.8	0.8549401581560602	-0.4071209995871211	
300.9046	20.17	0.17590265760518858	3.932545489694584	
188.1756	23.19	0.25156261170379357	-2.9641313983065305	
124.0245	1.05	0.7154464333161498	-0.7829222888520845	
301.0945	26.63	0.5986735769725535	-1.0983911119392957	
301.1044	24.51	0.990486363899644	-0.049694561846509326	C15H18O5
124.0587	23.19	0.9285992397554523	-0.22310745913083763	
189.0522	22.93	0.5633420934546779	-1.2239313238689669	
189.0732	22.14	0.4265760499149381	1.7007091274097317	
301.9	22.14	0.5131307031227496	1.364594738504338	
302.1366	1.32	0.38116259260538465	2.0073754865163607	
124.1203	28.47	0.629423562230458	1.0127642196389095	
302.1857	32.18	0.38116259260538465	-2.07053981129147	
243.1702	0.66	0.7412846838642049	0.7006249025760152	
243.1702	2.24	0.8375349989977784	0.45376816512523205	
243.1826	21.09	0.1969363097323323	3.6706293920470694	
189.1022	0.66	0.9919375272451492	0.04058413503599533	
189.112	108.19	0.3540600403888827	2.2729641575212236	C9H16O4
189.123	22.01	0.21985004168575276	-3.2766854981227986	C6H13NO3
243.6844	20.7	0.2301695909418713	3.144604109732758	
243.9415	22.14	0.7946872621197065	-0.5514297185647834	
