m/z	rtime	p-value	t-score	custom_id
114.1028	0.79	0.8453126603196645	-0.39279141254949046	
183.0781	23.19	0.9354171635602434	-0.15958515170712176	
237.1272	113.22	0.7110270896147276	0.6486680578951284	
116.0622	38.62	0.7741467553118245	-0.5301318461220256	
237.9547	2.24	0.6388690910300306	0.8212598323386802	
237.9779	2.89	0.7974253570401447	0.48863046952628436	
238.1201	26.76	0.8722476330486092	-0.33088742661808307	
117.0741	23.19	0.057729197999963566	4.808142384202563	
238.2276	0.79	0.18764123082773315	-2.7337173293663795	
184.8889	20.04	0.18764123082773315	2.7281661808364173	
294.1555	27.81	0.5741561772692791	1.0019648977828461	
294.2789	215.88	0.23122387344472667	-2.427992135257364	
294.2789	220.63	0.6989299918062487	-0.680222500020864	
239.1754	0.66	0.040557464428069234	-5.685970817920649	
239.1754	21.75	0.982672060969797	-0.05584139903615126	
294.9386	21.09	0.4535776802326921	1.355342152545639	
119.0492	27.15	0.9082605616743629	-0.25105928898035107	C8H6O
119.0492	30.87	0.5741117528952556	1.0031476672178106	
295.1515	25.29	0.185788713185324	-2.7569909079846866	
295.9419	21.09	0.5094087717373009	1.1822217133993773	
240.1804	24.51	0.049109915384832774	5.165179905561787	
296.2073	24.64	0.23403646281263052	-2.394922936321287	
185.1648	0.79	0.2736149306061589	-2.1344898398049685	
240.2683	78.69	0.0026097817616624877	17.96344524335813	
240.9668	21.09	0.434117393437134	1.4254142530367064	
120.0809	24.51	0.05862218985689589	4.764435913053374	
241.1042	24.51	0.6470934243454946	0.8016086351646718	
298.0829	26.5	0.07163916124939305	-4.319085103687745	
298.0829	68.03	0.6463035331317962	0.806637597903746	
186.1681	0.79	0.2810679965399727	-2.0596240693515835	
241.1545	0.79	0.2789610258043007	-2.098688391814172	
298.1861	24.64	0.8722476330486092	-0.3316747923347534	
121.0649	30.74	0.6052996799136968	0.9139944000368166	C8H8O
241.1838	24.51	0.0410759848665405	5.655002566939027	
121.0843	24.77	0.06502062246188724	4.5135992896081625	
298.2737	36.91	0.12714056910127963	-3.3267623061161578	C18H35NO2
298.2737	48.78	0.709854489314534	-0.6532827518809431	C18H35NO2
299.0886	24.11	0.08794474105285449	3.9186712128012453	
299.1483	36.52	0.6989299918062487	0.674970148876959	
299.2771	36.91	0.10109196064411018	-3.679209940911733	C18H35NO2
299.2771	48.78	0.5631789020059529	-1.0344452510492377	C18H35NO2
242.1861	0.79	0.18587160173978326	-2.7536095773292857	
122.0686	30.61	0.728059225855516	0.6160655053160949	C8H8O
122.0686	65.25	0.5369006861974503	1.0992105745003047	C8H8O
242.9253	22.8	0.016356107833664466	8.118429517704296	
188.0705	24.51	0.3907164200195569	1.5788818664603828	
300.9046	20.17	0.9602579065560999	0.11119861053246709	
301.0945	26.63	0.004661338696040058	-13.955423282190802	
301.1044	24.51	0.011906319775762605	9.118808077312	
243.1826	21.09	0.005987680071108887	12.45312329890189	
188.1756	23.19	0.034458856524926085	-6.092981556611433	
243.6844	20.7	0.012976824803395277	8.888358104887608	
243.9415	22.14	0.3618937662707289	-1.6951549166223803	
189.0522	22.93	0.03272129496710296	6.249215589528318	
189.0732	22.14	0.7601387578624451	-0.5592302037381703	
303.1197	26.1	0.33456339234472643	-1.8079379860222664	
244.0342	22.27	0.9518592520706352	0.12690752200991656	
189.1022	0.66	0.9698058992991899	-0.08881406159998914	
189.112	108.19	0.21974992502481602	2.500520944849788	C9H16O4
189.123	22.01	0.6027543811710221	-0.9187947501785357	C6H13NO3
244.2137	610.37	0.5520366333311795	1.0573976198202517	
190.0862	24.51	0.06604000542957156	4.486705698498582	
244.2632	36.39	0.06828281970074342	4.424010189933778	
244.2632	41.14	0.23915694217544234	2.3467985846436936	
244.2632	44.29	0.1319716233702903	3.267838360914717	
305.0992	24.64	0.08152974746527769	-4.061543260749438	
305.1355	26.37	0.2789610258043007	-2.084749800793798	
245.0993	22.27	0.8321174795787717	-0.41450832508993973	
190.1224	108.85	0.35856927017487467	-1.7061450277371486	
124.0245	1.05	0.5896048958208601	0.9507028848834179	
124.0587	23.19	0.002887273985587484	17.344432369730487	
306.2279	25.97	0.4087167254733833	-1.5199419668374785	
246.1012	22.41	0.7931161726344171	-0.49794644534128757	
307.892	20.04	0.06360374395457541	-4.55425461923487	
308.1429	69.34	0.2833764839481635	2.0467397992308327	
308.1965	0.66	0.16557198064582151	-2.9258998041751307	
308.1965	36.91	0.9265039709788419	0.19721139562334927	
309.1459	69.6	0.28909131767155327	2.0184869208152447	
309.2279	31.4	0.08351106434283435	4.021805538144469	
309.2279	33.1	0.06133373731199994	4.645362666861913	
310.9124	22.93	0.05002918404696568	5.103465989728467	
248.237	36.52	0.06135841400552914	4.632559055710368	
248.237	41.14	0.13748062062659233	3.1865330696049226	
311.0887	24.11	0.008055357332676075	10.678773269807781	
311.1462	25.03	0.07548653703699294	-4.229391707241453	
311.1462	26.76	0.5623790488480358	-1.0368073715499087	
193.1012	41.14	0.6331738838144032	0.8339158885395402	
249.1118	30.61	0.45305398848636985	1.363409504611842	
193.1699	0.79	0.30038859598655193	-1.960715512932654	
311.9292	22.14	0.753645321573079	0.5726637042808685	
312.1656	0.79	0.641954887413873	-0.8148244983700316	
312.2528	66.06	0.5890683544927469	-0.9553217100819257	
312.3257	218.24	0.49546471921017043	-1.2337429281280619	
313.1044	24.24	0.022562150618535014	7.11259880431727	
313.162	24.64	0.4182305141169371	-1.4898607259620391	
313.329	217.98	0.5196750539674916	-1.140383775894765	
314.1607	27.15	0.5369006861974503	-1.0988376093023895	
314.3323	218.24	0.465446791306631	-1.3134236255051592	
315.1739	79.21	0.5071090347820537	1.1896744258277052	
252.1706	0.79	0.30223440469453877	-1.9507397301537932	
316.2116	21.75	0.2552576722711351	2.2320830286737556	
316.2485	28.2	0.244914547330415	2.2928988390544522	
316.2842	36.52	0.046007944722560305	5.438090648205468	C19H33NO2
317.1145	26.5	0.07827785973997368	-4.143357138168849	
317.2149	21.75	0.23203881848742056	2.414924912982864	
253.1192	21.22	0.9429591700179596	-0.14255205386982803	
