m/z	rtime	p-value	t-score	custom_id
166.0515	1.84	0.2160647456931928	2.5156160213492407	C10H8O
167.0894	24.51	0.06878429896509432	4.494001310507188	
265.1066	27.15	0.3927384317149234	-1.6023111394249236	
265.1066	31.0	0.5054583792596475	-1.2074637680835583	
265.9621	20.04	0.2796530977012541	-2.149695712177421	
216.9226	22.14	0.43546413177423343	-1.444054989152228	
217.1044	22.41	0.1951075343546462	2.6558953218756334	
267.1223	30.74	0.8797170444365918	0.28806166966651925	
267.1586	26.37	0.5814465436833736	-1.0056891716091303	
267.1814	24.38	0.0532761225945456	4.995123605393687	
268.1257	30.74	0.9280068924121373	-0.15203035993840355	
170.0811	23.98	0.0008051626132877125	35.95392268267517	
268.176	24.51	0.902625264255106	-0.24054512332063507	
268.2116	24.51	0.029852946563655076	6.708793157492264	
116.0622	38.75	0.2865335915023186	-2.116888865398075	
268.2712	229.69	0.7274514594848402	0.656478810149073	
268.2712	234.45	0.7331593463886368	-0.6457648079771013	
268.2712	241.32	0.12425210615062543	-3.3630812570539637	
170.1731	0.79	0.7066085444804524	-0.7026338939189394	
218.9196	22.14	0.39223956544258104	-1.6049968326263786	
218.9817	22.8	0.04200221855568356	5.648708304133019	
269.136	24.51	0.24323222431905647	-2.3621577226756933	
269.1388	26.37	0.4917837972530017	-1.2499581378417204	
219.1127	21.88	0.04277886806615189	5.570235869810124	
219.1127	24.51	0.03554518614960135	6.12683097252504	
117.0741	23.33	0.08424103735114305	4.181351527976368	
172.0942	21.49	0.9123400497022659	0.20581655284608347	
271.2052	284.25	0.8191740864605672	0.45581419536927675	
221.096	41.14	0.9234136447819928	-0.1677354485754013	
173.0783	22.41	0.9241179055465824	-0.16337994986447116	
119.0492	27.15	0.7983910443574155	-0.4979321117670599	
119.0492	30.74	0.819662754740522	0.44725701080740043	
173.096	36.26	0.10617616703670718	-3.717529923072042	
173.096	243.95	0.14755947915323617	-3.048400795107735	
222.0986	41.27	0.8274486593845625	-0.4320890823266248	C16H22O2
222.0986	93.83	0.5099569038941684	1.1957524180298185	C16H22O2
120.0809	24.51	0.01828513162252491	7.975647097186521	
273.2573	610.1	0.5545140563123682	-1.0711787210906842	
273.2573	611.02	0.8557434207585185	-0.33732211724940125	
273.9451	20.44	0.6866945377961161	0.7492384973214165	
274.0836	26.37	0.0408963571765046	-5.724765963101441	
121.0649	30.74	0.7793150109986886	0.5520080767639672	
174.938	22.67	0.009850367087439443	9.89428106366383	
274.1656	24.77	0.819662754740522	0.44799760274792694	
121.0843	24.77	0.04200221855568356	5.641540415316532	C21H39NO5
175.0014	23.06	0.009135302309650702	10.250297926128399	
274.2737	34.15	0.005778469444893526	-12.296720801771373	
274.9415	20.3	0.6299036582119268	0.8960709831387099	
275.0874	26.37	0.21888990054727514	-2.475229985621718	
275.0999	21.36	0.3419255085090451	1.825370951608977	
122.0686	30.74	0.7670450028591125	0.5847878220961092	
122.0686	65.67	0.9234136447819928	-0.17064446069155995	
175.119	1.58	0.8722552236206926	0.30400269679617464	
175.119	24.51	0.028620181512973984	6.803937593210875	
224.1581	24.77	0.06330169538815524	4.64944952120786	
176.0657	23.98	0.4322006722229642	1.455008838595842	
275.9553	280.14	0.2160647456931928	2.513060000666505	
225.1207	21.49	0.9059128308202339	0.2178866186675609	
124.0587	23.33	0.0023808402446902415	18.431206661445955	
277.9333	2.63	0.45365082616548286	1.3878316097736756	
226.0448	23.06	0.3199627911220214	1.922496575112355	
177.1637	38.49	0.3975197647798858	-1.58405742651189	
226.1549	0.66	0.1252239488508482	-3.3504860340649776	
226.1913	0.79	0.04212045465303859	-5.618342068380423	
226.9513	21.62	0.4543083369024257	1.3837434107224704	
278.9311	2.37	0.46404377443182754	1.3558549101656086	
278.9648	20.83	0.16579960142307584	-2.8864255147676015	
227.0419	22.93	0.25810624630335854	-2.265953735887115	
279.1222	36.39	0.8557434207585185	0.33640953046607064	
227.1753	0.66	0.034757417861710854	-6.21921085670579	
227.1753	24.51	0.045676033753963195	5.373013336910423	
179.0815	0.66	0.8797170444365918	0.28696739421006734	
227.9547	21.62	0.40145678706171023	1.5538106369781	
228.2685	58.39	0.00019101960477633378	58.58119014368299	
228.9556	21.62	0.2586278464560755	2.2552298482655053	
280.2632	36.91	0.31037593920117557	-1.9930270729034925	
280.2632	48.91	0.09810037992077915	3.8621798253460966	
281.1012	30.87	0.5600382344913813	1.0589287210359566	
281.1379	34.94	0.6510572138173962	0.8455866180136534	
281.2665	36.91	0.29475043450082866	-2.0759008524705886	
281.2665	48.78	0.1272460574495892	3.3126291900379696	
129.0698	38.23	0.6753910754758403	-0.7815918447422191	
181.0096	22.01	0.3773820029412447	1.6744325482845255	
129.1386	0.79	0.2531009714554101	-2.288533270639208	
283.0939	24.38	0.008758100741907431	10.493412019150973	
283.1173	26.76	0.5626370647247013	-1.051246092323781	
283.1173	29.39	0.6799576980460265	-0.7718516683627986	
232.112	44.68	0.12125695020357545	3.4372415840189747	
232.1189	0.66	0.9818989167444859	-0.03924903819552011	C13H21NO6
232.1447	0.66	0.22020024667460428	-2.4670335080022103	
232.8965	22.8	0.9622927316256843	0.07312713583502792	
232.9173	20.04	0.8588612528049993	-0.33064779660721183	
284.1207	26.76	0.899299021876182	-0.2503995816615094	
284.1207	29.65	0.9272481623013317	-0.15815683569914096	
182.0297	25.29	0.1237295710239486	3.3788715575048163	
131.0491	26.37	0.637429432918866	0.8761331954529104	
131.0491	47.07	0.9748244574806432	0.05320479608954353	
182.0811	23.06	0.032874955350714344	6.399570187536175	
284.2064	24.51	0.46842041843828236	1.3262684783620273	
233.0783	22.8	0.03222612239072932	6.48394190300375	
233.1508	0.66	0.34466745202706867	-1.8003109138217162	
284.2945	77.64	0.001648794456268558	24.795096608300042	C13H23NO6
132.0031	21.88	0.06330169538815524	4.646462779072579	
284.9099	22.01	0.3659794530305844	-1.7235552958056448	
285.1096	24.24	0.01568724899952278	8.543977083319938	
233.9128	22.14	0.6813928072633814	-0.7686104608903479	
132.0888	38.36	0.1951075343546462	-2.650419153507123	
285.2099	24.51	0.4449206939806532	1.4143642973215107	
183.0781	23.06	0.8557434207585185	-0.33886695555815644	
285.2979	77.51	0.0037525715032502975	15.822596364967838	
133.1052	23.98	0.04015929737793312	5.7786046812252705	
286.9068	22.14	0.4259144903099243	-1.4747313574363143	
286.9597	20.17	0.5219429068552617	1.1543995290708844	
287.0888	24.24	0.009998879463650504	9.818397433993232	
134.0683	36.26	0.9132248463868078	-0.20092167181825432	
235.0751	33.63	0.8472954240427132	0.36256494195113953	
184.0817	22.8	0.09649196331121924	3.909351091085947	
184.8889	20.04	0.8429293908069854	-0.3777511656839421	
236.1026	0.66	0.5156274537825052	-1.1749926120761087	C14H20O2
135.1167	38.36	0.3160761520358211	-1.9488397039030372	
288.2893	34.42	0.02287492437101875	7.460125821919276	
288.2893	36.39	0.3427325511863175	1.8087554667306431	
135.1209	1.32	0.2974270814198038	-2.0598808719506287	
135.1209	21.36	0.531198459414266	1.1308646641217497	
236.1502	24.9	0.7899487417345027	-0.5258662459918113	
185.1648	0.79	0.028620181512973984	-6.81057048165235	
289.2926	36.39	0.45113433934442587	1.4005325505515966	
289.2926	42.45	0.3797379716181468	1.6620273469289726	
290.1969	25.16	0.5043517723999343	-1.213632809803402	
136.1201	38.49	0.27978742257520994	-2.1470146921849844	
237.1232	22.01	0.6600284295926769	0.8183442897693055	
237.1272	113.49	0.8640613336280333	-0.3186669976924765	
137.0457	22.41	0.1443570907489222	3.0919378878620054	
291.1814	0.66	0.1974838610464214	-2.633043825365299	
291.1925	32.05	0.14724741799641825	3.0643824879412462	
186.1681	0.92	0.054164468513889605	-4.962991368344583	C18H34O
237.9547	2.24	0.37881526879317157	1.6674451600463618	
