m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.8823754694781561	1.6587042287794278	
114.0164	22.8	0.9917989930713231	0.5095645079616846	
170.9435	22.02	0.8894027141758356	1.428511146710816	
114.9887	21.75	0.9443209731675832	0.9000496299575039	
264.9346	22.8	0.9917989930713231	0.478858148621692	
265.148	36.79	0.9443209731675832	-1.0398797054282871	
265.9508	22.02	0.9952760353263539	0.09028127548648779	
266.1515	36.79	0.9443209731675832	-0.9554135209327127	
216.9644	2.88	0.9443209731675832	0.7537506950811645	
268.9544	23.2	0.9952760353263539	-0.2705883211275253	
268.9841	26.24	0.9284274951199438	1.3453632947291982	
269.249	199.1	0.9952760353263539	-0.2396208366164543	
219.0082	156.81	0.6879993699552641	2.4554223743401	
269.9866	26.24	0.8894027141758356	1.5349165158573927	
174.9464	1.57	0.9952760353263539	-0.1300936945344002	
221.0526	22.15	0.9952760353263539	0.34961548644355817	
221.1543	58.25	0.8823754694781561	1.6240696308011038	
223.0498	22.15	0.9952760353263539	0.05238901891020969	
274.8909	25.56	0.9952760353263539	-0.28718791003109645	
274.8909	27.42	0.9952760353263539	0.15837205386120723	
276.0177	24.51	0.9952760353263539	0.21903974689497008	
178.9723	1.96	0.9952760353263539	-0.0994647141014907	
278.8979	2.48	0.6879993699552641	2.6283863226289985	
128.9585	22.67	0.8894027141758356	1.530682924951504	
226.9658	23.07	0.8894027141758356	1.493607867698214	
281.2486	193.95	0.9443209731675832	-0.7542436855184009	C18H34O2
282.2521	194.08	0.9443209731675832	-0.7861216912278245	C18H34O2
282.2802	286.83	0.9952760353263539	0.12201111176114661	C18H37NO
181.0008	22.94	0.9952760353263539	0.03353230031865565	
130.0864	1.83	0.9443209731675832	0.9893857990199801	
130.0864	23.72	0.9443209731675832	0.9651776667023265	
181.0711	22.02	0.9443209731675832	0.7526873361830598	
283.1105	31.39	0.6879993699552641	2.572736150768374	
283.1105	156.81	0.997613361284674	-0.007484320526574757	
283.1375	36.4	0.687229750434492	3.1274087720414285	
130.9565	22.94	0.9443209731675832	1.2732985736173597	
227.9665	22.94	0.8894027141758356	1.475487986395208	
283.2836	286.83	0.9952760353263539	0.14763588958472584	C18H37NO
181.9466	1.04	0.7268128393636257	2.1902143200640967	
228.9633	23.07	0.8894027141758356	1.5043636781342822	
284.9248	19.9	0.9952760353263539	0.23900027505010168	
133.0133	1.7	0.9443209731675832	0.7435602149161147	
183.1385	35.59	0.9917989930713231	0.4864070399913272	
231.0815	21.89	0.9952760353263539	-0.05971584685359819	
184.8759	0.78	0.759952443046665	-2.1012189690582344	
135.0302	22.15	0.7051635395478633	2.297340153929553	
232.9865	21.23	0.687229750434492	-3.426651241796181	
185.1542	29.66	0.9443209731675832	0.9175209273891343	
136.0477	26.9	0.9917989930713231	0.473308254543181	
136.8908	0.78	0.9443209731675832	-0.9355119044931945	
234.9139	1.7	0.9443209731675832	-0.9704690039179025	
293.9866	36.27	0.9917989930713231	0.454095009241357	
294.9533	20.55	0.9952760353263539	0.2548257148793814	
294.9533	22.8	0.9598863364209878	0.6700499902565038	
294.9824	25.69	0.8823754694781561	1.6513446868169757	
139.0221	26.24	0.687229750434492	2.6927133836042887	
295.9547	20.55	0.9917989930713231	0.5362536463284416	
295.9547	22.94	0.9952760353263539	0.03234650596634322	
296.8904	22.15	0.9443209731675832	0.9399119883542841	
296.9508	20.29	0.9952760353263539	0.2578956524476771	
296.9508	22.8	0.9598863364209878	0.6812091010991809	
237.0919	36.4	0.6186781534563853	5.182210516671032	C16H14O2
237.0919	39.81	0.687229750434492	2.870662270364806	C16H14O2
298.1565	36.66	0.687229750434492	3.0218537495164077	
238.0953	36.4	0.8823754694781561	1.6060138438920897	C16H14O2
238.0953	39.94	0.777922470388271	2.0264784515624767	C16H14O2
298.8874	22.15	0.9443209731675832	0.9263920883304795	
238.9316	22.02	0.9601077103446652	0.6612241030318772	
299.0693	21.89	0.9952760353263539	-0.20338247215943156	
299.1489	36.66	0.6879993699552641	2.592005127700485	
239.0927	25.98	0.8145638689794226	1.9259849804459865	
300.9743	20.97	0.7051635395478633	-2.3085931088166856	
240.9286	21.89	0.9661250722160857	0.6401366980682648	
192.1025	28.47	0.8469719896043391	1.882563650168577	
303.0699	26.64	0.9443209731675832	-1.0721322520261818	
193.0864	25.56	0.7051635395478633	2.2896421376468195	
193.0864	30.44	0.8894027141758356	-1.5385188453913832	
194.0817	36.4	0.8894027141758356	1.5521246254165366	
306.9193	22.02	0.9917989930713231	0.47169332606521985	
195.1385	35.33	0.7051635395478633	2.3141538760683176	C12H20O2
308.9163	22.02	0.9917989930713231	0.5060446789699612	
309.1532	36.4	0.687229750434492	3.1813510085506347	
246.8771	1.7	0.9443209731675832	-0.8348476607284008	
310.002	24.91	0.9601077103446652	0.6646017898023425	
246.9815	26.24	0.9443209731675832	0.879315122562739	
149.0541	21.89	0.9917989930713231	0.530710958478923	
311.223	36.4	0.9917989930713231	0.5339568338298087	
311.2958	222.8	0.9952760353263539	-0.2965294535389894	
248.9604	21.36	0.9443209731675832	0.9186776510255414	
312.9733	26.24	0.8823754694781561	1.600895475872758	
151.0253	22.15	0.9443209731675832	1.031207521573542	
151.0253	23.2	0.9498866145557076	0.7236503763124709	
249.051	23.33	0.9952760353263539	-0.09944802424394082	
249.1495	36.53	0.8823754694781561	1.6975186218327731	C15H22O3
249.1495	68.66	0.870293482225582	1.7685351470608766	C15H22O3
249.9639	21.36	0.9598863364209878	0.6814012944626008	
315.137	32.3	0.687229750434492	3.190036305295004	
250.1527	36.4	0.9952760353263539	0.10612154327157794	C15H22O3
250.1527	68.13	0.9952760353263539	0.36473645857348974	C15H22O3
250.9648	21.36	0.809306768283752	1.9611388855056144	
316.9479	21.36	0.9952760353263539	0.05328819555162905	
317.9513	21.23	0.997613361284674	-0.006065450295465882	
318.9522	21.1	0.9952760353263539	0.10223852673872212	
318.9809	28.21	0.8823754694781561	1.7128129360202844	
252.9241	1.57	0.9443209731675832	-0.997046846111948	
254.2489	255.24	0.687229750434492	3.002834013071759	C16H33NO
322.8933	22.8	0.9443209731675832	1.0852143437487014	
322.9142	19.9	0.9952760353263539	-0.1199567599991684	
255.1968	36.53	0.9917989930713231	0.45636180767993423	
324.8543	1.96	0.9838060980554243	-0.5841797167041157	
326.27	287.09	0.9598863364209878	-0.6858462548438605	C19H37NO3
256.92	1.17	0.687229750434492	-2.9040937395315236	
330.9638	20.55	0.9952760353263539	-0.3359190309225445	
332.9221	22.8	0.9952760353263539	-0.058264794043156494	
209.0968	29.39	0.9952760353263539	0.24173572344314775	
209.0968	36.4	0.777922470388271	2.047142377546245	
333.171	35.46	0.8823754694781561	1.6350006219266906	C19H26O5
333.9383	22.02	0.9952760353263539	0.06214431316454329	
334.8739	1.83	0.9952760353263539	0.13528227166757917	
210.9098	2.35	0.9917989930713231	0.515636835098589	
210.9121	21.1	0.9952760353263539	-0.2546328298049741	
210.9121	23.59	0.9952760353263539	0.026765859637803018	
262.9763	21.36	0.9443209731675832	-0.7750408915646257	
262.9763	25.04	0.687229750434492	2.7976454018196524	
336.9419	20.03	0.9952760353263539	-0.17009616808664263	
336.9419	23.2	0.9443209731675832	-1.1080820512824028	
163.0605	24.38	0.870293482225582	1.7493850933848814	
392.8958	20.03	0.9443209731675832	-0.9083096170024212	
392.8958	23.46	0.8522187127787865	-1.831041807386077	
212.9102	2.35	0.8522187127787865	1.835231445822943	
212.9102	20.68	0.9443209731675832	0.8229208893368072	
212.9102	23.46	0.9952760353263539	0.0461805937967445	
339.3016	217.81	0.9952760353263539	-0.3321937514667471	
164.0709	24.38	0.9443209731675832	1.0973466098460434	
393.8938	20.03	0.9443209731675832	-0.7323041849467138	
213.9082	1.7	0.6304614263794242	4.6332945174116436	
395.8938	20.03	0.9443209731675832	-0.7623911013736505	
395.8938	23.59	0.8823754694781561	-1.5840636246594098	
341.1183	33.09	0.9917989930713231	-0.5037189647177007	
341.1183	36.4	0.6879993699552641	2.6123221136648866	
341.1183	39.81	0.6879993699552641	2.507540524708437	
397.8893	20.03	0.9443209731675832	-0.8640894060235501	
397.8893	23.33	0.8894027141758356	-1.4275195255429236	
398.8866	20.03	0.99233079957425	0.40284651314262016	
398.9511	20.55	0.9598863364209878	-0.671216452252079	
399.8891	19.76	0.8823754694781561	1.707217737471682	
400.9094	22.67	0.9952760353263539	-0.14877316946646743	
344.2806	286.44	0.99233079957425	-0.4121158600994074	
401.9256	21.89	0.9952760353263539	0.0458482133567944	
168.0658	23.72	0.0045941505853836434	29.444927375504598	
404.9292	20.03	0.99233079957425	-0.42361172526473545	
404.9292	23.07	0.9443209731675832	-0.747300762649206	
453.1326	26.77	0.9952760353263539	-0.30863434549299873	
453.9262	20.97	0.9952760353263539	-0.3000253160509359	
454.1714	31.78	0.9443209731675832	0.8165699311020815	
454.9275	21.1	0.9917989930713231	-0.44624829718145204	
509.325	212.14	0.9838060980554243	0.5763153940294216	C30H48O5
510.3284	212.41	0.9598863364209878	0.672073034882988	C30H48O5
349.2361	193.29	0.9443209731675832	-0.9742686628424273	C19H36O4
510.8815	21.89	0.99233079957425	0.43080913939880056	
455.1295	27.16	0.8823754694781561	-1.5827465860177647	
456.1222	36.4	0.6879993699552641	2.4254713040353075	
456.1693	31.91	0.9443209731675832	1.1789280040174122	C21H31NO8S
352.2857	296.43	0.6879993699552641	2.493958095517862	
408.934	23.07	0.9598863364209878	0.6883160298405455	
512.8787	21.89	0.9952760353263539	0.23119485943037382	
457.135	152.7	0.7051635395478633	2.3512324104322517	
457.135	159.96	0.9917989930713231	0.4984762158682016	
409.3114	225.04	0.8894027141758356	1.4503114680075844	C28H42O2
457.9319	252.61	0.687229750434492	2.7123896676712844	
458.0012	37.45	0.9443209731675832	1.0927727922483623	
410.1767	192.89	0.99233079957425	0.43968560157544095	
410.2218	31.91	0.9917989930713231	0.4947139139504432	
458.8684	22.54	0.8522187127787865	1.8461953758676406	
514.1466	188.17	0.9917989930713231	-0.507647043410614	
514.8927	20.16	0.9443209731675832	-1.2441962884103603	
514.8927	23.07	0.8145638689794226	-1.9349182767395037	
411.2253	31.78	0.99233079957425	0.4018809567499379	
459.2616	31.78	0.9443209731675832	1.017329292190056	
412.2185	31.78	0.9952760353263539	-0.23460308766081553	
459.3271	219.26	0.9443209731675832	1.1046639706528125	
515.122	31.12	0.9443209731675832	-0.7476034314752085	
460.2131	188.17	0.9952760353263539	0.08001775306850255	
516.0727	27.03	0.8689209777801203	1.78288201647829	
517.0768	27.03	0.914883286858995	1.370258009214216	
359.1537	215.17	0.9952760353263539	0.30983700142741144	
359.1655	36.27	0.9598863364209878	0.6729059484934893	
462.8786	20.03	0.9443209731675832	-0.8979409978627366	
462.8786	23.2	0.777922470388271	-2.0287376583064725	
519.2135	202.01	0.9952760353263539	0.21127081815606405	C29H32N2O7,C28H37O7Cl,C27H31O2F7
463.1615	26.9	0.9443209731675832	1.157798280595378	C23H28O10
361.0016	24.64	0.687229750434492	3.436821720781653	
464.8787	20.03	0.9952760353263539	0.1767680438605966	
520.9102	20.97	0.9952760353263539	-0.18371031449927935	
417.0361	21.89	0.759952443046665	2.1030095810781764	
417.1559	27.03	0.9443209731675832	1.0134471105412375	
465.3044	205.29	0.9952760353263539	-0.18194693872431725	C27H46O4S
466.3077	205.16	0.9952760353263539	-0.10777031482103715	C27H46O4S
418.1593	26.9	0.9443209731675832	1.1023360593169758	
362.9409	20.55	0.9952760353263539	-0.10404357673504913	
362.9409	22.8	0.9952760353263539	0.35157619331976947	
521.3849	256.15	0.687229750434492	2.6927214057509317	
362.9701	28.21	0.7786302338425344	2.015282180626603	
466.8741	20.03	0.9952760353263539	-0.0906923174985842	
466.9384	20.97	0.9713881649250344	-0.62179962569447	
521.9135	21.1	0.9952760353263539	-0.21116193780825773	
522.9148	20.68	0.9661250722160857	-0.6382425416180043	
522.9148	36.4	0.9443209731675832	0.9545900625108615	
420.2507	31.91	0.9443209731675832	0.8830467103538693	C20H40NO6P
363.9427	20.29	0.9952760353263539	0.1141291786524145	
363.9427	22.8	0.9952760353263539	0.21384598743010091	
