m/z	rtime	p-value	t-score	custom_id
248.9604	21.49	0.9038641907369708	-0.29268422778398423	
249.051	23.33	0.5183706731671176	1.612945057000856	
249.1495	36.53	0.4713247171401492	2.020958305134631	
249.1495	68.27	0.6661781135299025	0.9162195747050761	
249.9639	21.49	0.9512428750630363	-0.13112041278333417	
250.1527	36.4	0.5864601952351746	1.2444611662501304	
250.1527	68.53	0.9179136227970027	-0.2285391937659531	
250.9648	21.23	0.9179136227970027	-0.22490056013191417	
163.0605	24.25	0.5572128643438736	1.3330524955202234	
209.0968	29.39	0.8831571491854242	-0.3588184065884975	
209.0968	34.01	0.9735530179850885	0.06003613349908444	
209.0968	36.4	0.689808071790893	0.8524909641119397	
164.0709	24.38	0.321558737763813	3.351458375746218	
252.9241	1.57	0.5269928258218463	1.522206850211597	
210.9098	2.35	0.6639491330132777	0.9328819883074759	
210.9121	21.1	0.6873996637667623	0.8624279327970044	
210.9121	23.59	0.9735530179850885	-0.06994087317196854	
254.2489	255.37	0.5868483770239263	-1.2332292425362283	
113.9879	21.75	0.7555182515656967	0.7003578912731869	
114.0164	22.8	0.4713247171401492	2.038287140098727	
114.9887	21.75	0.689808071790893	-0.851542518145484	
255.1968	36.53	0.7595131919908006	0.6830594078845714	
212.9102	2.35	0.9735530179850885	-0.06120287393596188	
212.9102	20.68	0.8619786970906794	0.443895710393277	
212.9102	23.46	0.9179136227970027	0.2301739522603695	
256.9201	1.17	0.6661781135299025	0.9138153228410016	
213.9082	1.7	0.9085752413171754	0.2551797186842921	
168.0658	23.72	0.3283612609152003	3.0944359735291056	
170.9435	22.02	0.4933383112688413	1.738273363130351	
262.9763	21.36	0.865649182951695	-0.4105532107098894	
262.9763	24.91	0.8718969262483984	-0.3818166993328103	
264.9346	22.8	0.2997209955881608	3.9976461453314185	
265.9508	21.89	0.37378543548533405	-2.724346935182451	
266.1515	36.79	0.8877020017830201	0.3502686186310194	
216.9644	2.88	0.7172861722959231	0.7781168681598201	
174.9464	1.57	0.6492196692908769	1.0045641800915928	
268.9841	26.24	0.9282749565370801	-0.1908681174347837	
128.9585	22.67	0.2997209955881608	4.724298782449086	
269.9866	26.24	0.9380750276049824	0.16910892465234503	
218.9865	24.91	0.7363265961485242	-0.7391069555753251	
130.0864	1.83	0.9477115769673219	0.14036214423713675	
130.0864	23.86	0.37378543548533405	2.7096659948277235	
130.9565	22.8	0.2997209955881608	4.895770889344049	
221.0526	22.02	0.4807520958936765	1.9002140302479287	
178.9723	1.96	0.8619786970906794	0.44114829283426377	
221.1543	59.17	0.6661781135299025	0.9187352965738131	
276.0177	24.64	0.4713247171401492	2.0978429566447345	
133.0133	1.7	0.5242144843633035	1.5479957659700563	
223.0498	22.41	0.544171451589003	1.447600789670588	
278.8979	2.62	0.6969886061346283	0.8220411603853102	
135.0302	22.15	0.4205226763634692	2.5194295831398947	
181.0008	22.8	0.36608537786289336	2.9496289000619726	
181.0711	22.02	0.46211147895968185	2.1573401985340217	
