m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.8453047732472312	-0.7356542592979992	
114.0164	22.8	0.6496827902861665	1.9705490680272166	
170.9435	22.02	0.6496827902861665	2.120571863739927	
114.9887	21.75	0.861765894682301	-0.5974049758348743	
264.9346	22.8	0.8759033370944913	-0.5096843392363086	
116.0707	1.96	0.7089901931564218	1.5084223887084007	
265.148	36.79	0.7089901931564218	-1.6334128854051666	
265.9508	22.02	0.6752685959645203	-1.7630309691479606	
266.1515	36.79	0.7089901931564218	-1.5741569805118905	C15H22O4
267.0089	188.17	0.8453047732472312	0.788506749245565	
267.0089	193.68	0.9681101067412495	0.13512966271029211	
267.0089	219.52	0.9959624225646617	0.020881547798085466	
216.9282	1.57	0.8563415991407141	-0.6390431773267035	
267.0736	21.89	0.8675952997253527	0.5449878465811212	
216.9644	2.88	0.7930223604951322	-1.0110479051788828	
267.2334	1.96	0.8620007885549554	-0.5912378624381739	C17H32O2,C17H34O3
216.9888	266.55	0.7089901931564218	-1.5679519740664358	
216.9888	267.73	0.8563415991407141	-0.6487457401111673	
216.9888	268.92	0.8176658739622408	-0.9270901213159131	
216.9888	275.78	0.9015508166292318	-0.4212490291323062	
216.9888	277.62	0.9485589567777437	-0.20337317475141312	
216.9888	280.38	0.6752685959645203	-1.7662291589945496	
268.9544	23.2	0.8675952997253527	-0.5466371813899673	
268.9841	26.24	0.6496827902861665	-2.151785596630772	
172.9405	21.89	0.6752685959645203	1.767944465195933	
217.0125	219.65	0.8737835759653471	-0.5261868258741017	
217.0125	419.12	0.9793921003222427	0.09353971529598085	
217.0125	422.27	0.7105591899400351	-1.3936978281530266	
217.0125	424.11	0.7716960810182522	-1.0910400570848533	
217.0125	430.97	0.8077350285237733	-0.9724271438689124	
217.0125	431.89	0.9630397682306351	0.14706119154659286	
269.249	199.1	0.956545635559944	0.16760845761304047	C17H34O2
269.9866	26.24	0.6496827902861665	-2.0438250677691108	
270.9319	2.35	0.9959624225646617	-0.0269370289976608	
119.0491	36.13	0.8453047732472312	0.7095123637090064	
173.0348	10.52	0.8563415991407141	-0.6378881947732776	
270.9816	261.43	0.8638524169542302	-0.5646020241512539	
271.0066	22.02	0.9793921003222427	0.09372918523017199	
173.1037	24.12	0.8738839663221334	-0.5183729923222621	
218.9864	25.04	0.8620007885549554	-0.5903528141897644	
219.0082	34.8	0.9723582457635935	-0.12476436974700456	
219.0082	152.05	0.9328035228026633	0.26511824576396203	
219.0082	156.81	0.8993596017820475	-0.4386509359745687	
219.0082	189.35	0.7089901931564218	-1.5574783880224174	
219.0082	191.98	0.8993596017820475	0.4394863052935237	
219.0082	284.22	0.8719108882876	0.5297382477432593	
219.0082	286.96	0.7105591899400351	1.419761687365374	
219.1023	34.14	0.03510511912691926	6.7973420487539675	
220.0493	22.41	0.7098187125584998	1.463133045131549	
121.0265	21.23	0.8166446344782347	0.9298569729859789	
221.0526	22.15	0.6496827902861665	2.0844466385092293	
274.8909	25.56	0.8563415991407141	0.6436692330907838	
274.8909	27.42	0.7386517735489556	1.243637405186182	
221.1543	58.25	0.7897586419421602	-1.0338838031613031	C14H24O3,C14H22O2
174.9464	1.57	0.9959624225646617	0.025198432797522506	
274.9803	1.83	0.8453047732472312	0.7292048121096609	
275.0114	24.77	0.7296100918695059	1.3004740484396693	
175.0273	22.8	0.7098187125584998	1.4707409819938455	
223.0498	22.15	0.7098187125584998	1.4563969530101428	
123.0473	21.89	0.7897586419421602	1.0372894048421453	
276.0177	24.51	0.8060598013562187	0.9807820400282002	
177.0187	29.39	0.9780056866343931	0.1093898247076951	
177.0187	31.12	0.9197292142129678	0.34719684073784274	
177.0187	41.65	0.8819401970781364	-0.49058006195076687	
224.9532	2.75	0.8166446344782347	0.9400280528937561	
278.8979	2.48	0.9233121014373264	-0.30745318345949874	
278.9604	163.51	0.8769110741016656	0.504871176645431	
278.9604	230.98	0.8737835759653471	0.5242624442863022	
278.9604	233.35	0.9191048942481754	0.35145165924190375	
278.9604	240.21	0.9233121014373264	0.2942326736299847	
278.9604	244.02	0.8795419677215665	0.4998506166639906	
225.0149	188.56	0.7098187125584998	-1.4712333246447182	
225.0149	195.0	0.9233121014373264	0.3214649884885054	
225.0149	196.47	0.946176739735586	-0.21740233238048415	
225.0149	198.05	0.9959624225646617	0.0293294646105192	
225.0149	201.49	0.8911722705188293	0.46109603706831714	
280.2645	262.88	0.600728908835705	-2.498280808054209	C18H37NO2,C18H35NO
281.0221	201.09	0.9379168533489753	-0.23761862891634203	
281.0244	188.82	0.8604463727966023	0.6056216382042319	
128.8798	183.68	0.8675952997253527	0.5488230588854139	
128.8798	190.14	0.8993596017820475	0.44098332081026853	
