m/z	rtime	p-value	t-score	custom_id
248.9604	21.49	0.13342415638115365	-3.179819131323232	
249.051	23.33	0.10573947950782321	3.7304284113721637	
249.1495	36.53	0.12253252145155868	-3.39490927647464	
249.1495	68.27	0.060793453375141596	-5.2510143163766845	
249.9639	21.49	0.1818529185163253	-2.6305515922852565	
250.1527	36.4	0.31552944718819537	-1.6647063809437197	
250.1527	68.53	0.24279032856662006	-2.1075780147011223	
250.9648	21.23	0.09920948690690463	-3.9079288720883056	
163.0605	24.25	0.43113295719910855	1.2182234504266405	
209.0968	29.39	0.29053026332499293	-1.8282710097385388	
209.0968	34.01	0.033389705020436075	-7.321696863091695	
209.0968	36.4	0.12508286319722442	-3.337578711739729	
164.0709	24.38	0.12019612169621054	-3.500562476908692	
252.9241	1.57	0.11191328243009169	-3.5899974266522907	
210.9098	2.35	0.1266438501386107	3.290621431170391	
210.9121	21.1	0.4625904177740007	1.1174124860011545	
210.9121	23.59	0.8948069119056846	-0.19470771102367282	
254.2489	255.37	0.49239903511213023	-1.0166873178058946	
113.9879	21.75	0.29053026332499293	-1.8266706432642226	
114.0164	22.8	0.07732872884167567	4.376673413171609	
114.9887	21.75	0.747924608462231	-0.4677399646925902	
255.1968	36.53	0.4691750270304095	1.08623310188372	
212.9102	2.35	0.2922224247081489	1.8132952543596847	
212.9102	20.68	0.36951039508667743	1.4449684702239334	
212.9102	23.46	0.9653176998179803	0.0677195414599857	
256.9201	1.17	0.1503669051557314	-2.943366686080077	
213.9082	1.7	0.22631775571187676	2.214167794354837	
168.0658	23.72	0.007450969519135792	17.083522464710292	
170.9435	22.02	0.16010386496325488	2.8548976041025025	
262.9763	21.36	0.058379379879810234	-5.364905688540937	
262.9763	24.91	0.1898664646538366	2.530868692470091	
264.9346	22.8	0.09920948690690463	-3.912391457679447	
265.9508	21.89	0.999665303475497	-0.0004462620511859443	
266.1515	36.79	0.4512055532956755	1.1503732371348219	
216.9644	2.88	0.3290389105188187	1.5914576247408516	
174.9464	1.57	0.4658001672979338	-1.0974637739115658	
268.9841	26.24	0.33996327304635293	1.547350199351786	
128.9585	22.67	0.23034759418760375	-2.1780694691119553	
269.9866	26.24	0.5375585079324883	-0.8993448123570358	
218.9865	24.91	0.24581443870679914	2.0737385533393047	
130.0864	1.83	0.5642510487563708	0.8394064201521042	
