m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.21812006008117832	-2.574314111969743	
114.0164	22.8	0.12401685195509748	4.1261073672498805	
170.9435	22.02	0.21812006008117832	2.5834425859203107	
114.9887	21.75	0.23989189970693087	-2.373637335978317	
264.9346	22.8	0.13038372645223678	3.896482020127489	
265.148	36.79	0.6302606365351463	-0.9036628530353082	
265.9508	22.02	0.38401712293886825	-1.6584379818051538	
266.1515	36.79	0.5282550823591322	-1.165137744156643	
216.9644	2.88	0.6893332969674684	0.727520632054888	
268.9544	23.2	0.12262589498539413	-4.21481992595806	
268.9841	26.24	0.8667614511080153	-0.30496546087773024	
269.249	199.1	0.36731662072469173	-1.7492083948187114	
219.0082	156.81	0.7176431111239482	0.6722958855389288	
269.9866	26.24	0.36933130560576327	1.7306727733697862	
174.9464	1.57	0.6333856658782111	0.8934033640145786	
221.0526	22.15	0.1617860546472179	3.2206224774800774	
221.1543	58.25	0.3235011788708124	-1.9677743452106957	
223.0498	22.15	0.1549408658596306	3.402508436187202	
274.8909	25.56	0.10435995694654587	4.693067288644555	
274.8909	27.42	0.12163152358082674	4.349364171388309	
276.0177	24.51	0.3103972774211431	2.04130065049917	
178.9723	1.96	0.9796470959594582	0.0388716454537212	
278.8979	2.48	0.4751660303715834	-1.3305932594440566	
128.9585	22.67	0.03411410324511705	9.32009012915131	
226.9658	23.07	0.12920986512099217	-3.951275606495829	
281.2486	193.95	0.050050022694825315	-7.542367029202514	C18H34O2
282.2521	194.08	0.05984445749888595	-6.821571840491669	C18H34O2
282.2802	286.83	0.683612373636282	0.7476884839644931	C18H37NO
181.0008	22.94	0.14161543025049017	3.578650478113615	
130.0864	1.83	0.5282550823591322	-1.1718424397767602	
130.0864	23.72	0.13038372645223678	3.885437449011659	
181.0711	22.02	0.18271377592140498	2.990564282968324	
283.1105	31.39	0.3668728857110872	-1.7537455327286617	
283.1105	156.81	0.12262589498539413	4.158235618951504	
283.1375	36.4	0.36519248901341667	-1.768279602109232	
130.9565	22.94	0.03411410324511705	9.233598775569606	
227.9665	22.94	0.12920986512099217	-3.9420261084218216	
283.2836	286.83	0.6291222808512547	0.9158039005571628	C18H37NO
181.9466	1.04	0.23148599632000985	-2.4473955332241943	
228.9633	23.07	0.1617860546472179	-3.20606987952564	
284.9248	19.9	0.13218997863331686	3.854228329322193	
133.0133	1.7	0.82205491035206	0.41883560240678136	
183.1385	35.59	0.23763744722585112	-2.4075588677178543	
231.0815	21.89	0.13679863461398373	3.7578232683992376	
184.8759	0.78	0.3497477335201817	1.8406340268398211	
135.0302	22.15	0.2083240121388096	2.6418566570610302	
232.9865	21.23	0.9397692597653892	0.1391972050349605	
185.1542	29.66	0.1617860546472179	-3.2517591948602016	
136.0477	26.9	0.33351247495445646	-1.9331901413200792	
136.8908	0.78	0.16058211379390108	3.2815882594391406	
234.9139	1.7	0.4023418417879573	1.5794597852331287	
293.9866	36.27	0.7275649575490257	0.6423845448429764	
294.9533	20.55	0.23784541362767544	-2.391513383169961	
294.9533	22.8	0.11539413861615921	-4.503661010979182	
294.9824	25.69	0.3180863785633802	1.9950089294273914	
139.0221	26.24	0.8696309885355668	0.2992280215347584	
295.9547	20.55	0.18638795610751835	-2.954630980058285	
295.9547	22.94	0.12262589498539413	-4.301156504906648	
296.8904	22.15	0.1972281544996658	2.770074124640221	
296.9508	20.29	0.19103407874364386	-2.899604266878583	
296.9508	22.8	0.07940717505994871	-5.537188534099351	
237.0919	36.4	0.19103407874364386	-2.908666872410999	C16H14O2
237.0919	39.81	0.5470810219253875	-1.117513401109054	C16H14O2
298.1565	36.66	0.3735606225210628	-1.7175160271881968	
238.0953	36.4	0.1549408658596306	-3.3921047169306293	C16H14O2
238.0953	39.94	0.37694181504142193	-1.6975466630600096	C16H14O2
298.8874	22.15	0.15930358358997196	3.299833643520888	
238.9316	22.02	0.18168548382999303	3.019502529328999	
299.0693	21.89	0.22032766797793846	2.5137997032791386	
299.1489	36.66	0.3497477335201817	-1.8392387012771587	
239.0927	25.98	0.4198163041234073	-1.5159494066286616	
300.9743	20.97	0.82205491035206	0.42074100553960486	
240.9286	21.89	0.16092784608958582	3.2696864877499685	
192.1025	28.47	0.3829085802902092	-1.6699528708320905	
303.0699	26.64	0.8846516237658895	-0.27391671630066394	
193.0864	25.56	0.050521214123236124	-7.255154689760744	
193.0864	30.44	0.08277604094214759	5.25680037862467	
194.0817	36.4	0.8658927710747681	0.3187487570259342	
306.9193	22.02	0.2061984051565125	2.6717733120125535	
195.1385	35.33	0.07940717505994871	-5.6381705526716965	C12H20O2
308.9163	22.02	0.20770720158304024	2.6506955668514225	
