m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.09896312134942255	-3.9558700365796304	
114.0164	22.8	0.06135016097407746	4.981925063476426	
170.9435	22.02	0.39694286942672813	1.4128163372154237	
114.9887	21.75	0.27265654274565804	-2.1243478139575793	
264.9346	22.8	0.3122325265337073	-1.8454232679512583	
116.9198	532.18	0.46942998135541714	1.1878617262167148	
265.148	36.79	0.5071000354221336	1.0956751542985192	
265.9508	22.02	0.8724338483844208	0.31735898143173163	
171.9825	253.92	0.39698232074630313	1.4093132969604973	
266.1515	36.79	0.4724986722497624	1.1770521390355084	C15H22O4
267.0089	188.17	0.9469031918499301	-0.11528367082772746	
267.0089	193.68	0.22847696496427136	-2.359216748553456	
267.0089	219.52	0.2907620536767387	-1.9537204633926	
216.9282	1.57	0.9377391259226022	-0.15895901904458493	
267.1438	36.79	0.5708778028172584	0.9657545729579127	
216.9644	2.88	0.6579460278103461	-0.7752141439824567	
267.2334	1.96	0.5812962973844484	-0.9363307919365784	C17H32O2,C17H34O3
216.9888	266.55	0.19709392453209926	-2.5697573064673924	
216.9888	267.73	0.3900243931332678	-1.4747132526418028	
216.9888	268.92	0.2898135867761574	-1.9766813546097204	
216.9888	275.78	0.6331567408863251	-0.8206533659608992	
216.9888	277.62	0.9095909349931094	-0.23306795085231719	
216.9888	280.38	0.2907620536767387	-1.9565067782194756	
268.9544	23.2	0.39434408083296396	-1.4297890877554806	
268.9841	26.24	0.0945416871925516	-4.0534444913281416	
172.9405	21.89	0.8576749368626206	0.35858630641316774	
217.0125	328.08	0.9338625818660882	-0.17529940865573962	
217.0125	422.27	0.3225703484699825	-1.7807761557056916	
217.0125	424.11	0.5831439660872291	-0.9303043996973714	
269.249	199.1	0.3058108982182821	-1.8869188397279733	C17H34O2
269.9866	26.24	0.1250725440853872	-3.4550966876186666	
119.0491	36.13	0.8704679633737814	0.32259622738877297	
173.0348	10.52	0.975460084927818	0.04967752103775803	
270.9816	261.43	0.7002993296192539	-0.6787340126144643	
218.9864	25.04	0.3903255284053393	-1.4552873192320794	
219.0082	152.05	0.9072219874749015	0.23824612494396896	
219.0082	156.81	0.9396352876806531	0.15248519945933944	
219.0082	189.35	0.28785092525625156	-1.995406090332455	
219.0082	191.98	0.8724338483844208	0.31703447885833214	
219.0082	284.22	0.39698232074630313	-1.4103226610445634	
219.0082	286.96	0.3871869791672049	1.534696976403494	
219.1023	34.14	0.0038034855795287034	12.067043822093503	
221.0526	22.15	0.21269964287676318	2.4397328621761702	
274.8909	25.56	0.8624130002343983	0.3426494526753915	
