m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.3862594545695666	-2.3431508232096787	
114.0164	22.8	0.2868859305934035	3.3944628585998053	
170.9435	22.02	0.5107244528994063	1.3900500042861461	
114.9887	21.75	0.2729070654229917	-3.8774384366589016	
264.9346	22.8	0.9362630631012787	-0.133576443341554	
265.148	36.79	0.48555396775583975	1.659018264049886	
265.9508	22.02	0.7697822007964766	-0.588282732417282	
266.1515	36.79	0.48555396775583975	1.7256053489469314	
216.9644	2.88	0.43427161609098797	-2.1094450175385036	
268.9544	23.2	0.9164436248230067	-0.20134610572426315	
268.9841	26.24	0.476210436082756	-1.8058158154649964	
269.249	199.1	0.41138115354517674	-2.2396155955768355	
219.0082	156.81	0.9164604481672366	-0.19318790958953339	
269.9866	26.24	0.25763834804788827	-4.632206101346133	
174.9464	1.57	0.6333513175835898	0.9039550780094482	
221.0526	22.15	0.48555396775583975	1.6463678862570734	
221.1543	58.25	0.43632592161864364	-2.085880516589151	
223.0498	22.15	0.48555396775583975	1.5480403345483218	
274.8909	25.56	0.9164436248230067	-0.203094546429278	
274.8909	27.42	0.9307198379860657	-0.1448331505647486	
276.0177	24.51	0.3021805274315753	3.06644857391981	
178.9723	1.96	0.8724377229262502	-0.3060792277951276	
278.8979	2.48	0.6090056382129685	-0.9641855654062986	
128.9585	22.67	0.6124349125946246	-0.9382196030776844	
226.9658	23.07	0.7286961629699966	-0.6811708233607598	
281.2486	193.95	0.2868859305934035	-3.395465201818707	C18H34O2
282.2521	194.08	0.2827287731827855	-3.747754033725996	C18H34O2
282.2802	286.83	0.5099032747580119	-1.3970834928077773	C18H37NO
181.0008	22.94	0.942924137851461	0.11106794201642385	
130.0864	1.83	0.36587209347379523	-2.4351754023989445	
130.0864	23.72	0.3510506548795066	-2.504272754139625	
181.0711	22.02	0.6543837933693367	0.8518924686342694	
283.1105	31.39	0.48555396775583975	1.6778376966196515	
283.1105	156.81	0.3510506548795066	2.5065737512029247	
283.1375	36.4	0.5651116456866728	1.1265966245858041	
130.9565	22.94	0.5916125611584809	-1.0254153184540937	
227.9665	22.94	0.7877485440327419	-0.5247701000089358	
283.2836	286.83	0.5165057672134125	-1.3680380875190028	C18H37NO
181.9466	1.04	0.5477619561266357	1.1879935582590702	
228.9633	23.07	0.7777111670873339	-0.5638741863387056	
284.9248	19.9	0.44513889026035813	2.002006361529955	
133.0133	1.7	0.9389110696580713	0.12502572075499188	
183.1385	35.59	0.7791646331839577	-0.5441157567346552	
231.0815	21.89	0.3883320503614816	2.3138782254948085	
184.8759	0.78	0.4944721528283954	1.4505772507874004	
135.0302	22.15	0.35095914711194776	-2.5832830650221186	
232.9865	21.23	0.918280174733571	0.1837636238339091	
185.1542	29.66	0.9164604481672366	-0.1929262138074195	
136.0477	26.9	0.25763834804788827	6.834185706304962	
136.8908	0.78	0.45387696456200965	1.8970339326671062	
234.9139	1.7	0.6124349125946246	0.9386082046075149	
293.9866	36.27	0.2868859305934035	-3.2565013636440847	
294.9533	20.55	0.9404106079020913	0.11653271817645557	
294.9533	22.8	0.7777111670873339	-0.556335657642415	
294.9824	25.69	0.9302002208383536	-0.15613023153222094	
139.0221	26.24	0.48555396775583975	1.6396729826179637	
295.9547	20.55	0.943778844634247	0.10776558097940087	
295.9547	22.94	0.7986753384346812	-0.4918745936162522	
296.8904	22.15	0.5203538338528023	1.3106015230211276	
296.9508	20.29	0.826313756440877	0.40645346729857434	
296.9508	22.8	0.8634563515509867	-0.32392664412334066	
237.0919	36.4	0.25763834804788827	4.752901714562708	C16H14O2
237.0919	39.81	0.44513889026035813	2.007223413868487	C16H14O2
298.1565	36.66	0.48555396775583975	1.6327471477328999	
238.0953	36.4	0.3553521759941381	2.4827958828209686	C16H14O2
238.0953	39.94	0.5733054196686761	1.094841933632703	C16H14O2
298.8874	22.15	0.5203538338528023	1.3167422971692397	
238.9316	22.02	0.5135561073431362	1.375989297549184	
299.0693	21.89	0.46744037570714053	1.8537664183492926	
299.1489	36.66	0.48555396775583975	1.7400735213798972	
239.0927	25.98	0.476210436082756	1.8046173964410637	
300.9743	20.97	0.9036253380267281	0.22429831269792247	
