m/z	rtime	p-value	t-score	custom_id
248.9604	21.49	0.06102989828731265	-6.691246509834422	
249.051	23.33	0.40885111653847167	1.73396742863672	
249.1495	36.53	0.5026007961446963	1.3116633823633457	
249.1495	68.27	0.22455593529902976	-2.7830993031953293	
249.9639	21.49	0.05456419577470373	-7.216637533039035	
250.1527	36.4	0.7906853251109679	0.4140585024620599	
250.1527	68.53	0.4026843782564894	-1.7552040286515649	
250.9648	21.23	0.017706567714253062	-12.589737621581792	
163.0605	24.25	0.6335517491189674	-0.8945557902432454	
209.0968	29.39	0.12653549238938913	-4.141164648497208	
209.0968	34.01	0.7377358245627688	-0.5652585636658514	
209.0968	36.4	0.6594429365720115	-0.7938184019332668	
164.0709	24.38	0.8396637385782598	0.3065543422252176	
252.9241	1.57	0.9167701976313039	0.16614843652326125	
210.9098	2.35	0.7205154233756574	0.6247170013962998	
210.9121	21.1	0.3866203951771726	1.8593933010619168	
210.9121	23.59	0.6530264300900263	-0.8163466752910923	
254.2489	255.37	0.48928098692517535	-1.4159855310750327	
113.9879	21.75	0.04844706128429507	-7.835253479633768	
114.0164	22.8	0.48536718838903015	1.4440936937973958	
114.9887	21.75	0.2033580148632585	-3.0511903657493002	
255.1968	36.53	0.7846606876122938	0.4371257508412924	
212.9102	2.35	0.7357078811833425	-0.5890010667354395	
212.9102	20.68	0.29242978245275714	2.305642417120606	
212.9102	23.46	0.6265998902437766	-0.917328512870974	
256.9201	1.17	0.7357078811833425	0.5835946336114362	
213.9082	1.7	0.5002387350361724	-1.3742519476820696	
168.0658	23.72	0.2749095378605891	-2.421239993373169	
170.9435	22.02	0.3011908023697213	2.246729408533058	
262.9763	21.36	0.3314539749725812	-2.089698536326589	
262.9763	24.91	0.7953219542893181	-0.40581912048803814	
264.9346	22.8	0.5426793717372248	-1.1685186085415304	
265.9508	21.89	0.6305155706361535	-0.9012782728781661	
266.1515	36.79	0.8794052401823744	-0.24171565428939978	
216.9644	2.88	0.6746087289492106	0.7161877734001906	
174.9464	1.57	0.9399323529932248	-0.11451854039226743	
268.9841	26.24	0.7996433314193454	-0.3833801071062795	
128.9585	22.67	0.7427270395907225	-0.536813216316671	
269.9866	26.24	0.73748201588409	-0.5711816665389884	
218.9865	24.91	0.6732753818100674	-0.7295043305457811	
130.0864	1.83	0.22980856736666339	-2.7336041254903325	
130.0864	23.86	0.6746087289492106	-0.7156704623858448	
130.9565	22.8	0.7223474494359612	-0.6193771731337017	
221.0526	22.02	0.20967913914106787	2.961796813027299	
178.9723	1.96	0.9194504738034374	0.14889930166091284	
221.1543	59.17	0.6576721762977756	0.8009626138926396	
276.0177	24.64	0.8328750912194284	0.31978612723252675	
133.0133	1.7	0.7964693606953115	-0.39781934297460253	
223.0498	22.41	0.2171100832226095	2.863888527913588	
278.8979	2.62	0.3418694807117298	-2.042838692484483	
135.0302	22.15	0.5430462770307233	-1.1638741788489808	
181.0008	22.8	0.7329911862074086	0.6015747597179653	
181.0711	22.02	0.8335384309855235	0.3167343419596877	
136.0477	26.9	0.9399323529932248	-0.10734929056186801	
281.2486	194.08	0.04641945554801285	-8.10321888572819	
181.9466	0.91	0.5026007961446963	-1.300754427539339	
282.2521	194.21	0.03662501366603906	-9.089356716950347	
282.2802	286.83	0.6526840738213566	-0.8196441907882978	
283.1105	31.39	0.6732753818100674	0.7330816120983282	
283.1105	127.17	0.893235903817951	-0.21710565736789886	
283.1105	156.94	0.5026007961446963	1.3509605359217807	
283.1375	36.13	0.5409696993033939	-1.1811248871784181	
283.2836	286.83	0.6351017748026191	-0.8842228145562004	
183.1385	35.59	0.2749095378605891	-2.42605409607784	
226.9658	23.07	0.11794150447371195	-4.330270243944953	
139.0221	26.24	0.917197267109452	0.16329596715852676	
184.8759	0.78	0.3017324911314138	2.2394172744482597	
227.9665	22.94	0.3130290385818347	-2.1517866375979433	
228.9633	22.94	0.12751328608401202	-4.0188241706189824	
185.1542	29.66	0.64780746762043	0.8287673789942225	
231.0815	22.02	0.38745005838175645	1.8447032427927188	
293.9866	36.27	0.6351017748026191	-0.881939127510622	
294.9533	20.42	0.48536718838903015	-1.4328273761882995	
294.9533	22.8	0.11794150447371195	-4.278557059067721	
294.9824	25.69	0.9999725322178089	-0.0015650383825953212	
295.9547	20.42	0.4748990832483887	-1.4963314389299645	
295.9547	22.94	0.11794150447371195	-4.3649575872093225	
232.9865	21.23	0.2791298362106186	2.3943571423515406	
296.8904	22.02	0.22408287607648147	2.8086875586612385	
296.9508	20.68	0.500928190615491	-1.363415552826186	
296.9508	22.94	0.12751328608401202	-4.076697393253819	
