m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.4166667942653939	-2.3995406613692745	
114.0164	22.8	0.3084188813083664	3.3494735803998443	
170.9435	22.02	0.5452156929843229	1.3814556844862558	
114.9887	21.75	0.2500888529023306	-3.8812457354832572	
264.9346	22.8	0.942281743122686	-0.14866601262487594	
171.8703	24.25	0.4988188552869464	1.7119598801336773	
265.148	36.79	0.5099621796757042	1.647909365179112	
171.9293	0.65	0.4698540671100606	1.9187509192682781	
265.9508	22.02	0.7965772621751515	-0.6010021398821991	
266.1515	36.79	0.4988188552869464	1.714552093225547	C15H22O4
266.9325	22.8	0.49409150485752606	1.739428153147696	
215.8765	1.04	0.46979280893908065	1.9938150352573822	
267.0089	188.17	0.8626373754788703	-0.3782911759227317	
267.0089	193.68	0.7481729839834533	-0.7631703629611696	
267.0089	219.52	0.6449335084199378	-1.017296256798355	
267.0736	21.89	0.7567418612905328	0.7292877201782378	
267.1438	36.79	0.48776791825905125	1.7918132990187332	
216.9888	266.55	0.5115144643072769	-1.6046862752272075	
216.9888	267.73	0.8054015648663319	-0.560085232727669	
216.9888	275.78	0.7240299641370822	-0.8069666904003675	
216.9888	277.62	0.8940265953040859	-0.3006430795788803	
216.9888	280.38	0.6634757871760691	-0.954197248605872	
268.9544	23.2	0.9248088088366617	-0.2087700196274716	
268.9841	26.24	0.48507402199743804	-1.8248155409169848	
172.9405	21.89	0.800571585156978	0.5781828180715659	
217.0125	219.65	0.3104897183165514	-3.143463432373608	
217.0125	331.09	0.46979280893908065	1.9606507022605095	
217.0125	419.12	0.7965772621751515	-0.6027952120414679	
217.0125	424.11	0.49409150485752606	-1.741554351770506	
217.0125	430.97	0.8947472011647014	-0.28479868646288714	
217.0125	431.89	0.7410357036405307	0.7805721974802922	
217.0125	634.11	0.8712933461433142	0.3560837337608007	
269.249	199.1	0.44988664776301446	-2.254398166128025	C17H34O2
269.9866	26.24	0.22049491624795237	-4.494123399715616	
119.0491	36.13	0.5049829527869837	1.6800568408393548	
271.9846	1.83	0.05501767090754202	10.051717717052984	
218.9864	25.04	0.5238556130916396	-1.5437402113242438	
219.0082	156.81	0.9249051306579086	-0.20506260382199665	
219.0082	189.35	0.7748786303379881	-0.6779527995426442	
219.0082	286.96	0.6990224759366874	0.865713962006292	
221.0526	22.15	0.5099621796757042	1.6411738682716939	
274.8909	25.56	0.9249051306579086	-0.2033915349339554	
274.8909	27.42	0.942281743122686	-0.1469320887207455	
221.1543	58.25	0.46979280893908065	-2.114305079030678	C14H24O3,C14H22O2
174.9464	1.57	0.7009054003287	0.8606617470446681	
223.0498	22.15	0.5238556130916396	1.5430932222557114	
175.9459	1.7	0.7965772621751515	-0.6012307885470465	
276.0177	24.51	0.31679726201363995	3.047729483226134	
223.8855	188.3	0.4341142493824714	2.3320073877541336	
277.1445	34.27	0.8297779601868083	0.4675249416748036	C16H24O5,C16H22O4
224.8777	1.83	0.1815309937877224	5.298607101926982	
278.8979	2.48	0.6586080122009266	-0.9723739678897331	
225.0149	196.47	0.8940265953040859	0.2919484357795114	
225.0149	198.05	0.7862726431136172	0.6541387680902392	
225.0149	201.49	0.7077817669707219	-0.846541094111527	
281.0221	201.09	0.6591911238135731	0.9644114414045706	
281.0244	188.82	0.665384612440464	-0.9465089571723929	
128.8798	183.68	0.48507402199743804	1.8176541769415124	
128.8798	190.14	0.5239688888184243	1.5300177388976592	
128.8798	256.42	0.3084188813083664	3.399790001363889	
281.2486	193.95	0.3084188813083664	-3.444850867423243	C18H34O2,C18H36O3
128.9585	22.67	0.6566051620014804	-0.9769753120102374	
281.8725	0.78	0.8108805921063896	0.539363096380678	
178.9723	1.96	0.8773807219246677	-0.3390037775567587	
282.2521	194.08	0.2573152731049627	-3.7955438009152047	C18H34O2
282.2802	286.83	0.5405390724311533	-1.4047711687241962	C18H37NO,C18H39NO2
226.9658	23.07	0.766152765535031	-0.7058347413385774	
283.1105	31.39	0.5099621796757042	1.6383070231672483	C15H20O3
283.1105	156.81	0.4098198142468985	2.426818104969966	C15H20O3
283.1375	36.4	0.623184863223963	1.0908041620837288	
283.2836	286.83	0.5467752012364564	-1.375721741400399	C18H37NO
179.8916	1.57	0.22684341103576028	4.306955495464924	
227.0129	193.29	0.5242411474795021	1.5016971296868293	
227.0129	201.35	0.7965772621751515	0.6038151294460663	
180.0152	25.04	0.6591911238135731	0.965841410265261	
284.9248	19.9	0.46979280893908065	1.9972281087624022	
227.9665	22.94	0.8088195190843097	-0.5451764903347975	
130.9565	22.94	0.6320248199509478	-1.0653168772245012	
181.0008	22.94	0.9600922622314872	0.10050625566393848	
228.9633	23.07	0.800571585156978	-0.5817690638695786	
181.063	23.07	0.10756636757024841	7.298596427540891	C7H14O3
181.0711	22.02	0.7199237707330853	0.8184644870614781	
181.9466	1.04	0.5915405424804983	1.1808368103545237	
181.9758	21.62	0.46979280893908065	-1.969999862659944	
182.0203	0.91	0.46979280893908065	1.9320335431994395	
133.0133	1.7	0.9573255308969889	0.10506764068954909	
230.9865	25.69	0.9314275292256464	-0.1729537439288717	
182.8788	0.78	0.46979280893908065	1.997255879024349	
134.0462	22.94	0.6591911238135731	-0.9649325892553486	C4H9NO4
231.0815	21.89	0.4406510085403454	2.298183241272266	
290.9878	22.02	0.8746280811029211	-0.34649514914253116	
183.1385	35.59	0.803868653656631	-0.5656990153762663	C11H20O2,C11H22O3
135.0302	22.15	0.36725902944672434	-2.635483660001308	
135.0442	24.64	0.2539866189770625	3.850005110579928	
135.0442	27.03	0.17842996371746522	5.498781657442857	
183.9337	0.78	0.46979280893908065	1.9976126890248345	
232.9865	21.23	0.9403103376078069	0.15432303012241325	
136.0477	26.9	0.10756636757024841	7.508901817653466	
184.8759	0.78	0.5337528933919866	1.4444151963517515	
233.8436	1.83	0.19567154075315482	5.066176419860823	
292.9832	36.27	0.1815309937877224	-5.285406173418934	
293.0042	22.41	0.800571585156978	-0.5866809472489241	
136.8908	0.78	0.4744326563428814	1.8885676214976905	
234.9139	1.7	0.6761308410383571	0.922800137448969	
185.0758	22.15	0.6565678000123948	0.9783695366485489	
185.1542	29.66	0.9226210837864293	-0.21649312390457187	C11H22O2,C11H24O3
185.9408	1.7	0.46979280893908065	1.991428637116102	
293.9866	36.27	0.3084188813083664	-3.219111926340664	
294.9533	20.55	0.96299751526907	0.09081638607839884	
294.9533	22.8	0.8014786864723116	-0.5755712211890261	
294.9824	25.69	0.9258244831502468	-0.1934318297358925	
138.0187	26.24	0.34784058648902744	2.8260241845974106	
295.9547	20.55	0.9676362827817669	0.078700844352944	
295.9547	22.94	0.8186587961042767	-0.5100302011813759	
235.9086	2.22	0.46979280893908065	1.9447557968591684	
296.2232	191.32	0.7862726431136172	-0.6453616221485815	C17H33NO4
296.8904	22.15	0.558359977662688	1.3062582103175433	
296.9508	20.29	0.861652287138678	0.38231165968121844	
296.9508	22.8	0.8773807219246677	-0.3392730150787467	
138.9837	333.84	0.7240299641370822	0.8075036621582153	
297.0366	188.56	0.5452156929843229	1.3854166505059826	
297.0366	193.03	0.8112113125001938	-0.5345933683873595	
297.0366	196.87	0.6059988996634647	1.140772874657826	
297.0366	201.22	0.6243694236312519	1.0842974108016965	
297.0366	218.6	0.929940859238849	-0.17722376005612023	
297.0366	219.92	0.9930826804059002	0.013282156382092637	
297.0366	284.08	0.8894899221938127	0.31355697275179406	
297.1531	36.66	0.5246323098918922	1.487642198268755	
139.0221	26.24	0.517788101908104	1.578210595729359	
236.9989	36.13	0.7121624618021387	-0.8359369649028635	
236.9989	150.34	0.5798539779598373	1.234274013878297	
236.9989	194.08	0.46979280893908065	1.9580240428141211	
236.9989	283.95	0.8746280811029211	-0.34507371459101904	
298.1565	36.66	0.5153758923391039	1.5927348897488263	C16H25NO2,C19H22O3
237.0919	36.4	0.22049491624795237	4.422410689969602	C16H16O3,C16H14O2
237.0919	39.81	0.47336344324872254	1.8929114085972707	C16H16O3,C16H14O2
