m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.09352596255359155	4.037102603235051	
114.0164	22.8	0.2926554514425494	1.9121035038908714	
170.9435	22.02	0.8996936455473485	0.25718449130614224	
114.9887	21.75	0.14015965257383883	3.1130873744402487	
264.9346	22.8	0.004791648014896334	13.946206237413895	
265.148	36.79	0.7537219638898938	0.5913549338954	
265.9508	22.02	0.3842626405838785	-1.5234430551800222	
266.1515	36.79	0.6850631645565776	0.728420336190956	
216.9644	2.88	0.48021783301104376	-1.2239572666509604	
268.9544	23.2	0.25638586210244235	2.1209982660073545	
268.9841	26.24	0.0970648257141304	-3.955879219374749	
269.249	199.1	0.02425607936955712	-7.733631075292479	
219.0082	156.81	0.7958412163396542	-0.4991667987044608	
269.9866	26.24	0.12704578837640376	-3.413423010661361	
174.9464	1.57	0.8325659965862803	-0.4311000273957989	
221.0526	22.15	0.8963253343650992	-0.28679599117455284	
221.1543	58.25	0.917793469817076	-0.2013959554736449	
223.0498	22.15	0.8963253343650992	-0.29482742643667287	
274.8909	25.56	0.2569972406520871	2.1150154587948666	
274.8909	27.42	0.11676165265093946	3.6411085707524244	
276.0177	24.51	0.16064455056743407	2.901791905750175	
178.9723	1.96	0.902629480295891	0.23628656270667844	
278.8979	2.48	0.917793469817076	-0.19942041911208178	
128.9585	22.67	0.0007535341697785577	28.44145890548888	
226.9658	23.07	0.04043858965924162	6.081392937140349	
281.2486	193.95	0.1711033407109422	2.7342082122082765	C18H34O2
282.2521	194.08	0.12005935940598483	3.5817812752502176	C18H34O2
282.2802	286.83	0.08765698426287183	-4.209920382341029	C18H37NO
181.0008	22.94	0.3490210278451232	1.6637170733144424	
130.0864	1.83	0.12302755101282785	3.475583612440945	
130.0864	23.72	0.03322563221248074	6.743425917743488	
181.0711	22.02	0.3412125897660871	1.6920178810056945	
283.1105	31.39	0.23232511905324515	2.2989186802463726	
283.1105	156.81	0.871934252299074	0.3540962327185279	
283.1375	36.4	0.28219968616977126	1.9696680748118602	
130.9565	22.94	0.0007195855519443709	30.188287484203354	
227.9665	22.94	0.0372539997578411	6.387551024059308	
283.2836	286.83	0.09153969782415987	-4.0757338966527	C18H37NO
181.9466	1.04	0.31270544890231783	1.8039388235810083	
228.9633	23.07	0.05281919096693179	5.29651622764783	
284.9248	19.9	0.5350002334793723	1.0814718318488652	
133.0133	1.7	0.35503990076425124	1.63730783841624	
183.1385	35.59	0.03841429273124513	6.2316370983505385	
231.0815	21.89	0.46889045494247555	1.2616190243863754	
184.8759	0.78	0.6593951841235225	-0.7914933788960391	
135.0302	22.15	0.05281919096693179	5.378665454489552	
232.9865	21.23	0.30493249679961915	-1.8563532298178707	
185.1542	29.66	0.917793469817076	0.1975531898554725	
136.0477	26.9	0.1373958287423723	3.1928893169318604	
136.8908	0.78	0.3842626405838785	1.5192330702736856	
234.9139	1.7	0.45783701203353633	-1.291776828300546	
293.9866	36.27	0.3442108138864923	-1.6809855987132636	
294.9533	20.55	0.1373958287423723	3.194066547949667	
294.9533	22.8	0.11139033565622343	3.726573256900025	
294.9824	25.69	0.9949198556313099	0.0067735905705347535	
139.0221	26.24	0.14628780610731867	3.035029959265885	
295.9547	20.55	0.10801643838527525	3.7729400401690487	
295.9547	22.94	0.09759461160014443	3.9375375293359047	
296.8904	22.15	0.666300020870433	-0.7784382794020893	
296.9508	20.29	0.1668333221475004	2.822899791517797	
296.9508	22.8	0.12005935940598483	3.585623780777274	
237.0919	36.4	0.30130654043747745	1.875156713322207	C16H14O2
237.0919	39.81	0.9192533124890622	-0.19152781453728232	C16H14O2
298.1565	36.66	0.2560671668802085	2.128556280996233	
238.0953	36.4	0.5000816166890024	1.1652405813750073	C16H14O2
238.0953	39.94	0.9939550123142424	-0.011595682557775412	C16H14O2
298.8874	22.15	0.7742676064831977	-0.5511020484359936	
238.9316	22.02	0.900856475427291	-0.24496591016850727	
299.0693	21.89	0.8171699991742839	0.46026581737755534	
