m/z	rtime	p-value	t-score	custom_id
113.9879	21.75	0.03657148757359167	4.561195062432933	
114.0164	22.8	0.3786369082243853	1.2282382619603895	
170.9435	22.02	0.7633926138089737	-0.4265085244510179	
114.9887	21.75	0.21735513519135602	2.029440628429532	
264.9346	22.8	0.0024517839720359647	10.974477878791866	
116.0707	1.96	0.0005359795107302921	18.067254106000433	
116.0707	23.86	0.0029249781256412465	10.34454735194091	
265.0873	27.69	0.23248976500009605	1.7867295697442378	C17H14O3,C17H16O4
265.148	36.79	0.5618624591759814	0.8093107407370175	
265.9508	22.02	0.21735513519135602	-2.103354583346392	
266.0896	22.8	1.993633105779817e-05	58.574489732899906	
266.1515	36.79	0.4982847719290875	0.9437207705773947	C15H22O4
172.022	23.72	0.2655405627153524	1.6060795723001389	
266.9325	22.8	0.005904769474768498	8.265622771467516	
215.8765	1.04	0.7767654556349547	-0.4034359398852372	
216.0309	23.99	0.04192425132716539	4.334871686637147	
267.0089	188.17	0.9685274839000313	-0.05563443124102902	
267.0089	193.68	0.38617163234141927	1.2080092744407525	
267.0089	219.52	0.5045957498642587	0.9273126317649044	
216.9282	1.57	0.49867668419770084	0.9423623849290731	
267.0736	21.89	0.05676511917294737	3.9176587806112853	
267.1438	36.79	0.2126738426726303	2.2326507777596887	
216.9644	2.88	0.6785259416737012	0.5792948526184464	
267.2334	1.96	0.022560288225979108	5.362613119233379	C17H32O2,C17H34O3
118.0499	23.72	0.026341301601605496	5.1036534535337035	
216.9888	266.55	0.21735513519135602	2.117939146201356	
216.9888	267.73	0.7142402532091678	-0.513871162079805	
216.9888	268.92	0.898016242116706	0.18078534963894574	
216.9888	275.78	0.8226942024272671	0.32388916457184347	
216.9888	277.62	0.7462460701955397	0.4569957815620219	
216.9888	280.38	0.6399517387585333	0.6526748387967524	
268.9544	23.2	0.4921082476177263	0.958478217007693	
268.9841	26.24	0.5827565626412419	-0.7641196462266268	
172.9405	21.89	0.4005284634114674	1.1709706683654226	
217.0125	219.65	0.08985547409455971	3.2657395738009742	
217.0125	299.85	0.23848369392079952	1.7520117347581359	
217.0125	302.76	0.21735513519135602	1.982415244741168	
217.0125	419.12	0.8186778497092356	-0.3302152136604912	
217.0125	431.89	0.5566425402427442	0.8196577715442823	
217.0125	634.11	0.16831831576297046	2.498537907194546	
173.0084	23.86	0.01843447264376343	5.753463927709027	C6H8O7
269.249	199.1	0.03609165111754475	-4.582765867462378	C17H34O2
269.9866	26.24	0.4745274676807261	-0.9975697712592986	
270.2525	1.83	0.21767349182139364	1.9156283441822886	C17H34O2
270.9319	2.35	0.23583856811871923	1.766718603091134	
119.0491	36.13	0.7917756733218615	-0.37497549120622564	
270.9816	261.43	0.27144612865322315	1.583637146392886	
271.0066	22.02	0.1671292414376769	2.5072890439789544	
173.1037	24.12	0.021296531133624456	5.470016222479261	
218.9864	25.04	0.8261696867129269	-0.3172491097221809	
174.0552	24.38	1.2830712440737433e-05	70.9036729422126	
219.0082	152.05	0.8194944159200244	-0.32862367682368177	
219.0082	156.81	0.8877836361765697	-0.2045028647375739	
219.0082	189.35	0.9178940997273293	0.14069599810706812	
219.0082	191.98	0.9186081333151688	0.1387126014806875	
219.0082	286.96	0.42360427328142486	-1.1184629713674021	
219.0143	23.33	0.02225873099451248	5.38784609521794	C7H8O8
273.0731	22.54	0.01608475964155311	5.987102725810991	
273.0731	23.33	0.027069892017433397	5.059844196978108	
219.0772	24.38	0.05353770045867596	3.991954713291555	
121.0265	21.23	0.35224250535391693	1.303015915715258	
121.0265	36.92	0.5782557790785785	0.7755213390748315	
221.0526	22.15	0.688002578893801	-0.560549294922823	
274.8909	25.56	0.007025757766632381	7.767833089724239	
274.8909	27.42	0.037042581590678844	4.538209128398475	
221.1543	58.25	0.21735513519135602	2.035156494350597	C14H24O3,C14H22O2
174.9464	1.57	0.1380433451985015	-2.7317065538599423	
274.9764	23.46	0.9952688375448888	-0.009811339321983555	
275.0114	24.77	0.21735513519135602	1.965460373370964	
275.0653	23.86	0.06543104295050024	3.72042196579235	
276.0177	24.51	0.27803718754840245	1.5563368047863646	
124.0063	21.89	0.07002491398971944	3.6257827568941297	
124.011	13.44	0.27889547065081216	1.5519095147617834	
