m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.7793281376990403	-0.54250675568488	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.7486071545651218	0.7513437530605419	
127.123	203.48	0.6269713813358321	1.1158606064669365	C7H14N2
204.0866	356.04	0.17305445603746128	2.9234175591536133	C8H13NO5,C9H17NS2
204.0978	332.17	0.09177318129716791	-3.993913869151893	C7H13N3O4
128.1264	203.22	0.5812446276453475	1.275489360768434	C7H14N2
204.1423	28.59	0.9578946035554279	-0.10086924038757743	C9H18N2O3
165.9302	207.69	0.4098413589536374	1.8029351573336154	
204.9673	207.29	0.5946053617233994	1.2227918964692648	
166.0697	27.54	0.7690657118256543	0.5757043470720674	
205.0682	197.55	0.5387079732916603	1.4126314598612615	
205.0682	215.86	0.2308385188975519	-2.544657140339757	
130.0651	166.56	0.5356275605476672	1.420238113567054	
205.1182	261.58	0.41897267375765146	1.7445183546890353	
166.9506	209.0	0.7650400868316917	0.5896075029095542	
131.0338	324.4	0.05536085458488444	4.6382447968571245	C5H6O4
205.9956	256.7	0.1854586346128137	2.8453465397212843	
131.0702	27.67	0.9004867410210468	0.23189490761727075	
167.0831	167.87	0.751544989219465	-0.7039438597859136	
206.04	205.45	0.7533584134780229	0.6453505160514581	
206.0716	197.55	0.48559233375842653	1.5527824445255123	
206.0716	215.86	0.2199440405929593	-2.645992427527569	
206.1004	166.03	0.751544989219465	0.6988537354931089	C11H12N2O2
206.1216	261.58	0.4111456469022709	1.782655024393464	
206.9695	1.44	0.6402612291770462	1.06914931052679	
132.0655	301.78	0.23100404905468375	2.5403721386870326	
168.1263	146.86	0.7486071545651218	-0.7425897645978952	
132.0808	27.93	0.28301455002866027	2.24499185365314	
207.0798	243.37	0.15416447453085166	-3.0641933303868973	C7H14N2O3S,C15H10O
169.0844	173.25	0.23607258281344085	2.4732500828001296	C4H12N4O
169.0858	27.8	0.6496117927513887	-1.0448871824966004	
133.1012	25.18	0.7020308424863496	0.8837359624889939	
208.0694	197.81	0.23607258281344085	2.4371661880291167	
208.0694	217.3	0.7980781106780016	-0.49260838299617904	
169.9857	220.85	0.2308385188975519	-2.5504202985563866	
170.0599	166.03	0.5484061137423523	1.363665984835168	
208.1009	301.26	0.9191852080521241	-0.19123262198973145	C7H14N2O5
134.0188	256.57	0.6256430318398185	1.1218121857096464	
134.0812	41.72	0.4098413589536374	1.8097881360554255	C5H11NO3
77.9273	209.53	0.6159446167911565	-1.169050657196716	
78.9562	206.64	0.43001593972371804	1.6968678345366028	
78.9562	213.07	0.8687552708279063	0.31055856825554595	
80.9935	209.26	0.9941326498409964	0.007620188762201174	
171.1379	25.7	0.6470482841690393	1.053500029196571	C11H14O
135.0845	33.45	0.9437309728982389	0.13356698053388055	C5H11NO3
81.9883	209.39	0.8302347804235551	-0.41708551498776386	
210.1416	28.07	0.4961552244263533	-1.5199426466499073	
136.94	209.26	0.8804530059685446	-0.28869288974915186	H3O4P,C2H3KO2
84.9117	211.76	0.7970278793963657	0.49947187408006977	
85.0289	325.05	0.13446419782772578	3.3211980120986193	
211.0769	217.17	0.795580207150126	-0.5037486635141022	C11H11FO3
137.0594	28.07	0.8483614354318039	0.3629176971848183	
137.0709	200.99	0.0025714697935213925	11.073649268172264	C7H8N2O
173.983	224.66	0.5589652139543382	1.3384537128541436	
