m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.47050221745035664	1.6559757480259043	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.7836571234081797	0.6314519630659831	
127.123	203.48	0.15920745783374007	4.270160692352173	C7H14N2
204.0866	356.04	0.8015922154459666	-0.5837272085404668	C8H13NO5,C9H17NS2
204.0978	332.17	0.14900717664027355	-4.526695310238228	C7H13N3O4
128.1264	203.22	0.19662240562346903	3.7512935741471343	C7H14N2
204.1423	28.59	0.6440592574278537	1.0706017594821653	C9H18N2O3
165.9302	207.69	0.6337859882227299	1.1050160328038123	
204.9673	207.29	0.16747805525146914	4.112289680730973	
166.0697	27.54	0.534510338304445	1.3911245707020081	
205.0682	197.55	0.5885223187779091	1.2219180756213177	
205.0682	215.86	0.9195908154656608	0.2684042837614392	
130.0651	166.56	0.866559782644337	-0.39413561883730774	
205.1182	261.58	0.9536770166111002	0.17771785565299938	
166.9506	209.0	0.6076383675601107	1.1677933077321203	
131.0338	324.4	0.21033342682613154	3.5630539537960155	C5H6O4
205.9956	256.7	0.9635651225697044	0.13780718785556734	
131.0702	27.67	0.4958291958407438	-1.5376494875287416	
167.0831	167.87	0.46968140097244926	-1.660735961746522	
206.04	205.45	0.14266761895339192	5.045877532021283	
206.0716	197.55	0.580286731227437	1.2419511821833114	
206.0716	215.86	0.9628126744320431	0.14396262750772526	
206.1004	166.03	0.9392397835585244	-0.20583823380050312	C11H12N2O2
206.1216	261.58	0.942270320482489	0.1957968996002729	
206.9695	1.44	0.41315805029832325	1.9821891403403449	
132.0655	301.78	0.14161855962610248	6.410227369998544	
168.1263	146.86	0.8466473175228386	0.4323082309543653	
132.0808	27.93	0.28836890386075936	2.7640701478109166	
207.0798	243.37	0.14161855962610248	-5.135704792198098	C7H14N2O3S,C15H10O
169.0844	173.25	0.4260383203310469	1.878700684795945	C4H12N4O
169.0858	27.8	0.21156462404933	-3.471397878527454	
133.1012	25.18	0.8333797662682981	-0.4752768578253502	
208.0694	197.81	0.4173550383785311	1.9424369824209033	
208.0694	217.3	0.509433874624947	1.5084077279840171	
169.9857	220.85	0.27534707669556097	-2.8681846633196577	
170.0599	166.03	0.9912183536542373	-0.022882749964822213	
208.1009	301.26	0.40847894194049006	-2.0547220605175354	C7H14N2O5
134.0188	256.57	0.8687041914311572	-0.38684847893865215	
134.0812	41.72	0.3276900620997175	2.3723743822028087	C5H11NO3
77.9273	209.53	0.6337859882227299	-1.102484262829467	
78.9562	206.64	0.44189854836614123	1.8171465369212432	
78.9562	213.07	0.5532043177749509	1.3260994102584263	
80.9935	209.26	0.794947349448089	0.6043097334443999	
171.1379	25.7	0.7458778406303289	0.7520723744809331	C11H14O
135.0845	33.45	0.34175653191752625	2.3094269535282517	C5H11NO3
81.9883	209.39	0.8234327649208598	0.5028283172645241	
210.1416	28.07	0.15651965953465324	-4.3355482936972045	
136.94	209.26	0.9628126744320431	-0.1427295558191819	H3O4P,C2H3KO2
84.9117	211.76	0.5748754290398178	1.2531500929166792	
85.0289	325.05	0.4117883101708285	1.9996733426615547	
211.0769	217.17	0.4679186797057517	1.6838066015635318	C11H11FO3
137.0594	28.07	0.5111097232951965	1.4791000870713809	
137.0709	200.99	0.14161855962610248	8.246265667797497	C7H8N2O
173.983	224.66	0.4958291958407438	1.5385826607114506	
174.0386	145.81	0.27906113493595275	-2.8488325198210385	C5H9NO2S,C5H9NO2S
137.9433	209.39	0.8909773831526511	-0.3382128365735056	H3O4P,C2H3KO2
138.0549	355.65	0.9138322960627736	-0.28042422397270655	C5H4O2
138.0742	201.12	0.14161855962610248	10.300875794093502	C7H8N2O
87.0445	282.94	0.26780561540578407	2.9013846634897527	
138.9194	207.42	0.5428930088352618	1.3742295329722474	CK2O3
138.9194	212.28	0.8366088530182229	0.46206291130899413	
138.9381	209.39	0.880007816143992	-0.36159908393637713	
138.9441	209.53	0.8039395552462201	-0.5623702268194561	
139.0753	200.86	0.14161855962610248	5.270052276274931	
139.0977	202.43	0.1539791131294907	4.418188239090628	C6H10N4
175.1077	246.43	0.45839848306036673	-1.724726809216542	C7H14N2O3
139.9146	207.56	0.3319429276464293	2.3533273869838385	
139.9146	212.41	0.5313020291545374	1.4102590837297817	
139.9415	209.26	0.9912183536542373	-0.024778502553603848	
140.0106	265.26	0.548488021960128	-1.3543521909268939	H3O4P,C2H3KO2
176.0294	187.7	0.8604205532155889	0.40755838247458104	
176.111	246.3	0.42241550503551173	-1.9173117782817093	C7H14N2O3
91.0587	254.97	0.21110028229824654	-3.496596267324429	C3H7NO2
140.9362	209.13	0.9751274897549952	-0.09834961645628743	
140.9424	209.0	0.9557856549606899	0.16646531423879193	
214.0524	1.44	0.9282258071874898	0.23920031907158582	
94.0655	168.92	0.7268441449579052	0.825544681940504	C6H7N
96.9281	207.56	0.4665151999541386	1.7034353953260468	
96.9281	211.36	0.21033342682613154	3.5716020650151634	
97.0288	370.51	0.8234327649208598	-0.5027686311504421	C5H4O2
97.0288	420.28	0.8407932973249715	-0.448755315730719	C5H4O2
177.9667	209.13	0.6581580173614094	-1.0166968138879595	
178.024	213.6	0.38738261816381037	-2.107730798018812	
97.0652	27.8	0.4954206086583512	-1.5504495556897009	C6H8O
215.0649	145.29	0.2158781637313671	-3.395280921638415	
178.0903	298.37	0.14161855962610248	-5.08260746341959	C6H12N2O4
144.0477	201.65	0.30935127170274335	2.510536161188606	
144.0655	356.3	0.8689508169861493	-0.38537704384084126	C6H9NO3
215.139	242.19	0.187553045423039	-3.856553116314934	C10H18N2O3
144.1019	213.33	0.8920545651409023	0.32688849562222483	C6H6O
98.9846	265.26	0.6495782948304782	-1.0528534011067854	H3O4P,C2H3KO2
144.9275	206.64	0.3276900620997175	2.3725146008958347	CNa2O3
144.9275	213.46	0.4115913381219183	2.0282516576115945	
216.0631	299.55	0.2543660533212767	3.054825368720346	C5H14NO6P
216.8367	207.03	0.26780561540578407	2.905870572406185	
216.8367	212.94	0.716843444290697	0.8677193321212677	
179.0703	28.07	0.6053006200436427	1.1789130634255527	C10H10O3
217.0616	276.23	0.14161855962610248	-8.274026859264573	
217.0664	299.55	0.30935127170274335	2.5246661096457186	C5H14NO6P
217.0818	325.45	0.42149702584538823	-1.9263483717771006	
217.0818	359.32	0.6456871812172124	-1.062480177947504	
145.0839	168.0	0.534510338304445	-1.3955388503490143	
179.881	213.73	0.23894094818149594	3.192883805047712	
217.1182	289.41	0.6893642284999261	-0.9397281537036338	C9H16N2O4
180.0879	349.41	0.487312717078604	-1.6029589326091649	C7H9N5O
146.0923	261.06	0.5098942859777813	-1.4963398340369642	C7H6N2O
146.1175	27.67	0.6650176488895392	0.9962077859487617	
146.1175	330.99	0.4117883101708285	1.9976108656483076	C7H15NO2
218.1134	307.95	0.2027973013122628	-3.69243580198095	C6H12N2O4
218.1134	318.46	0.9392397835585244	-0.21501063357364925	C8H15N3O4
180.879	214.12	0.3447487018063351	2.2916334565457883	
218.9431	209.53	0.5885223187779091	1.223135812580562	
147.0473	27.54	0.5144417566768995	1.4575228610083686	C6H10O2S,C6H10O2S
181.0946	216.78	0.9902915074408923	-0.05412601805805409	
147.1014	26.88	0.14161855962610248	-5.49619662911123	C7H14O3
219.0716	246.04	0.4100025098644917	-2.0453695338480204	
181.105	26.62	0.4163541010776076	1.9528358245419732	
219.0975	361.56	0.567035643510425	-1.2770285489103594	C8H14N2O5
219.1127	27.8	0.4327511108756014	1.8500317103175734	C12H14N2O2
147.1208	27.67	0.6520104004704288	1.0408052110128956	
219.1168	307.82	0.2537543612863828	-3.0701029753104323	C6H12N2O4
219.1168	318.59	0.923786640396669	-0.25180104103220646	C8H15N3O4
219.1338	232.44	0.7479388382999073	-0.7436507427931582	C9H18N2O4
219.1338	271.47	0.7176820858353502	-0.8491406982817095	C9H18N2O4
