m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.15931874310238228	-2.090219127125845	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.9974108278010786	-0.0033824879215063708	
127.123	203.48	0.5495030575181991	0.8271422507759855	C7H14N2
204.0866	356.04	0.31286129573530025	1.4319815173808692	C8H13NO5,C9H17NS2
204.0978	332.17	0.011842579333353084	-7.309456203376231	C7H13N3O4
128.1264	203.22	0.5278991355229224	0.8838212992204458	C7H14N2
204.1423	28.59	0.05191819626442676	-3.354616842889297	C9H18N2O3
165.9302	207.69	0.252957665577813	1.6327016149644376	
204.9673	207.29	0.10167502114841659	2.5511013127494433	
166.0697	27.54	0.059129164368743166	-3.184700465192466	
205.0682	197.55	0.8619879092976478	-0.24774131378739958	
205.0682	215.86	0.013482052253626716	-6.091417624651796	
130.0651	166.56	0.7860638337571092	-0.3810116598286618	
205.1182	261.58	0.14515036528062344	-2.18701480466887	
166.9506	209.0	0.2721753714246724	-1.5545364777871822	
131.0338	324.4	0.17889698643449128	1.9721608384663025	C5H6O4
205.9956	256.7	0.1752151655200797	-1.9921494552255725	
131.0702	27.67	0.9234735503567697	0.1338882893977467	
167.0831	167.87	0.08242105887675083	-2.759385234101954	
206.04	205.45	0.20575697595489378	-1.8362427014652456	
206.0716	197.55	0.8146116590595749	-0.3285931190777119	
206.0716	215.86	0.1322801625314563	-2.2807475435233524	
206.1004	166.03	0.8102129319675309	-0.3394806452017021	C11H12N2O2
206.1216	261.58	0.13830086383156331	-2.2372981511409704	
206.9695	1.44	0.09380514461346273	2.6331443741324336	
132.0655	301.78	0.4971075345901057	0.948507204869957	
168.1263	146.86	0.5018400806017069	-0.9369231367394967	
132.0808	27.93	0.08983492251406049	-2.671615120523662	
207.0798	243.37	0.011842579333353084	-6.4372845081743435	C7H14N2O3S,C15H10O
169.0844	173.25	0.10651528587276667	2.504309226639379	C4H12N4O
169.0858	27.8	0.4542090802486267	-1.042133911189001	
133.1012	25.18	0.644274614724415	-0.6435860309820759	
208.0694	197.81	0.38214910102306265	1.2255045125675694	
208.0694	217.3	0.948612515400277	0.0901815577292078	
169.9857	220.85	0.251034074519768	-1.6407157278243556	
170.0599	166.03	0.7650290627866134	-0.4165538815074575	
208.1009	301.26	0.02504158025493822	-4.461285720308408	C7H14N2O5
134.0188	256.57	0.2532923671397331	-1.6275808955192383	
134.0812	41.72	0.252957665577813	-1.6318486313176408	C5H11NO3
77.9273	209.53	0.27670877169981223	-1.5392435507593827	
78.9562	206.64	0.20195653949038517	1.854321383425073	
78.9562	213.07	0.12580832226251518	2.3232701305741696	
80.9935	209.26	0.7893938950554629	0.37360426519472506	
171.1379	25.7	0.10613141290669117	2.5115495535419514	C11H14O
135.0845	33.45	0.04253003029268786	-3.648700665631474	C5H11NO3
81.9883	209.39	0.820401772974342	0.3190527468384353	
