m/z	rtime	p-value	t-score	custom_id
69.0704	187.3	0.2598774875051751	-1.8160014465503584	
135.0844	33.32	0.5083328750003006	-0.9925286499040678	
218.9431	209.53	0.16299462601234405	2.4693725544790546	
181.105	26.62	0.27812118644363787	-1.7275307475195196	
219.0716	246.3	0.0638747289415406	-3.95638038561605	
219.0975	361.29	0.011251545953498705	-8.662042056181848	
136.9107	208.74	0.09311980292033775	-3.3091703877212053	
136.94	209.39	0.4120175022802612	-1.250532491110621	
136.9693	209.66	0.8616225075180407	0.2791503101876787	
219.1127	27.8	0.7265665239916433	-0.531909877029129	C9H8O3
219.1168	307.95	0.004116559983521705	-14.057114340559185	C2H8N2O2S
219.1168	318.33	0.047296049716140716	-4.611312263893772	C2H8N2O2S
219.1338	232.57	0.060729539599884266	-4.072867623441899	
219.1338	271.47	0.003505782692494882	-15.166620812218836	
137.0594	28.07	0.25428356809163527	-1.84608703547757	
219.1743	24.65	0.27022853042861683	1.7623869198356619	
137.0709	200.99	0.8957548860144776	0.2210545104129632	
137.0727	211.36	0.28188592870890783	1.7120093089585624	
137.9433	209.39	0.4226071280943261	-1.2099046476373292	
138.0549	356.04	0.019322984656335574	6.871296986250141	
138.0742	200.99	0.9338009288025619	0.15395328210035253	
138.9194	207.42	0.19114757680779249	2.2500733289947523	
138.9194	212.15	0.0581723521542547	4.204116210642283	
138.9381	209.39	0.2878384614175662	-1.6861784509917628	
138.9441	209.39	0.36652663103052296	-1.3772139838760533	
139.0753	201.25	0.5262690491051393	0.9510390961990864	
139.0977	202.7	0.6100561489509407	-0.767423397434669	
220.0927	333.88	0.025726099410295678	-6.093421022567871	
139.9146	207.42	0.6355984777533102	0.7195125388606404	
139.9146	212.41	0.09905188833653286	3.229057789413456	
139.9415	209.26	0.5189801856833328	-0.9676616293724306	C9H11NO2
220.1178	185.07	0.4417138320740525	1.1633375711532272	
140.0106	265.26	0.19029324983133997	-2.255899258674763	
140.9362	209.13	0.4330253271502787	-1.1847157764471226	
140.9424	209.39	0.9150151907730977	-0.18519117395891732	
220.9014	209.39	0.2850761209109199	-1.695730210659224	
220.9412	209.79	0.1332668533046903	2.771072236329672	
221.0178	318.59	0.06004796878634099	4.106914831225262	
221.0768	376.29	0.16184850728288622	-2.492009059076332	C4H5N3O
221.0956	252.61	0.21738527587589992	-2.056460861745807	
221.1131	280.3	0.0011760918692291778	-26.711762263751606	
77.9273	209.53	0.9597601588455399	0.10005911914027621	
78.9562	206.9	0.004536311383866213	13.385563676178165	
78.9562	212.94	0.02095116869194681	6.682996222845036	
221.8996	146.6	0.6152083544464652	-0.7566322481067331	
221.8996	156.84	0.7542142542615053	-0.48224590113824967	C6H13NO2
221.9047	209.53	0.21952593993222577	-2.0414116198581826	
184.9797	242.58	0.16299462601234405	2.4754243733390116	
80.9935	209.39	0.28390212365936196	1.7005813294277152	
81.9883	209.39	0.34258045286030786	1.4591575175612936	
82.9916	208.47	0.7680955098793317	-0.45752268745164726	
222.8995	209.39	0.34222767704217283	-1.461228048644963	
144.0477	201.65	0.9330095870002713	-0.15635435360305497	
144.0655	356.3	0.06136512390566512	4.0431999992827405	
223.0635	24.52	0.8771357848746206	-0.251521287718705	
84.9117	211.76	0.9660180114526795	-0.08401340775078167	
85.0289	324.92	0.019322984656335574	6.887729561704138	
144.9275	206.64	0.003505782692494882	15.181401592960343	
144.9275	213.33	0.008666902676381361	10.189527030464058	
186.0761	356.3	0.05145053942268273	4.441196617069675	
186.0872	318.59	0.04756748628772718	-4.581146434902199	
87.0445	282.94	0.21944961756593379	2.0446296759477365	
87.0548	324.53	0.38325384001150786	1.3301759687043	
187.0713	318.46	0.03635166211111845	-5.204502040520747	
187.0713	325.84	0.007486457744018531	-11.022219073750644	
187.0713	355.22	0.04129545153053995	-4.875050359403453	
187.094	28.2	0.18662814859510518	-2.2788710433954105	
224.1109	177.59	0.13094089068018	-2.797703807957043	
146.0923	261.19	0.16663669871772852	-2.440973530093386	
146.1175	27.67	0.4011601790116371	-1.2822967258543276	
146.1175	330.99	0.008666902676381361	10.143759481288397	
187.144	27.67	0.38644339208499767	-1.3208541236426425	
224.1572	26.88	0.10007080758827501	-3.20659862820109	
224.1854	26.62	0.3322286565037006	1.5013656064597172	
89.0965	26.23	0.2913759549365956	-1.6687627914651357	
147.0473	27.54	0.4492081576947562	-1.1423558193285632	
225.0466	216.52	0.0034958942840198565	15.506332357840703	
188.0919	271.2	0.16299462601234405	2.472922734355541	C4H8O2,C4H8O2
147.1014	26.88	0.16450172958522638	-2.4588239335100615	H3O4P,C2H3KO2
147.1208	27.67	0.7933899572617444	0.41583652639792457	
