m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.17986374954890536	-2.084435325248598	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.9781092381818534	-0.046419530311510145	
165.0909	27.67	0.9390371171606409	0.12196542367292024	
127.123	203.48	0.5761489203940272	0.7987444781021441	C7H14N2
204.0866	356.04	0.3397861150266614	1.3683985085422643	C8H13NO5,C9H17NS2
204.0978	318.46	0.03281004889451436	-4.389225871241738	C7H13N3O4
204.0978	332.17	0.01602461159166792	-7.195636421492263	C7H13N3O4
204.1174	217.3	0.1533403839665442	2.2495270911189915	
128.1264	203.22	0.5496030390484148	0.8590985348149729	C7H14N2
204.1423	28.59	0.06079433998020386	-3.4139205043947145	C9H18N2O3
128.9326	1.18	0.3206553937543522	-1.4317191403905425	
165.9302	207.69	0.28832206666893867	1.5430313618966616	
204.9673	207.29	0.1322293355435037	2.4140452125962346	
74.0594	29.12	0.6968572530924126	0.562708892555993	
166.0697	27.54	0.07032945455689935	-3.1993660815159917	
205.0682	197.55	0.8650082639833795	-0.25472469776294776	
205.0682	215.86	0.018805942242932583	-6.1178366571402645	
205.0818	355.22	0.06079433998020386	-3.4125860642159003	C7H12N2O5,C7H12N2O5
205.0818	372.75	0.1322293355435037	-2.4127939735466604	C7H12N2O5,C7H12N2O5
205.0899	356.04	0.2905294586451901	1.5343281237686728	C8H13NO5,C9H17NS2
205.0971	166.16	0.869211979132719	-0.24638526613685277	C11H12N2O2
130.0651	166.56	0.7969079811394746	-0.38628590076706104	
205.1182	261.58	0.15560830227161954	-2.236647882326687	C8H16N2O4
205.2296	212.02	0.22919864454805636	1.8064527749348822	
205.2296	213.99	0.2850274404252572	1.556453302894122	
74.0731	265.39	0.9589545015416091	0.08217276014521907	
205.9437	207.16	0.22573012413377974	1.8499572221589178	
205.9437	213.6	0.32795466646725885	1.4036458790539987	
205.9437	216.39	0.10797009891664928	2.6386808846655003	
166.9506	209.0	0.2866624440946272	-1.5516449175665963	
131.0338	324.4	0.20239073662085494	1.9668719749399242	C5H6O4
205.9956	256.7	0.20221377918248232	-1.9687608262341691	
