m/z	rtime	p-value	t-score	custom_id
165.0772	27.54	0.3554607843409774	-1.6444389166620117	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.5070678943740032	-1.1341804276906766	
127.123	203.48	0.33893142699496087	-1.707654709094482	C7H14N2
204.0866	356.04	0.21922429567428733	-2.3030093415648136	C8H13NO5,C9H17NS2
204.0978	332.17	0.00529476086746087	-10.284945916920748	C7H13N3O4
128.1264	203.22	0.3857691741491945	-1.4802887042697424	C7H14N2
204.1423	28.59	0.045867668374276305	-4.609150621662888	C9H18N2O3
165.9302	207.69	0.3528741336543824	-1.6538460191350899	
204.9673	207.29	0.7987254799881384	0.44863803318158185	
166.0697	27.54	0.2978986949920047	-1.8783779907370632	
205.0682	197.55	0.6344141529538811	0.8229758737290014	
205.0682	215.86	0.7857355530262515	0.4808403356635996	
130.0651	166.56	0.3605649083360702	1.615664072569087	
205.1182	261.58	0.003147678931699687	-13.088747668885752	
166.9506	209.0	0.085698080849078	-3.6091841227422603	
131.0338	324.4	0.2473181774527242	2.155555678280034	C5H6O4
205.9956	256.7	0.4059087111726351	1.4177332225374009	
131.0702	27.67	0.03253896036097922	5.252789581529498	
167.0831	167.87	0.16713075443434702	-2.674862753587326	
206.04	205.45	0.12205489117135593	-3.106755550386067	
206.0716	197.55	0.6782098723056409	0.7220398000641859	
206.0716	215.86	0.8569431320130452	0.31538361824043293	
206.1004	166.03	0.45122913279257265	-1.279178664620861	C11H12N2O2
206.1216	261.58	0.019929032956326052	-6.263237942083448	
206.9695	1.44	0.5129831776690931	1.1153635593345572	
132.0655	301.78	0.03862829555809364	4.908161649623453	
168.1263	146.86	0.6585374951230409	0.7650169675292521	
132.0808	27.93	0.3772717063039738	1.5459916261726285	
207.0798	243.37	0.0023973706177727225	-15.385192404025485	C7H14N2O3S,C15H10O
169.0844	173.25	0.9129364513503536	0.17914747327137576	C4H12N4O
169.0858	27.8	0.07893721170537413	3.7308725040392923	
133.1012	25.18	0.6101052588373688	0.8846511183776674	
208.0694	197.81	0.06041419348519184	4.1396904155482	
208.0694	217.3	0.3562819208965702	1.6408848981262432	
169.9857	220.85	0.16713075443434702	2.6804784266814474	
170.0599	166.03	0.38341196711088305	-1.5039614575681814	
208.1009	301.26	0.0007005716579720378	-27.976031069789702	C7H14N2O5
134.0188	256.57	0.18564852025889292	2.5372140779272505	
134.0812	41.72	0.4112664045183261	-1.3889404372355314	C5H11NO3
77.9273	209.53	0.0677090417728184	3.9520323982905294	
