m/z	rtime	p-value	t-score	custom_id
127.0214	220.59	0.0043748711885136776	7.2615573573332775	
127.0253	220.32	0.005331788442618684	6.816713910103609	C2H7NO3S
70.0646	364.05	0.8893867403924676	0.16572810139272545	
70.0646	365.79	0.40265307193255084	1.0057558625901266	
127.0584	356.17	9.05788155732947e-05	26.402311583385625	C6H7NO2
165.0734	27.28	0.15470296424148536	1.999196853338284	
165.0755	315.04	0.24714070387178277	1.4555945861940394	
165.0772	27.54	0.002896211346839788	8.252207571766492	C6H13NO2S,C6H13NO2S
204.0243	242.45	0.08700897576717073	2.60670487909523	
72.0562	259.45	0.00015732894515190987	21.505977587078778	
165.0909	27.67	0.15614136662367809	-1.9420258803362953	
204.0688	200.46	0.044839167605215065	3.3602649303618923	C8H13NO3S
204.0763	364.84	0.08311365819553208	-2.6583229225827587	
127.123	203.48	0.9697625652373901	0.04399485506202304	C7H14N2
204.0866	356.04	0.0005463368370903118	14.115190243415507	C8H13NO5,C9H17NS2
128.0178	220.46	0.005238965602698278	6.8611904046241206	
128.0262	220.32	0.15568494798498347	1.9486102746894758	
128.0455	175.22	0.0002542729684093654	18.25532825778011	
204.0978	318.46	0.0733829940140749	2.7940539335942827	C7H13N3O4
204.0978	332.17	0.08446526871203067	2.641341089431542	C7H13N3O4
204.1058	307.69	0.005673460817672959	6.682751118968477	C8H14N2O4
128.1264	203.22	0.23977616043869876	1.4855607381258884	C7H14N2
204.1423	28.59	0.15470296424148536	-2.018354407191185	C9H18N2O3
165.9302	207.69	0.709619857038634	-0.4357347001369544	
204.9673	207.29	0.0060524535609646326	-6.552607984824236	
166.0263	319.38	0.022851055286869315	4.250076336323305	C3H5ClO3,C2H5O4P
166.0493	33.58	0.0028240923622575467	8.316282850014792	
74.0594	29.12	0.8787079049246094	-0.18236617439961594	
130.0585	380.49	0.04443387526765614	3.3723007798617184	
130.0585	382.07	6.032267288084103e-05	30.708569577466747	
130.0585	384.3	0.0008657164941200896	12.157675680803507	
166.0697	27.54	0.006125207879741709	6.5233182142996755	
205.0559	294.13	0.00036698589707439514	-16.126464639312108	
205.0641	147.12	0.0008480918442545359	12.231359267890076	
205.0682	197.55	0.38882509023079426	-1.0381469707151676	
205.0682	215.86	0.07213911748063123	-2.8133947900782577	
205.0723	200.46	0.0002138856411689728	19.34309898251913	C8H13NO3S
166.0731	169.84	0.15610043694202336	1.9429215869894725	C6H7N5O
205.0818	355.22	2.1065925479629353e-05	45.333921963267265	C7H12N2O5,C7H12N2O5
205.0818	372.75	1.1452786057968192e-05	56.729151803823264	C7H12N2O5,C7H12N2O5
205.0899	356.04	0.0016993917917325554	9.769482126948066	C8H13NO5,C9H17NS2
130.0641	271.99	0.15473555367118308	1.9600746312034292	
205.0971	166.16	0.8309489122537697	-0.25384504874533487	C11H12N2O2
205.1012	318.46	0.27533535333404907	1.3534368524640406	C7H13N3O4
205.1012	326.76	0.0006878816555777682	-13.079127911293758	C7H13N3O4
205.1012	331.78	0.11247935193515934	2.3538388615970836	C7H13N3O4
205.108	307.69	0.7175259807676392	0.42363551147969675	
205.1182	261.58	0.001268709414734407	-10.73282519130251	C8H16N2O4
130.0689	272.25	2.3705174558230908e-05	43.31547944017849	C6H11NS,C6H11NS
205.1317	410.4	5.174381396572433e-05	32.62826110348028	
205.1317	411.84	1.1896236293066165e-06	142.41374597169428	
166.9506	209.0	0.0037783910189356992	7.603700748008162	
131.0338	324.4	0.0018415664471552915	9.522678785444974	C5H6O4
205.9956	256.7	0.019111584283013777	-4.508251227757163	
131.0664	272.39	0.15470296424148536	1.9896974804135816	
131.0702	27.67	0.0043210247493649726	-7.291054520728266	
131.0702	272.39	2.4866078583882354e-06	101.5799481710529	
131.0727	271.99	0.0005695843609890335	13.906409403595335	C6H11NS,C6H11NS
167.0756	98.38	0.004869546412320985	7.022930420431872	
167.0756	101.79	0.0018438823924769	9.518121214799086	C6H7N5O
131.0815	254.71	0.006188914111692046	6.500248286316868	C3H7NO2
167.0831	167.87	0.1330336537236884	2.1913928179779143	
206.04	205.45	0.00025761921538564313	18.159004914988493	
206.04	222.16	0.9857634076198162	0.020987633081116168	
206.0716	197.55	0.2607489896934819	-1.4040517565941486	
206.0716	215.86	0.08731118011329243	-2.6030568333327704	
206.0788	349.28	0.02721462769459071	3.997209922845214	C9H13NO3
206.0788	355.09	0.006736323228912826	6.328597753726035	C9H13NO3
206.0788	372.48	0.011985297996378538	5.24860248659644	
206.085	349.15	0.00022984722702137792	18.88017314313095	C7H12N2O5,C7H12N2O5
206.085	355.22	8.345651707569558e-06	64.36848604333835	C7H12N2O5,C7H12N2O5
206.085	372.75	2.2139822316642084e-06	105.86962705617802	C7H12N2O5,C7H12N2O5
206.0946	166.29	0.00023327574527005172	18.794416074247007	
