m/z	rtime	p-value	t-score	custom_id
159.9914	206.68	0.4412077563318496	-1.6432986806603476	
122.0213	219.81	0.9612445545131676	-0.10598297209755134	
122.0213	226.24	0.29660470628219276	2.535935056230963	
191.0556	377.3	0.4467383296060431	1.623799297673932	
160.0607	170.45	0.6568169830880682	0.9188403038407509	
160.0607	193.78	0.6483580401656479	0.9504370728303786	
160.0799	293.59	0.22592564618155161	-3.273728211062908	
73.0195	214.95	0.8419916661931597	-0.3811822305199576	
160.9921	207.2	0.5899971229458514	-1.1217860156315764	
161.0449	242.72	0.5870893775650643	1.137312667757181	C6H10O5
161.0449	245.47	0.427986985016714	1.7238162165895463	C6H10O5
124.0063	218.23	0.09658281343417688	-5.538954097250377	
161.8749	39.71	0.7794948431041883	0.5392909635499953	
162.0592	315.0	0.07518118424484509	-7.3166979428062175	C7H5NO3
126.904	29.86	0.3223463915493638	-2.2717609206157294	
80.9641	180.98	0.3359361610346682	-2.1657462803115317	
193.0647	275.21	0.07518118424484509	-13.953053991596358	
82.9531	34.59	0.6381110948344189	0.998302701142887	
127.0754	194.83	0.18674592581690613	3.7818574557437468	
127.8692	1.7	0.3812561635445558	1.9212712423946017	
163.8959	141.31	0.6042231305132755	1.0823499783133854	
163.8959	152.92	0.6945800806561602	0.7682068548826315	H2MoO4
164.8384	141.96	0.9688987047385899	0.08812847006657187	
164.8384	152.4	0.7888912688841202	0.5018804020580683	
84.0444	194.57	0.6929827627255376	0.7756242947013644	
128.9585	206.68	0.6725998624065936	-0.8429367037991725	C3H2N2S2
128.9981	141.7	0.5181298670853738	1.3544543758421976	
84.9501	34.59	0.6593549900461735	0.9081064280672718	
129.0377	324.84	0.9035333131358521	0.20984798297603505	C6H10OS
194.9362	367.45	0.43783642846080145	-1.6564473735485299	
87.0441	194.57	0.3127502021115384	2.3388925522713175	
129.1023	244.69	0.31208788914686486	-2.3504800853400307	
129.1023	260.47	0.816665378784504	-0.43184039013907705	
129.9934	141.7	0.6781739066041705	-0.8197462079516078	
194.9881	222.43	0.7116521002226704	0.6930461323289444	
130.05	299.9	0.3030615734465955	2.4422285033649422	
165.891	139.96	0.871125247563361	0.2910543051969956	
165.891	154.63	0.5901156016828939	1.1166523395612045	
89.012	112.03	0.5884087418207207	-1.1287436783675457	
130.9952	141.96	0.5232082709533125	1.3194271112381915	
166.0502	47.59	0.6658019771474237	0.8851911539108254	C8H9NO3
131.0533	184.13	0.41916594585573325	-1.7777818358676376	
131.0605	194.7	0.6498602698936937	0.939910620952359	
166.8351	141.96	0.41934644100752244	1.7749510375943858	
166.8351	152.4	0.452754326565123	1.5770351166683123	
167.0317	247.44	0.9794548412456417	0.05564415800870887	
132.0373	194.57	0.3282478265414128	2.2346073732549767	
196.0612	380.45	0.6945800806561602	0.7704700293371568	C9H11NO4
196.8107	152.26	0.8933952367049137	-0.23170636490105584	
196.8764	152.79	0.9868456922224859	0.03785584176166824	
196.8848	367.45	0.37250856000037225	1.9743625713647326	
196.8864	141.7	0.6435580245101339	-0.9777971196206788	
196.8864	152.4	0.6381110948344189	-0.9982851169130298	
132.9453	151.74	0.6992056880230361	0.7510315608856473	
132.9453	207.07	0.6386916119300806	-0.9891257409327063	
167.8333	142.23	0.5788390431496119	1.1586028455260482	
167.8333	152.13	0.4319008139702304	1.6905583640622985	
167.8882	154.37	0.5154359203498349	1.380158483084169	
197.1541	28.02	0.7008878691937909	0.7406539187471259	
197.7569	152.13	0.8648503426529537	-0.32081050502522973	
168.8313	152.13	0.29695944188843804	2.506614345743804	
169.0064	142.88	0.7989795299692827	0.47297631769311616	C8H7ClO2
169.0064	151.48	0.6716254640239517	0.8590063342248845	
134.9425	206.94	0.5232082709533125	-1.3279331650849509	
198.0742	211.93	0.2834231223957912	-2.6619406940033272	C7H15NO4
198.0742	219.81	0.2720350224117124	-2.813649308868414	
96.921	142.09	0.5006585222114477	1.419981352535995	
96.921	152.4	0.29207650140650104	2.576774098890551	
198.8079	151.87	0.9711566071850455	0.0811988439627193	
198.8735	152.92	0.3235153138174503	-2.258027005384281	
170.0063	195.48	0.3705702437133543	1.9901238679696733	
135.9015	141.18	0.9681639355417354	0.09236960122441434	
135.9015	153.18	0.9489317566005482	-0.13103875938281248	
170.0426	254.8	0.49588822218141343	-1.4335883658209359	
170.8284	141.96	0.6827940875979382	0.8122509046512237	
170.8284	152.26	0.5363719515240192	1.2676989774125662	
199.0219	241.27	0.6708901036640805	0.8653307411279555	
97.9762	206.94	0.871125247563361	-0.2927636225947616	
199.072	214.56	0.29728706957323225	-2.4961580940636257	C6H9NO4
171.0114	34.32	0.6716254640239517	0.8598560846616953	
98.948	23.03	0.9754348634332687	0.06894893501513062	
171.9647	194.7	0.308740615407092	2.380903641706468	
172.0145	34.19	0.7482236670706641	0.6127710777252506	
138.8592	149.74	0.5184766154107884	-1.3474389306336414	
101.0709	277.18	0.5339932456686877	-1.2806909092493497	
101.0709	301.08	0.07518118424484509	-7.627068492627395	
172.0354	270.35	0.07518118424484509	-13.164166514688409	C6H6N2O4
201.0876	307.51	0.15797346085370104	-4.146918116636846	C8H14N2O4
172.0608	380.32	0.6672343910050972	0.8733246679099094	C7H11NO4
102.0267	274.03	0.6725998624065936	0.840760875282915	
172.0689	194.83	0.19512012987411242	3.6853451197794147	
201.124	194.57	0.5339932456686877	1.2748147651275663	C9H18N2O3
139.0002	241.4	0.871125247563361	0.29955955393692296	
139.0061	31.83	0.10999146767128154	-5.187286956790677	
104.006	195.48	0.7474190578739303	0.6188406801565038	
172.8416	142.62	0.6708901036640805	0.8628012981328982	
172.8416	152.0	0.7482236670706641	0.6083723660789776	
202.0352	330.78	0.29207650140650104	-2.5971016731821335	
172.9671	148.82	0.6482829498301185	-0.959809639490638	
202.0717	291.36	0.8269343243930851	0.40762004444711447	C6H10O5
140.0108	298.85	0.11752306203903239	4.997226418611921	
173.056	233.89	0.5651525746034453	1.1862120631832749	
203.0015	30.52	0.22421624228541145	-3.3400514011294145	C7H8O5S,C7H8O5S
173.8419	142.09	0.8028182155189175	-0.46185143252183314	
173.8419	152.0	0.9711566071850455	0.08137949914289642	
203.0821	161.75	0.31208788914686486	-2.348267179806173	C9H9NO2
203.7985	151.87	0.9078180492475516	-0.1992579907547009	
204.0509	287.82	0.6672343910050972	0.8737826163366895	
141.8671	154.1	0.26480594341983726	2.887420783210313	
174.0957	244.42	0.281118572535986	-2.6854977463553094	C7H14N2O3
204.0854	162.28	0.4319008139702304	-1.690908396272733	C9H9NO2
174.1069	364.95	0.09225481753591994	-6.021618694926968	
204.1066	260.47	0.9969016187419659	-0.010968909611277201	C9H12N2O3
174.8388	142.62	0.6860296187947561	0.7963435530283084	
174.8388	152.0	0.7947172230743309	0.4859033789203453	
108.9009	142.09	0.6992056880230361	0.7527245122701088	CaO2
108.9009	152.26	0.6602915361473106	0.9009014122812755	CaO2
175.0353	319.85	0.29660470628219276	2.550678947669019	
175.0433	299.76	0.6386916119300806	0.9877797953204135	
205.0648	242.06	0.07518118424484509	-10.625082817406453	C7H14N2O3S
143.0054	206.94	0.8833376414174653	-0.2571818654090106	
175.839	142.49	0.9035333131358521	0.2106055070933764	
175.839	152.13	0.7778440486081554	0.5435295826869638	
205.8392	141.83	0.7032717712852237	0.7308904571582329	
205.8392	152.53	0.9894666037785584	0.03169596959717245	
143.0453	163.72	0.5006585222114477	1.4167212857570624	
110.8979	142.09	0.7243392505929457	0.668743713025309	
