m/z	rtime	p-value	t-score	custom_id
191.0291	163.98	0.6456870730218972	1.3120661869331347	
159.9856	227.56	0.6432053717268162	1.3221859559862748	
159.9914	206.68	0.7590535624825111	-0.9000123146752643	
121.943	140.78	0.6799222048273822	1.1566731240134223	
122.0213	219.81	0.4292198028489557	2.3630001126547553	
122.0213	226.24	0.979683125975314	0.08714009163440277	
191.0556	377.3	0.8411900606717013	0.5317191896285437	
160.0607	170.45	0.8794508352389195	-0.3969497010345133	
160.0607	193.78	0.8662349362344988	-0.44259230844156117	
160.0738	293.2	0.9593720827703643	-0.16361532123574127	
160.0799	293.59	0.778948706423075	-0.8026674760137955	
122.06	52.08	0.927326310510409	-0.2717034971774682	
122.06	53.66	0.7599506501894983	0.883313517124437	
122.06	67.77	0.917137748254401	-0.2953944983437673	
122.06	70.53	0.8838085241445763	-0.38257862299579554	
122.0713	2.62	0.8367179252029897	0.5742774919434499	
122.0713	8.69	0.7380506971654702	0.9585594860465154	
122.0713	10.4	0.6957066228614652	1.0910842712758777	
122.0713	11.32	0.8367179252029897	0.563581029750118	
122.0713	13.94	0.8486565616027748	0.4927129050973537	
122.0713	19.88	0.8367179252029897	0.5627197712668046	
122.0713	23.16	0.9861060667992524	-0.05705060591792931	
71.0127	301.08	0.7337805064964935	0.9746486356873457	
73.0195	214.95	0.7217843402426097	0.9943260140626399	
191.8657	1.7	0.9292280714575911	0.2648079402392612	
160.9921	207.2	0.7933933947063355	-0.7507245463898387	
73.9954	131.03	0.9386772604453124	-0.2242858595938141	
161.0449	242.72	0.7455792601003204	-0.937267010130442	C6H10O5
161.0449	245.47	0.7739800364685023	-0.825569490126847	C6H10O5
161.056	314.86	0.4834115110169152	-2.0789336901046576	
161.064	194.17	0.917137748254401	0.29796801417682384	
192.0297	126.67	0.9762769199570446	0.10134137795592812	
192.0297	129.95	0.9717603708945073	-0.12878867076705824	
124.0063	218.23	0.41363737285835217	-2.515270102256276	
161.8749	39.71	0.8077181115918466	-0.6864770871300928	
75.0088	215.34	0.6168351928731398	1.4383767927786424	
192.1136	2.75	0.894151859140822	0.3565029847158549	
192.1136	6.72	0.7856593009976239	0.7710504406381532	
192.1136	8.82	0.836577065346765	0.5768135907984699	
192.1136	14.07	0.6456870730218972	1.3142121389058583	
192.1136	15.81	0.6498495235783504	1.2828774383765371	
162.0592	315.0	0.4834115110169152	-2.0819358926449656	
193.0348	307.77	0.835714692115977	0.5843789598469373	C6H10O7
126.904	29.86	0.5594860871706128	-1.7050613130120966	
193.0504	61.57	0.5687018593384598	1.671052438191809	
163.0604	194.57	0.6799222048273822	-1.1337384479995738	
163.0604	315.39	0.6150237570106931	-1.4687974872417717	
80.9641	180.98	0.8476894080895885	-0.5052483747950175	
127.0028	162.14	0.8834827309278097	0.38538402986876613	
127.0028	163.59	0.5167336379004994	1.9090790398321518	
193.0614	66.98	0.9534200176848604	0.1788799491444806	
193.0614	130.22	0.6150237570106931	1.4662365171777905	
193.0614	507.53	0.7683752411305407	-0.8472084456040074	
193.0647	275.21	0.002030320982410694	-16.393517653598558	
127.0754	194.83	0.49166574331469437	1.9977622237659212	
127.8692	1.7	0.8217146530962058	0.6483554274374236	
82.9531	34.59	0.8327229759608161	0.5958645873859362	
163.8959	141.31	0.8586156317898195	-0.4590393285635378	
163.8959	152.92	0.9747570747149492	-0.10900216860682521	H2MoO4
