m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.5185802110367945	0.9309233781631657	
132.9453	206.55	0.12612151656851622	-2.541100040168971	
208.9731	28.68	0.23591420335717264	1.836335176231695	
174.9979	28.02	0.19321692162547488	2.0973823704369443	
175.0353	319.99	0.05606708061741255	3.78514235051095	
175.0433	299.5	0.795955070300662	-0.384184787681466	
209.082	35.24	0.9051454904650867	0.19565233808713062	
209.0968	31.96	0.5622858033008499	0.8403814218842479	C8H15NO4S
209.1543	29.99	0.38792809059176864	-1.2535570615234486	
209.1543	34.06	0.2966652495117417	-1.5574316324524984	
209.8334	1.7	0.13387945043808047	2.48085632279314	
175.839	142.49	0.31062811683565356	1.5033085272892173	
175.839	151.87	0.337380586937253	1.413412757359227	
209.9286	28.94	0.5139904313815253	0.9421875379243564	
210.0072	221.91	0.337380586937253	1.413346649601091	
210.1577	30.52	0.15033465179846997	-2.3703700005481196	C9H7NO4
210.1577	33.93	0.21967754454036606	-1.9489561879244415	
210.8419	141.57	0.07991735117556541	3.1926865087921925	
210.8419	152.53	0.05937979906639621	3.6627869830288353	
134.9425	152.0	0.8917795732886656	-0.2198437176000738	
134.9425	206.68	0.23983478508716924	-1.807398618197502	
176.0557	212.98	0.3390800743580078	-1.4016488087148071	
176.075	297.79	0.02929094256019611	-5.147636718643685	
176.075	313.81	0.03772597929586078	-4.638854437579408	
210.9912	301.21	0.4472296266073875	-1.101189283790227	H2MoO4
210.9912	372.04	0.6195050293946502	-0.7132191637747692	
176.8359	142.36	0.3817134981785256	1.2704119468353385	
176.8359	151.87	0.23752862942911618	1.822592832396207	
135.9015	141.04	0.287605104799495	1.5888738402463523	
135.9015	153.18	0.25360518687639727	1.7446105146063473	
211.0007	218.49	0.7603955564951119	0.45103500373212735	
80.9641	181.11	0.8513028480160183	-0.2828144828727306	
82.9531	34.59	0.4503227884461567	1.0877261657910933	
211.8849	153.31	0.8265370658620923	-0.32638746289144904	
177.9123	141.57	0.14441205460566683	2.4075074960888605	
177.9123	152.79	0.43748025218787945	1.1257948798610158	
212.0536	184.66	0.1308974511755468	-2.50347811550928	
212.0576	211.67	0.08754694346374095	-3.0564148683713563	
83.0492	247.18	0.05606708061741255	3.7919990817509	
212.8389	141.44	0.049437601349338244	4.003467448469368	
212.8389	152.53	0.06919663503931438	3.4093716882189358	
84.0444	194.96	0.11458536923823202	2.650980334555874	
84.0444	212.06	0.9136549417847928	-0.17455173194387102	
84.9501	34.72	0.46285213824026916	1.0520938939118138	
87.0441	194.57	0.27952892185617517	1.6269201155847604	
138.8592	149.61	0.09705425449882263	-2.8490332354652557	
138.9059	1.44	0.1490010951483514	2.382632122505716	
179.0554	282.3	0.6545784797856949	-0.6459055270754078	
179.8401	141.7	0.859959808248994	-0.2707609323465145	
179.8401	152.53	0.9111261831133797	0.1799969871977382	
139.0002	241.27	0.7857087003220734	-0.4045564176105974	
179.8819	367.18	0.0355349280543164	4.756015400383912	
213.8832	41.28	0.24336293345918866	1.7926610764271402	
213.8832	41.94	0.8188980006065447	-0.345026129734351	
213.8832	43.52	0.7809084051982105	0.41178053958427113	
214.0482	298.85	0.07649590483143882	3.2556670929246474	
140.0108	298.71	0.12935824861888912	2.5142343850604636	C8H8O4
180.8821	367.18	0.05937979906639621	3.649489203977618	
215.0514	298.98	0.05587101224293902	3.8441958445625866	
215.1034	288.87	0.060372996927456325	-3.6101078491139718	
93.0335	33.8	0.04431011353781773	-4.31288198354284	
215.1397	172.81	0.049437601349338244	-3.999506905147247	C6H11FO6
181.071	194.57	0.0799501734463415	-3.189135872385073	
215.8604	142.36	0.6191416042383505	0.7198301227221507	
