m/z	rtime	p-value	t-score	custom_id
159.9914	206.68	0.40419029665751466	-1.4917845551388342	
122.0213	219.81	0.3544044720955101	1.693898205712941	
122.0213	226.24	0.6523814184205013	0.7014574464780071	
191.0556	377.3	0.777223556211887	-0.42535374673327836	
160.0607	170.45	0.705693875521367	-0.5661532734837084	
160.0607	193.78	0.6238557670731837	-0.7767322236621724	
160.0799	293.59	0.23890095136724968	-2.5859231256714423	
73.0195	214.95	0.47400607387964894	1.1842885434819999	
160.9921	207.2	0.4315518684794516	-1.34332104532669	
161.0449	242.72	0.23088335859656406	2.848644619628243	C6H10O5
161.0449	245.47	0.3373059631861799	1.7767019498198935	C6H10O5
124.0063	218.23	0.0622137638492356	-10.24317472022082	
161.8749	39.71	0.9229193821530195	0.15031989131808898	
162.0592	315.0	0.2342389245352256	-2.6814288401681385	C7H5NO3
126.904	29.86	0.9810044902395055	0.038796358808229174	
80.9641	180.98	0.4856217329466684	-1.135063828808278	
193.0647	275.21	0.10140142489698414	-7.94945115315468	
82.9531	34.59	0.41620367609192926	1.4262909690504042	
127.0754	194.83	0.1510970751952004	5.097406146898733	
127.8692	1.7	0.3093293766690132	1.9198325731184502	
163.8959	141.31	0.904172066136324	-0.1895743563836094	
163.8959	152.92	0.924006035333494	0.14652874278572425	H2MoO4
164.8384	141.96	0.904172066136324	-0.18774466768263673	
164.8384	152.4	0.22593965154401435	3.112287962987209	
84.0444	194.57	0.4866142268407405	1.1307063633565109	
128.9585	206.68	0.7009253260495909	-0.5775089691372117	C3H2N2S2
128.9981	141.7	0.7009253260495909	0.5757687030780385	
84.9501	34.59	0.4324977068720439	1.327700606821059	
129.0377	324.84	0.22610306011072223	3.0980933971135247	C6H10OS
194.9362	367.45	0.3249100928758086	-1.849600583210409	
87.0441	194.57	0.7009253260495909	0.5752649128798466	
129.1023	244.69	0.26247998518269017	-2.2911202712122725	
129.1023	260.47	0.3449650084648272	-1.7297084927543551	
129.9934	141.7	0.6784899420436405	-0.6369945577256787	
194.9881	222.43	0.3409348559753049	1.7441105771463856	
130.05	299.9	0.7668064024140946	0.4502254556848875	
165.891	139.96	0.7479913254731823	-0.48809541839482495	
165.891	154.63	0.5420458577426062	0.9686459188556675	
89.012	112.03	0.2342389245352256	-2.7379205459587532	
130.9952	141.96	0.42456295267405314	1.3704609759994242	
166.0502	47.59	0.7625797023322453	-0.46505598401146026	C8H9NO3
131.0533	184.13	0.22593965154401435	-3.112942760586803	
131.0605	194.7	0.6782511020929844	-0.6390779869334606	
166.8351	141.96	0.5073963763397898	1.0634729200260309	
166.8351	152.4	0.2614668247493561	2.3194129945308553	
167.0317	247.44	0.6600640058078864	0.6729972569994025	
132.0373	194.57	0.7645563581672049	0.45725528084533246	
196.0612	380.45	0.8814139792640023	-0.2295163249224195	C9H11NO4
196.8107	152.26	0.9850169422512273	-0.030359471666898244	
196.8764	152.79	0.5154686563334473	1.0391163046048462	
196.8848	367.45	0.2504742160435901	2.412959134992233	
196.8864	141.7	0.5747634846362883	-0.8957490369890718	
196.8864	152.4	0.6294445949253873	-0.76307519793812	
132.9453	151.74	0.8608098467344187	0.2696754878865397	
132.9453	207.07	0.29247366848851647	-2.017149673546974	
167.8333	142.23	0.38773998260033926	1.5547622412802444	
167.8333	152.13	0.13854093304644424	5.6460772313599845	
167.8882	154.37	0.2660036860882684	2.1976018657923957	
197.1541	28.02	0.41620367609192926	1.4047922358682559	
197.7569	152.13	0.6449648317075739	-0.7159713949881662	
168.8313	152.13	0.2342389245352256	2.6870387238408373	
169.0064	142.88	0.47873227126517853	1.1703190720456706	C8H7ClO2
169.0064	151.48	0.40432838386138176	1.4715694745287726	
134.9425	206.94	0.29363318508463554	-2.0100311890539593	
198.0742	211.93	0.2342389245352256	-2.7397101544148628	C7H15NO4
198.0742	219.81	0.2342389245352256	-2.7238725657866967	
96.921	142.09	0.5225698279489869	1.023402300562711	
96.921	152.4	0.16527780777120435	4.820586992875584	
198.8079	151.87	0.7906559568268969	0.4004184690846229	
198.8735	152.92	0.9546095106904332	-0.08317181637143795	
170.0063	195.48	0.4661170846692264	1.2284277071824352	
135.9015	141.18	0.42456295267405314	1.3704561117906275	
135.9015	153.18	0.31516071465972195	1.8907191223013056	
170.0426	254.8	0.2022431829453996	-3.8629314499122924	
170.8284	141.96	0.7243138660264595	0.5295370302416827	
170.8284	152.26	0.6939714959166909	0.5971049516145758	
199.0219	241.27	0.39706172492526065	-1.5163343410360282	
97.9762	206.94	0.4843475601916613	-1.149440451112015	
199.072	214.56	0.17028027676309646	-4.515970621578389	C6H9NO4
171.0114	34.32	0.339514916389443	1.7651842866766418	
98.948	23.03	0.5710305886128701	0.902767336760156	
171.9647	194.7	0.40432838386138176	1.46916835518806	
172.0145	34.19	0.30362918878815676	1.951272704554417	
138.8592	149.74	0.23088335859656406	-2.92123143234386	
101.0709	277.18	0.4324977068720439	-1.3215972888993484	
101.0709	301.08	0.22593965154401435	-3.1301623802257	
172.0354	270.35	0.12020681741776204	-7.041025734835143	C6H6N2O4
201.0876	307.51	0.19536416193964526	-4.014282722513623	C8H14N2O4
172.0608	380.32	0.9876889881927652	-0.02454689079828699	C7H11NO4
102.0267	274.03	0.4324977068720439	1.333454305307915	
172.0689	194.83	0.15826084561069806	4.922440983220925	
