m/z	rtime	p-value	t-score	custom_id
159.9914	206.68	0.14114994237092787	6.511840312645386	
122.0213	219.81	0.8677635038763923	0.34271819160295763	
122.0213	226.24	0.2286609230697734	-2.9591445518807284	
191.0556	377.3	0.3693444520620633	2.055113745029829	
160.0607	170.45	0.2346552505861521	2.9206992216661685	
160.0607	193.78	0.22885500459794836	2.9514316698647356	
160.0799	293.59	0.6482590709154828	-0.8547450299037469	
73.0195	214.95	0.18155757593060992	3.547412599629272	
160.9921	207.2	0.2286609230697734	2.958258950102467	
161.0449	242.72	0.09640094266860817	8.835505270931925	C6H10O5
161.0449	245.47	0.14114994237092787	6.491350952227049	C6H10O5
124.0063	218.23	0.1777472693824619	3.7232024196063653	
161.8749	39.71	0.6887553953006047	-0.7208208567058916	
162.0592	315.0	0.49254432388156666	-1.4135553947198698	C7H5NO3
126.904	29.86	0.7456111010895884	-0.5825975091460426	
80.9641	180.98	0.4987322320020905	-1.393072939133175	
193.0647	275.21	0.2740462665257497	-2.608180717897742	
82.9531	34.59	0.49254432388156666	-1.4291312648124999	
127.0754	194.83	0.5898338145450374	1.0938518259839158	
127.8692	1.7	0.5002823146176675	-1.3740548435861049	
163.8959	141.31	0.6658405304909107	-0.788049024473908	
163.8959	152.92	0.8268412568077715	-0.4190705818207471	H2MoO4
164.8384	141.96	0.8114813414867538	0.45851246414435487	
164.8384	152.4	0.7324042547606296	0.6260996509952991	
84.0444	194.57	0.7444471576990921	-0.5853608711123667	
128.9585	206.68	0.1748408901587566	3.8760869638484428	C3H2N2S2
128.9981	141.7	0.5686823868195865	-1.1710658561747704	
84.9501	34.59	0.5002823146176675	-1.3745841324523067	
129.0377	324.84	0.14381032688923204	6.294509056534061	C6H10OS
194.9362	367.45	0.3240960036506158	-2.2926187835842815	
87.0441	194.57	0.6446766943708109	-0.8733371963393038	
129.1023	244.69	0.356253703331711	-2.134586947651076	
129.1023	260.47	0.2350883590857893	-2.907748203222673	
129.9934	141.7	0.6096102643059724	-0.9531460273013095	
194.9881	222.43	0.25632070527279477	-2.754097035337577	
130.05	299.9	0.15032260952303056	5.76254716493194	
165.891	139.96	0.5519609411642784	-1.2229456827587877	
165.891	154.63	0.41131681292228395	-1.827734821684997	
89.012	112.03	0.5114651497944189	-1.3410285683562329	
130.9952	141.96	0.600477178229463	-0.9880321988618396	
166.0502	47.59	0.48385701775101275	-1.497534419380036	C8H9NO3
131.0533	184.13	0.9333899324614272	0.19131575633432282	
131.0605	194.7	0.8601430639328596	0.3560418484235651	
166.8351	141.96	0.5898338145450374	-1.0674702414884523	
166.8351	152.4	0.9816900486066505	0.04193475717145633	
167.0317	247.44	0.5898338145450374	1.0613014543610648	
132.0373	194.57	0.6325530914890575	-0.8956634359650919	
196.0612	380.45	0.6319672802011859	-0.9060838641059448	C9H11NO4
196.8107	152.26	0.47029677188987984	-1.588955377134092	
196.8764	152.79	0.8729051096868612	-0.3270617650900125	
196.8848	367.45	0.7325479124176455	-0.6046481081660205	
196.8864	141.7	0.6482590709154828	-0.8581216158785163	
196.8864	152.4	0.998306953062214	-0.0028497899051362937	
132.9453	151.74	0.8268412568077715	-0.4212758550109984	
132.9453	207.07	0.8945729006542587	-0.28258812466187017	
167.8333	142.23	0.5959955724715806	-1.0242721930851821	
167.8333	152.13	0.6064887221249392	-0.9646416460044149	
167.8882	154.37	0.682577541677116	-0.7418910221345171	
197.1541	28.02	0.38440535914883917	-1.9811628961094276	
197.7569	152.13	0.8268412568077715	-0.4198084509307226	
168.8313	152.13	0.8726222662415996	-0.3303567166544832	
169.0064	142.88	0.33454224018907186	-2.2347216113795603	C8H7ClO2
169.0064	151.48	0.38440535914883917	-1.9918613929584017	
134.9425	206.94	0.6325530914890575	-0.8939001036595243	
198.0742	211.93	0.39945826501774406	-1.8790678903490825	C7H15NO4
198.0742	219.81	0.49651001167175324	-1.4016464600683907	
96.921	142.09	0.6738885916853152	-0.7615080081065458	
96.921	152.4	0.9017430568649754	0.25823088551131784	
198.8079	151.87	0.5666620446042956	-1.1757365927617833	
198.8735	152.92	0.9972589712739177	0.010466553483837005	
170.0063	195.48	0.5192513543557414	-1.3071836960895071	
135.9015	141.18	0.6962795090606649	-0.7005172361111984	
135.9015	153.18	0.38440535914883917	-1.9932000410640522	
170.0426	254.8	0.9336518725534284	-0.18838453882196785	
170.8284	141.96	0.5536676658714242	-1.21032092214853	
170.8284	152.26	0.6467153726380985	-0.865062727112259	
199.0219	241.27	0.16479030662401717	-4.109379475366961	
97.9762	206.94	0.2513211847514823	2.8106170045131798	
199.072	214.56	0.3240960036506158	-2.28818541334453	C6H9NO4
171.0114	34.32	0.6713493906159753	-0.7756786030440952	
98.948	23.03	0.9714596871895093	0.06743458801809632	
171.9647	194.7	0.9244261945488362	-0.215688938360435	
172.0145	34.19	0.6325530914890575	-0.8939797530895779	
138.8592	149.74	0.15055746387821256	-5.342494944049656	
101.0709	277.18	0.7624871781606986	0.5445320601024283	
101.0709	301.08	0.3833293529150987	-2.004277415866317	
172.0354	270.35	0.5189614717672795	-1.3093918718355297	C6H6N2O4
201.0876	307.51	0.6852923627995658	0.730609781736362	C8H14N2O4
172.0608	380.32	0.576379365419862	-1.1416369052425073	C7H11NO4
102.0267	274.03	0.3997111749086191	1.8696740128863074	
172.0689	194.83	0.48385701775101275	1.5023013806240153	
201.124	194.57	0.3439260701801296	-2.192682179489752	C9H18N2O3
139.0002	241.4	0.3240960036506158	-2.293049119962729	
139.0061	31.83	0.15055746387821256	-4.992447128519028	
104.006	195.48	0.39797968521276034	-1.8952024878661706	
172.8416	142.62	0.7317911952567929	-0.6321938180235772	
172.8416	152.0	0.8268412568077715	0.42546490299722767	
202.0352	330.78	0.9102214437026405	0.24249490195456194	
172.9671	148.82	0.4801290524237378	-1.542821537865699	
202.0717	291.36	0.10139602217152272	-8.036419050301495	C6H10O5
140.0108	298.85	0.176213070374908	-3.806350424162204	
173.056	233.89	0.22354445643733198	3.021715370322165	
203.0015	30.52	0.4118339572124536	1.8231071825466956	C7H8O5S,C7H8O5S
173.8419	142.09	0.5982338351212921	-1.0108379505756357	
173.8419	152.0	0.6265820492143472	0.9192427347986406	
203.0821	161.75	0.09640094266860817	9.370011331292368	C9H9NO2
203.7985	151.87	0.5632140534965927	-1.1856342022639137	
204.0509	287.82	0.14114994237092787	6.700750797377879	
141.8671	154.1	0.5179628703298311	-1.3162493171350858	
174.0957	244.42	0.3997111749086191	-1.8718934542719972	C7H14N2O3
204.0854	162.28	0.060626340525512204	17.144501580901032	C9H9NO2
174.1069	364.95	0.6962795090606649	0.7006622379933471	
204.1066	260.47	0.48700223322445635	-1.4737977009856442	C9H12N2O3
174.8388	142.62	0.7405495407332492	-0.5916778076214665	
174.8388	152.0	0.9894978035722172	-0.027580656688557414	
108.9009	142.09	0.600477178229463	-0.9845918188425571	CaO2
108.9009	152.26	0.7325479124176455	-0.6092455864646159	CaO2
175.0353	319.85	0.15055746387821256	4.968335969851468	
175.0433	299.76	0.15055746387821256	5.32922321736752	
205.0648	242.06	0.14381032688923204	-6.370825369051046	C7H14N2O3S
143.0054	206.94	0.7120243028732439	0.6681574483784148	
175.839	142.49	0.6924213956908275	-0.7124312387365148	
175.839	152.13	0.9657019333540078	-0.09092662724260425	
205.8392	141.83	0.608568566853019	-0.9574392938744302	
205.8392	152.53	0.6623841490858753	-0.8059794307126723	
143.0453	163.72	0.9800076682142835	-0.04684261011228712	
110.8979	142.09	0.5898338145450374	-1.0627542839495687	
110.8979	152.13	0.5898338145450374	-1.081472936212289	
176.0193	332.88	0.5898338145450374	1.086275426735677	
206.0573	357.34	0.15032260952303056	5.70583181020052	
206.0858	300.95	0.34625469829586125	-2.1798825482661695	
111.027	380.45	0.6623841490858753	-0.8072029419734512	
143.9776	206.68	0.15606161230670484	4.3447526982455065	
