m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.572261928094316	1.2555748406042047	
132.9453	206.55	0.35437394668689826	-2.3078874441227777	
208.9731	28.68	0.8385659992974104	0.45586416538262653	
174.9979	28.02	0.6337754723592471	1.0456218893090983	
175.0353	319.99	0.027919646544927016	11.049788655198805	
175.0433	299.5	0.10892267272638395	4.720539077081687	
209.082	35.24	0.5403409483332745	-1.3941715709545608	
209.0968	31.96	0.6110026880365566	-1.1426819289491328	C8H15NO4S
209.1543	29.99	0.6780700745817172	0.8812725062335384	
209.1543	34.06	0.9741804378325297	-0.10440247104761652	
209.8334	1.7	0.6780700745817172	0.89197772707547	
175.839	142.49	0.6852369667509027	0.8537423972439787	
175.839	151.87	0.9286715594122656	0.24619315804903838	
209.9286	28.94	0.6519091375092414	0.9916062160377107	
210.0072	221.91	0.6189943126170403	1.1137118364680123	
210.1577	30.52	0.9249369034182695	0.2572844259707781	C9H7NO4
210.1577	33.93	0.9563889426523855	-0.15551309074966635	
210.8419	141.57	0.4651809815444194	1.748935933336707	
210.8419	152.53	0.533528457634834	1.4422661392777196	
134.9425	152.0	0.36804711455706307	2.2453384417002815	
134.9425	206.68	0.07473896658412328	-5.787653279741513	
176.0557	212.98	0.19520960335454154	3.483704112090065	
176.075	297.79	0.21280462324841978	-3.212488799539632	
176.075	313.81	0.29696406722741886	-2.6458566240566115	
210.9912	301.21	0.23227748527852413	3.091445612861784	H2MoO4
210.9912	372.04	0.3671389481223821	2.2572486271247896	
176.8359	142.36	0.5432011213793954	1.3728087776518116	
176.8359	151.87	0.7365576410634818	0.7247185516608738	
135.9015	141.04	0.4142822521805666	2.0537520837539187	
135.9015	153.18	0.9325990551339575	0.23685221939061626	
211.0007	218.49	0.7533749245297622	0.6800575730303218	
80.9641	181.11	0.9286715594122656	-0.24411163649091525	
82.9531	34.59	0.9780868973307836	-0.0805907136082529	
211.8849	153.31	0.6767377100549611	-0.9063480112499903	
177.9123	141.57	0.5608571110218814	1.299876694948941	
177.9123	152.79	0.5552472752191485	1.3188373360460266	
212.0536	184.66	0.6222748197035188	1.0988982711339221	
212.0576	211.67	0.4842415870898268	-1.617550202795442	
