m/z	rtime	p-value	t-score	custom_id
132.9453	151.74	0.012343922672313603	-5.625479509839548	
132.9453	206.55	0.28687450125398967	-1.4619689123098816	
208.9731	28.68	0.8796761335923531	-0.21508333388861672	
174.9979	28.02	0.752194131654295	-0.45040986243801895	
175.0353	319.99	0.013272798613948368	5.463038694457302	
175.0433	299.5	0.0009163326514337921	20.47604796864993	
209.082	35.24	0.1362086658204852	-2.2056784738671973	
209.0968	31.96	0.009531795194691061	-6.220756110890636	C8H15NO4S
209.1543	29.99	0.004306122932623822	-8.678533257950464	
209.1543	34.06	0.005252524419100732	-7.890693514354735	
209.8334	1.7	0.5996760854045973	0.7141703918758977	
175.839	142.49	0.9342856634783056	0.10578033525517437	
175.839	151.87	0.018061994142361742	-4.86247468402555	
209.9286	28.94	0.9095065349416959	-0.15501780894977676	
210.0072	221.91	0.0029325190557355245	-10.625003514995615	
210.1577	30.52	0.1681642709561213	-1.9874279121503173	C9H7NO4
210.1577	33.93	0.01571258058513294	-5.1522524160149485	
210.8419	141.57	0.013571474068119148	-5.411934390926142	
210.8419	152.53	0.004547562356586786	-8.318159078352048	
134.9425	152.0	0.1654641071099181	-2.0040791999300427	
134.9425	206.68	0.18771204133003752	-1.8753507416636672	
176.0557	212.98	0.0009163326514337921	19.879513325682296	
176.075	297.79	0.005304829369685744	-7.84044675533657	
176.075	313.81	0.0008101969690730797	-22.00903002375901	
210.9912	301.21	0.1387631455623491	-2.185215597923589	H2MoO4
210.9912	372.04	0.004185098975686167	-8.788010520372644	
176.8359	142.36	0.012048862917686051	-5.678009978155031	
176.8359	151.87	0.0033465452165641124	-9.832334632341999	
135.9015	141.04	0.8821938495611689	-0.2025606985544507	
135.9015	153.18	0.04811514848799819	-3.3841580488791796	
211.0007	218.49	0.0686746117882865	2.947498749930454	
80.9641	181.11	0.31336386831564234	1.3734111929135742	
82.9531	34.59	0.830583072182159	0.30942017512877956	
211.8849	153.31	0.0372619549312514	-3.7222087427594115	
177.9123	141.57	0.10743096499822738	-2.4560129320467725	
177.9123	152.79	0.05610411453093122	-3.1959624401093247	
212.0536	184.66	0.04235682169526145	3.539757389654915	
