m/z	rtime	p-value	t-score	custom_id
114.0666	22.62	0.9067788700858457	-0.8967252846639202	
174.0914	24.33	0.9444817234526784	0.6213544822809449	
116.0623	38.8	0.9956670898505213	0.31822027607780623	
268.1908	21.44	0.9130026994400422	-0.8543235494337121	
268.1908	24.33	0.9160504308443927	-0.7249615716889396	
268.2637	58.16	0.9780458576913683	-0.36152464169315945	
268.2637	228.51	0.9956670898505213	-0.11366525220757728	C18H32O
268.2716	200.85	0.6838805853522544	-1.720995208159841	C18H34O
174.1315	40.65	0.9956670898505213	0.2596680831445378	
221.1758	176.09	0.9956670898505213	-0.18930026039157072	
221.1758	183.86	0.9965996980027984	-0.01807750660648658	
174.1359	176.35	0.9956670898505213	0.0393132657355313	
174.1359	183.73	0.9956670898505213	0.22841550770242894	
268.9976	1.24	0.9956670898505213	0.21292544690798737	
270.2429	176.35	0.9956670898505213	0.05949934170839248	
270.2429	183.86	0.9979141625688651	0.008487695230106252	
223.1541	24.72	0.6838805853522544	1.9800529717467477	
223.8841	21.97	0.8538192770424082	1.146514259116886	
271.2056	206.78	0.45432101411155473	-3.0799855997745884	
271.2056	283.86	0.7505855974826228	-1.4577999469996723	
271.2269	176.35	0.9956670898505213	0.11180247406894175	
271.2269	183.86	0.9956670898505213	0.04663832326294452	C16H30O3
271.3189	141.57	0.9956670898505213	-0.31434886677606333	
176.066	23.28	0.951810178998896	0.548041191834555	
272.2221	181.76	0.9956670898505213	0.12769862145221617	C16H25NO2
272.2221	209.27	0.9956670898505213	0.24479089137643842	
224.1282	27.35	0.6838805853522544	-1.72372638418504	
272.3221	141.7	0.9956670898505213	-0.14431285280802733	
272.9442	20.78	0.9956670898505213	-0.13691211744110743	
273.0911	29.71	0.9956670898505213	-0.3068189010160714	
273.0911	46.84	0.967684683343868	-0.4103165770839614	
273.0911	221.4	0.9956670898505213	-0.31946032295913207	
273.0911	247.89	0.8279604740406752	-1.2439698918480397	
273.1697	25.91	0.8526250578140285	1.162985410602051	
273.2537	27.88	0.9956670898505213	0.09733068543030649	
273.9455	20.78	0.9719253921156048	-0.38490384111839226	
119.0494	27.48	0.45432101411155473	3.41795420992429	C8H6O
119.0688	39.06	0.953588377618003	0.5225663863607865	
