m/z	rtime	p-value	t-score	custom_id
114.0634	25.25	1.0	0	
114.0634	30.66	1.0	0	
114.0666	22.62	1.0	0	
114.0895	202.03	1.0	0	
114.0895	207.96	1.0	0	
114.0895	362.22	1.0	0	
114.0895	380.52	1.0	0	
114.0895	404.08	1.0	0	
114.0895	476.97	1.0	0	
114.0895	479.6	1.0	0	
114.0895	593.93	1.0	0	
114.0895	601.28	1.0	0	
114.0895	609.84	1.0	0	
174.0387	21.97	1.0	0	
221.0921	22.75	1.0	0	
268.1036	24.86	1.0	0	C12H20O4
174.0914	24.33	1.0	0	
268.1908	21.44	1.0	0	
268.1908	24.33	1.0	0	
268.2637	58.16	1.0	0	
268.2637	228.51	1.0	0	C18H32O
268.2716	200.85	1.0	0	C18H34O
268.2716	214.16	1.0	0	C18H34O
268.2716	249.6	1.0	0	C18H34O
221.1758	176.09	1.0	0	
221.1758	183.86	1.0	0	
268.9364	21.18	1.0	0	
268.9976	1.24	1.0	0	
269.0205	1.9	1.0	0	
269.0875	22.62	1.0	0	
174.1359	176.35	1.0	0	
174.1359	183.73	1.0	0	
116.0623	38.8	1.0	0	
116.0687	23.54	1.0	0	
116.0687	401.19	1.0	0	
116.0687	478.68	1.0	0	
116.0687	595.24	1.0	0	
116.0732	21.31	1.0	0	
116.0732	117.74	1.0	0	
116.0732	405.6	1.0	0	
174.9532	159.08	1.0	0	
174.9532	189.51	1.0	0	
174.9532	221.4	1.0	0	
269.2111	176.48	1.0	0	C16H28O3
269.2111	183.86	1.0	0	C16H28O3
223.0458	24.86	1.0	0	
270.0173	2.43	1.0	0	
223.1541	24.72	1.0	0	
175.1192	24.2	1.0	0	
270.2429	176.35	1.0	0	
270.2429	183.86	1.0	0	
223.8841	21.97	1.0	0	
175.1312	86.25	1.0	0	
270.3155	141.57	1.0	0	
175.9544	21.57	1.0	0	
176.066	23.28	1.0	0	
270.9762	4.4	1.0	0	
224.1282	27.35	1.0	0	
270.9777	20.24	1.0	0	
224.1952	1.11	1.0	0	
119.0494	27.48	1.0	0	C8H6O
