m/z	rtime	p-value	t-score	custom_id
114.0666	22.62	0.9952472404579659	0.018500524679175998	
174.0914	24.33	0.1641234945170962	4.266004505433416	
116.0623	38.8	0.7843148819796767	-0.5670016285014309	
268.1908	21.44	0.8264270225867799	0.4623115106233452	
268.1908	24.33	0.9945129896514574	0.02243826952439793	
268.2637	58.16	0.35061614451683826	-2.219987983084785	
268.2637	228.51	0.40719256465628045	-1.8947200793815195	C18H32O
268.2716	200.85	0.6222857020307109	-0.9392519216301174	C18H34O
174.1315	40.65	0.7188776256165983	-0.7098573932844915	
221.1758	176.09	0.3281308844315192	-2.6323420131987882	
221.1758	183.86	0.36658970751266384	-2.1044220858369904	
174.1359	176.35	0.3554921100718058	-2.174998997899176	
174.1359	183.73	0.32913913268825756	-2.375219883533253	
268.9976	1.24	0.9901392754474102	-0.06260000339139994	
270.2429	176.35	0.3281308844315192	-2.547635563870126	
270.2429	183.86	0.3281308844315192	-2.6447178257004786	
223.1541	24.72	0.4518903228036258	1.6104600020255195	
223.8841	21.97	0.6496583392074752	-0.89124004739823	
271.2056	206.78	0.7824844997891277	0.5757769334709228	
271.2056	283.86	0.5176382756559166	1.2772865340296904	
271.2269	176.35	0.3281308844315192	-2.5079950430050846	
271.2269	183.86	0.3281308844315192	-2.7568751112842502	C16H30O3
271.3189	141.57	0.7309441693253751	-0.6898054261372973	
176.066	23.28	0.28023644269296527	3.399183204588495	
272.2221	181.76	0.3281308844315192	-2.4840734650215697	C16H25NO2
272.2221	209.27	0.3333545459935088	-2.317889155677429	
224.1282	27.35	0.5537899451858646	-1.1454220340455963	
272.3221	141.7	0.8264270225867799	-0.4652673755589481	
272.9442	20.78	0.7395410227234075	-0.6682530572309681	
273.0911	29.71	0.8918300187734317	-0.3030706296839338	
273.0911	46.84	0.7843148819796767	0.5628802441235862	
273.0911	221.4	0.8308372784876297	-0.449045180359308	
273.0911	247.89	0.7739216660712552	0.598696406791557	
273.1697	25.91	0.4365405459246645	1.6774486413950178	
273.2537	27.88	0.4141639039443872	-1.8299215438175465	
273.9455	20.78	0.5246535403398406	1.253771023468952	
119.0494	27.48	0.41442069252535557	1.8185866438674367	C8H6O
119.0688	39.06	0.5076758152142327	-1.3178246136613867	
274.2741	34.6	0.3560043236060797	-2.166856581507045	C16H35NO2
274.9418	20.92	0.6810304034088632	-0.8022567839126354	
177.1275	37.09	0.6142158056217076	-0.9702708459128185	
120.0528	27.35	0.32913913268825756	2.438934092030981	C8H6O
120.0528	30.53	0.3281308844315192	2.750477803708222	C8H6O
177.1638	39.32	0.7663897830213138	-0.6164607392385582	
225.8811	22.23	0.5479036169370975	-1.1623382194835716	
276.1442	24.99	0.33782565061073777	2.302131165685618	
226.1803	176.35	0.3281308844315192	-2.4753674320606187	
277.1283	27.61	0.4711886111922801	-1.4742364879714718	
178.1227	32.63	0.479081545315755	-1.436965389528313	
226.2167	174.77	0.36768059288939453	-2.0896061802061183	
226.2167	181.36	0.39931553955703664	-1.9464916945579913	C14H27NO
226.2167	204.39	0.4168322059488823	-1.8009101720600091	
226.2167	209.27	0.3540825102268082	-2.18463803271968	C14H27NO
226.2167	228.51	0.4141639039443872	-1.8340226916279303	C15H26O
121.0399	22.75	0.41838110410480744	-1.7636105734767953	
226.9516	21.05	0.6126699075927425	-0.976280427852753	C6H4Cl2O5
121.0844	24.59	0.1641234945170962	4.198856046088354	
179.0638	31.05	0.5011280796529447	-1.3366245541965276	
277.9571	0.98	0.9850461782545145	-0.07689071877978042	
122.0687	65.15	0.3281308844315192	2.8453894483278637	
179.1625	26.96	0.8795883313644919	0.32797303303158165	
278.9033	1.37	0.7288673576160699	-0.6938965439143113	
227.1835	176.35	0.3281308844315192	-2.485812969713734	
227.1835	183.73	0.3281308844315192	-2.5545739839552595	
278.9539	0.98	0.9245049526806566	-0.20852712882599955	
278.9539	2.95	0.9384911973957815	-0.16740461043244764	
278.9652	21.18	0.6079682966056443	0.9878834436334579	
227.2119	176.35	0.3281308844315192	-2.5169075773438325	
227.2119	183.86	0.3281308844315192	-2.794725995290531	
279.0934	30.24	0.4699520097754769	-1.496253139783174	
227.9549	21.05	0.5837838267261924	-1.058181043460523	C6H4Cl2O5
279.1137	206.78	0.9114677412831107	0.2563521404764622	
180.1384	21.7	0.6986067555572626	-0.7592860895025834	
123.0682	23.67	0.9925850936525361	0.05002575625754816	
180.1748	27.35	0.3281308844315192	-2.70677113681379	
180.1748	175.96	0.40178956048530295	-1.924621473058868	
180.1748	184.12	0.3379239559949066	-2.2991806478164643	
123.941	22.75	0.5096886085327491	-1.2983278168086294	
181.1086	22.49	0.47888700579745647	1.4401579925698207	
229.1185	22.75	0.41838110410480744	-1.7543569124785636	
280.1756	24.86	0.5277828926219804	-1.2399570687244343	
124.0589	23.28	0.3281308844315192	-2.4787329396763287	
124.0759	23.67	0.37902012957558545	-2.0250009564253553	
229.18	27.88	0.4141639039443872	-1.8298254134474656	
229.18	176.35	0.3281308844315192	-2.486712225198481	C13H24O3
229.18	183.86	0.3281308844315192	-2.7606782328893176	C13H24O3
181.1588	176.35	0.3281308844315192	-2.4526163957107836	
181.1588	183.99	0.3281308844315192	-2.638889255079095	
229.1992	176.35	0.3281308844315192	-2.4732062567997155	
229.1992	183.86	0.3281308844315192	-2.692464107936423	
280.9543	0.98	0.9255943673503051	0.2020658829720132	
182.0294	22.49	0.5076758152142327	-1.318045899091649	
182.0814	23.28	0.35061614451683826	-2.2229958899864153	
281.101	31.05	0.5368489577504802	1.207340437212947	
182.1037	22.23	0.3409912310293258	-2.2821505910969564	
230.248	51.31	0.3281308844315192	-3.0159988062809218	C14H31NO
125.0793	23.8	0.6511360174754349	-0.8779053244193753	
281.8426	22.1	0.5947751995233624	-1.037805840219115	
281.9521	1.24	0.8765985764885313	0.3323056224287739	
281.9521	3.08	0.5973987160561692	1.0191719236445567	
282.1053	31.05	0.44315178988157744	1.6584596457171905	
282.1911	24.59	0.7861445700538771	-0.5531318454818401	
282.2042	27.61	0.32913913268825756	-2.386702457632697	
282.9497	0.98	0.988492533025518	0.06749773426296134	
283.1176	27.09	0.4200333039251829	1.7319088965089324	
283.144	35.38	0.9746627869645802	0.09639163087680638	C15H20O5
283.175	22.75	0.36460547747222893	-2.1182455137014777	
283.2461	196.1	0.9945129896514574	0.027974958576755023	
283.8397	22.1	0.5780196736044393	-1.0856150977326346	
284.121	26.96	0.358711915635071	2.1521334936872245	
284.9101	21.31	0.5479036169370975	-1.168180915503434	
127.073	22.62	0.35061614451683826	-2.210045025437964	
285.1098	24.2	0.35061614451683826	-2.2133561384018083	
285.2787	200.98	0.4442550960131643	-1.646488820612069	C18H36O2
233.9129	21.84	0.7529052922450399	-0.642781397314137	
184.1697	176.22	0.3281308844315192	-2.7146545920405134	
184.1697	183.73	0.3316395659960803	-2.3486411448602684	
184.1697	228.11	0.47792969992230616	-1.4462474309596354	
184.8891	1.24	0.4695421485664664	1.5123411676486878	
184.99	68.2	0.8863789171723127	0.3135344749512472	
128.9537	1.24	0.8690456333989134	-0.3532024941352484	
234.2217	25.12	0.400248320630439	-1.9291170935558855	
286.2821	200.98	0.4699520097754769	-1.497085291214451	C18H36O2
286.2935	170.7	0.5973987160561692	-1.024401044205346	
235.0126	2.29	0.8245780308806389	-0.4763288421740584	
235.0143	199.12	0.9925850936525361	-0.03969935352163566	
185.1286	21.7	0.36658970751266384	-2.1054667434845995	
287.2217	183.86	0.3281308844315192	-2.6977531046941254	C17H26O3
130.0654	24.99	0.23539828504399168	3.612669246134119	
288.2896	34.2	0.24977142610675251	-3.5443910585786935	
288.2896	37.09	0.3281308844315192	-2.9237362918769105	C18H33NO
130.1309	21.7	0.7448885630938539	-0.6589930726340874	
289.0836	26.3	0.38760004346238597	-1.987715435003626	
289.2486	27.09	0.3281308844315192	-2.8293879878369426	
289.9342	21.31	0.9539968076814537	0.1378838717474103	
186.9956	1.24	0.8527220812126969	0.40629410810343924	
131.0857	39.19	0.6914241844636307	-0.7746250977435211	
131.0857	610.65	0.9976872954185946	0.008693601453894589	
291.0763	25.25	0.3281308844315192	2.929843627955302	
291.1941	32.63	0.5318876691840839	-1.222301760263306	
132.089	39.85	0.9880784033125674	-0.0703842706120198	
132.089	176.48	0.3281308844315192	-3.121495698224914	
292.2635	214.42	0.8690456333989134	0.3559965140447928	
292.2635	221.92	0.9933638088017797	-0.03075008182936902	
292.2635	229.43	0.9945129896514574	-0.02467899043935105	
188.0707	24.59	0.05604951837510582	5.694637306372299	
