m/z	rtime	p-value	t-score	custom_id
114.0666	22.62	0.6167982647561351	-1.714546388936716	
174.0914	24.33	0.6167982647561351	2.854593229356455	
116.0623	38.8	0.6675467340971184	-1.2738368736819135	
268.1908	21.44	0.8646879724311152	-0.43647238535851896	
268.1908	24.33	0.7814491545641099	0.7745663494258235	
268.2637	58.16	0.8704008636902244	-0.4146118949634527	
268.2637	228.51	0.6452744381504594	-1.4131013801146477	C18H32O
268.2716	200.85	0.6167982647561351	-1.5890822548443053	C18H34O
174.1315	40.65	0.7939393933681208	0.6610338151583383	
221.1758	176.09	0.6167982647561351	-1.8494662851211565	
221.1758	183.86	0.6167982647561351	-1.978945715149883	
174.1359	176.35	0.6167982647561351	-1.7778913064392703	
174.1359	183.73	0.6167982647561351	-1.6899073118666876	
268.9976	1.24	0.6167982647561351	-2.053832659139285	
270.2429	176.35	0.6167982647561351	-1.7370100917190407	
270.2429	183.86	0.6167982647561351	-1.7354605639453502	
223.1541	24.72	0.7639500791996792	0.8434203773147796	
223.8841	21.97	0.6167982647561351	-1.9957699347916138	
271.2056	206.78	0.7711784225319349	0.8178716669868988	
271.2056	283.86	0.7639290261576578	0.8444571564070937	
271.2269	176.35	0.6167982647561351	-1.719662703493288	
271.2269	183.86	0.6167982647561351	-1.795815534688999	C16H30O3
271.3189	141.57	0.8785537982708607	-0.3918804504456982	
176.066	23.28	0.6788682851003742	1.2010188817299927	
272.2221	181.76	0.6167982647561351	-1.667569418020173	C16H28O3
272.2221	209.27	0.6167982647561351	-1.7348773156025055	
224.1282	27.35	0.7026045112389528	-1.0907560103075051	
272.3221	141.7	0.8845373299843555	-0.36634194686966953	
272.9442	20.78	0.6167982647561351	-3.36923901335391	
273.0911	29.71	0.9643546484023944	-0.13454416592134116	
273.0911	46.84	0.9823391834928097	-0.06854143873003116	
273.0911	221.4	0.6167982647561351	3.3746358137244177	
273.0911	247.89	0.6167982647561351	2.003673828575182	
273.1697	25.91	0.8944037884430937	-0.332296563711081	
273.2537	27.88	0.7018859635235966	-1.0944673689948325	
273.9455	20.78	0.8990617008832527	0.32246184756898183	
119.0494	27.48	0.6396693203848374	1.448328337247429	C8H6O
119.0688	39.06	0.6167982647561351	-2.0426112896324913	
274.2741	34.6	0.7026045112389528	-1.089231651388598	C16H35NO2
274.9418	20.92	0.6167982647561351	-2.363318415910063	
177.1275	37.09	0.6924302289992844	-1.1205870843832237	
120.0528	27.35	0.6167982647561351	1.6324957566229408	C8H6O
120.0528	30.53	0.6167982647561351	1.9833278400817476	C8H6O
177.1638	39.32	0.6731524730620565	-1.241628115930737	
225.8811	22.23	0.5957396776600992	-4.707496240328054	
