m/z	rtime	p-value	t-score	custom_id
114.0666	22.62	0.7583070623331056	-1.07564735644158	
174.0914	24.33	0.734689352199799	-1.1544755481583782	
116.0623	38.8	0.5917634813300079	-2.0933587116650814	
268.1908	21.44	0.9975848534460287	0.0343099720525354	
268.1908	24.33	0.6488444666154555	1.542854719061064	
268.2637	58.16	0.7820153969434862	0.9903165356600964	
268.2637	228.51	0.9975848534460287	0.11760109599107504	C18H32O
268.2716	200.85	0.8220479785192868	-0.876997399147324	C18H34O
174.1315	40.65	0.850909611436195	-0.7434857683325251	
221.1758	176.09	0.9975848534460287	0.03423631734721544	
221.1758	183.86	0.9975848534460287	0.03842659142158561	
174.1359	176.35	0.9975848534460287	-0.04622285146001095	
174.1359	183.73	0.9975848534460287	-0.030274684439008128	
268.9976	1.24	0.5826604857603673	2.515262436600547	
270.2429	176.35	0.9975848534460287	-0.10506446996139836	
270.2429	183.86	0.9975848534460287	-0.08003405780728584	
223.1541	24.72	0.6078962766552498	-1.755047209657847	
223.8841	21.97	0.8991193116153982	0.5038433820832356	
271.2056	206.78	0.8991193116153982	-0.5127107476268928	
271.2056	283.86	0.9021404181971531	-0.47405540523789647	
271.2269	176.35	0.9975848534460287	-0.1029465512806672	
271.2269	183.86	0.9975848534460287	-0.06890645296295195	C16H30O3
271.3189	141.57	0.8991193116153982	0.5055117667337528	
176.066	23.28	0.8318573021637822	-0.8244101168188058	
272.2221	181.76	0.9975848534460287	-0.0478152754079719	C16H28O3
272.2221	209.27	0.9975848534460287	0.02986470929516513	
224.1282	27.35	0.9593024785117341	-0.3063302103312199	
272.3221	141.7	0.9342145475183662	0.3712982662913491	
272.9442	20.78	0.5941184609262053	1.935545658418655	
273.0911	29.71	0.850909611436195	0.7315490954335769	
273.0911	46.84	0.7672222984651028	-1.0382276846637433	
273.0911	221.4	0.5826604857603673	-2.8294742930072405	
273.0911	247.89	0.49467428951847736	-3.9168185172635868	
273.1697	25.91	0.850909611436195	0.7221747576149041	
273.2537	27.88	0.9975848534460287	-0.02126889197914925	
273.9455	20.78	0.8828181888088652	-0.6033359959253883	
119.0494	27.48	0.6141343346375993	-1.7224306144403554	C8H6O
119.0688	39.06	0.5917634813300079	-2.1806543340447493	
274.2741	34.6	0.8156348636747626	-0.8919835422408768	C16H35NO2
