m/z	rtime	p-value	t-score	custom_id
114.0634	25.25	0.5335220964969126	-1.1535799628181955	
114.0634	30.66	0.45707442962795414	-1.4071789333597482	
114.0666	22.62	0.986392397315155	0.03559808248584531	
114.0895	111.25	0.9347793272875157	0.1855300122389512	
114.0895	199.52	0.8216217871665986	0.46401115984555624	
114.0895	202.03	0.7987906769138026	0.5219548577076113	
114.0895	207.96	0.451843879556998	1.4764220640760706	
114.0895	214.55	0.20561237738834157	3.0061147714329417	
114.0895	283.07	0.3636062128226466	1.9363316791986798	
114.0895	362.22	0.451843879556998	1.5038538630028966	
114.0895	380.52	0.7126810188686385	0.7160738588878682	
114.0895	400.79	0.451843879556998	1.519358740869942	
114.0895	404.08	0.9164134643685402	-0.2298611484509801	
114.0895	416.34	0.7312048050628498	0.6739678047865921	
114.0895	476.97	0.79478983753683	0.532978760115496	
114.0895	479.6	0.8216217871665986	0.46327557312575945	
114.0895	609.84	0.5159690554691009	1.1970889568762588	
114.0895	612.75	0.6009023791312341	0.9802594568880912	
174.0387	21.97	0.09574653173849508	-3.95115471889863	
221.0921	22.75	0.7126810188686385	-0.7163179147454135	
174.0914	24.33	0.06882671861075047	4.29020224787139	
268.1908	21.44	0.7952290735431123	0.5307728037667445	
268.1908	24.33	0.9770421027798253	0.07470673581514843	
268.2272	142.75	0.9672331962316233	-0.10331686677961895	
268.2272	150.0	0.9696910480075284	0.09279598485270704	
268.2272	176.22	0.9607608498388325	-0.11802457128139873	
268.2272	183.73	0.9501236249113687	-0.1421189013970489	
268.2637	58.16	0.32702724550580886	-2.1683696143682742	
268.2637	228.51	0.37599346630635666	-1.8871530361563977	C18H32O
268.2716	200.85	0.6770517594190092	-0.7961558930393842	C18H34O
268.2716	214.16	0.9233697380377651	-0.21108817165364405	C18H34O
268.2716	249.6	0.9213053774786399	0.21737452167353355	C18H34O
221.1758	176.09	0.2589377659833205	-2.6255491776053055	
221.1758	183.86	0.33485764993209177	-2.097367350168887	
115.0972	24.59	0.451843879556998	1.5180798966694653	
221.1901	150.26	0.36216476932757063	-1.9428632610659389	
221.1901	181.5	0.451843879556998	-1.5757516019452533	
221.1901	204.39	0.451843879556998	-1.535261498068851	
221.1901	209.14	0.5298008201537496	-1.1633932763885084	
268.9976	1.24	0.9850754270325073	-0.042658630492181146	
174.1359	176.35	0.32702724550580886	-2.1583695218458834	
174.1359	183.73	0.28904881977542213	-2.352000965455174	
116.0623	38.8	0.8290595907117114	-0.44645149323827954	
116.0687	380.26	0.9359240723431144	0.18170584444241988	
116.0687	595.24	0.565291235161427	-1.0707527499982796	
116.0732	24.86	0.451843879556998	1.4998208726042914	
222.1796	0.98	0.46646282663442973	1.3618779093221238	C25H47NO5
174.9532	159.08	0.805744492978362	0.5057928950469124	
174.9532	189.51	0.5280241081914774	1.1681238313053788	
174.9532	221.4	0.451843879556998	1.4766872867264418	
269.2111	176.48	0.27055811767611104	-2.5581865162509776	C16H28O3
269.2111	183.86	0.23909017029331234	-2.7790262632797647	C16H28O3
117.0576	24.72	0.0008476143358927437	10.976408066392342	
223.1541	24.72	0.42871784488878706	1.6679593740991108	
270.2145	176.35	0.7486999651348674	-0.6312745269845008	C16H28O3
270.2145	183.6	0.8986906804229751	-0.27504242780410143	C16H28O3
175.1192	24.2	0.46442311635228467	1.370737769704356	
270.2429	176.35	0.2732158406617846	-2.521204824118469	
270.2429	183.86	0.2598864092813756	-2.6157756873572873	
223.8841	21.97	0.640975004883898	-0.8745722319110486	
270.3155	141.57	0.7971158648520537	-0.5271624174893242	
175.9544	21.57	0.7820762293947423	-0.5643816760954736	
176.066	23.28	0.15616589087493085	3.438036302008454	
270.9762	4.4	0.451843879556998	1.5241003057820797	
224.1282	27.35	0.5969206255364815	-0.9906096080307488	
270.9777	20.24	0.4031250411520527	-1.7640820154915942	
271.04	21.31	0.451843879556998	1.479808205794703	
271.1692	357.63	0.451843879556998	1.4760404452653686	
119.0494	27.48	0.37509880769907106	1.8925931094863468	C8H6O
176.1225	1.9	0.5610358417394653	1.0871271485796128	
271.2056	206.78	0.7568880585179503	0.6146897824701391	
271.2056	283.86	0.47878570695210776	1.303284002567513	
271.2269	176.35	0.2757683686188548	-2.4788297152140704	
271.2269	183.86	0.24726053387198632	-2.7246210816902066	C16H30O3
119.0688	39.06	0.5262698474859092	-1.1745163607659435	
271.2459	176.22	0.3182225333631504	-2.2128695997415675	
271.2459	183.6	0.2716792318361276	-2.5417194328712247	
271.3189	141.57	0.7763985814483055	-0.5765515568477056	
225.0345	21.31	0.168190601680417	3.3406584632437673	
272.0206	24.46	0.9308371850411868	0.19279899332834963	
225.0723	2.29	0.3285647669442147	2.14238795812576	
225.0723	23.02	0.35862373867872144	1.9615441971949095	C8H13NO4
119.0836	110.72	0.746137722392505	0.6350705553285378	
119.0836	179.37	0.5616960253403479	1.0819390059553828	
119.0836	244.98	0.7418124149072639	0.652983618315831	
119.0836	273.2	0.871369861857694	0.3483567907370213	
119.0836	306.15	0.7873496704253838	-0.5484595548215212	
119.0836	337.96	0.8552606688132247	0.3840817003366238	
119.0836	607.87	0.9387759617789264	0.173867801262912	
119.0836	613.14	0.6499745234086068	0.8518060817025794	
272.2221	32.89	0.4777998191362563	-1.3090750452153155	
272.2221	181.76	0.2761374927436919	-2.4494525346140112	C16H28O3
272.2221	209.27	0.30164304748657605	-2.285208420994972	
272.2302	176.35	0.2869860692769238	-2.369966056517351	
272.2302	183.86	0.27313700142679603	-2.5266541413491983	C16H30O3
272.3221	141.7	0.8728828039761344	-0.3430324567903724	
272.9442	20.78	0.7797259774690425	-0.5700328903247244	
120.0528	27.35	0.2761374927436919	2.4633280254413643	C8H6O
120.0528	30.53	0.23735988168620267	2.7883383341765695	C8H6O
120.0528	204.26	0.6065572293793687	0.9672715340384197	C8H6O
273.0911	29.71	0.9050818726839541	-0.2614034745422238	
273.0911	46.84	0.7290807843955224	0.6795202972429855	
273.0911	221.4	0.8933841332749359	-0.2894561516751313	
273.0911	247.89	0.7102819379608323	0.7206774116435789	
120.0658	24.07	0.5348390313593901	1.1502816619676797	
120.0811	24.59	0.04601381659784619	4.720658758171654	
177.1275	37.09	0.6162414178921501	-0.9362794869322649	
273.1697	25.91	0.410959463000912	1.7302503787965275	
225.8811	22.23	0.5365162552487014	-1.1448526198134783	
177.1638	39.32	0.8122113628888896	-0.4847276494839629	
273.2537	27.88	0.39439801315968015	-1.7992550804694916	
273.9455	20.78	0.4870149989002099	1.2695899794211427	
121.0399	22.75	0.40444195757612855	-1.7499879599955506	
178.1227	32.63	0.45707442962795414	-1.4128776757786177	
121.0844	24.59	0.0639930543911068	4.371828944936333	
226.1803	176.35	0.2761374927436919	-2.449741611143105	
226.1803	183.86	0.25848156552967544	-2.643393570505058	
226.2167	174.77	0.3376429031649271	-2.0742214173502767	
226.2167	181.36	0.3664269614080379	-1.925337400925174	C14H27NO
226.2167	204.39	0.39692936576297205	-1.7867347500700503	C14H27NO
226.2167	209.27	0.32702724550580886	-2.161059775255409	C14H27NO
226.2167	228.51	0.39143433499438335	-1.8177000498553804	C15H26O
274.2741	34.6	0.32904025405887466	-2.138941545481211	C16H35NO2
179.0638	31.05	0.4771431827373501	-1.3123092753429677	
122.0687	65.15	0.22164917861298905	2.9035631276172738	
226.9516	21.05	0.6151451401372492	-0.9403717859020688	C6H4Cl2O5
274.8813	21.44	0.5395884336665968	-1.1349620477917923	
226.9602	3.61	0.9136775269874374	0.23890961211089934	
274.9369	1.9	0.8705928338404489	0.35420986920443837	
274.9418	20.92	0.7057392371473094	-0.7364829837385964	
122.0814	21.7	0.8929638724741689	-0.29243815348138424	
275.0538	24.33	0.392490711229602	1.8073943395577716	
275.0538	25.38	0.3880056845334663	1.8295036084693235	
179.1625	26.96	0.8707565272460874	0.35147534927597573	C10H16
227.1643	176.35	0.27450218493783946	-2.5032794742759927	C36H69NO8
227.1643	183.73	0.2506828313957861	-2.6893230944947284	
227.1835	176.35	0.2761374927436919	-2.4606067381946333	
227.1835	183.73	0.27313700142679603	-2.527263581227138	
276.1442	24.99	0.29049013325240997	2.34361464113021	
227.2119	176.35	0.27450218493783946	-2.489718528249842	C12H22O
227.2119	183.86	0.24253051816463683	-2.763526310071797	
123.0682	23.67	0.9746929450087172	0.07899217950409392	
227.9549	21.05	0.5752419149134754	-1.0466270121457508	C6H4Cl2O5
227.9687	21.57	0.6742281736463613	0.8025489469607666	
277.1283	27.61	0.46097820977320014	-1.3856102042609082	
123.941	22.75	0.4860171386317025	-1.2719103950190904	
180.1384	21.7	0.7030723694328579	-0.7409042305543755	
180.1748	27.35	0.2506828313957861	-2.6949914924837692	
180.1748	175.96	0.368316119628131	-1.9134857621432264	
180.1748	184.12	0.30164304748657605	-2.2872574608619005	
228.1959	176.35	0.27450218493783946	-2.4935597918575496	
124.0589	23.28	0.2974869017388953	-2.306030847428446	
124.0759	23.67	0.368316119628131	-1.9151107475202438	
277.9571	0.98	0.9882888167338105	-0.03118248022637675	
229.1185	22.75	0.4106253014360633	-1.7345136160632775	
229.18	27.88	0.3993303703516036	-1.778569986671475	C13H24O3
229.18	176.35	0.2761374927436919	-2.4594711725976057	C13H24O3
229.18	183.86	0.24726053387198632	-2.729539228470106	C13H24O3
229.1992	176.35	0.2761374927436919	-2.4474021323620314	
229.1992	183.86	0.2543121486731954	-2.6640261678215245	
181.1086	22.49	0.451843879556998	1.5181716618714631	
125.0793	23.8	0.6731470788040894	-0.8043134490957561	
278.9033	1.37	0.7437011025938434	-0.6448626233374603	
278.9539	0.98	0.9308371850411868	-0.19339546548605763	
278.9539	2.95	0.9689333562406894	-0.09538695634648028	
278.9652	21.18	0.5874340057686661	1.0132960660528552	
279.0629	23.67	0.9944372884465952	-0.013998614803422555	
181.1588	176.35	0.2768946852020438	-2.4227386922059395	C12H20O
181.1588	183.99	0.26059981569948704	-2.608775443968975	C12H20O
230.2024	176.35	0.2711352009624492	-2.548440432153462	
230.2024	183.6	0.2506828313957861	-2.698386271200823	
279.0934	30.24	0.451843879556998	-1.483202579883859	
230.248	51.31	0.21101783242851438	-2.9548620726770918	C14H31NO
230.9713	2.16	0.8294072757703906	0.44498895227114604	
279.1137	206.78	0.8931234576771949	0.29019181128336646	
182.0294	22.49	0.4791898150385179	-1.300098238230446	
182.032	2.03	0.8085869374195934	-0.4970185408863235	
182.0814	23.28	0.33485764993209177	-2.0969447469549425	C7H8O3
279.1955	27.48	0.5752419149134754	-1.0469310695374454	C17H26O3
279.1955	29.06	0.9421904737156785	-0.16268068661474785	
126.0664	21.97	0.13427088788845973	-3.5926231887848754	
182.1037	22.23	0.31308375642187747	-2.23852892962769	
279.9028	1.37	0.8099687001007494	-0.49114631499642525	
280.1756	24.86	0.5090460908390243	-1.211458438274189	
183.0918	25.64	0.5681257567368023	1.0650564437198502	
280.9543	0.98	0.8929638724741689	0.29347688945119815	
232.8968	21.44	0.1969079090973612	-3.0566732887786117	
127.073	22.62	0.3198384722545434	-2.206848963665466	
183.1745	176.35	0.3225505895496715	-2.1882251964234567	C12H22O
183.1745	184.12	0.2774624785002385	-2.410186843521157	C12H22O
281.101	31.05	0.4824765517635624	1.2850715378074296	
281.107	23.67	0.0008786328848257531	10.793734369625158	
127.0894	23.54	0.46097820977320014	1.382850523559622	
127.0894	105.32	0.4727552462419888	1.3342032132536787	
281.2111	50.78	0.9703838513079726	0.08889753224175397	C17H28O3
281.8426	22.1	0.5818216677771498	-1.026451917806686	
281.9521	1.24	0.8451768674034066	0.4024648251374312	
281.9521	3.08	0.5349279346841436	1.1493127301569779	
282.1053	31.05	0.4200033296624477	1.6942302065928754	
282.1911	24.59	0.8092091821062036	-0.4928789453451433	
282.2042	27.61	0.2876746462020156	-2.3579419928383345	C17H26O3
282.2277	27.61	0.3358636597102297	2.0915387196161994	
233.9129	21.84	0.7611447153242107	-0.6067970789801309	
282.9497	0.98	0.9623032408331865	0.11430390660824939	
233.9822	20.11	0.36216476932757063	1.944868300907333	
234.0032	189.64	0.9077093020513473	0.2540171743577792	
283.0942	24.2	0.451843879556998	1.512866381645167	
283.1176	27.09	0.392490711229602	1.8042899916760387	
283.144	35.38	0.9672331962316233	0.10271114263170074	C15H20O5
234.091	445.06	0.8715692605622943	-0.3472688978262536	
234.091	603.91	0.45707442962795414	1.421837621968923	
128.9537	1.24	0.876354088227072	-0.33061266476967077	
283.175	22.75	0.3358636597102297	-2.0879072240277172	
283.2461	196.1	0.9519747356723536	0.13749155331778362	
184.1697	176.22	0.2516894003711655	-2.674987379335989	C12H20O
184.1697	183.73	0.2973539392992992	-2.3076308019536023	C12H20O
184.1697	228.11	0.45707442962795414	-1.4183348378951595	
283.8397	22.1	0.565692956993706	-1.0692847156253753	
284.0706	24.2	0.6019425415159646	0.9773514442893264	
284.121	26.96	0.31516360511007235	2.2242496690066407	
184.8891	1.24	0.4406733896675297	1.6294077049242104	
284.1858	26.17	0.8132548840671338	0.48232021486118715	
234.2217	25.12	0.368316119628131	-1.914021755684054	
184.99	3.74	0.5792089328204025	1.0352891192395706	
184.99	40.78	0.9850619863420896	-0.04312357546272961	
184.99	68.2	0.8787660665786206	0.3242161872952843	
184.99	80.69	0.9106724054008962	0.24765503118559132	
184.99	142.36	0.6901128065536415	0.7685497435462043	
184.99	184.38	0.8862171976270822	0.3081549616362018	
184.99	219.93	0.6012146454300603	0.9787534037932198	
184.99	320.49	0.9429616132646995	0.1602856885405789	
184.99	473.14	0.7889792522300947	0.5448579171017393	
184.99	482.49	0.9203950643582415	0.2202763675400094	
184.99	589.97	0.9632951104364332	0.10959800907794601	
184.99	591.83	0.7102819379608323	0.7219604252653639	
184.99	605.09	0.4735991247875216	1.3291156810329194	
184.99	606.16	0.6476676868598132	0.8608785779004781	
235.0126	2.29	0.8290595907117114	-0.44650752445508884	
235.0143	199.12	0.9917549361803683	-0.02023638819419822	
235.0143	202.16	0.9136775269874374	-0.24011764884126538	
284.9101	21.31	0.5347915647063506	-1.1510181347863813	
235.1189	21.31	0.4197821603000781	-1.7047785569204064	
235.1189	22.49	0.4217149632933759	-1.6862451543102879	
284.995	1.24	0.8401464489651137	-0.4127389032400252	
285.1098	24.2	0.32702724550580886	-2.1640927839528423	
130.0654	24.99	0.11944268699498164	3.718010650019042	
130.0835	83.85	0.32702724550580886	2.1490718549567713	
130.0835	91.24	0.32702724550580886	2.1496938218402897	
185.1286	21.7	0.3379572187904773	-2.0643927096081063	
130.1309	21.7	0.746137722392505	-0.6363914160917341	
285.2697	94.65	0.46670335511811967	1.3594987523822373	C18H34O2
285.2697	96.13	0.45707442962795414	1.4059371149437925	
285.2787	200.98	0.451843879556998	-1.4764236534282016	C18H36O2
236.1282	26.69	0.9829865728922745	-0.053191039965317356	
286.105	23.15	3.8122195342352556e-05	20.85168152443782	
236.201	174.77	0.5842080864946225	-1.0203227517963742	
236.201	181.63	0.7664169040377121	-0.5967265234624981	
236.201	188.19	0.4039459452878942	1.7601806159029003	
236.201	204.39	0.6256037628319058	-0.9104383303941289	
236.201	209.67	0.722760906067617	-0.6943320154440135	
131.0857	39.19	0.7418124149072639	-0.6531656335479209	
131.0857	610.65	0.9623032408331865	0.11391221134866229	
131.1152	25.25	0.9623032408331865	0.11411704371338759	
131.1152	202.16	0.9743261117438915	0.08166970183123098	
131.1152	277.95	0.7755777787741865	0.5783631341930942	
131.1152	440.04	0.9833362140648889	0.04976127402535821	
131.1152	447.68	0.9359240723431144	-0.18167754464393812	
286.2821	200.98	0.482018279661073	-1.2908402045970748	C18H36O2
286.2935	170.7	0.6151451401372492	-0.9408171432946867	
286.9598	20.65	0.451843879556998	-1.5382249027291275	
287.0892	24.33	0.4771431827373501	1.312025652077321	
287.1084	23.02	1.0547692957140085e-05	27.400344400449868	
287.1489	31.05	0.3787147387387345	-1.8777364398269618	C14H22O6
287.1853	27.35	0.4200033296624477	1.6984032765483927	
287.2217	176.35	0.2778185888322763	-2.4039123747536735	C16H30O4
287.2217	183.86	0.25353711815403224	-2.668033335919278	C16H30O4
132.0769	22.62	0.8706582920031871	-0.3533220077569187	
132.089	39.85	0.9950471166716565	-0.011660110767859163	
132.089	176.48	0.18793153264058227	-3.1083651141284756	
186.9956	1.24	0.8266932745617531	0.45048922706872824	
237.185	204.39	0.29489577261143674	-2.321099201006738	C15H24O2
133.0318	24.07	0.3568964659757869	1.9698224777677054	
288.2896	34.2	0.1457150123063061	-3.4967416459155007	
288.2896	37.09	0.24726053387198632	-2.7313973501472137	C17H37NO2
133.0762	24.86	0.0007883603743770101	-11.275274749800868	
187.0867	27.74	0.4553018067457547	1.4357267227869128	
289.0495	24.72	0.21096283126277546	2.9652384133566323	
289.0836	26.3	0.3787147387387345	-1.8712440299140771	
289.1645	27.22	0.33221355943992675	2.1105905642541933	C14H24O6
289.2486	27.09	0.24125161702214085	-2.770654343192289	
133.0972	24.33	0.5298008201537496	-1.1631814619964622	
289.9342	3.34	0.7080951145727585	0.7297816988987519	
289.9342	21.31	0.9418714788517701	0.16451908549793262	
238.1651	24.72	0.451843879556998	-1.5730835446272065	
238.1883	181.63	0.30164304748657605	2.288859131631475	C15H24O2
238.1883	204.26	0.5002546069745464	1.2327129165429254	C15H24O2
