m/z	rtime	p-value	t-score	custom_id
114.0666	22.62	0.7859147232106518	-1.0740461461613435	
114.0895	83.32	0.6244350830967895	1.5923779795865172	
114.0895	111.25	0.9545692047665647	0.5292410117549106	
114.0895	202.03	0.7781145943859287	1.0987698211826182	
114.0895	214.55	0.9995173101710486	-0.05926193779902056	
114.0895	334.33	0.691214557612608	1.3656828619681174	
114.0895	380.52	0.5834581141460989	1.7231370704460383	
114.0895	404.08	0.9474301501978041	-0.5626716996889914	
114.0895	603.12	0.9408565460827889	-0.6032457903330758	
174.0387	21.97	0.1948398552632444	-4.785731380433394	
268.1036	24.86	0.956764173418673	-0.5043680047388603	C12H20O4
174.0914	24.33	0.7650089497348639	-1.1238694000307137	
268.1908	21.44	0.9995173101710486	0.08208058012394563	
268.1908	24.33	0.6302555793230955	1.5729505831621498	
268.2272	142.75	0.9995173101710486	0.0288273934747669	
268.2272	150.0	0.9995173101710486	0.009083120998199655	
268.2272	176.22	0.9995173101710486	-0.053766271750924216	
268.2272	183.73	0.9995173101710486	-0.0739549959456372	
268.2637	58.16	0.7997301128531009	1.0311514024294657	
268.2637	228.51	0.9995173101710486	0.12620908210748635	C18H32O
268.2716	200.85	0.9432856839703804	-0.5860046031473128	C18H34O
268.2716	214.16	0.42965194219331415	-3.165049275607936	C18H34O
268.2716	249.6	0.4336875356565367	-3.138776436699147	C18H34O
221.1758	176.09	0.9995173101710486	0.05057182900468479	
221.1758	183.86	0.9995173101710486	0.05625763128741164	
221.1901	150.26	0.9585524957991611	0.4525378729382243	
221.1901	181.5	0.9652381814193741	0.42268762058239256	
221.1901	204.39	0.9710466896787896	0.3988791927508891	
221.1901	209.14	0.956764173418673	0.4830152845988138	
268.9976	1.24	0.5265145592459127	2.776363485138995	
174.1359	176.35	0.9995173101710486	-0.032124326165105334	
174.1359	183.73	0.9995173101710486	-0.01474367853323997	
116.0623	38.8	0.5640300510931284	-2.06473013980615	
116.0687	25.64	0.9995173101710486	0.14421452193601703	
116.0687	476.97	0.8994297457527582	0.7557132153246637	
116.0687	602.99	0.9127234712120674	0.6980745468650532	
222.183	176.61	0.9995173101710486	0.19052761248996455	
222.183	183.47	0.9995173101710486	0.16006664104002596	C12H25NO
222.183	184.12	0.9995173101710486	0.26451004095776987	
174.9532	159.08	0.956764173418673	-0.4773524080075278	
174.9532	189.51	0.5640300510931284	-2.029685860043657	
174.9532	221.4	0.5640300510931284	-2.1484682357567166	
269.2111	176.48	0.9995173101710486	-0.19295370677193607	C16H28O3
269.2111	183.86	0.9995173101710486	-0.17377862109945652	C16H28O3
223.0458	24.86	0.3034047145002197	-3.814260504726397	
270.1395	21.7	0.5640300510931284	1.9996077007108635	
223.1541	24.72	0.6459536100044536	-1.5334146423610369	
270.2145	176.35	0.9995173101710486	-0.16673092843179482	C16H28O3
270.2145	183.6	0.9995173101710486	-0.15865084041315336	C16H28O3
175.1192	24.2	0.842719916234468	-0.9227915876739976	
270.2429	176.35	0.9995173101710486	-0.09233309211250124	
270.2429	183.86	0.9995173101710486	-0.06573447662207514	
223.8841	21.97	0.956764173418673	0.507381644758584	
270.3155	141.57	0.9494542761598554	0.54584188245901	
175.9544	21.57	0.9995173101710486	-0.20045152956305054	
176.066	23.28	0.8949266248987453	-0.7699234345014482	
224.1282	27.35	0.9995173101710486	-0.1552410827777468	
270.9777	20.24	0.43431623414077264	3.132480917374139	
271.04	21.31	0.13085154837158827	5.7934945727389815	
119.0494	27.48	0.6519828413486399	-1.5095366116577866	C8H6O
271.2056	206.78	0.9585524957991611	-0.4536799250087732	
271.2056	283.86	0.9626586597013407	-0.43543858890995535	
271.2269	176.35	0.9995173101710486	-0.08975761019657919	
271.2269	183.86	0.9995173101710486	-0.054201034973416704	C16H30O3
119.0688	39.06	0.5640300510931284	-1.873488628771067	
271.2459	176.22	0.9995173101710486	-0.06572223367638011	
271.2459	183.6	0.9995173101710486	0.0026975054901984844	
271.3189	141.57	0.9426919493022835	0.59572940048049	
225.0345	21.31	0.3086298135889924	3.754576869139808	
177.0404	24.72	0.314999807707481	-3.7168586543011624	
119.0836	179.37	0.956764173418673	-0.49808323901693646	
119.0836	244.98	0.9923737250129502	0.3052239537662011	
119.0836	273.2	0.8502537994596355	0.8978104357654414	
119.0836	306.15	0.4236849596242855	3.2229369668614236	
119.0836	337.96	0.9995173101710486	-0.2715401865060465	
