m/z	rtime	p-value	t-score	custom_id
114.0634	25.25	0.7541499418545152	0.8975134546207799	
114.0634	30.66	0.7691417186295709	0.8665164211825496	
114.0666	22.62	0.9759971804859333	-0.15788415740053982	
114.0895	111.25	0.9582049830745034	0.31625774590886524	
114.0895	199.52	0.34775492403197905	2.453993555253166	
114.0895	202.03	0.48486409151986304	1.6276545478503837	
114.0895	214.55	0.35597032997943695	2.4145541985034895	
114.0895	334.33	0.0067215171960804	16.30321168957963	
114.0895	362.22	0.7303427034213401	0.9558370514335973	
114.0895	380.52	0.18900635690871145	3.8280615670552818	
114.0895	404.08	0.9987920943423193	0.001954281047472369	
114.0895	407.96	0.42726892731550214	1.8650872109784258	
114.0895	411.23	0.11006050780150749	5.371874238954167	
114.0895	416.34	0.7565625554574881	0.8896708478822439	
114.0895	479.6	0.00209302444493211	26.037041636293466	
114.0895	593.93	0.8492350256567992	0.6477571482750574	
114.0895	612.75	0.5852837765162026	1.3122011342266653	
114.0938	137.3	0.41438044266841517	1.9837336096911795	
174.0387	21.97	0.37172495173404635	2.3149065900769994	
174.0551	25.25	0.24224724501439107	3.095052612760811	
174.0551	28.93	0.2952062094406214	2.701007356808942	
221.0745	30.24	0.8614779463441935	0.6167648583784272	
268.1036	24.86	0.22916029821971098	3.234663992012857	C12H20O4
174.0914	24.33	0.41438044266841517	-2.118333175291229	
268.1908	21.44	0.5137636770360918	-1.5360845180131242	
268.1908	24.33	0.5622341461742438	-1.3903265889176153	
268.2272	142.75	0.9819694102671693	-0.05418350038432345	
268.2272	150.0	0.9766841216349964	-0.0774660689849348	
268.2272	176.22	0.9790829384841615	-0.06551237497861241	
268.2272	183.73	0.9759971804859333	-0.09168344545491805	
268.2637	58.16	0.2952062094406214	2.70137138025386	
268.2637	228.51	0.9759971804859333	-0.24126788662689166	C18H32O
268.2716	200.85	0.38530749731549113	2.235344123992788	C18H34O
268.2716	214.16	0.2558650966499657	-2.957749375848392	C18H34O
268.2716	249.6	0.3676017041385084	-2.329448584710486	C18H34O
221.1758	176.09	0.9760397714922323	-0.0859361064642325	
221.1758	183.86	0.9759971804859333	-0.11548331108841423	
115.0972	24.59	0.49766651539705353	1.5874487742699661	
221.1901	150.26	0.7283340489641995	0.9635809202584458	
221.1901	181.5	0.7261233493755201	0.9701913152935214	
221.1901	204.39	0.7416548408792187	0.9272363583887775	
221.1901	209.14	0.7051509070654689	1.0142613583958613	
268.9976	1.24	0.24277720084006654	3.0656789257048125	
269.0875	22.62	0.004593191953657922	19.03246170452734	
174.1359	176.35	0.9760397714922323	-0.08027638730682328	
174.1359	183.73	0.9759971804859333	-0.11455955906107096	
116.0623	38.8	0.9759971804859333	0.12583361940127774	
116.0687	23.54	0.4655205945647075	1.6995780190680128	
116.0687	25.64	0.654242486349227	1.1485674719742585	
116.0687	110.21	0.7424433256852755	0.9231517876053015	
116.0687	132.7	0.3885591345030396	2.2146441511577732	
116.0687	380.26	0.21026264191934854	3.492425917785028	
116.0687	401.19	0.3621195328697948	2.3557283927297075	
116.0687	406.51	0.4817136106283801	1.6371843129424937	
116.0687	476.97	0.8443365453596604	0.6644199875715214	
116.0687	478.68	0.2222145885668437	3.3250873345086696	
116.0687	595.24	0.007561149185255488	14.972525296903443	
116.0687	602.99	0.8773879734923067	0.5743363133941982	
116.0732	107.59	0.17899369618344926	4.074366160360079	
116.0732	379.6	0.42398588969607903	1.8866637599927427	
116.0732	409.53	0.4269016345570062	1.8715463960182637	
222.1796	0.98	0.03159978827896438	9.148095129863483	C25H47NO5
269.2111	176.48	0.9759971804859333	-0.22194419845626467	C16H28O3
269.2111	183.86	0.9759971804859333	-0.24405062470318992	C16H28O3
223.0458	24.86	0.05466592970196364	7.266524035154126	
223.1541	24.72	0.8157851812085332	-0.7517273938573219	
270.2145	176.35	0.9759971804859333	-0.2644090809661826	C16H28O3
270.2145	183.6	0.9759971804859333	-0.19757392451935754	C16H28O3
175.1192	24.2	0.8604654437985688	-0.624479871596942	
270.2429	176.35	0.9759971804859333	-0.21378140637910542	
270.2429	183.86	0.9759971804859333	-0.18129545482327103	
223.8841	21.97	0.4182529388758749	1.9091575894582777	
224.0494	24.86	0.41438044266841517	1.9325545261005683	
270.3155	141.57	0.8971651701655238	-0.494434072038898	
175.9544	21.57	0.47975786905662976	1.64651650454026	
176.066	23.28	0.21134947886954214	-3.4616605779849197	
224.1282	27.35	0.2526330697422724	2.9838387334784033	
270.9777	20.24	0.0067215171960804	16.349720053813385	
119.0494	27.48	0.41438044266841517	-2.0309034320632993	C8H6O
224.9716	23.28	0.41438044266841517	1.994633702160824	
271.2056	206.78	0.19815153394909585	-3.6468147123822092	
271.2056	283.86	0.11232276814344662	-5.287383010962297	
271.2269	176.35	0.9759971804859333	-0.1978999466971318	
271.2269	183.86	0.9759971804859333	-0.1693567831460597	C16H30O3
119.0688	39.06	0.9759971804859333	-0.21302760663447917	
271.2459	176.22	0.9759971804859333	-0.25901903534389287	
271.2459	183.6	0.9759971804859333	-0.15259549807800946	
271.3189	141.57	0.9301464758362429	-0.4208482857209534	
177.0404	24.72	0.04369043242792798	7.950577438925685	
119.0836	110.72	0.9410869693065426	0.3703304764484778	
119.0836	179.37	0.5863335084232798	1.3066410835688573	
119.0836	244.98	0.8443365453596604	0.6686498605819219	
119.0836	273.2	0.4371319340222159	1.8257070116124918	
119.0836	306.15	0.2359797591141722	3.1506721732087812	
119.0836	337.96	0.9759971804859333	-0.22077260414197275	
119.0836	607.87	0.9481776619985366	0.347618607931246	
272.2221	32.89	0.9022107834130764	-0.4798230723931011	
272.2221	181.76	0.9759971804859333	-0.20578578352008522	C16H28O3
272.2221	209.27	0.9759971804859333	-0.09478735696214687	
272.2302	176.35	0.9759971804859333	-0.15419411043127837	
272.2302	183.86	0.9759971804859333	-0.16924019841368795	C16H30O3
272.233	27.88	0.8876421126109681	0.5376776889299071	
272.3221	141.7	0.9077186596212926	-0.468357752114744	
272.9442	20.78	0.3220609543694537	2.5613180008915806	
120.0528	27.35	0.4331682579351606	-1.8449139604913363	C8H6O
120.0528	30.53	0.6143729892678864	-1.2446427326285856	C8H6O
120.0528	204.26	0.41438044266841517	1.9714818212918832	C8H6O
225.1387	27.48	0.8239106184597521	0.7316823222029808	C13H18O3
273.0911	29.71	0.052759702421440964	-7.359237548864979	
273.0911	46.84	0.5299629070129473	1.4801266127331543	
273.0911	221.4	0.8677619101378281	0.6036601720275687	
273.0911	247.89	0.38530749731549113	2.2380479099919315	
120.0658	24.07	0.890517402214733	0.5277450449767064	
120.0811	24.59	0.24277720084006654	-3.0779097799107094	
177.1275	37.09	0.8436395600079826	-0.6736628780707518	
273.1697	25.91	0.9759971804859333	0.18839753246293037	
225.8811	22.23	0.5408522138984305	1.4437577741329304	
177.1638	39.32	0.9759971804859333	-0.20597357362361868	
273.2537	27.88	0.8971651701655238	0.4947830249236566	
273.9455	20.78	0.3860330463535005	2.227330662816419	
121.0399	22.75	0.4252222250445111	1.8817876285928925	
178.1227	32.63	0.1451777510705481	4.6286144676139465	
178.1341	22.36	0.5299629070129473	1.4790657977454615	
121.0844	24.59	0.15350770399370978	-4.491300969909436	
226.1803	176.35	0.9759971804859333	-0.16645554764373757	
226.1803	183.86	0.9759971804859333	-0.1512841259869419	
274.257	27.88	0.9301464758362429	0.42298312350704487	
122.0433	22.89	0.9948155432558264	-0.01281132179656702	
226.2167	174.77	0.8305527996416722	-0.7033156727263421	
226.2167	181.36	0.825188042668365	-0.7286690622868174	C14H27NO
226.2167	204.39	0.8847642826769854	-0.5448908628910871	C14H27NO
226.2167	209.27	0.8648050131668508	-0.6087665585573881	C14H27NO
226.2167	228.51	0.7794923720957642	-0.8419255002461562	C15H26O
274.2741	34.6	0.6446899334918714	-1.1777363291935445	C16H35NO2
179.0638	31.05	0.14102727965275488	4.676869805524986	
122.0687	65.15	0.9759971804859333	0.09821230565975073	
226.9516	21.05	0.21821229686051255	3.3627522052209247	C6H4Cl2O5
274.8813	21.44	0.41438044266841517	1.9524682227293217	
226.9602	3.61	0.007561149185255488	14.921907970536235	
274.9369	1.9	0.4422557067331433	1.7968954707774103	
274.9418	20.92	0.3907121787706215	2.2064324247190292	
122.0814	21.7	0.4501273377226158	-1.776339030384749	
179.1625	26.96	0.41438044266841517	2.026499983506692	C10H16
227.1643	176.35	0.9759971804859333	-0.20162052931909505	C36H69NO8
227.1643	183.73	0.9759971804859333	-0.12283411221136512	
227.1835	176.35	0.9759971804859333	-0.18387043350182725	
227.1835	183.73	0.9759971804859333	-0.15499699128657668	
180.0444	23.94	0.41438044266841517	1.9812152620374408	
276.1442	24.99	0.457640187080581	-1.7473680560313685	
227.2119	176.35	0.9759971804859333	-0.2340432490590254	C12H22O
227.2119	183.86	0.9759971804859333	-0.21595035994846656	
123.0682	23.67	0.6994077446739746	-1.0409232782735514	
227.9549	21.05	0.4817136106283801	1.6364539899716413	C6H4Cl2O5
227.9687	21.57	0.9384298039240443	0.3791226170622466	
228.0608	22.23	0.18900635690871145	3.845400292969921	
277.086	28.93	0.41438044266841517	1.9999498769724264	
277.1283	27.61	0.6482450787233044	1.1686704901011327	
228.1312	65.83	0.9680215052378794	0.28669727716448873	C12H18O4
228.1312	183.47	0.9301464758362429	0.4184437137150506	
123.941	22.75	0.6491987678875526	1.1643002503461024	
180.1384	21.7	0.787378048837427	0.8116358627640176	
180.1748	27.35	0.9445820541600308	0.3644984269489656	
180.1748	175.96	0.9831321287752304	-0.052045841755796414	
180.1748	184.12	0.9759971804859333	-0.11773248218881965	
228.1959	176.35	0.9759971804859333	-0.21126388195113913	
124.0589	23.28	0.8971651701655238	0.4963561928558526	
124.0759	23.67	0.5098370860171553	1.5522200941953217	
277.9571	0.98	0.34922956901824054	2.4473398721632558	
229.1185	22.75	0.6998325270474615	1.0376907470235754	
229.18	27.88	0.9865515441427761	0.04195008490849273	C13H24O3
229.18	176.35	0.9759971804859333	-0.16907191756580664	C13H24O3
229.18	183.86	0.9759971804859333	-0.16051449439397567	C13H24O3
229.1992	176.35	0.9759971804859333	-0.20380078413879477	
229.1992	183.86	0.9759971804859333	-0.17181932751208326	
