m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8520036033515206	1.3586270836072052	
219.1024	34.81	0.8520036033515206	1.500509114638649	
115.0198	24.65	0.9004686173406387	0.8803331234691275	
190.8584	1.18	0.909605700348886	-0.8063762914565454	
219.8915	22.29	0.8520036033515206	-1.6815017558311487	
219.8915	189.56	0.9004686173406387	0.9046091009573546	
219.8915	220.39	0.9204008896352532	0.715584126614582	
158.8459	22.15	0.8520036033515206	-1.9998034134333602	
159.8593	22.42	0.8520036033515206	-1.8992707866776952	
191.9457	23.6	0.857637292272794	1.1866419194008588	
192.1025	28.87	0.8520036033515206	1.588452085081408	
221.0526	21.89	0.963258538364957	-0.38302196634333646	C6H12O6
221.1544	34.94	0.8528689052850987	1.206720129343907	C14H22O2
221.8885	22.42	0.8520036033515206	-1.9041427986843935	
221.8885	189.56	0.8981600855060768	0.9488446427917111	
221.8885	220.52	0.9373799701558952	0.5870854670063685	
192.9583	22.29	0.8520036033515206	-1.6393389110218954	
221.9467	25.04	0.9818709257231518	-0.21583920925430203	
192.993	25.04	0.9855655096633789	-0.09375603419179508	
118.9915	24.39	0.857637292272794	1.1821521786843352	
118.9915	238.19	0.9204008896352532	0.667103399761338	
160.9069	2.1	0.8520036033515206	-1.4749053412381672	
193.0864	26.12	0.8520036033515206	1.506819651955264	
223.028	281.26	0.9823798379035464	-0.13236643906385726	
119.946	22.15	0.8520036033515206	-1.897164045881893	
119.9752	0.53	0.8959216619086225	-1.0050526213120707	
223.1338	35.07	0.9193086649944797	0.7633698373973284	
161.0238	2.36	0.8520036033515206	1.7073141694537493	
161.0255	24.52	0.9448941430529303	-0.5567906495033613	
194.0817	37.58	0.857637292272794	1.1717548319594657	
223.8856	189.56	0.9397194709160525	0.5819315175137105	
223.8856	220.52	0.9193086649944797	0.7587065279393618	
161.8417	22.02	0.8520036033515206	-1.98629322641857	
161.849	22.29	0.8520036033515206	-1.790329892738786	
223.9178	25.31	0.8520036033515206	-1.8941657767210434	
161.875	1.18	0.9204008896352532	-0.6782276850247362	
224.0275	281.26	0.9818709257231518	-0.17532427995631075	
224.0275	440.89	0.8520036033515206	2.5477174427866522	
195.1022	25.85	0.8520036033515206	-4.891804058787893	
195.1385	36.27	0.9481617146716557	0.5107386752411823	C12H20O2
195.8104	22.29	0.8520036033515206	-1.7088026730236847	
195.8547	0.53	0.909605700348886	-0.7986125452973017	
121.943	22.15	0.8520036033515206	-1.5377547225943131	
122.0601	23.86	0.9004686173406387	-0.8913220831867137	
196.0222	23.07	0.9816820404734019	-0.2915875239984534	
225.0074	34.67	0.9885965751961567	0.08701499079775533	
225.0074	37.45	0.857814214385783	-1.159072562168439	
225.0074	194.95	0.8959216619086225	-0.980005816130017	
225.0074	202.09	0.9004686173406387	-0.9173197612961698	
225.0167	22.68	0.857814214385783	-1.1593087644919629	
225.025	251.5	0.9481617146716557	-0.5203309098498474	
225.025	281.26	0.9397194709160525	-0.5813746980206681	
225.025	379.82	0.963258538364957	-0.3944340370491725	
225.0614	22.02	0.9204008896352532	0.6639954076766562	
197.0219	22.29	0.8520036033515206	-2.1537499132033995	
226.0201	22.55	0.8520036033515206	-1.3002105119680054	
226.0648	22.02	0.8614250701691885	1.1454733741328207	
197.8075	22.29	0.8520036033515206	-1.7000597691388137	
197.8518	0.53	0.9823798379035464	-0.12228265000984646	
163.0605	24.91	0.9481617146716557	0.5241909101403541	
163.8389	22.42	0.8520036033515206	-2.1429554095194767	
163.8461	22.42	0.8520036033515206	-1.9112362978167934	
163.9075	1.18	0.9887798969279414	-0.07217719615326837	
164.0709	24.52	0.9371844632833446	0.5908828534478189	
164.9265	23.47	0.9448941430529303	-0.5605057477029576	
227.9823	21.89	0.8520036033515206	1.7299857975951856	
199.8045	22.29	0.8520036033515206	-1.6999204326488098	
228.1604	25.98	0.9816820404734019	0.2746553690096737	C13H22O3
127.8692	22.42	0.8520036033515206	-1.8768404731377408	
165.0401	201.96	0.8520036033515206	-2.1162179083448205	
165.0401	225.25	0.8520036033515206	-1.2298098372829458	
165.0401	379.82	0.9419506332638728	0.5727745879578983	
165.8362	22.68	0.8520036033515206	-2.161021716784593	
165.9053	1.05	0.9814661039750322	-0.301068514354345	
165.9391	22.29	0.8520036033515206	-2.3887735284140277	
166.0502	23.73	0.8520036033515206	-1.8076186304181296	
201.8016	22.29	0.8520036033515206	-1.7701206188680711	
229.9205	22.42	0.8520036033515206	-2.2159349958847723	
166.8324	22.02	0.8520036033515206	-2.1121791770251312	
229.9522	25.57	0.8520036033515206	-1.47136390307303	
