m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8138665843741186	-1.0178100250353144	
219.1024	34.81	0.7210124274467629	1.6919583279570354	
115.0198	24.65	0.8826446127268351	0.5048555633260885	
190.8584	1.18	0.8240034437133626	0.8226246224936308	
219.8915	22.29	0.8255974733457568	0.7751687008182114	
219.8915	189.56	0.8187991966930157	0.889036506967899	
219.8915	220.39	0.9013443965862796	0.38774969892210925	
158.8459	22.15	0.8322268033273383	0.7186810074641038	
159.8593	22.42	0.8240034437133626	0.8345508233997289	
191.9457	23.6	0.8091885547574229	-1.031542195865533	
192.1025	28.87	0.7308639137026837	1.5954049758514928	
221.0526	21.89	0.7210124274467629	1.772007336100402	C6H12O6
221.1544	34.94	0.9398128529832673	0.21382996138131743	C14H22O2
221.8885	22.42	0.816261875503915	0.9236807061430252	
221.8885	189.56	0.8091885547574229	1.0630885477068501	
221.8885	220.52	0.884236503307283	0.4930539194599868	
192.9583	22.29	0.8052889585799754	1.1299003565199586	
221.9467	25.04	0.9149833833549492	0.31278556514736683	
192.993	25.04	0.8811760461706537	0.5141032666083775	
118.9915	24.39	0.8138665843741186	-1.0046859525677487	
118.9915	238.19	0.7210124274467629	-1.7890546781747134	
160.9069	2.1	0.8663442232902427	0.5753327552189116	
193.0864	26.12	0.7210124274467629	1.824692180289876	
223.028	281.26	0.8155906360189482	-0.9424628475534101	
119.946	22.15	0.7319392304720791	1.5192488893263434	
119.9752	0.53	0.8483577721091594	-0.6307956020152419	
223.1338	35.07	0.7512475314248346	1.4271278589833674	
161.0238	2.36	0.9806565431758356	0.07763518536285195	
161.0255	24.52	0.9013443965862796	0.41299472197849457	
194.0817	37.58	0.7210124274467629	1.9072324222894435	
223.8856	189.56	0.8159203455765945	0.9308539614598258	
223.8856	220.52	0.8483577721091594	0.6316475427185109	
161.8417	22.02	0.8472918589041332	0.6383619402689527	
161.849	22.29	0.8187991966930157	0.8885867489157274	
223.9178	25.31	0.8955033470366163	0.4373522527494414	
161.875	1.18	0.8472918589041332	0.6399861239235286	
224.0275	281.26	0.8091885547574229	-1.0871535318443235	
224.0275	440.89	0.816261875503915	0.8997481979337177	
195.1022	25.85	0.7524462083346185	1.3353965326354813	
195.1385	36.27	0.7210124274467629	1.6480974836005235	C12H20O2
195.8104	22.29	0.8203966218161145	0.8633266703944965	
195.8547	0.53	0.8282503122041566	0.7365795730701947	
121.943	22.15	0.7512475314248346	1.3666191998638306	
122.0601	23.86	0.9398128529832673	0.20631604008315835	
196.0222	23.07	0.9726466908958763	-0.11447661388401763	
225.0074	34.67	0.8255974733457568	-0.7533440492862562	
225.0074	37.45	0.7864882449200633	1.2010022674980676	
225.0074	194.95	0.886699474179413	0.4865636653266948	
225.0074	202.09	0.8052889585799754	-1.1306534329158693	
225.0167	22.68	0.9879015675034803	0.05851799104904481	
225.025	251.5	0.9049780271499915	0.3481666736851759	
225.025	281.26	0.9659991032311858	-0.13594409274249245	
225.025	379.82	0.869769636336032	0.558405480672221	
225.0614	22.02	0.8524351909798712	0.624488835298405	
197.0219	22.29	0.7210124274467629	2.0264100433083847	
226.0201	22.55	0.9659991032311858	0.13655477155406082	
226.0648	22.02	0.9049780271499915	0.3519767277831856	
197.8075	22.29	0.8227093412228232	0.852568826021585	
197.8518	0.53	0.8187991966930157	0.8763990751862218	
163.0605	24.91	0.9295773584838588	0.2711098450372655	
163.8389	22.42	0.8193472442968844	0.8736377224834521	
163.8461	22.42	0.8416526115480677	0.6657714579501115	
163.9075	1.18	0.9603975653070486	0.14981167114087712	
164.0709	24.52	0.8243989608108623	0.7907255300729029	
164.9265	23.47	0.9398128529832673	0.22020678393067913	
227.9823	21.89	0.8826446127268351	-0.5059504242543039	
