m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.9777897204294089	-0.050988760501887546	
219.1024	34.81	0.00779167824564734	20.745802006964187	
115.0198	24.65	0.797199899164058	0.9176817583357069	
190.8584	1.18	0.979177528483085	0.043991466335382805	
219.8915	22.29	0.8075707442233402	-0.7158028726452822	
219.8915	189.56	0.18237974103565371	4.751804153415627	
219.8915	220.39	0.4043745733036401	2.9401519163045933	
158.8459	22.15	0.797199899164058	-0.9852605656487904	
159.8593	22.42	0.81008189625536	-0.6333682579437709	
191.9457	23.6	0.8558894846544898	0.42397567553772225	
192.1025	28.87	0.007084576435270684	23.414356566440436	
221.0526	21.89	0.7682286412697015	1.4484845285616152	C6H12O6
221.1544	34.94	0.10674691682835825	5.903450558163224	C14H22O2
221.8885	22.42	0.8075707442233402	-0.657440317381059	
221.8885	189.56	0.2315614218510774	4.1574920325945595	
221.8885	220.52	0.2270468549717573	4.216259528109981	
192.9583	22.29	0.8051060852940957	-0.7537216108950664	
221.9467	25.04	0.9598044412053793	0.10641514813790254	
192.993	25.04	0.8404075796561318	0.49396414945265926	
118.9915	24.39	0.8702896257639109	0.3532522767219408	
118.9915	238.19	0.8392219719897188	-0.5141183578373006	
160.9069	2.1	0.8075707442233402	-0.7307987909760117	
193.0864	26.12	0.013394980106331413	12.730562656979663	
223.028	281.26	0.8031107496890376	-0.7972723125506683	
119.946	22.15	0.9537220887405994	-0.134148611895466	
119.9752	0.53	0.7482312820208056	-1.5851588284577227	
223.1338	35.07	0.14543954507812587	5.270787703550722	
161.0238	2.36	0.797199899164058	1.0308507142719256	
161.0255	24.52	0.9480469275671161	-0.15358113780973628	
194.0817	37.58	0.027753683220965785	10.14574853225448	
223.8856	189.56	0.20184636206470924	4.455704580785639	
223.8856	220.52	0.2270468549717573	4.21395097688933	
161.8417	22.02	0.797199899164058	-0.935463577717722	
161.849	22.29	0.8202708070677437	-0.5983565079469227	
223.9178	25.31	0.8075707442233402	-0.7296783511647124	
161.875	1.18	0.9549018935586593	-0.12868216809901326	
224.0275	281.26	0.797199899164058	-0.8775364377445942	
224.0275	440.89	0.6238346259276191	2.2661143190218827	
195.1022	25.85	0.7096875166025981	-1.8271483218959774	
195.1385	36.27	0.2264697021296656	4.2544553731743795	C12H20O2
195.8104	22.29	0.8075707442233402	-0.6962423870503867	
195.8547	0.53	0.9481757071609476	0.1524570149900321	
121.943	22.15	0.9593480796951102	0.11157394906440851	
122.0601	23.86	0.8075707442233402	-0.6925565615448159	
196.0222	23.07	0.888618622615145	-0.3053458160492668	
225.0074	34.67	0.8075707442233402	-0.6842437759189921	
225.0074	37.45	0.9017151088241268	0.2706806689362795	
225.0074	194.95	0.9010414315587395	-0.2788313738705658	
225.0074	202.09	0.797199899164058	-1.0679661146201738	
225.0167	22.68	0.8036746768047015	-0.7604948930873564	
225.025	251.5	0.8031107496890376	-0.7782950623747679	
225.025	281.26	0.8036746768047015	-0.758281080652189	
225.025	379.82	0.797199899164058	0.8791402057721278	
225.0614	22.02	0.797199899164058	1.253749293522571	
197.0219	22.29	0.8971284350001781	0.28529952513124834	
226.0201	22.55	0.8031107496890376	-0.818438979392791	
226.0648	22.02	0.797199899164058	1.263552025792501	
197.8075	22.29	0.8075707442233402	-0.694577467746092	
197.8518	0.53	0.8075707442233402	0.6556512935133136	
163.0605	24.91	0.8031107496890376	0.7893453855647783	
163.8389	22.42	0.797199899164058	-0.8840669802246675	
163.8461	22.42	0.8075707442233402	-0.7078099786080247	
163.9075	1.18	0.9232983731795855	0.2287420368203282	
164.0709	24.52	0.3396659038035229	3.450612313648772	
164.9265	23.47	0.9145221244122308	-0.24387360516164355	
227.9823	21.89	0.797199899164058	1.0949918789064172	
199.8045	22.29	0.8075707442233402	-0.7056451235378283	
228.1604	25.98	0.797199899164058	0.9230900214180221	C13H22O3
127.8692	22.42	0.8205693854127538	-0.5884788801491302	
165.0401	201.96	0.797199899164058	-0.9102640922602029	
165.0401	225.25	0.8315087603213356	-0.5420300895358549	
165.0401	379.82	0.7482312820208056	1.526137207830271	
165.8362	22.68	0.797199899164058	-0.9299507306649915	
165.9053	1.05	0.7124797412500793	-1.7524187350278546	
165.9391	22.29	0.797199899164058	-1.308982976865877	
166.0502	23.73	0.6635623361679415	-2.019526882373156	
201.8016	22.29	0.8075707442233402	-0.7200345350088839	
229.9205	22.42	0.8497435068720508	-0.4440952765186387	
166.8324	22.02	0.797199899164058	-0.980671848042225	
229.9522	25.57	0.8031107496890376	-0.8102139816804058	
230.882	1.18	0.797199899164058	-0.9431502615725946	
166.9235	23.47	0.8951109978356501	-0.2899950949372582	
129.8663	22.42	0.8351543717921613	-0.5354084529606409	
203.0044	23.86	0.5878169149369158	-2.4053561824506406	
129.9903	22.02	0.7326135411593411	1.6797459286258474	
167.0536	23.73	0.797199899164058	-1.057804340523993	
231.0621	23.6	0.7124797412500793	1.753021482838572	
231.0816	22.02	0.79239612629258	1.3439209235684364	
203.8439	22.42	0.8031107496890376	-0.7888067397533518	
167.9311	1.18	0.7482312820208056	1.5406462310903082	
167.9364	22.42	0.797199899164058	-1.2164300706949718	
232.9145	20.43	0.9636897470774337	-0.0982038707969729	
232.9145	23.47	0.8075707442233402	-0.7253114660642638	
203.9598	24.39	0.8075707442233402	-0.6459650354184664	
168.0659	23.73	0.8031107496890376	-0.7753923142531184	
204.0428	23.47	0.8392219719897188	-0.5220374308521268	
130.9566	23.47	0.797199899164058	1.282703426541793	
168.8864	1.18	0.3637742309399233	3.275693550211151	
130.9914	22.02	0.6811828477891926	1.9777535198357916	
168.9886	24.65	0.8031107496890376	0.7859013122518256	
169.0692	23.6	0.797199899164058	-1.0941075987009483	
205.8393	22.42	0.8075707442233402	-0.7018134891006245	
234.9549	27.43	0.7482312820208056	1.6165237580127858	
206.04	23.34	0.8075707442233402	-0.69876860111423	
170.8326	23.86	0.7482312820208056	-1.5892896508574634	
133.0133	1.84	0.4043745733036401	-2.9563071207551976	
170.9435	21.89	0.9347322009940501	0.19244814233359	
236.0962	25.57	0.10210325221149451	-6.000598552298131	
207.0118	24.91	0.8604153238106336	-0.40627559319913514	
236.1052	35.07	0.29320600652441714	3.7239352798886705	
135.0291	1.84	0.797199899164058	-1.2045659848167365	
135.0303	22.15	0.6657925709067161	-2.0095418751166925	
207.8363	22.42	0.8075707442233402	-0.6733377898030636	
171.9461	20.16	0.797199899164058	0.9267770034876406	
171.9461	25.17	0.797199899164058	1.2133884147588752	
172.8298	23.86	0.7326135411593411	-1.6643634120432464	
237.0919	1.84	0.058682213597979434	-7.568678375562661	C16H14O2
237.0919	37.58	0.00989968999995938	17.055230575838237	C16H14O2
237.0919	42.2	0.012206191182701116	14.14618917789171	C16H14O2
208.9306	1.18	0.9663732296421476	0.08483326614630275	
172.9406	21.76	0.8075707442233402	0.7107711017927363	
136.8621	1.31	0.8454463842199196	-0.4798002839945596	
209.0663	21.89	0.6499937528797294	2.095180279069822	
209.082	27.82	0.777583454563772	1.378607629579289	
209.082	31.13	0.9010414315587395	-0.278262517130127	
209.0968	37.58	0.011417944444248252	15.163769502751435	C15H14O
209.0968	41.41	0.012206191182701116	13.993233559282661	C15H14O
238.0953	37.58	0.00989968999995938	16.27621514730082	C16H14O2
238.0953	41.94	0.011417944444248252	15.052539156929189	C16H14O2
209.8334	22.42	0.8075707442233402	-0.7039028915623557	
238.9316	21.5	0.9326115775591874	0.20794079318446923	
209.9486	0.53	0.639853475104008	2.162364415657171	
209.9486	22.29	0.8202708070677437	-0.6002191106303058	
239.0162	0.53	0.9480469275671161	-0.1548876008990517	
239.0594	281.26	0.8075707442233402	-0.7347852900982184	
239.0672	44.3	0.797199899164058	-1.0605396304785768	
239.0713	31.13	0.055918740081899086	7.780366771313226	C15H12O3
239.0713	36.53	0.2315614218510774	4.141921340012329	C15H12O3
239.0926	25.98	0.797199899164058	-1.2006574736503877	C12H16O5
239.1288	36.27	0.24005709847886011	4.052624295241263	C13H20O4
138.038	22.81	0.8036746768047015	-0.7628373799416956	
138.0551	23.73	0.8075707442233402	-0.6747728695087195	
174.0013	24.26	0.8306134561342459	-0.5484303525398947	
138.8593	1.31	0.8377499909278698	-0.5268744132880745	
174.0554	2.23	0.4043745733036401	2.94358677607654	
174.0554	24.78	0.10129905341774008	6.046632793649394	
210.9494	22.29	0.8276555848808508	-0.5613351650675669	
240.0589	281.39	0.826800562245086	-0.5713499014614083	
240.0589	380.08	0.5878169149369158	2.421586992530531	
240.1322	36.01	0.5878169149369158	2.391372052795542	C13H20O4
210.9919	20.84	0.9467798799726436	-0.1577206014967615	
174.8282	23.86	0.797199899164058	-1.2517494423648279	
138.92	22.42	0.797199899164058	-0.9035585447585457	
240.9286	21.5	0.8864337372510256	0.3183203281843197	
211.8305	22.29	0.8075707442233402	-0.6839121984109139	
241.0564	281.26	0.797199899164058	-0.9481360650196216	
139.0202	254.52	0.8114781319210752	-0.6269252794169896	
212.9789	24.65	0.8601654754609108	0.4123707983740546	
140.9172	22.15	0.8031107496890376	-0.8118412700338475	
242.0071	23.07	0.8558894846544898	-0.42406494223710023	
242.0518	21.76	0.797199899164058	1.3199865412667944	
242.1762	27.17	0.8075707442233402	0.6536984536373412	
177.055	25.31	0.03410020099386772	9.31948272194412	
177.8442	22.15	0.8503446875890999	-0.4420968968141213	
213.8728	22.42	0.821052872320422	-0.5863363075362902	
213.8889	22.15	0.797199899164058	-0.977025927809341	
213.8889	24.39	0.797199899164058	-0.912862066394148	
177.9049	22.15	0.797199899164058	-1.0253833375917338	
141.8672	1.18	0.9820037004441818	-0.037022447381859995	
177.9656	22.29	0.8171859786146198	0.6111673719993186	
213.9636	24.78	0.7096875166025981	-1.8294125129200152	
214.8797	1.18	0.39687606143626986	3.0170077156968116	
214.9879	23.07	0.8205693854127538	-0.596175666624544	
243.1795	27.3	0.8261929936203856	0.5752014163548319	
