m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8639607381586508	1.8715821379106694	
219.1024	34.81	0.9007935494215841	0.4974091959228921	
115.0198	24.65	0.8997174426063347	0.5029646100430992	
190.8584	1.18	0.8639607381586508	0.8102174204563206	
219.8915	22.29	0.8639607381586508	-1.8650105460877135	
219.8915	189.56	0.9129236518324403	0.43483479745407005	
219.8915	220.39	0.9461228355492108	0.27699218883621834	
158.8459	22.15	0.8639607381586508	-1.5001573121559362	
159.8593	22.42	0.8639607381586508	-1.4849992025727115	
191.9457	23.6	0.8639607381586508	-1.407943604785388	
192.1025	28.87	0.8639607381586508	0.8329469901345035	
221.0526	21.89	0.8639607381586508	1.0442097044172791	C6H12O6
221.1544	34.94	0.8639607381586508	-3.0566219313334044	C14H22O2
221.8885	22.42	0.8639607381586508	-1.542170609466701	
221.8885	189.56	0.9418738515537705	0.3017980400670076	
221.8885	220.52	0.951466738260111	0.2462134825048244	
192.9583	22.29	0.8639607381586508	-2.023654232638814	
221.9467	25.04	0.8955150608184202	0.5415921476044986	
192.993	25.04	0.8639607381586508	1.5973905613963133	
118.9915	24.39	0.8639607381586508	1.0876897861523096	
118.9915	238.19	0.8639607381586508	-1.3919650916773738	
160.9069	2.1	0.8639607381586508	0.9242623386753349	
193.0864	26.12	0.8639607381586508	0.7908080258213401	
223.028	281.26	0.8639607381586508	2.0989248812837955	
119.946	22.15	0.8639607381586508	-3.004405575703663	
119.9752	0.53	0.8639607381586508	1.007651682682982	
223.1338	35.07	0.9418738515537705	0.29176879046398113	
161.0238	2.36	0.9009816871582992	0.47195448412997315	
161.0255	24.52	0.9234626668444965	0.4054362049841236	
194.0817	37.58	0.8838145919976285	0.6139693423645985	
223.8856	189.56	0.9418738515537705	-0.2905776190551008	
223.8856	220.52	0.9564851509604538	-0.21222889329076797	
161.8417	22.02	0.8639607381586508	-1.4927847922593431	
161.849	22.29	0.8639607381586508	-1.6646688214213976	
223.9178	25.31	0.8639607381586508	-1.469205932058155	
161.875	1.18	0.8639607381586508	0.8997727687573699	
224.0275	281.26	0.8639607381586508	2.1419374447571844	
224.0275	440.89	0.8639607381586508	0.7239077994118749	
195.1022	25.85	0.9346541573091849	-0.3504566233996069	
195.1385	36.27	0.9556135005706481	0.21615807592615277	C12H20O2
195.8104	22.29	0.8639607381586508	-1.6570290864502275	
195.8547	0.53	0.8753994309873189	-0.6600963664865271	
121.943	22.15	0.8639607381586508	-2.0940839080881184	
122.0601	23.86	0.8964358773942211	0.5370295627878086	
196.0222	23.07	0.8639607381586508	-0.9486666067879125	
225.0074	34.67	0.9580634768971109	-0.19276343530310897	
225.0074	37.45	0.9800342395098528	-0.08296343119714306	
225.0074	194.95	0.8639607381586508	1.5801590361369948	
225.0074	202.09	0.8639607381586508	1.2279019019421786	
225.0167	22.68	0.8639607381586508	-0.7628053389252359	
225.025	251.5	0.9717908455806914	0.11493982273561405	
225.025	281.26	0.8639607381586508	1.1456139434319288	
225.025	379.82	0.8639607381586508	1.055701023716437	
225.0614	22.02	0.8639607381586508	1.475046207458151	
197.0219	22.29	0.951466738260111	-0.23842447150215285	
226.0201	22.55	0.9163362736275571	-0.4236196056264518	
226.0648	22.02	0.8639607381586508	1.9770242467403991	
197.8075	22.29	0.8639607381586508	-1.626509874982438	
197.8518	0.53	0.9081507205118254	-0.447684749654372	
163.0605	24.91	0.8639607381586508	-0.8700837383054884	
163.8389	22.42	0.8639607381586508	-1.3202259868036719	
163.8461	22.42	0.8639607381586508	-1.6003859529882185	
163.9075	1.18	0.8639607381586508	0.952376133194594	
164.0709	24.52	0.8639607381586508	1.2827972460018646	
164.9265	23.47	0.8639607381586508	-2.579938099475033	
227.9823	21.89	0.9009816871582992	0.4921479820516427	
199.8045	22.29	0.8639607381586508	-1.6499567448581762	
228.1604	25.98	0.8639607381586508	-1.7869902852311046	C13H22O3
127.8692	22.42	0.8639607381586508	-1.7552785705817775	
165.0401	201.96	0.8639607381586508	1.0668991234250822	
165.0401	225.25	0.8639607381586508	0.9333311830970479	
165.0401	379.82	0.8639607381586508	1.065489182302321	
165.8362	22.68	0.8639607381586508	-1.176758697547135	
165.9053	1.05	0.8639607381586508	1.0451998437584384	
165.9391	22.29	0.8639607381586508	-1.0380004046292612	
166.0502	23.73	0.951466738260111	0.24832852349017684	
201.8016	22.29	0.8639607381586508	-1.5585268535345487	
229.9205	22.42	0.8639607381586508	-1.874983115452289	
166.8324	22.02	0.8639607381586508	-1.4466438742261614	
229.9522	25.57	0.8639607381586508	-1.4010212381286402	
230.882	1.18	0.8838251046691783	0.5960766695927108	
166.9235	23.47	0.8639607381586508	-1.709789406234601	
129.8663	22.42	0.8639607381586508	-1.612200382461348	
203.0044	23.86	0.8639607381586508	1.6187862503611377	
129.9903	22.02	0.9260286483798603	-0.38943709856391373	
167.0536	23.73	0.9418738515537705	0.3136049500542376	
231.0621	23.6	0.8639607381586508	-0.8129036134549602	
231.0816	22.02	0.8639607381586508	1.5276075846054176	
203.8439	22.42	0.8639607381586508	-1.6052016687675994	
167.9311	1.18	0.8639607381586508	0.8284620517947529	
167.9364	22.42	0.8639607381586508	-1.9398111621242973	
232.9145	20.43	0.8639607381586508	1.2076813802778201	
232.9145	23.47	0.8639607381586508	-2.5289159324604746	
