m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.7723252479914263	-1.193384239025864	
114.0234	24.52	0.8809676739932566	0.583771142799357	
190.0364	1.05	0.8437912249637912	-0.8001760804341381	
219.1024	34.81	0.7786534005445461	1.1573236173024386	
190.0504	25.04	0.6989172817816441	1.5328602125733448	
190.8584	1.18	0.7936290674026317	-1.0694550818560355	
219.8915	22.29	0.6681970152860788	1.7311693353834339	
219.8915	189.56	0.8927558873200334	0.5297566121600267	
219.8915	220.39	0.9715483885792331	0.1343244618567557	
158.8459	22.15	0.8266875728059714	0.9485525258328947	
219.9551	24.26	0.7325279131491569	-1.38885968418233	
190.9455	426.5	0.9110147616149011	-0.43472255216379785	
190.9455	431.25	0.9927678904762405	-0.027837815368096	
190.9455	452.86	0.9381431897461767	0.29469654025891595	
190.9455	454.83	0.9524390677987853	0.22054769632434165	
190.9455	457.09	0.8888600028697007	-0.5423557336715905	
190.9455	458.53	0.6923884908226039	1.6430115570184902	
190.9455	461.84	0.839232150900124	0.8111135745871689	
190.9455	463.94	0.9390421212167841	0.2711501530821165	
115.0198	24.65	0.8809676739932566	0.584026675801397	
190.9487	26.25	0.6931244934987547	1.6138420319449833	
159.0556	25.04	0.8738097150769966	0.6337774302717551	
220.8531	1.18	0.8231565826958879	-0.9642101780821243	
220.8531	2.89	0.9899717250737782	0.046592726364499716	
116.0424	7.25	0.9104621282786114	0.4404272382614385	
116.0424	12.0	0.9535696206276478	0.21049603278237722	
159.8593	22.42	0.6989172817816441	1.5707476206780242	
220.8721	22.02	0.4820191015620724	4.071131466726567	
191.9457	23.6	0.8331541162810782	0.8906474612583684	
192.1025	28.87	0.9390421212167841	0.2778389480673819	
192.8904	1.05	0.6663303762458127	-2.047431354680909	
221.0304	24.39	0.8763783170648787	-0.6138686532111503	
221.0526	21.89	0.7723252479914263	-1.1726421021073192	
221.0667	2.36	0.8836101308656001	0.5700623274851845	
221.1544	34.94	0.8354590035589428	-0.8455125171996363	C14H22O2
221.8004	1.18	0.7213360541075129	-1.4564883729899003	
221.8515	22.42	0.6663303762458127	2.4498925994108487	
