m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8255661973248568	-0.5819674760609465	
219.1024	34.81	0.602850120565825	1.4604197576645792	
115.0198	24.65	0.9031932351345794	0.36936213453640265	
190.8584	1.18	0.8072337606744454	-0.653036846138828	
219.8915	22.29	0.6261875991770185	-1.4073664180366428	
219.8915	189.56	0.07455078373283601	4.515555557782808	
219.8915	220.39	0.021517126332888013	6.258297869228971	
158.8459	22.15	0.4519704052641078	-2.0239400778985273	
159.8593	22.42	0.5471373167394358	-1.668503673508605	
191.9457	23.6	0.9754133403712417	0.1292289351395631	
192.1025	28.87	0.5413342948472206	1.709737137112961	
221.0526	21.89	0.14582241863231968	3.4823929466642607	
221.1544	34.94	0.670181719704701	-1.2356653947545857	C14H22O2
221.8885	22.42	0.5554272716857956	-1.6391498929901063	
221.8885	189.56	0.09724982210387632	4.009864563702869	
221.8885	220.52	0.014756711059766203	7.457032379106495	
192.9583	22.29	0.6552403602998844	-1.2792915577384383	
221.9467	25.04	0.670181719704701	1.234942921264939	
192.993	25.04	0.2675377863605928	2.789632600368764	
118.9915	24.39	0.7084190279741235	1.0640837110714432	
118.9915	238.19	0.9754133403712417	0.1200027950032827	
160.9069	2.1	0.6325590206341024	-1.3620151498943487	
193.0864	26.12	0.5617016628915377	1.6076377686292715	
223.028	281.26	0.8442921938255955	-0.5199260517987291	
119.946	22.15	0.9567920139114008	-0.19754657081589588	
119.9752	0.53	0.3353715248896426	-2.4541335204231585	
223.1338	35.07	0.8066582492933332	0.6633531130340288	
161.0238	2.36	0.8255661973248568	0.5818041360343558	
161.0255	24.52	0.5496816680506338	-1.6572089530348288	
194.0817	37.58	0.36248676655579143	2.3367025650981987	
223.8856	189.56	0.09603818625463903	4.0475141066674025	
223.8856	220.52	0.014847433948357946	6.9391763762647285	
161.8417	22.02	0.5217024179067431	-1.786214106825145	
161.849	22.29	0.5617016628915377	-1.5935303320235448	
223.9178	25.31	0.4865768750034348	-1.9028134842978794	
161.875	1.18	0.7168719480435893	-1.0355637087354777	
224.0275	281.26	0.8033734578848567	-0.6775023800050103	
224.0275	440.89	0.24929226174630156	2.8767121076184825	
195.1022	25.85	0.3189801587517473	-2.514947635665131	
195.1385	36.27	0.5180622012056206	1.805948087338487	C12H20O2
195.8104	22.29	0.6325590206341024	-1.3777190394427679	
195.8547	0.53	0.7586662969458235	-0.8697103259945211	
121.943	22.15	0.9567920139114008	-0.1963403459210967	
122.0601	23.86	0.7217170983096917	-1.01453366327044	
196.0222	23.07	0.7925846278993083	-0.7173222302997921	
225.0074	34.67	0.9517646341985357	-0.2096784886562247	
225.0074	37.45	0.7580668012233828	-0.8775225760534078	
225.0074	194.95	0.8033734578848567	-0.6817656256797188	
225.0074	202.09	0.8167368356574483	-0.6194091737468576	
225.0167	22.68	0.6873246611809929	-1.1446147808688212	
225.025	251.5	0.8134049877785962	-0.6359798576180937	
225.025	281.26	0.8255661973248568	-0.5836969468310819	
225.025	379.82	0.8255661973248568	-0.581037490460681	
225.0614	22.02	0.00806222771940135	8.513208809785604	
197.0219	22.29	0.7644145776777331	-0.8208200121247962	
226.0201	22.55	0.5758754166801601	-1.5503418512108786	
226.0648	22.02	0.007928275644250943	9.030520570944956	
197.8075	22.29	0.6372106138291793	-1.3528161741171096	
197.8518	0.53	0.9792818899223682	0.10147617701254413	
163.0605	24.91	0.974168093058745	0.13388681864988905	
163.8389	22.42	0.4538172098425601	-2.0161981055958216	
163.8461	22.42	0.5529135620320375	-1.646092664253823	
163.9075	1.18	0.5180622012056206	-1.8065577117307838	
164.0709	24.52	0.02185060921210473	6.151633499000894	
164.9265	23.47	0.6879792342076816	-1.1357986923161687	
227.9823	21.89	0.5993088850785189	1.473913729763398	
199.8045	22.29	0.6290711632155435	-1.3875125574183005	
228.1604	25.98	0.7486114204489285	-0.9215893977517705	C13H22O3
127.8692	22.42	0.5318722190539856	-1.7369389525074903	
165.0401	201.96	0.7719231643691151	-0.788538149646341	
165.0401	225.25	0.7114148554439556	-1.0502437779680718	
165.0401	379.82	0.9712253960277508	-0.14415831534980347	
165.8362	22.68	0.34333907962425286	-2.398289530755804	
165.9053	1.05	0.5767942336599604	-1.5313660400106568	
165.9391	22.29	0.4519704052641078	-2.0221790150643817	
166.0502	23.73	0.21557566261465755	-3.061694099166328	
201.8016	22.29	0.6325590206341024	-1.3611380821776107	
229.9205	22.42	0.5617016628915377	-1.596070087967075	
166.8324	22.02	0.5016140493797505	-1.844346768730001	
229.9522	25.57	0.5957038358562258	-1.481848873813748	
230.882	1.18	0.7491467486561033	-0.9173875070980072	
166.9235	23.47	0.6838673820572079	-1.160451334923865	
129.8663	22.42	0.5427711725983903	-1.7060144715660739	
203.0044	23.86	0.45997626928912566	-2.000632916314669	
129.9903	22.02	0.7473957610228781	0.9264064344517499	
167.0536	23.73	0.5529135620320375	-1.6453856005550251	
231.0621	23.6	0.8916641190624119	0.411525813497834	
231.0816	22.02	0.12802954913451325	3.6585267071728724	
203.8439	22.42	0.5217024179067431	-1.7830745880663077	
167.9311	1.18	0.9237246723515962	0.29421930804157126	
167.9364	22.42	0.5180622012056206	-1.8044308113946066	
232.9145	20.43	0.8611551472213481	-0.4840945790982998	
232.9145	23.47	0.8033734578848567	-0.684618418831431	
203.9598	24.39	0.7088891036859459	-1.062336576928287	
168.0659	23.73	0.7546232767749159	-0.8919778908885951	
204.0428	23.47	0.670181719704701	-1.2349736413766925	
130.9566	23.47	0.9567920139114008	-0.19651610990671942	
168.8864	1.18	0.6695472378470593	-1.244598179024936	
130.9914	22.02	0.6552403602998844	1.2751345473740097	
168.9886	24.65	0.63846418057363	1.3447302328178068	
169.0692	23.6	0.7660099663383861	-0.816260205171427	
205.8393	22.42	0.524234971629482	-1.759944625875418	
234.9549	27.43	0.3011333810195111	2.5971495190554754	
206.04	23.34	0.6192683072952879	-1.4185224974320738	
170.8326	23.86	0.09279715034160586	-4.08384813776551	
133.0133	1.84	0.08157738542736569	-4.342157703668957	
170.9435	21.89	0.9585351464517354	-0.18611031471347728	
236.0962	25.57	0.00806222771940135	-8.510250421191806	C9H20N2OS2
207.0118	24.91	0.4257378120431976	-2.1147101221284634	
236.1052	35.07	0.6480362086062182	-1.3025915613276362	
135.0291	1.84	0.5815816861168988	-1.5137234983956045	
135.0303	22.15	0.4345182628357083	-2.090614705700231	
207.8363	22.42	0.5354120912633067	-1.7290066372043598	
171.9461	20.16	0.09724982210387632	4.0054118237242	
171.9461	25.17	0.30472771092080964	2.559100782409951	
172.8298	23.86	0.11435737837822595	-3.7784429740417194	
237.0919	1.84	0.10310891564149521	-3.9206746253413876	C16H14O2
237.0919	37.58	0.7054136649327089	1.0747530949224469	C16H14O2
237.0919	42.2	0.7253272341095894	0.9953084916769971	C16H14O2
208.9306	1.18	0.7974444488441316	-0.6999634318897553	
172.9406	21.76	0.9242635390248128	0.2918408058591477	
136.8621	1.31	0.7168719480435893	-1.030404637992647	
209.0663	21.89	0.753305826376044	0.8997986106747071	
209.082	27.82	0.5471373167394358	-1.6683274350268742	
209.082	31.13	0.014847433948357946	-7.023225405362074	
209.0968	37.58	0.7627694559489704	0.8581822116515042	C15H14O
209.0968	41.41	0.7635437656274426	0.8334840950655596	C15H14O
238.0953	37.58	0.7217170983096917	1.0148528136656774	C16H14O2
238.0953	41.94	0.7168719480435893	1.0242519264908667	C16H14O2
209.8334	22.42	0.5218102837882811	-1.7793981665576057	
238.9316	21.5	0.9425666549326472	-0.24042375484683726	
209.9486	0.53	0.7486114204489285	-0.921513875181274	
209.9486	22.29	0.7014520518407644	-1.096108954035768	
239.0162	0.53	0.4855905295223719	1.9305440202836026	
239.0594	281.26	0.8664967910578821	-0.46807349391092057	
239.0672	44.3	0.8033734578848567	-0.6747519721509587	
239.0713	31.13	0.753305826376044	-0.9021008937305004	C15H12O3
239.0713	36.53	0.7665467145084233	0.8053736125607789	C15H12O3
239.0926	25.98	0.18263063019271408	-3.2628253176373017	C12H16O5
239.1288	36.27	0.5471373167394358	1.677560093113925	C13H20O4
138.038	22.81	0.679517470046115	-1.2086438568165454	
138.0551	23.73	0.7114148554439556	-1.047710374268466	
174.0013	24.26	0.5826729319126907	-1.5059787763236603	
138.8593	1.31	0.7582250495731953	-0.8723762100818376	
174.0554	2.23	0.4971277528107918	1.8673832281259564	
174.0554	24.78	0.023014064319511286	6.058913023577604	
210.9494	22.29	0.6866642886696867	-1.1489446304589734	
240.0589	281.39	0.8360878631755003	-0.5471347853140589	
240.0589	380.08	0.8047639643618706	-0.6682460933630253	
240.1322	36.01	0.3906817700844506	2.248590720444059	C13H20O4
210.9919	20.84	0.997663656643443	0.006822924409416098	
174.8282	23.86	0.11435737837822595	-3.8020508959783514	
138.92	22.42	0.382489877240382	-2.2859309458339023	
240.9286	21.5	0.7635437656274426	0.8422751605870169	
211.8305	22.29	0.5218488306389444	-1.7675290993187567	
241.0564	281.26	0.758031729962201	-0.8804411805276179	
139.0202	254.52	0.9322035086777262	0.2759990126198398	
212.9789	24.65	0.7719231643691151	0.7850088212439312	
140.9172	22.15	0.6445142247610947	-1.3092085208627229	
242.0071	23.07	0.8167368356574483	-0.6179344481835286	
242.0518	21.76	0.027576640961012172	5.827689564474988	
242.1762	27.17	0.2753900331930504	-2.7306651865150937	
177.055	25.31	0.4865768750034348	1.9076250092032885	
177.8442	22.15	0.6372106138291793	-1.3509971769797147	
213.8728	22.42	0.4865768750034348	-1.901257093823789	
213.8889	22.15	0.5607051164388835	-1.626814311737413	
213.8889	24.39	0.4657475861973139	-1.9813283480761805	
177.9049	22.15	0.7635437656274426	-0.8427811437360092	
141.8672	1.18	0.7253272341095894	-0.9921964098924869	
177.9656	22.29	0.9813863471529101	0.08531227202655377	
213.9636	24.78	0.13473409836047662	-3.606271052618786	
214.8797	1.18	0.616886571710126	-1.429314371435954	
214.9879	23.07	0.6838673820572079	-1.1758038412067586	
243.1795	27.3	0.30283093720037685	-2.583651492538277	
215.0325	22.15	0.014756711059766203	7.2160431828330305	
243.8994	22.15	0.6838673820572079	-1.164808022648182	
179.0554	22.02	0.008114224904543927	8.404555859828706	
243.9558	22.15	0.9977741848444888	0.005921976067575142	
179.8399	22.15	0.679517470046115	-1.2088305946602147	
144.0446	25.57	0.004073387877080663	-10.628786535842165	
246.9815	26.64	0.7500315341223853	0.9119429084416816	
180.066	23.2	0.7886163603078569	0.7340262176889499	
247.1704	52.86	0.735775351320457	0.9596897883362295	C16H24O2
247.8722	1.18	0.732247101596036	-0.9810038849622467	
180.8616	24.26	0.29664722912663744	-2.63731282603667	
247.9928	23.86	0.4345182628357083	2.0900837835322528	
180.9168	25.17	0.31244677095509227	-2.5322965758984584	
215.1649	37.32	0.2675377863605928	-2.7825278487585314	
181.0712	21.63	0.9594355256797911	-0.17491638083318403	
181.8369	22.15	0.724882085581053	-0.9982229566159391	
249.0228	24.78	0.8189344316494696	-0.6089993846523835	
249.0228	28.87	0.20086403994076643	3.1642183547611764	
249.1496	37.58	0.7635437656274426	0.8272082460493615	C15H22O3
249.1496	69.44	0.7168719480435893	1.029997043123415	C15H22O3
181.9169	22.81	0.7719231643691151	-0.7893131550854043	
249.9906	23.99	0.6808207707646812	-1.201172486867024	
250.1527	37.45	0.9039775651459789	0.36731258243393056	C15H22O3
250.1527	69.83	0.7571380201218298	0.8831455609681627	C15H22O3
215.9045	22.42	0.5730951792447947	-1.5665456147290722	
216.0358	22.15	0.014756711059766203	7.232102504407744	
252.0735	26.38	0.008635003238960806	-8.234736108645947	
182.9294	22.29	0.6480362086062182	-1.2994059185973221	
216.8767	1.18	0.6151130918286583	-1.439574378118193	
216.9369	22.55	0.6838673820572079	-1.1769315076122107	
148.909	21.89	0.05805340295888072	4.91093318021568	
216.9848	23.07	0.6838673820572079	-1.1847660825800914	
253.8269	22.42	0.5218488306389444	-1.7694762499275978	
254.2491	256.36	0.8978439229449221	0.38644953461363596	
148.9693	21.89	0.5758754166801601	1.5469531686718574	
149.0	23.47	0.5216108094434654	-1.7903176172297373	
149.0	193.63	0.1991889241360133	-3.1799153887446763	
149.0086	202.09	0.7627694559489704	-0.8603800816036864	
149.0086	225.25	0.6873246611809929	-1.1443142518570786	
149.0086	281.0	0.8263910714626704	-0.5760132813109754	
149.0086	379.82	0.9594355256797911	-0.1704763674345503	
217.0293	22.15	0.014847433948357946	6.939113747544169	
184.876	0.79	0.8408025201779746	0.536773356350997	
149.06	34.67	0.16065786674058977	-3.3864112700113496	
184.8859	3.68	0.7563362719846423	-0.887283478361864	
149.9496	22.55	0.8337571667023728	-0.5540448986225454	
255.1967	37.32	0.7798763338485125	-0.76496105767955	
255.8223	22.29	0.5205579220109007	-1.7952981546161886	
255.9219	21.76	0.9840573322137757	-0.06825389573717897	
150.0552	23.73	0.7733097759356488	-0.7820810384443508	
150.1509	1.31	0.9190625015424149	-0.30374851909435524	
185.1542	29.92	0.6325590206341024	1.3625726428112879	
256.8221	22.42	0.5617016628915377	-1.6033934424044032	
256.92	1.45	0.8442921938255955	-0.5205172203228534	
218.9341	22.68	0.777132404717766	-0.7741070467962201	
151.0586	23.86	0.7586662969458235	-0.8692979703063541	
151.112	25.85	0.13925678130329888	-3.5495494671340113	
218.9817	24.52	0.3825398708007276	-2.2831449319582826	
218.9817	26.25	0.4067864986583206	-2.1763057735465003	
218.9873	25.44	0.7677023555231681	-0.7979319090854112	
186.8971	1.18	0.7039879405235591	-1.0873866700748784	
257.8192	22.29	0.5217024179067431	-1.784266807341773	
257.963	24.12	0.060296431420473806	-4.794287826608281	
187.0065	24.65	0.029816647169993292	5.681229478247423	
258.819	22.29	0.49396432751114006	-1.880606580320131	
258.9821	21.24	0.08744515546350855	4.185305181871885	
258.9821	23.34	0.014756711059766203	7.237296659965887	
283.2838	289.03	0.9650556954489136	0.16071673739416203	C18H37NO
284.2597	213.28	0.5427711725983903	1.7046012495549114	C17H35NO2
284.2597	219.87	0.63846418057363	1.3386372650215663	C17H35NO2
284.2597	226.73	0.9967412653964657	-0.011802693284843043	C17H35NO2
284.287	289.03	0.9283993156053018	-0.28340149142049953	C18H37NO
284.9249	21.5	0.6990292425909445	-1.102573587013927	
154.0615	1.71	0.11435737837822595	3.7844652331452626	
285.263	213.28	0.722767140526068	1.0058900228592873	C17H35NO2
285.263	219.87	0.6771065184056236	1.218756577567705	C17H35NO2
285.263	226.47	0.9849316103249639	-0.062223739427159745	C17H35NO2
260.9802	20.97	0.04637957906850329	5.165255250537901	
260.9802	23.47	0.018863443392791956	6.475387385456409	
260.9802	282.84	0.6927682797368977	1.1181139282938337	
261.1346	22.15	0.5218102837882811	-1.7798481432338273	
261.1346	24.52	0.3992752914015756	-2.1977914945654162	C12H22O6
261.1346	56.14	0.10795698215264682	-3.8630532955898946	
261.1346	104.45	0.3353715248896426	-2.4548051885259174	
286.922	21.24	0.7253272341095894	-0.9921923623880078	
286.97	25.04	0.4865768750034348	-1.9049421211707938	
287.0888	21.89	0.8263910714626704	0.5768882896873959	
287.0888	23.2	0.29813538226764225	2.610860935082587	
189.017	246.23	0.8557151443229307	-0.49574422995104483	
262.9763	25.31	0.6290565794129717	1.3933924331047691	
156.9985	20.29	0.9543185737187511	-0.20349540998021043	
156.9985	23.73	0.8263910714626704	-0.5704863999575007	
263.1654	37.45	0.4519704052641078	-2.021117388463581	
263.8415	220.39	0.2675377863605928	2.76804340217037	
289.9494	20.43	0.7168719480435893	-1.0291134650093021	
321.2106	120.4	0.5732206894036168	-1.5637592936943763	
157.8622	22.29	0.5218488306389444	-1.772208207198351	
291.1453	24.52	0.7939033097275773	-0.7103110238345514	
265.1481	48.64	0.5496816680506338	-1.6541085100059063	
363.9431	20.97	0.5617016628915377	-1.5867578159174376	
265.8391	220.79	0.014847433948357946	6.927207238391578	
364.9383	20.97	0.5449953332008206	-1.7001372857873787	
323.19	74.99	0.3906817700844506	-2.2317904897680743	
323.2206	189.56	0.16816437768544357	3.341683331003919	C17H34O4
292.9319	23.07	0.08283200106466122	-4.305859715449086	
265.9509	21.5	0.6748322968733442	1.228706033825489	
293.0494	21.24	0.021517126332888013	6.21124107051303	
266.0844	23.99	0.3089784278669601	-2.5431461754019047	
266.1516	48.77	0.524234971629482	-1.757086290641215	
293.1779	75.78	0.5471373167394358	-1.683367240802588	
323.979	20.03	0.08960294684815637	4.140003429702389	
323.979	24.39	0.09940333317329968	3.976458245853561	
293.8646	22.29	0.516344512381086	-1.818584047544727	
324.2546	211.18	0.9190625015424149	-0.3073077218367166	
324.2546	246.1	0.5218488306389444	-1.7705414649874522	
324.2546	263.61	0.9435518422715856	0.23779754513610818	
293.9867	37.19	0.9849316103249639	-0.06150468425565213	
294.1793	35.07	0.6798405269593591	-1.2044272924104023	
294.1793	36.93	0.5767942336599604	-1.5293247139487898	
294.1828	75.65	0.5957038358562258	-1.4795053796431912	
294.9286	23.07	0.13925678130329888	-3.5447603925976328	
294.9536	20.84	0.7253272341095894	-0.9949420330463453	
295.9549	20.84	0.7580668012233828	-0.8765484321642241	
296.2232	191.67	0.6569250003024667	1.2698663442628522	
296.2596	195.77	0.9971666334547902	0.008223920814911422	
296.8905	21.76	0.836899446445711	-0.5440960713514097	
296.9509	20.84	0.7168719480435893	-1.0303524900087548	
267.0089	189.43	0.63846418057363	1.3436424768254909	
267.0089	220.65	0.269274273587069	2.7577512835771647	
367.2161	82.47	0.3690166434142165	-2.3211715237190957	
267.8363	220.39	0.021517126332888013	6.212018505453818	
267.9446	22.29	0.10254034522567475	3.9353685544057377	
267.9919	24.52	0.5000347646101541	-1.8520899401355475	
268.0032	1.71	0.2334993689593275	2.9534677451098514	
297.0472	31.0	0.7644145776777331	-0.8217169953176416	
297.0472	37.32	0.6927682797368977	-1.1125834776913124	
297.0472	201.96	0.7114148554439556	-1.0490413622020445	
297.0472	280.87	0.9070152244057862	-0.3562864416257913	
297.0472	313.43	0.9322035086777262	-0.2731245906386811	
297.0472	346.51	0.8360878631755003	0.5498720789030261	
297.0472	347.3	0.6820962259258827	-1.1985476840514784	
297.0472	411.35	0.7054136649327089	1.0773372406991166	
297.0472	411.88	0.3426284853940179	-2.405140530760372	
297.1346	24.78	0.9190625015424149	-0.31314003331938206	
268.9842	26.64	0.8900149247352592	0.4148475947689455	
368.8883	20.97	0.5732206894036168	1.5631116736655741	
368.8883	23.07	0.8761552496396879	0.4428927540867698	
368.9621	20.97	0.44302941783216837	2.066685981002099	
326.2703	289.03	0.956722757324678	0.19865090228120952	C19H37NO3
269.0232	23.47	0.9464048914725904	-0.22967481274981527	
298.138	24.91	0.8664967910578821	-0.46774499599843194	
298.1566	48.9	0.5218488306389444	-1.7763248120809545	
269.0882	24.39	0.8430191661791231	0.5288100164201748	
269.1315	36.01	0.7500031507031159	0.9128659934059704	
269.1398	25.85	0.7054136649327089	1.0724472754819847	
269.1398	35.07	0.7949090390318828	0.7079261783913666	
269.9421	22.02	0.20472996566491744	3.1337844612280157	
269.9867	26.64	0.9957917878204567	-0.031149197432485048	
369.3013	233.03	0.5382503391054468	1.7153255528352496	C22H42O4
298.9433	26.38	0.7168719480435893	-1.02695749058708	
299.0264	26.77	0.7461712166576926	-0.9333699228487834	
299.0264	31.52	0.6927682797368977	-1.1175916110191573	
299.0264	201.57	0.753305826376044	-0.8993816181303934	
327.2737	289.03	0.7798763338485125	0.7654772799902367	C19H37NO3
299.1491	37.71	0.8033734578848567	-0.6807465499818162	
299.1491	49.03	0.7347928321716393	-0.9756344137900841	
299.2594	174.8	0.3426284853940179	2.4082766593363565	C18H36O3
271.2281	116.46	0.05164387396585934	-5.031950767744833	C16H32O3
299.9349	25.31	0.6480362086062182	-1.3002360082796132	
299.9465	26.25	0.8033734578848567	-0.6830003040294563	
299.9734	21.1	0.9754133403712417	-0.1290769785671515	
299.9734	24.78	0.07513887148621963	4.4519067925994324	
273.0537	24.52	0.4257378120431976	-2.111817496979478	
300.9023	23.07	0.9813863471529101	0.07719389629043417	
300.9391	26.25	0.7580668012233828	-0.8749715022490918	
329.1549	37.19	0.6163113702159211	1.4368793163243536	
329.27	220.65	0.0009915451722924973	13.4826039632957	C19H38O4
300.9634	25.98	0.28961612156469546	-2.6734330545703475	
300.9746	21.1	0.722767140526068	-1.0042478991430017	
371.0663	37.45	0.8326828210463554	0.5574949144645472	
371.2019	89.06	0.6838673820572079	-1.1694049837168672	
301.2386	190.09	0.014756711059766203	7.148690082861772	C17H34O4
301.934	25.98	0.5607051164388835	-1.6204570974205088	
373.0457	31.65	0.7871738131242673	-0.7408471012154089	
373.0457	37.32	0.73638327456252	-0.9572093157425507	
373.0457	189.56	0.9703693600512902	-0.14862105624789962	
373.0457	198.53	0.7583719759860084	-0.871349687992311	
373.0457	201.96	0.8033734578848567	-0.6757115773820229	
302.9606	20.84	0.44422565919786505	-2.05978086786145	
302.9606	24.12	0.6290565794129717	-1.4024176295763688	
373.1448	34.28	0.6552403602998844	1.2740250481786715	
373.1448	37.19	0.7054136649327089	1.0792202137238305	
374.1324	189.56	0.5602075931469023	1.6308597120010229	
374.2452	32.44	0.8255661973248568	0.5857405484999574	
374.9069	21.37	0.9019694394148956	-0.3762389522034801	
303.07	26.64	0.6290565794129717	-1.3934347884546092	
276.0178	24.52	0.07455078373283601	4.4767773284513455	
303.9221	22.29	0.24929226174630156	2.88242677214283	
375.2487	32.44	0.8420516359408244	0.5321264453633662	
375.2786	219.34	0.7871738131242673	0.7413824007753955	
333.1114	24.65	0.8967722809897248	-0.3922516898857008	
277.0599	23.07	0.5529135620320375	1.6466099505844023	
304.0734	26.77	0.7114148554439556	-1.0473990339487553	
376.2517	32.57	0.8216222400193156	0.6034659220926408	
333.9385	21.37	0.7313647456578611	0.9828767593058314	
334.1148	24.52	0.9183324989334118	-0.32622570459187034	
304.9153	23.86	0.9322035086777262	-0.2761008523883973	
304.9576	24.12	0.6927682797368977	-1.115926724850118	
376.8457	0.53	0.6515699105216355	1.2937764902035807	
277.9735	20.16	0.08283200106466122	4.2941618795697885	
277.9735	24.12	0.061467674089990786	4.734740308656527	
376.9967	21.63	0.6416294483217175	1.3171634926809148	
376.9967	23.2	0.6480362086062182	1.300487175095669	
305.9182	22.42	0.2675377863605928	2.784079106304497	
335.1084	24.39	0.8433717089818914	-0.5270100350055152	C10H17NO9
278.9801	20.84	0.9958258611515947	-0.015499639005836273	
377.061	25.31	0.9594355256797911	0.17829545733177513	
306.8689	3.94	0.36248676655579143	-2.339959954662169	
306.9194	21.37	0.9840573322137757	-0.06946101404846333	
377.8984	5.12	0.6385109996934732	-1.332572895259662	
377.8984	25.85	0.39217292456104497	-2.2184218074268616	
279.1637	60.21	0.5471373167394358	-1.6743848526212315	
306.9386	22.29	0.45167448390990805	-2.032440085153078	
378.0004	21.63	0.6290565794129717	1.3939529626005707	
378.0004	23.07	0.6927682797368977	1.1261940670831159	
336.8794	26.12	0.30283093720037685	-2.581684259310875	
279.9204	22.42	0.45407635115169376	-2.013662576611958	
336.942	20.84	0.6838673820572079	-1.1864654998859157	
378.9933	21.63	0.7027946671923626	1.0896718660857603	
378.9933	22.94	0.63846418057363	1.3393674565044011	
337.0545	27.82	0.3353715248896426	2.452588758665704	
337.2059	94.45	0.6838673820572079	-1.1571748107242419	
307.1555	26.9	0.48681950611644964	1.8950813685394672	
307.1555	31.39	0.09724982210387632	4.002218016319593	
307.1586	37.85	0.7217170983096917	-1.0108959569347113	
307.1586	47.32	0.6325590206341024	-1.361563444037718	
307.1952	96.04	0.4865768750034348	-1.9231669031785206	
307.2645	200.78	0.9182936160208566	-0.3289456502234624	C20H36O2
379.0588	25.31	0.8430191661791231	0.5301012630619015	
281.2487	194.95	0.005686766488994711	9.872637018950051	C18H34O2
307.9153	22.42	0.2156810649896605	3.032566225889289	
282.2804	289.03	0.9763805570379175	0.11074985385646577	C18H37NO
379.9316	21.24	0.8622556554752199	-0.48063892384177304	
380.9602	26.77	0.6325590206341024	1.3632700255189836	
339.3018	219.21	0.753305826376044	0.9025216800653381	
308.8645	3.94	0.33676645496545715	-2.4308479355413612	
308.9164	21.37	0.9464048914725904	0.23095129721298258	
283.1107	32.18	0.8134049877785962	0.6350272561529073	
283.1107	130.03	0.30283093720037685	2.573404628044046	
283.1107	158.98	0.8054011512595005	-0.666282068223685	
381.2319	104.32	0.6385109996934732	-1.3327701898482884	
339.8978	22.29	0.941567674512572	0.24623689967171916	
309.1533	37.58	0.6480362086062182	-1.3010776661653782	
340.3053	219.21	0.6180770957830288	-1.4230916130887885	
309.1745	59.43	0.5630299027601381	-1.5817783723153873	
340.8459	3.94	0.524234971629482	-1.7586979619629977	
340.968	26.51	0.6385130753525915	-1.3308103364831319	
409.2729	147.01	0.8719262559087846	-0.4513077794444367	C20H43O6P,C27H38O3
409.3116	225.81	0.2675377863605928	2.7806966328348004	C28H42O2
410.2219	32.44	0.9797854199288895	-0.09861702220338972	
310.0022	25.04	0.08744515546350855	4.169884420500205	
384.3124	213.67	0.9849316103249639	0.06359735841682213	
384.9358	20.97	0.9594355256797911	-0.17020497880639762	
384.9828	32.18	0.8167368356574483	-0.625491779983652	
341.1184	37.58	0.7473957610228781	0.9300058480231589	
341.1184	41.55	0.7635437656274426	0.847144702889837	
411.2254	32.31	0.9806878925640294	0.09453273450199917	
311.223	37.32	0.060296431420473806	-4.767018317243034	C18H32O4
311.2959	224.33	0.44302941783216837	2.0655606898492	C20H40O2
341.8503	22.42	0.43291507159179327	-2.0971944745008133	
411.8813	20.43	0.8068417118672165	-0.6600298002516634	
341.8948	22.29	0.9585351464517354	0.1875872291172415	
311.9442	21.37	0.9178062830377575	-0.33320586889093895	
412.2186	32.44	0.926290235543693	-0.2876975583007831	
