m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.9914236040655933	-0.7632583114637435	
219.1024	34.81	0.9914236040655933	-1.635682144564139	
115.0198	24.65	0.9928965843139153	0.2581823577030249	
190.8584	1.18	0.9914236040655933	-0.9574020715650414	
219.8915	22.29	0.9914236040655933	-0.9851977583056857	
219.8915	189.56	0.9914236040655933	1.92342082585661	
219.8915	220.39	0.9914236040655933	1.4967926132764493	
158.8459	22.15	0.9914236040655933	-0.5099334861885977	
159.8593	22.42	0.9914236040655933	-0.40957194045736794	
191.9457	23.6	0.9914236040655933	-0.5093791441918687	
192.1025	28.87	0.9914236040655933	-0.8816651651434411	
221.0526	21.89	0.9914236040655933	-0.9695628767702855	
221.1544	34.94	0.9914236040655933	-0.5776879012142623	C14H22O2
221.8885	22.42	0.9914236040655933	-1.273698966461243	
221.8885	189.56	0.9914236040655933	1.9495030590347657	
221.8885	220.52	0.9914236040655933	0.97158734778051	
192.9583	22.29	0.9928965843139153	-0.239129342941872	
221.9467	25.04	0.9914236040655933	-0.6027983037750461	
192.993	25.04	0.9914236040655933	-1.278052672914924	
118.9915	24.39	0.9914236040655933	0.4793194446807756	
118.9915	238.19	0.9914236040655933	1.4459762552215514	
160.9069	2.1	0.9914236040655933	-1.1527130316495486	
193.0864	26.12	0.9914236040655933	-0.8116776528979134	
223.028	281.26	0.9914236040655933	0.7501740071372868	
119.946	22.15	0.9914236040655933	-0.7554884366562488	
119.9752	0.53	0.9928965843139153	0.23482963207157423	
223.1338	35.07	0.9914236040655933	-1.7816492474536445	
161.0238	2.36	0.9914236040655933	0.3774767597276351	
161.0255	24.52	0.9914236040655933	0.41798375010777583	
194.0817	37.58	0.9914236040655933	-0.646566679917656	
223.8856	189.56	0.9914236040655933	1.1899986383525294	
223.8856	220.52	0.9914236040655933	1.465778992573918	
161.8417	22.02	0.9914236040655933	-0.6930192530369689	
161.849	22.29	0.9914236040655933	-0.7235731387674886	
223.9178	25.31	0.9914236040655933	-0.8595092305967822	
161.875	1.18	0.9914236040655933	-0.281216571813855	
224.0275	281.26	0.9914236040655933	0.8286739719764386	
224.0275	440.89	0.9914236040655933	-1.1908969148580304	
195.1022	25.85	0.9928965843139153	0.17907999252561374	
195.1385	36.27	0.9914236040655933	-1.8826222730777975	C12H20O2
195.8104	22.29	0.9914236040655933	-0.769209618490756	
195.8547	0.53	0.9914236040655933	-0.7185768474882215	
121.943	22.15	0.9914236040655933	-0.6112994918759447	
122.0601	23.86	0.9914236040655933	-1.1324285978679656	
196.0222	23.07	0.9914236040655933	-0.5345056956426729	
225.0074	34.67	0.9914236040655933	0.6172189489520119	
225.0074	37.45	0.9928965843139153	0.2365852249675701	
225.0074	194.95	0.9914236040655933	-0.6065282925443156	
225.0074	202.09	0.9914236040655933	0.39931345059635337	
225.0167	22.68	0.9914236040655933	1.3346002698109822	
225.025	251.5	0.9914236040655933	0.7238413270855372	
225.025	281.26	0.9914236040655933	0.8636914377748116	
225.025	379.82	0.9914236040655933	0.5134050626680298	
225.0614	22.02	0.9943549092144706	-0.08317915621221504	
197.0219	22.29	0.9914236040655933	0.9990330830003679	
226.0201	22.55	0.9914236040655933	1.290183863893852	
226.0648	22.02	0.9928965843139153	0.26564424854706015	
197.8075	22.29	0.9914236040655933	-0.7648943382730187	
197.8518	0.53	0.9914236040655933	-0.7239212771497552	
163.0605	24.91	0.9914236040655933	1.0668327342018227	
163.8389	22.42	0.9914236040655933	-0.5193977844268803	
163.8461	22.42	0.9914236040655933	-0.4932776955916701	
163.9075	1.18	0.9914236040655933	-0.7492268270267598	
164.0709	24.52	0.9914236040655933	0.7779491638294582	
164.9265	23.47	0.9983061684767556	0.028554309647915603	
227.9823	21.89	0.9983061684767556	-0.04546554934806431	
199.8045	22.29	0.9914236040655933	-0.7921983927401585	
228.1604	25.98	0.9914236040655933	0.8010290809346244	C13H22O3
127.8692	22.42	0.9914236040655933	-0.49130754990363007	
165.0401	201.96	0.9928965843139153	0.1962315015527503	
165.0401	225.25	0.9914236040655933	0.410753353528841	
165.0401	379.82	0.9914236040655933	0.6748070218557634	
165.8362	22.68	0.9914236040655933	-0.6404054488616522	
165.9053	1.05	0.9914236040655933	-0.7354118784056818	
165.9391	22.29	0.9914236040655933	-0.30077818031229747	
166.0502	23.73	0.9914236040655933	-0.79665816907221	
201.8016	22.29	0.9914236040655933	-0.9123204855789929	
229.9205	22.42	0.9914236040655933	-0.786802179746617	
166.8324	22.02	0.9914236040655933	-0.6716202289116461	
229.9522	25.57	0.9914236040655933	-0.4516649521804266	
230.882	1.18	0.9914236040655933	-0.8607002293374548	
166.9235	23.47	0.9944210410288254	0.0810423572052181	
129.8663	22.42	0.9914236040655933	-0.8798463295822405	
203.0044	23.86	0.9928965843139153	0.21838319356211558	
129.9903	22.02	0.9914236040655933	-0.4358542210311138	
167.0536	23.73	0.9914236040655933	-0.4064125281076196	
231.0621	23.6	0.9914236040655933	-0.3706605294612007	
231.0816	22.02	0.9983061684767556	0.020081197192907997	
203.8439	22.42	0.9914236040655933	-0.4884605636782293	
167.9311	1.18	0.9914236040655933	-2.222685428379757	
167.9364	22.42	0.9914236040655933	-0.8590525493559776	
232.9145	20.43	0.9928965843139153	-0.24356653839543352	
232.9145	23.47	0.9928965843139153	0.14089749963136058	
203.9598	24.39	0.9914236040655933	-2.002910613711991	
168.0659	23.73	0.9914236040655933	-0.8491781276555779	
204.0428	23.47	0.9914236040655933	-0.47773654814239347	
130.9566	23.47	0.9914236040655933	0.6014023833852089	
168.8864	1.18	0.9914236040655933	-0.8119365001606265	
130.9914	22.02	0.9914236040655933	-0.5107922308435913	
168.9886	24.65	0.9928965843139153	0.1265652411517513	
169.0692	23.6	0.9914236040655933	-1.3851344121495772	
205.8393	22.42	0.9914236040655933	-0.5376083018183558	
234.9549	27.43	0.9914236040655933	-1.7452020506646297	
206.04	23.34	0.9914236040655933	-0.3858047141216492	
170.8326	23.86	0.9914236040655933	0.48529598066788077	
133.0133	1.84	0.9914236040655933	-0.9387093211502674	
170.9435	21.89	0.9914236040655933	-0.4479356778058098	
236.0962	25.57	0.9914236040655933	2.1229138096100812	C9H20N2OS2
207.0118	24.91	0.9914236040655933	0.38500153240775326	
236.1052	35.07	0.9914236040655933	-0.43853014521979744	
135.0291	1.84	0.9914236040655933	-0.8796515389552367	
135.0303	22.15	0.9928965843139153	0.24934649602833953	
207.8363	22.42	0.9914236040655933	-0.5628311469754976	
171.9461	20.16	0.9914236040655933	-0.7454625321061301	
171.9461	25.17	0.9933837425283023	-0.08773383565589496	
172.8298	23.86	0.9928965843139153	0.22978162348947692	
237.0919	1.84	0.9914236040655933	-0.5004238444301162	C16H14O2
237.0919	37.58	0.9914236040655933	-1.3614283814769506	C16H14O2
237.0919	42.2	0.9914236040655933	-1.1660838900323913	C16H14O2
208.9306	1.18	0.9914236040655933	-0.3909247774376411	
172.9406	21.76	0.9914236040655933	-0.5235022751953106	
136.8621	1.31	0.9956167288878022	0.05911853858347619	
209.0663	21.89	0.9914236040655933	1.6410709325854476	
209.082	27.82	0.9983061684767556	0.012294496953955283	
209.082	31.13	0.9983061684767556	0.020943569303291554	
209.0968	37.58	0.9914236040655933	-1.3062505927917523	C15H14O
209.0968	41.41	0.9914236040655933	-1.122799797636449	C15H14O
238.0953	37.58	0.9914236040655933	-1.4233987401242256	C16H14O2
238.0953	41.94	0.9914236040655933	-1.0993929153253272	C16H14O2
209.8334	22.42	0.9914236040655933	-0.5728383285999111	
238.9316	21.5	0.9928965843139153	-0.22333357842607585	
209.9486	0.53	0.9914236040655933	2.3088056242510815	
209.9486	22.29	0.9914236040655933	-0.3509017664783958	
239.0162	0.53	0.9914236040655933	-1.6662836481127408	
239.0594	281.26	0.9914236040655933	0.7634785614061024	
239.0672	44.3	0.9928965843139153	-0.11102742087248153	
239.0713	31.13	0.9914236040655933	-0.7852013936398845	C15H12O3
239.0713	36.53	0.9983061684767556	0.013294875223441	C15H12O3
239.0926	25.98	0.9928965843139153	-0.19511533875538675	C12H16O5
239.1288	36.27	0.9914236040655933	-1.882906821058266	C13H20O4
138.038	22.81	0.9914236040655933	-0.5531524287424306	
138.0551	23.73	0.9914236040655933	-0.6907210768826363	
174.0013	24.26	0.9914236040655933	-0.8753886019807656	
138.8593	1.31	0.996764825491279	0.05343789149888047	
174.0554	2.23	0.9914236040655933	-1.8233938812844017	
174.0554	24.78	0.9914236040655933	-0.37679585321927084	
210.9494	22.29	0.9914236040655933	-0.6065231916973125	
240.0589	281.39	0.9914236040655933	0.5163616848292358	
240.0589	380.08	0.9914236040655933	0.861775059176125	
240.1322	36.01	0.9914236040655933	-2.230922735214951	C13H20O4
210.9919	20.84	0.9914236040655933	-0.4206402566013411	
174.8282	23.86	0.9928965843139153	-0.15800606409657292	
138.92	22.42	0.9914236040655933	-0.7280752853127517	
240.9286	21.5	0.9928965843139153	-0.1268317575584522	
211.8305	22.29	0.9914236040655933	-0.5872510655744603	
241.0564	281.26	0.9914236040655933	0.8519339067643831	
139.0202	254.52	0.9914236040655933	0.6712683339340213	
212.9789	24.65	0.9928965843139153	0.19067014145016103	
140.9172	22.15	0.9914236040655933	-0.7597594020538244	
242.0071	23.07	0.9914236040655933	1.6172742319653148	
242.0518	21.76	0.9983061684767556	0.021769155961254137	
242.1762	27.17	0.9914236040655933	2.7179097449866507	
177.055	25.31	0.9914236040655933	-0.7868212326270612	
177.8442	22.15	0.9914236040655933	-0.7637905911810388	
213.8728	22.42	0.9914236040655933	-0.36690428386349955	
213.8889	22.15	0.9914236040655933	-0.6363378763431612	
213.8889	24.39	0.9983061684767556	0.0453644587327384	
177.9049	22.15	0.9914236040655933	-0.9166964837010324	
141.8672	1.18	0.9914236040655933	-0.43948136732961823	
177.9656	22.29	0.9914236040655933	0.29796587964936055	
213.9636	24.78	0.9914236040655933	1.3930783367659625	
214.8797	1.18	0.9914236040655933	-0.7114684404722101	
214.9879	23.07	0.9914236040655933	0.7607363315083118	
243.1795	27.3	0.9914236040655933	2.620953987232613	
215.0325	22.15	0.9914236040655933	-0.40870537798329637	
243.8994	22.15	0.9914236040655933	-0.7005688576171896	
179.0554	22.02	0.9914236040655933	0.37155820639104603	
243.9558	22.15	0.9914236040655933	-0.8589936964838472	
