m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.9559060975883233	-0.8489779939702088	
219.1024	34.81	0.9559060975883233	-0.7741581096802735	
115.0198	24.65	0.9750787581542674	0.38591665073763437	
190.8584	1.18	0.936623354766552	-1.0139629883513266	
219.8915	22.29	0.9242101655417431	-1.3787112574720675	
219.8915	189.56	0.3800177169186463	5.036456171312912	
219.8915	220.39	0.3800177169186463	5.064379752942574	
158.8459	22.15	0.9242101655417431	-1.419593458752272	
159.8593	22.42	0.9242101655417431	-1.2138786379629982	
191.9457	23.6	0.9806328021477634	-0.32288933358501315	
192.1025	28.87	0.9242101655417431	1.3721819042339953	
221.0526	21.89	0.9242101655417431	1.4849380463341295	C6H12O6
221.1544	34.94	0.8919196417641826	-2.1636452014466143	C14H22O2
221.8885	22.42	0.9242101655417431	-1.5637968348511246	
221.8885	189.56	0.4806454806573113	4.118346547265298	
221.8885	220.52	0.4806454806573113	4.186589902055146	
192.9583	22.29	0.9242101655417431	-1.4700795762490462	
221.9467	25.04	0.9998386021880699	-0.007635022927069724	
192.993	25.04	0.9918251706636284	-0.1498900807353631	
118.9915	24.39	0.9242101655417431	1.166720940321224	
118.9915	238.19	0.936623354766552	0.9768898555155527	
160.9069	2.1	0.7997513285112037	-2.4629775733585855	
193.0864	26.12	0.9242101655417431	1.3395793482734433	
223.028	281.26	0.9754787161664509	0.3578470545831869	
119.946	22.15	0.9242101655417431	-1.1436285984021708	
119.9752	0.53	0.92803190802051	-1.11945339789556	
223.1338	35.07	0.8093904798138305	-2.3765489830231763	
161.0238	2.36	0.9284137260441705	1.0956735226373722	
161.0255	24.52	0.9242101655417431	-1.61631674793947	
194.0817	37.58	0.7190849543680826	2.7498393691413465	
223.8856	189.56	0.4915833084257727	3.9189332803081056	
223.8856	220.52	0.3800177169186463	5.406581768680931	
161.8417	22.02	0.9242101655417431	-1.3632338857293353	
161.849	22.29	0.9242101655417431	-1.3981179731342916	
223.9178	25.31	0.3800177169186463	-5.256825599041573	
161.875	1.18	0.9242101655417431	-1.2634431503361758	
224.0275	281.26	0.9754787161664509	0.3620657032638455	
224.0275	440.89	0.9660121405300969	0.5669105091395913	
195.1022	25.85	0.7794437987770013	-2.5291124931849764	
195.1385	36.27	0.9918251706636284	-0.15274363286618975	C12H20O2
195.8104	22.29	0.9242101655417431	-1.4552051613041306	
195.8547	0.53	0.936623354766552	-0.986936961447159	
121.943	22.15	0.936623354766552	-1.03926579901185	
122.0601	23.86	0.9242101655417431	-1.4938176312790787	
196.0222	23.07	0.9242101655417431	-1.7157930845337097	
225.0074	34.67	0.936623354766552	1.0471687965298049	
225.0074	37.45	0.9559060975883233	-0.8448109427158939	
225.0074	194.95	0.9559060975883233	-0.8167105197368947	
225.0074	202.09	0.9559060975883233	-0.6847854379371239	
225.0167	22.68	0.9918251706636284	-0.1655588240733097	
225.025	251.5	0.9918251706636284	0.2231030892798841	
225.025	281.26	0.9731060432953379	0.5170506441778653	
225.025	379.82	0.9937024575800225	-0.08757628892350947	
225.0614	22.02	0.3800177169186463	5.118109720138956	
197.0219	22.29	0.979976916611956	0.3443316344812984	
226.0201	22.55	0.9754787161664509	-0.3580982016795644	
226.0648	22.02	0.37428822217203195	5.655971429621772	
197.8075	22.29	0.9242101655417431	-1.4503149703387366	
197.8518	0.53	0.9682656015619215	-0.548182520850376	
163.0605	24.91	0.9559060975883233	0.8356982839791224	
163.8389	22.42	0.9242101655417431	-1.2593563107494512	
163.8461	22.42	0.9242101655417431	-1.3948306223289109	
163.9075	1.18	0.9284137260441705	-1.0908435375111554	
164.0709	24.52	0.4915833084257727	3.8864493685551396	
164.9265	23.47	0.9750787581542674	-0.4446997868296817	
227.9823	21.89	0.9559060975883233	0.7628719202934398	
199.8045	22.29	0.9242101655417431	-1.4607328191884825	
228.1604	25.98	0.9937024575800225	-0.09673594542014298	C13H22O3
127.8692	22.42	0.9242101655417431	-1.3062725885374238	
165.0401	201.96	0.9284137260441705	-1.0794522420298096	
165.0401	225.25	0.9242101655417431	-1.1672061160263747	
165.0401	379.82	0.9646107998518492	0.5765634623403103	
165.8362	22.68	0.9242101655417431	-1.2097596656208982	
165.9053	1.05	0.9140571835331127	-2.0260334862476843	
165.9391	22.29	0.9242101655417431	-1.794786119506615	
166.0502	23.73	0.7287591865659905	-2.7148071415593114	
201.8016	22.29	0.9242101655417431	-1.5115311781565999	
229.9205	22.42	0.9140571835331127	-1.942521019090783	
166.8324	22.02	0.9242101655417431	-1.3982386048268522	
229.9522	25.57	0.7661161852407393	-2.5654929574548215	
230.882	1.18	0.9242101655417431	-1.741311992933694	
