m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8297245210956709	-0.515077159238063	
219.1024	34.81	0.4915795382098909	1.4711405666732689	
190.0504	25.04	0.4483918799272679	1.7321673040709868	
190.8584	1.18	0.7765578734461946	-0.6491356425787842	
219.8915	22.29	0.5054861795308803	-1.4071979745685272	
219.8915	189.56	0.031242809321065816	4.725318686640708	
219.8915	220.39	0.00822432935167802	6.291834839694171	
190.8942	1.18	0.9796120909324625	0.07964607510518464	
158.8459	22.15	0.35385287450100766	-2.035516889803358	
115.0198	24.65	0.8765190640153591	0.3807519383765826	
220.0064	25.44	0.02879047956914508	4.824891576381235	
190.9487	26.25	0.31396887503780146	-2.234859175136443	
159.0556	25.04	2.9133829064841332e-05	19.700305344462688	
220.8531	1.18	0.6593254458605053	-0.9627098198137011	
220.8531	2.89	0.8104205125458795	-0.5636267017838511	
116.0424	7.25	0.9982958858881579	-0.01354611417386827	
116.0424	12.0	0.9465675473233406	0.1764723434962036	
116.0496	24.12	0.11289980895579502	3.3353094009027586	
159.8593	1.05	0.7298256654510606	-0.7799837215119256	
159.8593	22.42	0.47279664643548724	-1.664028273583838	
220.8721	22.02	0.6120977868342001	-1.0797265124038036	
220.9412	27.03	0.0018337525093595154	8.527879067204477	
191.9457	23.6	0.9535491025364631	0.14608727716677	
192.1025	28.87	0.4483918799272679	1.7320649221540128	
192.8904	1.05	0.392153704165594	1.9003892244933078	
221.0526	21.89	0.10537047565138699	3.4357913630848738	
221.0667	2.36	0.8053068390263686	0.5840264953741672	
221.1544	34.94	0.5704467578093059	-1.2057270845422332	C14H22O2
221.8004	1.18	0.5581793883289154	-1.2325620886635136	
192.9583	22.29	0.5413829641263244	-1.2819839275486153	
192.993	25.04	0.18373997759534055	2.785981241181365	
221.8885	22.42	0.4810856319017481	-1.6411178655332543	
221.8885	189.56	0.053724931410092804	4.096784552558779	
221.8885	220.52	0.0030684211998667187	7.731874811063312	
221.9467	25.04	0.5488524781272626	1.2600230050725678	
160.9069	2.1	0.5160313284386124	-1.3545242509319717	
118.0499	0.79	0.08149689629638833	3.6848648610361265	
118.0499	23.73	0.11449376795148691	3.3103304679580625	
222.8296	22.29	0.6387161758299137	-1.0090694776944669	
222.85	1.31	0.7035116545343485	-0.8624648284551785	
193.0864	26.12	0.48356828271366986	1.6335551142916531	
193.0864	31.13	0.4422429454633143	1.7542032059442472	
222.9383	27.03	0.009560582895403043	6.064681208923198	
118.9915	24.39	0.6060825332921583	1.09343017425164	
118.9915	238.19	0.9408237528443956	0.20182005593499835	
223.028	281.26	0.8385915220267313	-0.4872679685744702	
161.0238	2.36	0.8028432227593015	0.5893796189658865	
161.0238	8.43	0.8137281925914379	0.5511341831384274	
161.0238	10.27	0.9873898715781942	0.05543229558021502	
161.0238	28.35	0.29419242465707773	2.304029329780135	
193.9311	24.12	0.617523618335406	-1.0692008077341082	
161.0255	24.52	0.4810856319017481	-1.6399630863314896	
223.1338	35.07	0.7629983287452041	0.6923616868602488	
119.946	22.15	0.9465675473233406	-0.17700539702898227	
119.9752	0.53	0.25858407348931556	-2.4357841613391065	
194.0817	37.58	0.2716162116956357	2.3705664830431	
194.0898	25.98	0.4915795382098909	1.4836763003751123	
194.0898	30.87	0.7586325211476425	0.7043712481931698	
161.8417	22.02	0.43056439663841684	-1.793474034889034	
161.849	22.29	0.4915795382098909	-1.5939945064511696	
161.8563	1.18	0.8521104109063626	-0.44978790403424856	
161.8563	22.02	0.4915795382098909	-1.4719499945609775	
161.875	1.18	0.6313079722051174	-1.0334180334381673	
223.8856	22.02	0.4915795382098909	-1.5991847038710536	
223.8856	189.56	0.04988798983738038	4.196391661542827	
223.8856	193.77	0.026227084933427885	4.923627399302391	
223.8856	220.52	0.0046146881066446484	7.114453068231186	
223.9178	25.31	0.39380158480789396	-1.8880238542057175	
224.0275	281.26	0.7711502737315028	-0.6606101199621438	
224.0275	440.89	0.16763406666665825	2.8829438553639073	
195.1022	25.85	0.24306127923279688	-2.4908269866051014	
195.1385	36.27	0.4129388273359176	1.8379390977086913	C12H20O2
195.8104	22.29	0.5130519813073684	-1.3771456952344876	
195.8547	0.53	0.7083839746395323	-0.8445449845749987	
