m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.8215494087991926	-0.8007819223525456	
219.1024	34.81	0.835524717847023	-0.704527436042688	
190.8584	1.18	0.7507073438661264	-1.010612791646251	
219.8915	22.29	0.6544657825314814	-1.3733591880076779	
219.8915	189.56	0.12406245116088611	5.017736750197403	
219.8915	220.39	0.12381977573476625	5.093547985170323	
158.8459	22.15	0.6447100748424069	-1.4119450008665182	
190.9455	426.5	0.5383484541714147	-1.9077557057918542	
190.9455	431.25	0.9177353170939133	-0.3874715695994475	
190.9455	452.86	0.5592145615894912	-1.7657942880135156	
190.9455	454.83	0.8921779015235356	-0.47679419014569574	
190.9455	457.09	0.8815771136153752	0.5196761275139329	
190.9455	458.53	0.8491559065403869	-0.6327919341429655	
190.9455	461.84	0.9742566988144665	-0.1665821610214549	
190.9455	463.94	0.7431699290772581	-1.0405573469582747	
115.0198	24.65	0.9157867112264153	0.3989687337119173	
220.0064	25.44	0.6518275878947163	1.3883565744324577	
190.9487	26.25	0.14839631249762333	-4.5840095836411345	
159.0556	25.04	0.02835570356254118	8.953611091666469	
220.8531	1.18	0.6991296788839059	-1.2092426255305424	
220.8531	2.89	0.738081358832915	-1.0515948041565681	
159.8593	1.05	0.6858500133600279	-1.2633758943523503	
159.8593	22.42	0.6991296788839059	-1.2029338422670082	
220.8721	22.02	0.8227222943091744	-0.7930281027516898	
220.9412	27.03	0.13420186391400007	4.813674584699315	
191.9457	23.6	0.9406079985809505	-0.2983063861306267	
192.1025	28.87	0.6447100748424069	1.417712341902148	
192.8904	1.05	0.8365929738077665	0.6795371916528979	
221.0526	21.89	0.613139815801788	1.5357508233842017	
221.0667	2.36	0.9265879521558957	-0.3392695080224734	
221.1544	34.94	0.5383484541714147	-2.1336338011195863	C14H22O2
221.8004	1.18	0.8428223247323904	-0.6640990070872169	
192.9583	22.29	0.6364120307336052	-1.4564995875630466	
192.993	25.04	0.9762905973734153	-0.13937929312290942	
221.8885	22.42	0.6060751915331766	-1.560155970163559	
221.8885	189.56	0.19351314077345821	4.131414885010164	
221.8885	220.52	0.18486377351840588	4.219809388686757	
221.9467	25.04	0.9998729151891681	0.015383548635351168	
160.9069	2.1	0.5156501406573893	-2.4800093099245895	
118.0499	0.79	0.33181896813321465	3.181587214881993	
118.0499	23.73	0.24147348569034538	3.7444060258816565	
222.85	1.31	0.7207088917697337	-1.1113239748915626	
193.0864	26.12	0.6518275878947163	1.3932585173965384	
193.0864	31.13	0.8509915330129582	0.6166061516764905	
222.9383	27.03	0.14096650667747668	4.67709545881135	
222.9578	21.63	0.8514252277251473	0.6099879128836416	
118.9915	24.39	0.6958152119838792	1.222900542613789	
118.9915	238.19	0.7207088917697337	1.1113921660609514	
223.028	281.26	0.9109940376958868	0.42746255751306744	
161.0238	2.36	0.7207088917697337	1.1095734451499546	
161.0238	8.43	0.75463012825091	0.9984878007348695	
161.0238	10.27	0.8733737327236888	0.5449313641429085	
161.0238	28.35	0.007860564420139573	14.91468308809738	
161.0255	24.52	0.5972262173777517	-1.585676830943458	
119.9066	22.68	0.6162564821514458	1.5138306484965567	
223.1338	35.07	0.5383484541714147	-2.1899676646516073	
119.946	22.15	0.7207088917697337	-1.115707961972091	
119.9752	0.53	0.7207088917697337	-1.112592393937234	
194.0817	37.58	0.42650737390829396	2.7740995413599707	
194.0898	25.98	0.8815771136153752	0.5156620409779892	
194.0898	30.87	0.988329468045356	0.07893633212929685	
161.8417	22.02	0.6581828693919977	-1.356110386786469	
161.849	22.29	0.6518275878947163	-1.3907500010012261	
161.875	1.18	0.6858500133600279	-1.2599955625452388	
223.8856	189.56	0.20973628951916268	3.9467759868121957	
223.8856	193.77	0.12398460266939995	5.05086583893384	
223.8856	220.52	0.1099101168887178	5.3915133233275165	
161.8844	1.45	0.8125019496525864	-0.8350060368167017	
223.9178	25.31	0.12158864067213053	-5.161961941120495	
224.0275	281.26	0.9109940376958868	0.4266637906314799	
224.0275	440.89	0.8670730251680315	0.5691590281301575	
195.1022	25.85	0.5156501406573893	-2.476594751524754	
195.1385	36.27	0.988329468045356	-0.07862610156240003	C12H20O2
195.8104	22.29	0.6382644346532799	-1.4512631972682009	
195.8547	0.53	0.7789730199409176	-0.9428957452518086	
121.0523	23.73	0.8509915330129582	0.6155800189736567	
196.0103	24.91	0.20461008831753405	-4.010860937455935	
196.0222	23.07	0.5662939248235076	-1.702476550111581	
121.943	22.15	0.7507073438661264	-1.0099505821750208	
122.0601	23.86	0.6481316403316062	-1.4035024843336705	
122.8932	1.05	0.7207088917697337	-1.1097890822779262	
225.0074	21.1	0.7231714023573869	1.1019441402794272	
225.0074	34.67	0.729219482207632	1.084392635305225	
225.0074	37.45	0.8150001483170651	-0.8220753866179126	
225.0074	194.95	0.8171208930680627	-0.8138101363216861	
225.0074	202.09	0.8479992331227337	-0.6415653744353857	
162.9816	24.52	0.7700086578255917	0.9704789081233486	
225.0167	22.68	0.975381787924514	-0.15011748692846683	
225.025	251.5	0.9470539629348286	0.2801980703954141	
225.025	281.26	0.8638157955669861	0.5811930615743129	
225.025	379.82	0.9955215358522811	-0.04790632510462888	
225.0614	22.02	0.12376055259893083	5.121174589993922	
163.0141	10.14	0.8297244801032039	-0.7684261299440185	
196.9838	25.44	0.7827499781893072	0.9264206386217322	
225.7958	1.31	0.8815771136153752	-0.5183147514126736	
225.9237	1.31	0.5383484541714147	-1.9409317322706088	
226.0177	25.04	0.5383484541714147	1.969071403795099	
226.0201	22.55	0.9265879521558957	-0.34289864157202976	
226.0648	22.02	0.09581501360097057	5.735120376107606	
197.0219	22.29	0.9177353170939133	0.38393037134625657	
163.0605	24.91	0.8048168087140797	0.8580557110893304	
163.8389	22.42	0.6881357423350042	-1.2516937395331342	
197.8075	22.29	0.6383496448574247	-1.446313232617058	
197.8518	0.53	0.8833631877919373	-0.5050293261637387	
163.8461	22.42	0.6518275878947163	-1.3871182425167192	
163.9075	1.18	0.729219482207632	-1.0849048681070905	
164.0709	24.52	0.20973628951916268	3.9478692009065797	
198.936	136.36	0.5489540091143552	1.823600358983284	
198.936	188.38	0.5383484541714147	1.9093025572802065	
198.936	221.05	0.5383484541714147	1.996327015208301	
198.936	286.93	0.5383484541714147	1.99942440082529	
164.1074	28.87	0.738081358832915	1.0500598139715558	
164.8353	22.15	0.6518275878947163	-1.3932209584638249	
125.8722	22.42	0.6581828693919977	-1.3422855074690847	
164.9265	23.47	0.9105850243916191	-0.42939127307805713	
198.9985	160.86	0.7437508790093199	-1.030677511576679	
164.9992	21.37	0.5383484541714147	1.996614028382123	
199.0372	22.94	0.37904324364341163	2.971389116555424	
165.0401	201.96	0.7482194549814266	-1.0179524881244084	
165.0401	225.25	0.7231714023573869	-1.1033600970853448	
227.9823	21.89	0.829982362221502	0.7639193074800573	
165.0775	20.97	0.5592145615894912	-1.7754142051834338	
165.0775	22.81	0.8339178389176591	0.7246106896186562	
165.8362	22.68	0.6991296788839059	-1.2044122068807257	
228.1604	25.98	0.9879092980948061	-0.09247695431884295	C13H22O3
199.8045	22.29	0.6364120307336052	-1.4567771813200259	
127.8692	22.42	0.6742404475083149	-1.294561052119453	
165.9053	1.05	0.5383484541714147	-2.024139065141641	
165.9391	22.29	0.5592145615894912	-1.7849172314131143	
166.0399	201.96	0.7557941967960237	-0.9922765913352477	
166.0399	225.25	0.7700086578255917	-0.9681834088890061	
166.0399	347.04	0.9539708759006893	0.2506387196862241	
166.0399	379.82	0.6991296788839059	1.2117999152092758	
166.0502	23.73	0.4885529764436493	-2.5693205460074893	
201.0223	24.91	0.27197501962353493	3.52469441008021	
166.8324	22.02	0.6518275878947163	-1.391812249064154	
201.8016	22.29	0.6179627261055953	-1.5074028548810443	
166.907	1.31	0.8335298692184681	-0.7464167494654216	
166.9235	23.47	0.9177353170939133	-0.38529512169765084	
229.9205	22.42	0.5383484541714147	-1.9221436056858885	
128.9586	22.94	0.5383484541714147	-2.104836359951389	
229.9522	25.57	0.48881578963285227	-2.564877226218697	
230.0121	24.52	0.7207088917697337	1.1111072978217185	
230.7663	1.31	0.9987290648240947	-0.027570414182660295	
166.9918	232.11	0.8514252277251473	0.6102148533318484	
230.882	1.18	0.5650805397090681	-1.7377895656172875	
129.8663	22.42	0.6179627261055953	-1.5077918016217686	
167.0365	201.83	0.9078445408867525	0.4369139313494617	
167.0365	225.38	0.8638157955669861	0.581339950088669	
167.0365	251.77	0.8672936778126794	0.5665694862525981	
167.0365	281.79	0.7987762136392147	0.8741705129089932	
167.0365	313.43	0.9517033286469763	0.2665867607163531	
167.0365	347.17	0.7403013672320258	1.0445213081678326	
167.0365	379.95	0.8048168087140797	0.8592069185488581	
167.0365	411.49	0.9744473985804784	0.15492145335658283	
167.0365	441.94	0.9197012796563991	0.3744422886426248	
167.0365	469.08	0.9873718695359968	0.10018452835566789	
202.9646	2.1	0.5383484541714147	1.9426056953006854	
202.9646	719.99	0.5383484541714147	1.9538357789027412	
