m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.9046773766066575	-1.5769883777929157	
219.1024	34.81	0.29578224786831897	-4.653158943600383	
115.0198	24.65	0.9823361223014477	0.5375356734100276	
190.8584	1.18	0.9969276022813908	0.12457245231842645	
219.8915	22.29	0.9996006914225274	-0.07208942379599674	
219.8915	189.56	0.8439343435457267	-1.8550603317433072	
219.8915	220.39	0.9677164383708717	-1.0911840975657847	
158.8459	22.15	0.9823361223014477	-0.8078025929113155	
159.8593	22.42	0.9884349936061186	0.1868894433052632	
191.9457	23.6	0.9884349936061186	0.2459887668390581	
192.1025	28.87	0.9840505459487924	-0.4920848345503967	
221.0526	21.89	0.9884349936061186	-0.20211712851179842	
221.1544	34.94	0.6013150450173617	-2.8931316343027853	C14H22O2
221.8885	22.42	0.9823361223014477	-0.7403973101204646	
221.8885	189.56	0.9489276694293626	-1.4144820926990647	
221.8885	220.52	0.8967184592135982	-1.5963922430022912	
192.9583	22.29	0.9823361223014477	-0.6035790644079209	
221.9467	25.04	0.9823361223014477	0.5337470898036408	
192.993	25.04	0.8170849596721411	-1.967085483068949	
118.9915	24.39	0.9823361223014477	-0.6623436163551597	
118.9915	238.19	0.9840505459487924	0.4685788093699218	
160.9069	2.1	0.9884349936061186	0.3121914647750022	
193.0864	26.12	0.6816792757887267	-2.461026677987896	
223.028	281.26	0.9823361223014477	0.5180120895085711	
119.946	22.15	0.9884349936061186	0.3095738212152015	
119.9752	0.53	0.6587144022632425	2.6115577485471846	
223.1338	35.07	0.6816792757887267	-2.447185680598665	
161.0238	2.36	0.9823361223014477	0.6500956558048953	
161.0255	24.52	0.9261865491656383	-1.5096429560602564	
194.0817	37.58	0.9991569841983733	-0.07527437043422805	
223.8856	189.56	0.4525931344450713	-3.524582976114262	
223.8856	220.52	0.8573714130738532	-1.797059151799477	
161.8417	22.02	0.9884349936061186	-0.30972544683926817	
161.849	22.29	0.9991569841983733	0.08225900416181671	
223.9178	25.31	0.9969276022813908	-0.133942366580028	
161.875	1.18	0.9823361223014477	0.813086445627357	
224.0275	281.26	0.9884349936061186	0.21395997054245622	
224.0275	440.89	0.9823361223014477	0.8752196112614641	
195.1022	25.85	0.5938351993449734	-2.9323290361171646	
195.1385	36.27	0.6516340269620909	-2.6959973833866315	C12H20O2
195.8104	22.29	0.9823361223014477	-0.839437298862855	
195.8547	0.53	0.9677164383708717	-1.1502029235581324	
121.943	22.15	0.9884349936061186	0.3254161060220947	
122.0601	23.86	0.9563624665031252	-1.2485673115669118	
196.0222	23.07	0.8113308970149575	1.9919273006480163	
225.0074	34.67	0.9823361223014477	-0.8078380739951221	
225.0074	37.45	0.9823361223014477	0.812259374718328	
225.0074	194.95	0.6013150450173617	-2.8324485716607755	
225.0074	202.09	0.9823361223014477	-0.7685827981621159	
225.0167	22.68	0.9823361223014477	-0.5169084890616827	
225.025	251.5	0.9929158526926521	0.14600364327574583	
225.025	281.26	0.9884349936061186	0.3552412281080296	
225.025	379.82	0.9677164383708717	-1.0430087110212585	
225.0614	22.02	0.29578224786831897	4.646546421435847	
197.0219	22.29	0.9719190980287552	1.0112495586369885	
226.0201	22.55	0.9830708117105258	-0.5140830678534036	
226.0648	22.02	0.2423162593642668	5.180022516518576	
197.8075	22.29	0.9823361223014477	-0.8393693976489965	
197.8518	0.53	0.9823361223014477	-0.7187851256837076	
163.0605	24.91	0.9677164383708717	-1.159801636253859	
163.8389	22.42	0.9823361223014477	-0.7386381182550977	
163.8461	22.42	0.9996006914225274	0.03972909229294199	
163.9075	1.18	0.9823361223014477	0.7015578304893093	
164.0709	24.52	0.07762893288147639	-9.357510619461655	
164.9265	23.47	0.9996006914225274	-0.024141763474069756	
227.9823	21.89	0.9840505459487924	0.4761635163175095	
199.8045	22.29	0.9823361223014477	-0.8555395220790064	
228.1604	25.98	0.9884349936061186	-0.2618291967776882	C13H22O3
127.8692	22.42	0.9969276022813908	0.09756933153153423	
165.0401	201.96	0.9915464111111357	0.15965688299837386	
165.0401	225.25	0.9823361223014477	-0.7686923001009442	
165.0401	379.82	0.9823361223014477	-0.8893534006492986	
165.8362	22.68	0.9563624665031252	-1.2334983517273308	
165.9053	1.05	0.9884349936061186	-0.3858639724837587	
165.9391	22.29	0.715358054619939	-2.2608817096789604	
166.0502	23.73	0.715358054619939	-2.2686724134720366	
201.8016	22.29	0.9823361223014477	-0.8650811161640647	
229.9205	22.42	0.9806874445357064	0.9635659952591076	
166.8324	22.02	0.9823361223014477	-0.8968114274210914	
229.9522	25.57	0.9563624665031252	-1.2270784628136095	
230.882	1.18	0.9884349936061186	-0.37046606739565086	
166.9235	23.47	0.9996006914225274	-0.006314041691551068	
129.8663	22.42	0.9996006914225274	-0.014505892638709115	
203.0044	23.86	0.9056904690968357	-1.5474592653944952	
129.9903	22.02	0.9884349936061186	0.3591009827511527	
167.0536	23.73	0.7314208953555589	-2.2067116365149744	
231.0621	23.6	0.9969276022813908	-0.09763953544657736	
231.0816	22.02	0.9823361223014477	0.6739107159093789	
203.8439	22.42	0.9996006914225274	-0.06176141873015307	
167.9311	1.18	0.8170849596721411	-1.9691360252837693	
167.9364	22.42	0.22838910606146062	-5.352272286445814	
232.9145	20.43	0.9823361223014477	-0.7781484461901826	
232.9145	23.47	0.9915464111111357	0.15577395213404327	
203.9598	24.39	0.6816792757887267	2.502797277379961	
168.0659	23.73	0.9766080474593267	-0.9950819601280232	
204.0428	23.47	0.9470841954680966	-1.4261954508733656	
130.9566	23.47	0.8724157176573575	1.662538726479382	
168.8864	1.18	0.8573714130738532	1.7785061356404346	
130.9914	22.02	0.9823361223014477	0.6812977643740594	
168.9886	24.65	0.9677164383708717	-1.06306166050928	
169.0692	23.6	0.9719190980287552	-1.0216284694234083	
205.8393	22.42	0.9996006914225274	0.021366838912546555	
234.9549	27.43	0.9853535524291739	0.4448849852542905	
206.04	23.34	0.8301992816272954	-1.907141261621975	
170.8326	23.86	0.9563624665031252	-1.2412675123758472	
133.0133	1.84	0.345248408948561	-4.232468186398127	
170.9435	21.89	0.9823361223014477	0.5412265022658019	
236.0962	25.57	0.715358054619939	-2.262953554013967	C9H20N2OS2
207.0118	24.91	0.9489276694293626	-1.410958833103243	
236.1052	35.07	0.9884349936061186	-0.19642636183781276	
135.0291	1.84	0.23541512237611123	-5.274039596768327	
135.0303	22.15	0.9884349936061186	-0.19845674994978693	
207.8363	22.42	0.9996006914225274	0.06936463984819302	
171.9461	20.16	0.7016269270311908	2.3711158839117314	
171.9461	25.17	0.9563624665031252	1.3615443877297235	
172.8298	23.86	0.9563624665031252	-1.2144069944882279	
237.0919	1.84	0.6013150450173617	2.8535639436018756	C16H14O2
237.0919	37.58	0.9464103123328292	-1.4346531252627304	C16H14O2
237.0919	42.2	0.7358478129498845	-2.188874852011955	C16H14O2
208.9306	1.18	0.9677164383708717	-1.0985167679868388	
172.9406	21.76	0.9996006914225274	-0.026010964757766285	
136.8621	1.31	0.4992015879649022	3.2747165871568242	
209.0663	21.89	0.9884349936061186	0.41031930374710396	
209.082	27.82	0.9823361223014477	-0.8411672030505937	
209.082	31.13	0.009487232496299262	-20.180714948755472	
209.0968	37.58	0.950733401900578	-1.387486147890752	C15H14O
209.0968	41.41	0.345248408948561	-4.196975866084035	C15H14O
238.0953	37.58	0.9563624665031252	-1.302791672080806	C16H14O2
238.0953	41.94	0.7462038214756432	-2.1628573320140734	C16H14O2
209.8334	22.42	0.9996006914225274	0.004535334882764689	
238.9316	21.5	0.9677164383708717	1.088579529415605	
209.9486	0.53	0.7028804643648726	2.3294423096492665	
209.9486	22.29	0.9823361223014477	-0.5974825081415263	
