m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.749585647723651	-1.6355342995950728	
190.0364	1.05	0.0037611651354636805	22.34683109858914	
219.1024	34.81	0.24365472640278515	-4.371912053039999	
190.8584	1.18	0.9947937926961038	0.09295343579064003	
219.8915	22.29	0.9947937926961038	-0.10556073815925282	
219.8915	189.56	0.6858984444397761	-1.9140131046272246	
219.8915	220.39	0.8876920022735449	-1.17118378172286	
158.8459	22.15	0.9437225644170263	-0.9202093716922481	
219.9551	24.26	0.9901880037382343	0.3442557609103123	
190.9455	426.5	0.7797506508438037	-1.52999425034592	
190.9455	431.25	0.9947937926961038	0.1510786397385076	
190.9455	452.86	0.9745268619195248	-0.5276373932018376	
190.9455	454.83	0.9947937926961038	-0.27326012614226414	
190.9455	457.09	0.9451950003861037	0.9133221565254281	
190.9455	458.53	0.9117578420897281	-1.0414029709642714	
190.9455	461.84	0.7271569381150568	-1.7312111430562451	
190.9455	463.94	0.7412365518252089	-1.6527681298060255	
115.0198	24.65	0.9745268619195248	0.5272253853653329	
159.0556	25.04	0.6804568895845036	-2.1084616137303183	
220.8531	1.18	0.9093366943209369	-1.0774047394115338	
220.8531	2.89	0.7329449709029405	-1.6893016365627023	
159.8593	1.05	0.8619175188742308	-1.2625263929110178	
159.8593	22.42	0.9947937926961038	0.15185146923290793	
220.8721	22.02	0.9741957482819337	-0.5667639052922848	
191.9457	23.6	0.9947937926961038	0.23584805229164432	
192.1025	28.87	0.9510401035146179	-0.7704818285330111	
192.8904	1.05	0.9947937926961038	-0.18428984513446556	
221.0526	21.89	0.9947937926961038	-0.21740500119070072	
221.1544	34.94	0.4896006699945906	-2.992684849540376	C14H22O2
221.8004	1.18	0.410573130828789	3.2826802794923373	
192.9583	22.29	0.9741957482819337	-0.6210676060275695	
192.993	25.04	0.6804568895845036	-1.9564929522752585	
221.8885	22.42	0.9497593818032528	-0.7877889565001576	
221.8885	189.56	0.8068558164911871	-1.4827775118097128	
221.8885	220.52	0.7412365518252089	-1.6557210483033202	
221.9467	25.04	0.9765071962823656	0.46910214927699473	
160.9069	2.1	0.9947937926961038	0.2488008508738858	
118.0499	0.79	0.23222761587277008	-4.500844238195137	
118.0499	23.73	0.35684539832974443	-3.573580921109312	
222.85	1.31	0.9947937926961038	-0.2288134770550388	
193.0864	26.12	0.5842954299363737	-2.5977900208942395	
193.0864	31.13	0.35497728736738215	-3.6309365556175313	
193.815	22.42	0.9957631968155128	0.07712477581747838	
222.9578	21.63	0.9488811419166634	0.8395083582848963	
118.9915	24.39	0.963787050103759	-0.722463367879306	
118.9915	238.19	0.9854158936861738	0.3971989871556772	
223.028	281.26	0.9790851375809236	0.46149741004919265	
161.0118	21.63	0.9790851375809236	-0.4527395866242609	
161.0118	23.6	0.9957631968155128	0.017339233285101244	
161.0238	2.36	0.9740928989591864	0.645730718333585	
161.0238	8.43	0.9741957482819337	0.582614420691877	
193.9311	24.12	0.9741957482819337	0.6343001646438198	
161.0255	24.52	0.7741168581316827	-1.5567725987788312	
223.1338	35.07	0.6580435811885069	-2.379392254228852	
119.946	22.15	0.9947937926961038	0.2797574266674657	
119.9752	0.53	0.5842954299363737	2.597126882906887	
194.0817	37.58	0.9947937926961038	-0.14034000645992362	
223.8485	22.42	0.9117578420897281	-1.0360812057759394	
194.0898	25.98	0.9870585891397133	0.3887659991591857	
194.0898	30.87	0.9947937926961038	0.2519401271962933	
161.8417	22.02	0.9854158936861738	-0.39627686212888386	
161.849	22.29	0.9957631968155128	0.0539760715844106	
161.8563	1.18	0.967874734537104	-0.6855032984272577	
161.8563	22.02	0.967874734537104	0.6804590221506475	
161.875	1.18	0.9548590644222971	0.7568377657066953	
223.8856	22.02	0.9824083293512568	-0.43992542874316964	
223.8856	189.56	0.3793556109708594	-3.4168295185823756	
223.8856	220.52	0.7070012191013867	-1.828935019301569	
223.9178	25.31	0.9947937926961038	-0.19031747072088984	
161.925	3.94	0.6804568895845036	1.9999119342689664	
224.0275	281.26	0.9947937926961038	0.15988146246797122	
224.0275	440.89	0.9488811419166634	0.8685906599585721	
195.1022	25.85	0.5207709780588068	-2.878411953349872	
195.1385	36.27	0.5823667973648453	-2.6332296280516387	C12H20O2
195.8104	22.29	0.9488811419166634	-0.861573373126794	
195.8547	0.53	0.890308654702907	-1.1581793847888737	
121.0523	23.73	0.9957631968155128	-0.04579815646105535	
196.0222	23.07	0.6804568895845036	2.0032500507107054	
121.943	22.15	0.9947937926961038	0.29601891926016316	
196.8108	22.42	0.9947937926961038	0.12386942459019906	
122.0601	23.86	0.8608195770257205	-1.2739586779377272	
122.8932	1.05	0.7412365518252089	1.6610763590697712	
225.0074	21.1	0.9331403213122775	0.9844016830330913	
225.0074	34.67	0.9488811419166634	-0.8414143930227063	
225.0074	37.45	0.9662365587955261	0.7089308513919332	
225.0074	194.95	0.5206410654384022	-2.8836980557332232	
225.0074	202.09	0.9488811419166634	-0.8000472633949354	
162.9816	24.52	0.8844568187304128	-1.1846315046032012	
225.0152	198.66	0.9741957482819337	0.5616386955743908	
163.0006	21.89	0.9028925548827124	-1.1094858945926043	
225.0167	22.68	0.9745268619195248	-0.531406309411655	
225.025	251.5	0.9947937926961038	0.10477910621521	
225.025	281.26	0.9944532066749081	0.3065792902021019	
225.025	379.82	0.9117578420897281	-1.0447314369584908	
225.0614	22.02	0.23509674007806283	4.47419175256739	
196.9838	25.44	0.8711989917484361	-1.2188438899501743	
225.7958	1.31	0.2961136541318157	3.948429170526059	
123.8768	22.42	0.9947937926961038	0.23850717246857178	
225.9148	25.17	0.9563929428367595	-0.7481456451403956	
225.9237	1.31	0.6804568895845036	-2.069675107182835	
226.0201	22.55	0.9745268619195248	-0.5288458363766869	
226.0648	22.02	0.16760884222896089	5.121051103263793	
197.0219	22.29	0.9437225644170263	0.918407598492687	
163.0605	24.91	0.8876920022735449	-1.169005414138993	
163.8389	22.42	0.9488811419166634	-0.7946749357346383	
197.8075	22.29	0.9488811419166634	-0.8624528842378453	
197.8518	0.53	0.959025471383775	-0.7377000490522552	
163.8461	22.42	0.9965365721592107	0.012878232029751292	
163.9075	1.18	0.967874734537104	0.6777917574219241	
198.8078	22.29	0.998375177691401	-0.006382644221587402	
164.038	23.99	0.6804568895845036	2.179634580069618	
164.038	36.27	0.9745268619195248	-0.5105600505617881	
164.038	37.32	0.4895838324264243	3.001810551954181	
164.0709	24.52	0.03770573283483	-9.078631992336451	
164.1074	28.87	0.9741957482819337	0.6292029038239816	
164.8353	22.15	0.9510401035146179	-0.7725735404518239	
125.8722	22.42	0.9989183684635138	0.0019307649805105063	
