m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.5385530964898119	2.054652009646273	
219.1024	34.81	0.5392094111833039	1.8374296020353373	
190.8584	1.18	0.8832546959570908	-0.3837394716220552	
219.8915	22.29	0.33259852909265036	-3.924732857694092	
219.8915	189.56	0.5385530964898119	2.403107128081509	
219.8915	220.39	0.6040380869742689	1.533304452612378	
158.8459	22.15	0.020164304795948166	-15.04028082917509	
219.9307	367.19	0.9557052893020433	-0.1713826253671213	
190.9455	426.5	0.5385530964898119	2.146049410543344	
190.9455	431.25	0.7064809043697529	1.0731513813769613	
190.9455	452.86	0.7100849744329675	-1.052604898874696	
190.9455	454.83	0.5385530964898119	-2.4040991878344484	
190.9455	457.09	0.5471780499510678	-1.7855410692832157	
190.9455	458.53	0.5385530964898119	-2.462198417224171	
190.9455	461.84	0.8221192166444464	-0.6324884960216963	
190.9455	463.94	0.8286391028494927	-0.6115614558701844	
115.0198	24.65	0.736233337694268	-0.954370957449698	
220.1467	34.81	0.023265325688288277	13.10586576934989	
220.1467	77.48	0.057251730056426246	9.253969829192512	
190.9487	26.25	0.5972121060112421	-1.551216201734647	
159.0556	25.04	0.6240218032196551	1.446580518565376	
220.8531	1.18	0.8852725631213312	0.3798506576204604	
159.8593	1.05	0.9715728176081432	-0.10463301535916467	
159.8593	22.42	0.18341743662176352	-5.327857646785045	
220.8721	22.02	0.07758577121540057	-8.126051416492999	
191.9457	23.6	0.5509836787484024	-1.747907633169003	
192.1025	28.87	0.6062504973486054	1.5265536894803262	
221.0304	24.39	0.7716104526083252	0.8040194812729368	
221.0526	21.89	0.8355302606173455	0.5912836356725261	
221.0969	37.19	0.7028254491242589	1.0859429256728013	
221.1544	34.94	0.7258010911319452	0.995817874408871	C14H22O2
192.9583	22.29	0.39886324087109654	-3.4663272259559545	
192.993	25.04	0.8072834355823729	-0.6765896493110733	
221.8885	22.42	0.20373281375921465	-5.066889829666286	
221.8885	189.56	0.5569631238360481	1.7136949045080034	
221.8885	220.52	0.6208280902452327	1.455194726916738	
221.9467	25.04	0.8372114890491038	0.5850063424597652	
160.9069	2.1	0.33259852909265036	-3.9109503458512656	
118.0499	0.79	0.9442029755118505	-0.20651990011153337	
118.0499	23.73	0.5738767942995202	-1.6366176159329247	
222.85	1.31	0.8577619786255658	0.48840743136215303	
193.0864	26.12	0.5681487822438748	1.6551042911838405	
193.0864	31.13	0.8993800750137562	0.33674010064682697	
222.9578	21.63	0.5385530964898119	1.9999610133502088	
118.9915	24.39	0.4154660281131905	3.3852052839440674	
118.9915	238.19	0.8759902487976163	-0.4052438301205561	
223.028	281.26	0.5392094111833039	1.838326723938989	
161.0255	24.52	0.7503161240206944	-0.8943159429433082	
223.1338	35.07	0.5385530964898119	1.9713085999628708	
119.946	22.15	0.09170535208109401	-7.5595051950783585	
119.9752	0.53	0.9450051770557797	-0.20312899348023747	
194.0817	37.58	0.7199117951868607	1.0200790614082182	
194.0898	25.98	0.6152858332745705	1.4883094553083513	
194.0898	30.87	0.8832546959570908	0.3827151549599267	
161.8417	22.02	0.031012903004011022	-11.754397891444231	
161.849	22.29	0.25042794284180114	-4.575535909638311	
161.875	1.18	0.9600126818431126	0.15621383281534246	
223.8856	189.56	0.5385530964898119	2.087695787724403	
223.8856	220.52	0.6175982897920148	1.4759523252590698	
223.9178	25.31	0.25042794284180114	-4.631230521002412	
224.0275	281.26	0.6038695917132972	1.534919044632674	
224.0275	440.89	0.6808549161197562	1.210732061512114	
195.1022	25.85	0.5681487822438748	1.656140101617335	
195.1385	36.27	0.5385530964898119	2.2857794486674723	C12H20O2
195.8104	22.29	0.1629752929279196	-5.765413068394302	
195.8547	0.53	0.6549738830257005	-1.3105004520145058	
121.0523	23.73	0.5385530964898119	2.3899667835209	
121.943	22.15	0.10685155814216928	-7.110662957551908	
122.0601	23.86	0.5385530964898119	1.9820890461344025	
122.8932	1.05	0.7616931126888267	-0.8480236809202684	
225.0074	34.67	0.8553658350311959	0.4963928533578431	
225.0074	37.45	0.824940108148288	-0.6212908388592356	
225.0074	194.95	0.8505287594791044	0.524872874853816	
225.0074	202.09	0.695462836372491	1.1149961650964983	
162.9816	24.52	0.4421886204439007	3.2354423623993194	
225.0167	22.68	0.7775624455758249	-0.7837386956594713	
225.025	251.5	0.7100849744329675	1.0539158734137546	
225.025	281.26	0.6652703683855962	1.2620926608603384	
225.025	379.82	0.6808549161197562	1.1757111682000452	
225.0614	22.02	0.4981160996947226	2.9800803805720433	
196.9838	25.44	0.7792668386756076	-0.7773614603521002	
226.0201	22.55	0.9557052893020433	-0.17148984237752324	
226.0648	22.02	0.5385530964898119	2.6656574550363223	
197.0219	22.29	0.9576944337914982	-0.16659248422734738	
163.0605	24.91	0.6652703683855962	1.265224230226676	
124.0156	26.12	0.6570747187739309	1.2975334586837144	
163.8389	22.42	0.01878198373830292	-16.08406325466857	
197.8075	22.29	0.16095424456245208	-5.992570852747832	
197.8518	0.53	0.6646885403996282	-1.269228239670862	
163.8461	22.42	0.28743289981711273	-4.173548490069099	
163.9075	1.18	0.7288879198277808	-0.9836670976493687	
164.038	23.99	0.5034708988415455	2.948479776562609	
164.038	36.27	0.5385530964898119	-2.3456087271042065	
164.038	37.32	0.8164826250470967	-0.6438578416863168	
164.0709	24.52	0.6808549161197562	1.1853951972841203	
164.1074	28.87	0.6403549637916474	1.3638648083769074	
164.8353	22.15	0.012973640616232069	-18.4229897357082	
125.8722	22.42	0.16095424456245208	-5.973489370945845	
227.0671	21.76	0.28030869141893044	-4.310543715081982	
164.9265	23.47	0.007311424700459815	-23.853468613202775	
199.0372	22.94	0.8669412596816551	0.4465772176292161	
165.0401	201.96	0.950960410024975	0.18050753337804115	
165.0401	225.25	0.7616931126888267	0.8466584231576849	
227.9823	21.89	0.6175982897920148	1.4736207493472315	
165.0549	2.1	0.7913431038753121	0.7317198587133734	
165.0549	25.44	0.8054274344076411	0.6844622696692645	
165.8362	22.68	0.1111985788333368	-6.969116449628833	
228.1604	25.98	0.7167137591127541	-1.0299782090686422	C13H22O3
199.8045	22.29	0.1629752929279196	-5.809575581553408	
127.8692	22.42	0.16681151495536134	-5.652057258699622	
165.9391	22.29	0.2859337570193201	-4.2431726487519565	
166.0399	201.96	0.5385530964898119	2.0832320957957244	
166.0399	225.25	0.5569631238360481	1.7119748651905875	
166.0399	347.04	0.5387393107093891	1.9005535679795522	
166.0399	379.82	0.5385530964898119	1.9431057620917604	
166.0502	23.73	0.7530291845896973	0.8739741069772473	
201.0376	25.57	0.48256847752668963	-3.0554878735112	
166.8324	22.02	0.007989922857458672	-21.89750342905216	
166.9235	23.47	0.0388379540180764	-10.893763834829777	
229.9205	22.42	0.30805127056944986	-4.046682265720068	
128.9586	22.94	0.14719843022348614	-6.26133946729604	
229.9522	25.57	0.5385530964898119	-2.667398322136232	
166.9918	232.11	0.5392094111833039	1.819015900878885	
230.882	1.18	0.7372111993863408	-0.937623648423746	
230.8869	222.36	0.6285250992021933	1.4136457788155037	
129.8663	22.42	0.31702132385036713	-4.001346580366537	
167.0536	23.73	0.6057862360247342	1.529027609316376	
203.0044	23.86	0.9285815752200548	0.24629422635890924	
129.9903	22.02	0.8470754455405456	-0.5506121388579889	
167.9311	1.18	0.9900182551902861	0.03900631589695199	
167.9311	21.89	0.2554054325830635	4.515474733806297	
167.9364	22.42	0.2412649518488907	-4.7100175053124715	
231.0621	23.6	0.8564781782029431	0.49243785222100367	
231.0816	22.02	0.5385530964898119	2.731621238388833	
203.8439	22.42	0.20833350535343254	-5.006428734576246	
168.0659	23.73	0.5678017385926176	1.6656505515868822	
231.9675	25.31	0.5385530964898119	-2.5037775768269026	
232.0237	27.03	0.36222954181614775	3.7793434721602743	
232.8585	22.29	0.5385530964898119	-2.466261207342638	
130.9566	23.47	0.16095424456245208	-5.96807072366199	
168.8355	1.05	0.6808549161197562	-1.1678653479184962	
168.8355	23.86	0.023265325688288277	-13.896072207824844	
203.9598	24.39	0.5385530964898119	-2.3134339078886965	
168.8864	1.18	0.808675711430685	-0.6650580557216823	
204.0428	23.47	0.7530291845896973	-0.8742218919808745	
232.9145	20.43	0.8487460270535082	-0.5360789650061921	
232.9145	23.47	0.8072834355823729	-0.6786077086436402	
130.9914	22.02	0.8143524598584891	-0.6524573193001978	
168.9886	24.65	0.5385530964898119	2.5836978890626914	
168.9986	22.02	0.9479059939180936	0.1949313309828891	
169.0692	23.6	0.5681487822438748	1.656759737697369	
232.9855	21.1	0.9777678476269921	-0.08201721131812732	
204.993	25.44	0.6188913967642636	-1.4643734827760664	
205.0516	21.1	0.5385530964898119	1.987017330415531	
205.0516	23.34	0.5385530964898119	1.9731370736429021	
132.8669	1.31	0.8832546959570908	-0.38363280064155997	
205.8393	22.42	0.16849945709826955	-5.506038487644486	
170.07	23.6	0.7616931126888267	0.8460760343968524	
233.9467	25.85	0.3706613144366018	-3.718092004677706	
170.8326	1.05	0.788349302370224	-0.7441016214463193	
170.8326	23.86	0.036520012694369754	-11.167491237425255	
170.9435	21.89	0.5385530964898119	-2.15356494162917	
206.04	23.34	0.9181296796358474	-0.28428539833681304	
133.0133	1.84	0.8993800750137562	0.3371132197800736	
234.9549	25.44	0.5088508891995169	-2.8887239172353847	
234.9549	27.43	0.5537419771667403	-1.7337296244326157	
171.0404	5.8	0.6727329587910401	1.24293400395985	
207.0044	154.26	0.9181015325220668	0.2848892299118098	
207.0044	155.31	0.5392094111833039	1.8492614344314275	
207.0044	157.54	0.5385530964898119	-1.9346381066300338	
207.0044	220.52	0.7732152949055016	0.7967516254381146	
207.0044	221.57	0.6128584242004088	1.4945933276663337	
207.0044	481.73	0.6953903120604745	1.118355730974001	
134.8643	1.31	0.871278859068534	-0.4238985016053029	
