m/z	rtime	p-value	t-score	custom_id
114.0164	22.55	0.554476088439522	-1.2631532210098584	
219.1024	34.81	0.10015860899353327	5.20310890232724	
190.8584	1.18	0.4457143841945696	-1.6219367001841798	
219.8915	22.29	0.40464605906387807	1.8426655275992483	
219.8915	189.56	0.42528716277319406	-1.7169318071091138	
219.8915	220.39	0.4619832506852021	-1.5611581429243055	
158.8459	22.15	0.603065803174568	1.1360381274530325	
219.9551	24.26	0.7317801517756093	-0.7642962778322442	
190.9455	426.5	0.4446020647090119	-1.625648553361765	
190.9455	431.25	0.8722114332793105	-0.35904321018536317	
190.9455	452.86	0.761735816552949	0.656093494440435	
190.9455	454.83	0.6778590021379276	0.9263072187271862	
190.9455	457.09	0.9935556249722793	-0.022592163677617516	
190.9455	458.53	0.3975529224293504	2.0629339078921296	
190.9455	461.84	0.3842583332579068	2.234372900110882	
190.9455	463.94	0.9338906023262359	0.1878797570898172	
115.0198	24.65	0.8144484889325282	0.5189072524641082	
190.9487	26.25	0.37928014606272364	2.2517444343397948	
159.0556	25.04	0.8720552996952456	-0.3598798341114118	
159.8593	1.05	0.4802860181488284	-1.5026957305785862	
159.8593	22.42	0.3975529224293504	2.029792398683146	
220.8721	22.02	0.026207986194124414	8.307012712444887	
191.9457	23.6	0.6936051822365934	0.8768562346910518	
192.1025	28.87	0.348239161422735	2.47296157314878	
221.0304	24.39	0.07917083937848846	5.717204553133817	
221.0526	21.89	0.8777530700228263	-0.34621392492568637	
221.0667	2.36	0.41815801865597035	1.7614047665162762	
221.0969	37.19	0.008847862886117868	12.436076366932435	
221.1544	34.94	0.6812422307458113	0.9158308421147189	C14H22O2
221.8515	22.42	0.3975529224293504	2.0671849488164913	
192.9583	22.29	0.22574892996846002	3.3739351497476764	
192.993	25.04	0.5363211055061636	1.3202475624200618	
221.8885	22.42	0.3975529224293504	2.1259072069922076	
221.8885	189.56	0.5881881443135755	-1.1698835085590917	
221.8885	220.52	0.4749806671877424	-1.521025896359436	
221.9467	25.04	0.997096424076735	0.011396998995913293	
160.9069	2.1	0.8792501589951072	-0.34016327622340015	
118.0499	0.79	0.9260931185554881	0.21295396838630584	
118.0499	23.73	0.7964115754943981	0.5645630116170124	
222.8296	22.29	0.3551167659739469	2.4358280334573923	
222.8419	22.02	0.7964115754943981	0.5615868963818392	
222.8419	718.28	0.8306232335060438	0.4669861544605067	
222.8697	25.57	0.014124581891316577	10.544618567513684	
193.0864	26.12	0.8007804856536792	0.5464265172345608	
193.0864	31.13	0.4811336440885375	1.4992359679215574	
193.815	22.42	0.751731785581419	0.6906570584552808	
118.9915	24.39	0.8223772485116247	-0.49233469831363086	
118.9915	238.19	0.6234987641323078	-1.0794877757974908	
223.028	281.26	0.3975529224293504	-1.9941742337994401	
161.0118	21.63	0.3999839144712895	1.890529587359134	
161.0118	23.6	0.4776863199055903	1.5117412029692854	
161.0238	2.36	0.5163360380168004	1.3766669856723177	
161.0238	8.43	0.912286505505494	0.2640304697146818	
161.0238	10.27	0.9452618104230944	0.15170624017059778	
193.9311	24.12	0.912286505505494	0.2639243317875636	
193.9592	22.42	0.3975529224293504	1.997681695509589	
161.0255	24.52	0.40464605906387807	1.8402083152925492	
119.9066	22.68	0.4023372606391847	1.873969037795664	
223.1338	35.07	0.40482672782112605	1.836058787325073	
119.946	22.15	0.2533719469618653	3.130000573358949	
119.9752	0.53	0.15692706752604288	-4.268199685405916	
194.0817	37.58	0.6809109350987865	0.9180776090159407	
223.8485	22.42	0.4224875939711588	1.746765701184859	
194.0898	25.98	0.3975529224293504	1.955864817173116	
194.0898	30.87	0.3975529224293504	1.9998935033645064	
161.8417	22.02	0.5741507325422603	1.205664763769317	
161.849	22.29	0.3975529224293504	2.0460082932928474	
161.8563	22.02	0.3992354277019205	1.9115895004107584	
161.875	1.18	0.5125729418911191	-1.3897871317605177	
223.8856	22.02	0.3261292846869613	2.652095681954807	
223.8856	189.56	0.7182147022818421	-0.8038124090931577	
223.8856	220.52	0.4385736173091339	-1.6640954356706819	
161.8844	1.45	0.3975529224293504	1.9728684486412864	
194.9558	22.15	0.3975529224293504	1.9992537170545117	
223.9178	25.31	0.3320371110116657	2.5925907104097603	
224.0275	281.26	0.44024723551634465	-1.643616150821714	
224.0275	440.89	0.603065803174568	-1.135096719469896	
195.1022	25.85	0.3844182979216868	2.2325342349403376	
195.1385	36.27	0.6410697590666985	-1.031025315569508	C12H20O2
195.8104	22.29	0.3629017467505742	2.374209977168617	
224.8266	22.29	0.2741525987625462	3.0065380006146563	
195.8547	0.53	0.32461901257004067	2.665974171104548	
224.8677	25.57	0.3975529224293504	1.9980077472407178	
195.9069	4.86	0.8220586592896997	-0.4941604929866059	
121.0516	23.47	0.7751885386086008	0.6207681780195139	
196.0103	22.15	0.29460204252683037	2.864810045370443	
196.0103	24.91	0.4776863199055903	1.5124325066780153	
196.0222	23.07	0.9233621152002893	-0.23637295146441784	
121.943	22.15	0.22283290513502751	3.4053633279438342	
196.8108	22.42	0.3762639773213583	2.278704017686369	
122.0601	23.86	0.7496995403185359	-0.6973678608256084	
122.8932	1.05	0.9260931185554881	-0.21142194397961553	
162.9391	23.2	0.7017701703268374	0.8557005037457002	
225.0074	21.1	0.6568478586990237	-0.9813945830178153	
225.0074	34.67	0.18996637030287059	3.755226360910799	
225.0074	37.45	0.7182147022818421	0.8031978966273582	
225.0074	194.95	0.7124197630138345	-0.827869585184753	
225.0074	202.09	0.9685907595585326	0.0907625700140419	
162.9816	24.52	0.7935156031049152	-0.5724074785767792	
225.0152	198.66	0.8711605920571669	0.36514178231802424	
163.0006	21.89	0.5332275190565176	1.329825608326016	
