m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.5768851946169754	-2.157679523505043	C8H5NO
132.0527	159.14	0.6649471225868874	1.07444519368327	
132.0769	252.96	0.7565351498306987	-0.7488473995615962	C4H9N3O2
175.2036	358.7	0.991354610443807	-0.040758037484181255	
218.0653	269.18	0.8798705859191064	-0.37071281459087546	
132.1152	265.76	0.6300882060831211	1.2335691997228502	
218.1249	295.96	0.6032677702872201	1.5232148390788933	
73.0848	209.69	0.5768851946169754	2.3104776211276286	
176.0295	216.13	0.6758716666683725	1.0355190235733918	
132.9874	108.14	0.9986964782132484	0.0026137189380222923	
132.9874	110.9	0.9391372775478488	0.2117801179172506	
132.9874	112.74	0.8730209976153875	-0.40529355053566984	
132.9874	213.89	0.8329027621764344	0.4866392375023649	
133.0279	362.77	0.5520214065679271	-2.8524983372479364	
218.9434	200.73	0.9178214900364812	-0.26933416336508936	
133.0801	252.83	0.796501281485611	-0.6150706286996321	C4H9N3O2
133.0861	26.79	0.5768851946169754	2.6629520532856508	
219.0267	204.67	0.9859463746733275	0.05659666603459217	
133.1014	25.2	0.9929251237537471	-0.029923772197638775	
133.1014	27.84	0.8792161168045975	-0.3747305479052674	
219.0476	192.56	0.5397742803740074	4.08739319754584	
219.0576	269.31	0.8299998476117424	-0.49307128651894944	C13H11ClO,C11H10N2OS
133.1222	266.16	0.810157826521714	-0.5693117004376832	
133.1247	265.76	0.6992382167907126	-0.9259564767476066	
176.8754	200.73	0.6032677702872201	-1.5215359472021088	CK2O3
219.9076	198.21	0.9391372775478488	-0.20117525821770316	
219.9076	205.06	0.7008345999932046	-0.9070442823795162	
134.0353	190.85	0.5768851946169754	2.245519727473096	C5H8O2S
219.9468	200.73	0.9211358026369949	-0.2598373207348498	
134.0813	41.57	0.8798705859191064	-0.37106773756239103	C5H11NO3
134.0813	48.95	0.6166963647013058	1.386366922717983	C5H11NO3
220.03	198.21	0.5768851946169754	2.6288893774482935	
220.03	204.67	0.9488566807936272	0.1852172507920288	
220.03	210.74	0.7008345999932046	-0.9092469838250121	
220.0371	198.07	0.904299865824698	0.3003744146489574	
220.0371	204.54	0.6259416063399359	1.3049352646550003	C9H11NO3
220.1181	179.0	0.7590739720760498	0.7372126274223679	C9H17NO5
177.8883	200.73	0.5768851946169754	2.5824025087365783	
135.0277	190.72	0.5768851946169754	2.2729772161031825	
177.9668	200.99	0.8068348408943047	0.5893696233030908	H2KO4P
178.0242	202.96	0.6758716666683725	1.0339492125011205	
178.0711	191.12	0.5942919964558434	1.830678632051158	
220.9016	200.73	0.6032677702872201	-1.5292093697098463	
220.9415	200.6	0.9701864660886544	-0.11400617328516703	
220.9475	200.6	0.8253492666767527	-0.5130934199409486	
135.0635	50.0	0.5768851946169754	2.258568869159326	C8H7NO
221.0248	198.21	0.5465725233244052	3.275122236059379	
221.0248	204.67	0.9557857315558117	-0.16576921045672724	
221.0248	211.14	0.8082281378272563	-0.5814785715860809	
221.0344	204.14	0.8296889095377329	0.5022657428011619	
135.068	203.36	0.5942919964558434	1.8895695930393865	
221.8998	135.41	0.6554151471870612	1.1125038677249903	
221.8998	150.28	0.6274841205641948	1.2538020581353444	
221.9049	200.86	0.5397742803740074	-4.0844543162989275	
77.0391	159.01	0.5768851946169754	2.455450466234816	
178.8736	200.73	0.5768851946169754	-2.4575438375260226	
178.8811	198.21	0.7008345999932046	0.9071854357170519	
178.8811	205.06	0.8000989006957446	-0.6070029809244181	
