m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.9999114918879304	0.5608841855428811	C8H5NO
132.0527	159.14	0.9999114918879304	0.671195508820333	
132.0769	252.96	0.9999114918879304	-0.0065911889148873425	C4H9N3O2
132.0809	155.99	0.9999114918879304	0.6830386689723612	
175.2036	358.7	0.9999114918879304	0.9100961758476518	
218.0653	269.18	0.9999114918879304	-0.25373576404516207	
72.0926	209.43	0.9999114918879304	0.09525971036274665	
132.1152	265.76	0.9999114918879304	-0.649805698978403	
132.1214	265.76	0.9999114918879304	-0.3457069126529359	
218.1249	295.96	0.9999114918879304	0.6970919097966055	
73.0784	209.43	0.9999114918879304	0.8345077237507112	
73.0848	209.69	0.9999114918879304	0.45916148822975444	
176.0295	216.13	0.9999114918879304	0.2094386161347064	
132.9874	108.14	0.9999114918879304	-0.20508251478752854	
132.9874	110.9	0.9999114918879304	-0.08312168111787684	
132.9874	112.74	0.9999114918879304	-0.18644240565991615	
132.9874	213.89	0.9999114918879304	0.011100460448303496	
133.0279	362.77	0.9999114918879304	0.30365841061308424	
133.0319	190.85	0.9999114918879304	-0.40535772301177303	C5H8O2S
218.9434	200.73	0.9999114918879304	-0.8012878233999091	
133.0762	257.72	0.9999114918879304	-0.465879302796069	
218.9877	254.67	0.9999114918879304	-0.2730987825735694	
218.9877	259.03	0.9999114918879304	0.43465480626889325	
133.0801	252.83	0.9999114918879304	0.9928580875570986	C4H9N3O2
133.0843	155.6	0.9999114918879304	0.7925681461469263	
133.0861	26.79	0.9999114918879304	1.547529354021232	
219.0267	198.21	0.9999114918879304	-0.068983004927868	
219.0267	204.67	0.9999114918879304	-0.47723495961773915	
219.0267	210.74	0.9999114918879304	-0.3980447941528838	
133.1014	25.2	0.9999114918879304	-0.44843252101415115	
133.1014	27.84	0.9999114918879304	3.5752580150943616	
219.0476	192.56	0.9999114918879304	1.6422029015609232	
219.0576	269.31	0.9999114918879304	-0.1255753636474912	C13H11ClO,C11H10N2OS
133.1222	266.16	0.9999114918879304	-0.9740273365908518	
