m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.7349319847233835	0.5515321687348217	C8H5NO
132.0527	159.14	0.09113926809041299	3.541795709401212	
132.0769	252.96	0.08260237708828312	-3.711083269384452	C4H9N3O2
132.0809	155.99	0.03258816698501674	5.512919998226642	
175.2036	358.7	0.3091207562372319	-1.676316937087	
218.0653	269.18	0.004411745116946127	-12.321073709674149	
218.0813	27.71	0.25638005392015484	1.9848294258453918	C12H11NO3
72.0926	209.43	0.06383159981765991	4.1701034085078055	
132.1152	265.76	0.0035415435627559914	-13.646144081105371	
132.1214	265.76	0.0035925210214375718	-13.512113165774345	
218.1249	295.96	0.0675099634974479	-4.0527620669221465	
73.0784	209.43	0.005283072490412196	11.413556396619432	
73.0848	209.69	0.06715172404386154	4.06519933848455	
73.5324	388.54	0.3771156498482595	-1.419816878595619	
176.0295	216.13	0.09227994357998157	-3.524697377731976	
132.9874	108.14	0.923843301211167	0.17367139888504426	
132.9874	110.9	0.5137986756418925	1.0572800410233376	
132.9874	112.74	0.9266496214052528	-0.16636296135917344	
132.9874	213.89	0.5279539017152278	-1.0115229899595335	
133.0279	362.77	0.48319743842282803	-1.1360857875950314	
133.0319	190.85	0.9208422195726504	-0.18190894578016675	C5H8O2S
218.9434	200.73	0.0864393673278446	-3.6365939145243322	
133.0717	254.28	0.3102847829371373	1.6615410689945056	
133.0717	257.06	0.27902898558912514	1.815582985661228	
133.0717	264.45	0.25638005392015484	1.9844631776336712	
133.0717	265.89	0.25949230492338865	1.9357023582404052	
133.0717	267.6	0.29379732106652623	1.7411032403033542	
133.0762	257.72	0.007740642403546574	-9.619547258129916	
218.9877	254.67	0.10444584548597176	3.3315922430000637	
218.9877	259.03	0.018033558423783146	6.856834571719898	
133.0801	252.83	0.11760002509625353	-3.1350540830926326	C4H9N3O2
133.0843	155.6	0.06599995723096182	4.101629118330349	
133.0861	26.79	0.06599995723096182	4.100992489002138	
219.0267	198.21	0.5448109534095675	-0.9688525085133847	
219.0267	204.67	0.6849706377688779	-0.6516627275025471	
219.0267	210.74	0.6082252628823784	0.8206284821454042	
133.1014	25.2	0.6794957832656311	0.663806359866148	
133.1014	27.84	0.26740534167985963	1.8868163252939254	
219.0476	192.56	0.7223688936319625	0.5749121313527678	
219.0576	269.31	0.003969232189606682	-12.911248235308168	C13H11ClO,C11H10N2OS
133.1222	266.16	0.0038197577293915463	-13.14356100897062	
133.1247	265.76	0.0042330801356108266	-12.553061959435556	
219.134	265.76	0.07861053309067205	-3.7973578909726964	
176.8754	200.73	0.7499819001347843	-0.5219549216031987	CK2O3
219.9076	198.21	0.7894374141635777	-0.4316858916279064	
219.9076	205.06	0.16175250311634096	-2.6598278427448014	
219.9468	200.73	0.13579513279691155	-2.920421055149596	
134.0353	190.85	0.8271539613047263	-0.3658164931275041	C5H8O2S
177.0911	28.1	0.2618293320750879	1.919509897107541	
134.0813	41.57	0.020854224326363396	-6.49311916763239	C5H11NO3
134.0813	48.95	0.07930401341796046	-3.781612236190729	C5H11NO3
220.0194	296.88	0.005343939613299987	-11.34954185507814	
220.03	198.21	0.34269084457395904	-1.5295717694501778	
220.03	204.67	0.4924550676314701	-1.1113002500420133	
220.03	210.74	0.512173814110922	1.0615004131303298	
220.0371	198.07	0.042769082909495805	-4.931678664600362	
220.0371	204.54	0.5688267224311769	-0.9042973160341423	C9H11NO3
220.0971	99.22	0.8785552159813882	-0.26669474754753647	
220.1181	179.0	0.9266496214052528	0.1661923332622024	C9H17NO5
177.8883	200.73	0.6817609537434114	-0.6592990652997195	
177.9668	200.99	0.1559925464060134	-2.715133875623684	H2KO4P
135.0277	190.72	0.9573844815618235	-0.09880878540927998	
178.0242	202.96	0.04392510485749571	4.873057064066272	
178.0711	191.12	0.14263528120181423	-2.847675104176713	
220.9016	200.73	0.22431142459876258	-2.227162299812682	
220.9415	200.6	0.0812165109113347	-3.7358760858494664	
220.9475	200.6	0.2095145465262119	-2.306171634629775	
220.9565	232.31	0.19224833859051604	-2.429761950025429	
221.0177	313.72	0.25638005392015484	2.03186512263693	
221.0248	198.21	0.7236258685959238	-0.5707597834618192	
221.0248	204.67	0.526436363972419	-1.0235469676413655	
221.0248	211.14	0.9888096227654766	0.024685851541560958	
221.0308	198.21	0.7873612541310595	-0.4380683198083286	
135.0635	50.0	0.470114277786669	-1.1671715896314074	C8H7NO
221.0344	204.14	0.6697639256093726	-0.6894214098083609	
221.0344	209.3	0.22104539184229985	2.243417716356086	
221.0922	191.51	0.22744624129027763	2.207394179620025	C11H12N2O3
221.8998	135.41	0.5399282234663864	0.9809429568794634	
221.8998	150.28	0.5876191324877488	0.8630142828490018	
221.9049	200.86	0.42321930878061786	-1.2828250079642558	
178.8736	200.73	0.6787031646614549	-0.6653621444194494	
221.9924	333.77	0.000788487326804566	38.71511439435856	
221.9924	336.01	0.49010998617612156	1.1193679685850655	
221.9924	338.11	0.9337428841433164	0.15362339681073395	
221.9924	341.65	0.21124323256935107	2.294130806157737	
221.9924	348.91	0.29229259433514265	1.7516418588256846	
221.9924	350.39	0.3352473282977848	1.5549631885309079	
221.9924	352.1	0.6510527793891047	-0.7321684629298618	
77.0391	159.01	0.06133983986396962	4.248714878975832	
178.8811	198.21	0.1872131417084845	-2.4700050303396828	
178.8811	205.06	0.37663381122625733	-1.4230752993541598	
222.0712	214.55	0.4084259756110723	-1.3303173015539946	
77.9274	200.73	0.015731173081466023	-7.283668966101161	
222.0956	174.67	0.26370485469733956	1.9088970947591757	C11H12N2O3
222.0956	176.11	0.3190671759040614	-1.6265602419686072	
222.0956	191.25	0.1442307513185567	2.8334131381448886	C11H12N2O3
78.9563	198.6	0.6939759066514711	-0.6340210130028425	
78.9563	204.67	0.664384253485884	-0.7014739232515828	
179.0276	203.09	0.19093247374440223	2.4413664681527893	
79.9903	200.73	0.0035415435627559914	-13.710433367741151	
80.9873	200.6	0.5399282234663864	0.980564477187415	
80.9937	200.73	0.0035415435627559914	-13.801190780787511	
222.8997	200.73	0.16262467080788343	-2.6492936699055196	
136.9098	200.73	0.18944709571341878	-2.452133956507966	
81.0453	197.02	0.017259879039549585	7.0225224000810815	
136.9109	201.12	0.6962935463857537	-0.6292574575068526	
136.9402	200.73	0.006423820989803921	-10.453898778507407	H2KO4P
136.9695	200.99	0.7427644110334317	-0.5360871769911861	
136.9707	200.47	0.7569032072306859	0.5036524001855291	
179.0901	357.78	0.23941461648268197	-2.1425221237104832	
137.0418	194.27	0.48476979081163607	-1.1317872987704531	
137.0418	200.73	0.18432383768588684	-2.4890927292304563	
223.0637	136.19	0.44002726425860195	1.240426340371189	
81.9884	200.73	0.015739140124334267	-7.276422853030047	
137.0598	204.41	0.8667189049514379	0.2910009959978	C8H8O2
137.071	194.27	0.6648315736987559	-0.7003017593106007	C8H7NO,C5H8FNO2
223.0749	25.33	0.032982936840073855	5.4872578948243955	
223.1078	204.14	0.9423944261535827	0.13095339926596464	C9H11NO3
179.8812	205.06	0.9947931950457243	0.011594920886500387	
223.1116	302.03	0.03958620280417991	-5.108326410106916	
180.0224	203.36	0.034630200703724134	5.363647786050014	
137.0792	204.14	0.9794264807331322	-0.04984165257880741	C6H6O
223.1331	31.69	0.009135427598490066	9.060434074180103	
137.1004	194.27	0.9356942675183091	-0.14766937099415775	
137.9435	200.73	0.002691823176822709	-15.563677976634917	H2KO4P
138.0526	222.17	0.29490868461155206	1.7349733718282543	
138.0681	194.27	0.6605069246275536	-0.712827998989509	
138.0743	194.27	0.6610219788322939	-0.7116428857576277	
223.1918	192.03	0.6875549773138778	-0.6471888264432268	
223.8969	135.24	0.9972484912868478	-0.005232801932312005	
223.8969	150.02	0.9896903543289812	0.023005382241453893	
