m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.775296086196137	4.06201178807639	C8H5NO
132.0527	159.14	0.8242229812937713	0.5689155771384145	
132.0769	252.96	0.7995357753223474	-1.1847083339323874	C4H9N3O2
132.0809	155.99	0.8829786078040724	0.38209435888110255	
175.2036	358.7	0.8122338082948438	0.6646235124821541	
218.0513	288.18	0.7995357753223474	1.845645879953583	
218.0513	289.89	0.7995357753223474	1.9996232954840425	
218.0513	291.76	0.7995357753223474	1.9837926830723747	
218.0513	293.73	0.7995357753223474	1.9939335893031993	
218.0653	269.18	0.7995357753223474	1.1020873934536763	
132.1152	265.76	0.8792922252435221	0.3896626779522348	
132.1214	265.76	0.8232873801489553	0.5728888057273864	
218.1249	295.96	0.7995357753223474	-1.202075674660511	
73.0784	209.43	0.8008197004360146	0.7775024315859745	
73.0848	209.69	0.8111062943944911	0.6824959818176183	
73.5324	388.54	0.8008197004360146	-0.7197600524081226	
176.0295	216.13	0.7995357753223474	-1.0399289462967316	
132.9874	108.14	0.7995357753223474	2.5776424983861443	
132.9874	110.9	0.7995357753223474	2.3358704214314363	
132.9874	112.74	0.7995357753223474	2.847406045663517	
132.9874	213.89	0.775296086196137	-4.122386930572641	
133.0279	362.77	0.9632329931242571	0.13039556537921512	
133.0319	190.85	0.7995357753223474	-1.9087545007604554	C5H8O2S
218.9434	200.73	0.8232873801489553	-0.5725684573583345	
133.0762	257.72	0.7995357753223474	-0.8506673574581957	
133.0801	252.83	0.7995357753223474	-1.9402068586257297	C4H9N3O2
133.0843	155.6	0.9367849397625351	0.22001455114658383	
133.0861	26.79	0.7995357753223474	-1.37665498034353	
219.0267	198.21	0.7995357753223474	-1.1204782993682805	
219.0267	204.67	0.811504553140436	-0.6780764864723319	
219.0267	210.74	0.8008197004360146	0.7924550821406199	
133.1014	25.2	0.9942612511768282	0.013255586292577191	
133.1014	27.84	0.9606477366033935	-0.14198848248532692	
219.0476	192.56	0.7995357753223474	0.8811699178523953	
219.0576	269.31	0.8533578713601051	0.465668461870308	C13H11ClO,C11H10N2OS
133.1222	266.16	0.7995357753223474	0.9222082078041076	
133.1247	265.76	0.9705390933541419	0.11218741744760526	
176.1282	29.68	0.7995357753223474	-1.0316581349051985	
176.8754	200.73	0.7995357753223474	0.8444626018145597	CK2O3
219.9076	198.21	0.7995357753223474	-1.1566640892047253	
219.9076	205.06	0.8194797107646985	-0.5997335942472732	
134.0312	190.98	0.7995357753223474	-1.9351363658584917	
219.9468	200.73	0.7995357753223474	-1.365919664266251	
134.0353	190.85	0.7995357753223474	-1.9946351396101538	C5H8O2S
134.0813	41.57	0.04996052590197962	-15.020902077170419	C5H11NO3
134.0813	48.95	0.4888226611858174	-5.136421244769423	C5H11NO3
220.03	198.21	0.7995357753223474	-1.0294239757083952	
220.03	204.67	0.8008197004360146	-0.8101670053815428	
220.03	210.74	0.8008197004360146	0.7632838715064223	
220.0371	198.07	0.7995357753223474	-1.5700609779757047	
220.0371	204.54	0.7995357753223474	-1.8404755612346508	C9H11NO3
220.1181	179.0	0.8976539651231559	0.33069692932593675	C9H17NO5
177.8883	200.73	0.7995357753223474	-2.494805760112776	
177.9668	200.99	0.7995357753223474	-1.461509720542738	H2KO4P
135.0277	190.72	0.7995357753223474	-1.8766929152248686	
178.0242	202.96	0.8179745762460873	0.6207019899964074	
178.0711	191.12	0.8269470580951853	0.5536832665617846	
220.9016	200.73	0.9476390609398436	0.17978075287005463	
220.9415	200.6	0.7995357753223474	-1.4230272069113807	
220.9475	200.6	0.7995357753223474	-0.8456378841808802	
220.9565	232.31	0.8283212574120222	0.5442489523650799	
221.0248	198.21	0.7995357753223474	-1.0193675856597697	
221.0248	204.67	0.8008197004360146	-0.7230461176934763	
221.0248	211.14	0.8661871920631977	0.42331447970712427	
221.0308	198.21	0.7995357753223474	-1.3358621810364488	
135.0635	50.0	0.7995357753223474	-0.9116061452741524	C8H7NO
221.0344	204.14	0.7995357753223474	-1.5512073917558087	
221.0344	209.3	0.886473663847563	-0.3564296902318355	
135.068	203.36	0.7995357753223474	-1.634818423132571	
221.0922	191.51	0.7995357753223474	1.9165707153394045	C11H12N2O3
221.1214	178.87	0.7995357753223474	-2.028651638225169	C9H17NO5
221.1389	27.32	0.7995357753223474	-1.3413168268665765	C11H16N4O
221.1389	34.84	0.811504553140436	-0.6771955338571839	
221.8998	135.41	0.9606477366033935	-0.1415787473460322	
221.8998	150.28	0.7995357753223474	-1.8518267589702515	
221.9049	200.86	0.9247741668942796	0.25579852258545543	
178.8736	200.73	0.7995357753223474	0.9279538801755169	
77.0391	159.01	0.8283212574120222	0.5448823690855411	
178.8811	198.21	0.7995357753223474	-1.9183400348387907	
178.8811	205.06	0.7995357753223474	-1.0839698023961768	
77.9274	200.73	0.7995357753223474	-1.6351312418373316	
222.0956	174.67	0.7995357753223474	1.2240345942640507	C11H12N2O3
222.0956	191.25	0.7995357753223474	1.38220370799846	C11H12N2O3
79.9903	200.73	0.7995357753223474	-1.4515055868616276	
80.0032	200.73	0.775296086196137	-4.090303933666269	
80.9873	200.6	0.7995357753223474	-1.0603911953871257	
80.9937	200.73	0.7995357753223474	-1.6184200636005006	
222.8997	200.73	0.9741809945370626	0.09506878111628549	
136.9098	200.73	0.7995357753223474	-0.9878041109965444	
81.0453	197.02	0.7995357753223474	1.0808268994325272	
136.9109	201.12	0.7995357753223474	0.8435683386151719	
136.9402	200.73	0.7995357753223474	-1.070248125675436	H2KO4P
136.9695	200.99	0.8008197004360146	0.753549149479257	
136.9707	200.47	0.7995357753223474	-1.7682641535626857	
