m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.10235176102964938	4.399540362844282	C8H5NO
132.0527	159.14	0.32082311327221713	-1.7365207961970701	
132.0769	252.96	0.5682896580547678	-0.9113706039333143	C4H9N3O2
175.2036	358.7	0.5884110067971453	-0.8657242132344943	
218.0653	269.18	0.13362029006172663	3.4407403165448955	
132.1152	265.76	0.37567258174872126	1.507513511267648	
218.1249	295.96	0.8156665571846686	0.37942527340539306	
73.0848	209.69	0.5807901124646417	-0.883491823126102	
176.0295	216.13	0.007939948969300722	-19.60776963066991	
132.9874	108.14	0.13427991672338954	3.4183786511824445	
132.9874	110.9	0.11681027257437543	3.9320796099935293	
132.9874	112.74	0.11932430110079649	3.83981085243802	
132.9874	213.89	0.12676549725488845	-3.6307971941287978	
133.0279	362.77	0.9326512172338214	0.1487369740429303	
218.9434	200.73	0.11681027257437543	-3.9286252155282075	
133.0801	252.83	0.5223763942254432	-1.027349768977879	C4H9N3O2
133.0861	26.79	0.5593870826545133	-0.9445707661877066	
219.0267	204.67	0.10971798944163058	4.13772742672331	
133.1014	25.2	0.9326512172338214	-0.14652134605781122	
133.1014	27.84	0.56537829137955	-0.9262190520109823	
219.0476	192.56	0.15785818453113057	3.0091142641855058	
219.0576	269.31	0.12096187006637844	3.806787504882711	C13H11ClO,C11H10N2OS
133.1222	266.16	0.16157851506979776	2.961247308782034	
133.1247	265.76	0.18063183621083106	2.7272388296173484	
176.8754	200.73	0.36769243227160053	1.5330188381003182	CK2O3
219.9076	198.21	0.8156665571846686	-0.37971401509072705	
219.9076	205.06	0.5962855319723115	0.8492556560885585	
134.0353	190.85	0.335704250588511	-1.6627817029946523	C5H8O2S
219.9468	200.73	0.3142328423919432	-1.769048384125073	
134.0813	41.57	0.0326551555127748	-8.275563109346372	C5H11NO3
134.0813	48.95	0.3360124006874546	-1.6594665684072034	C5H11NO3
220.03	198.21	0.2037744600166402	2.4846370503855977	
220.03	204.67	0.09249302007344123	4.644212219179326	
220.03	210.74	0.22972418518179347	2.2766982023690137	
220.0371	198.07	0.25118799433921785	-2.123914659764541	
220.0371	204.54	0.3126669725081852	-1.784244644220007	C9H11NO3
220.1181	179.0	0.8352237608419146	0.3327276592336197	C9H17NO5
177.8883	200.73	0.10971798944163058	-4.132250343867219	
135.0277	190.72	0.31894101000367225	-1.74688671948951	
177.9668	200.99	0.6168502227374817	-0.8038891759808017	H2KO4P
178.0242	202.96	0.11681027257437543	-3.946933628785964	
178.0711	191.12	0.14154003580951655	3.2603769238141895	
220.9016	200.73	0.2863274713538377	1.9138672204348968	
220.9415	200.6	0.0714694028684074	-5.370253780819647	
220.9475	200.6	0.44919795145539126	-1.2564533466221262	
135.0635	50.0	0.5133906230145643	1.0481124108943431	C8H7NO
221.0248	198.21	0.2903665820720671	1.8948232111285301	
221.0248	204.67	0.10640773803992767	4.266494154977097	
221.0248	211.14	0.1759056414457646	2.768430745367879	
221.0344	204.14	0.2667129813367537	-2.0412063148199926	
135.068	203.36	0.23418718977753417	-2.230057824935574	
221.8998	135.41	0.6623389844648455	0.7002843845556934	
221.8998	150.28	0.13483165944117212	-3.401744481100772	
221.9049	200.86	0.19841310698170964	2.5375090144708703	
77.0391	159.01	0.15279825852771653	-3.1338431873021313	
178.8736	200.73	0.31562560933057304	1.762553681271379	
178.8811	198.21	0.3376445623387148	-1.6540779981196543	
178.8811	205.06	0.6714919178899367	0.6757139021439801	
77.9274	200.73	0.9032290314244206	-0.19856813836309642	
222.0956	174.67	0.08449609069781067	4.876857801448242	C11H12N2O3
222.0956	191.25	0.03627818635326891	7.6564604066536965	C11H12N2O3
80.0032	200.73	0.5572867065679192	-0.9519516303168064	
80.9873	200.6	0.6168502227374817	-0.8029055929624244	
80.9937	200.73	0.3078751246535382	-1.8002623159598554	
136.9098	200.73	0.7941501328061967	0.4334902544255937	
136.9109	201.12	0.952517015573135	0.10712622767780011	
136.9402	200.73	0.19047135385834588	-2.6099910723240747	H2KO4P
81.0453	197.02	0.6410952552443925	-0.7458299764287557	
136.9695	200.99	0.4561354022138549	1.2250405484081321	
136.9707	200.47	0.6349581466256772	-0.7650884469425605	
222.8997	200.73	0.38556430892508337	1.463481757500217	
179.0901	357.78	0.7530386512211444	0.507011645593974	
81.9884	200.73	0.3546297347010594	-1.580070178622482	
137.0598	204.41	0.12406391798089886	-3.7017581081140203	C8H8O2
137.071	194.27	0.7986276198040353	-0.42498525271493914	C8H7NO,C5H8FNO2
223.0637	136.19	0.2682839970628254	-2.015336848207896	
137.0792	204.14	0.12676045230428049	-3.636718542522776	C6H6O
