m/z	rtime	p-value	t-score	custom_id
132.0384	251.26	0.2961142310127075	1.4592378873592542	
132.0384	252.96	0.3240277758360858	1.3591849322915113	
132.0384	259.69	0.18706223515414055	1.9149564241713182	
132.0446	28.24	0.1877686115371941	1.9119257188713494	C8H5NO
132.0527	159.14	0.4798823689225209	0.9573893843970277	
132.0769	252.96	0.23640493213933808	-1.6971518759588362	C4H9N3O2
132.0809	155.99	0.31076052259525494	1.404919040779666	
175.2036	358.7	0.46601705600148613	-0.9902021246186918	
218.0653	269.18	1.5938705459414308e-06	-37.05825821513983	
218.0813	27.71	0.004993569343769827	5.599693447621884	C12H11NO3
72.0926	209.43	0.000357104605960952	9.816764584120907	
132.1152	265.76	5.798752709752007e-05	-14.361337889032093	
132.1214	265.76	2.802112689545212e-05	-17.17799296419569	
218.1249	295.96	0.12593244778331086	-2.3161194440074446	
73.0784	209.43	0.006954625625269254	5.204011365783795	
73.0848	209.69	0.0070025616546409855	5.194136210838883	
176.0295	216.13	0.009151971173546054	-4.883808132550495	
132.9874	108.14	0.9638566074868576	-0.06941356213491322	
132.9874	110.9	0.6333291039611684	0.656598583344473	
132.9874	112.74	0.24421104559464	-1.6673853367558948	
132.9874	213.89	0.08373828513161474	-2.6734439021351437	
133.0279	362.77	0.1765562086080191	-1.9727326985545421	
133.0319	190.85	0.9471945097444885	0.10292138761485047	C5H8O2S
218.9434	200.73	0.0007747707067221566	-8.41817731840451	
133.0717	252.57	0.3633872371473838	1.2375265650917529	
133.0717	254.28	0.29885446188635856	1.4459834450096012	
133.0717	264.45	0.31345763805968346	1.3954347753385938	
133.0717	265.89	0.29195426232884625	1.477617619334718	
133.0717	267.6	0.2851348228515487	1.5187021871824216	
133.0762	257.72	0.049214207458308915	-3.1687532899634143	
218.9877	254.67	0.002908390717392154	6.3698267101553405	
218.9877	259.03	0.0015728203053718085	7.3025290224450625	
133.0801	252.83	0.20719910381030587	-1.819963858904186	C4H9N3O2
133.0843	155.6	0.48069471735963853	0.9556833344902713	
133.0861	26.79	0.3024843954641426	1.431525489419556	
219.0267	198.21	0.004993569343769827	5.598696573746756	
219.0267	204.67	0.002629225408506761	6.504213336556659	
219.0267	210.74	0.004909817476152917	5.623295161258282	
133.1014	25.2	0.16099598514157898	2.07298308292784	
133.1014	27.84	0.6690481686893688	0.5892838999918579	
219.0476	192.56	0.6135655699227253	-0.6909462572986067	
219.0576	269.31	2.802112689545212e-05	-17.36552272859453	C13H11ClO,C11H10N2OS
133.1222	266.16	0.004863707919468522	-5.647088506588227	
219.1129	27.71	0.04384330637788996	3.2946666360503043	
219.1129	34.31	0.04475394242732491	3.2711785345903865	C10H16O5
176.1282	29.68	0.00010117824468214737	12.68231266406131	
176.8754	200.73	0.451129751617413	-1.0216012697708474	CK2O3
219.1858	29.42	0.289207274517872	1.4914700143335724	
219.9076	198.21	0.4225531371194407	-1.0855922756642749	
219.9076	205.06	0.7235498209274962	-0.4954284831166606	
134.0312	190.98	0.7627145901129667	0.4270717568065028	
219.9468	200.73	0.0027646341319175114	-6.431837155415832	
134.0353	190.85	0.9790373598885568	0.04089040044831334	C5H8O2S
177.0911	1.3	0.38731213303751294	1.1771058048029308	C6H12N4
177.0911	28.1	0.338634388150457	1.312557833649494	
