m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.8948137490833771	-1.4807477792024897	C8H5NO
132.0527	159.14	0.9280838002603446	-0.5509273937278036	
132.0769	252.96	0.8948137490833771	-2.908809989517171	C4H9N3O2
132.0809	155.99	0.8948137490833771	1.2774550989271078	
175.2036	358.7	0.996652050376287	0.08284491675548328	
218.0513	288.18	0.9491203103732329	0.4628593847578644	
218.0513	289.89	0.8948137490833771	1.1894489578365595	
218.0513	291.76	0.8948137490833771	0.9023116159912368	
218.0513	293.73	0.8948137490833771	0.8218994663936753	
218.0513	296.22	0.9884583636229101	-0.2560408009303129	
218.0598	269.31	0.8948137490833771	-0.8776454236595648	
218.0653	269.18	0.9009101090648133	-0.7238942624048692	
132.1152	265.76	0.8948137490833771	-2.1957409463938578	
132.1214	265.76	0.8948137490833771	-2.8581193689429516	
218.1249	295.96	0.8948137490833771	0.8550739596490077	
73.0848	209.69	0.920135162127309	0.6008483794125984	
176.0295	216.13	0.9258343611283772	-0.5632511641717836	
132.9874	108.14	0.8995460248479992	-0.7421918537887796	
132.9874	110.9	0.9703096890236212	-0.37555590498907265	
132.9874	112.74	0.9948059509908147	-0.10048292569268749	
132.9874	213.89	0.9932104841269309	-0.14707604154698703	
133.0279	362.77	0.8948137490833771	-1.4175829419934485	
133.0319	190.85	0.8948137490833771	1.377188647733732	C5H8O2S
218.9434	200.73	0.9641840183501241	-0.3948630248114075	
133.0762	257.72	0.9215671688182375	0.5780155426328892	
133.0801	252.83	0.8948137490833771	-2.3996002436747976	C4H9N3O2
218.9964	425.47	0.9774072867441281	-0.33091908852976787	C7H6O6S
133.0861	26.79	0.8948137490833771	1.5002266831785462	
219.0267	198.21	0.8948137490833771	1.5538726742434994	
219.0267	204.67	0.33045459095006774	6.231639707585127	
219.0267	210.74	0.8948137490833771	-0.8295380232676072	
219.0372	425.73	0.8948137490833771	0.8223318031544831	C6H8N3O4P
219.0372	427.57	0.8949679381566213	0.7666954645050509	
219.0372	435.45	0.9039148306987838	0.6934362001980737	
219.0372	436.76	0.8948137490833771	1.1833695010377485	
219.0372	437.42	0.8948137490833771	0.9255241036908519	
219.0372	441.1	0.9587474089812479	0.431585678589705	
133.1014	25.2	0.9903768334296291	0.2334780365112676	
133.1014	27.84	0.9951313390350305	0.09459230351418907	
219.0476	192.56	0.8948137490833771	3.6126760097125783	
219.0576	269.31	0.990108576200718	-0.23816266736047495	C13H11ClO,C11H10N2OS
133.1185	265.63	0.920135162127309	-0.6051045477991907	
133.1185	267.47	0.8948137490833771	-2.0111236718700543	
133.1222	266.16	0.8948137490833771	-0.9320761244229627	
133.1247	265.76	0.961223063146995	-0.42016191381564144	
176.8754	200.73	0.9076396388204446	-0.6518601560320548	CK2O3
219.9076	198.21	0.8948137490833771	1.7070599204432813	
219.9076	205.06	0.9774072867441281	0.3301683721596632	
219.9468	200.73	0.9782081554162738	0.32348493177554166	
134.0353	190.85	0.8948137490833771	1.3801373029209665	C5H8O2S
177.0911	1.3	0.9422827448301181	0.49138159896625483	C6H12N4
134.0813	41.57	0.8948137490833771	-3.318490362345261	C5H11NO3
134.0813	48.95	0.8948137490833771	-3.6288054932769764	C5H11NO3
220.0194	296.88	0.08335865172801979	-10.377072524269408	
220.03	198.21	0.8948137490833771	1.6603401693285396	
220.03	204.67	0.061888570423115595	11.776123360782004	
220.03	210.74	0.898359682220779	-0.754241409209711	
220.0371	198.07	0.8948137490833771	1.285927735749138	
220.0371	204.54	0.8948137490833771	1.4999367202734304	C9H11NO3
220.1181	179.0	0.9009101090648133	0.7265525142320017	C9H17NO5
177.8883	200.73	0.8948137490833771	1.0715448772627028	
177.9668	200.99	0.9568315843607343	-0.43802305992657026	H2KO4P
135.0277	190.72	0.8948137490833771	1.8309033910656294	
178.0242	202.96	0.9944313884574193	-0.12588585172273306	
220.5063	424.26	0.9744972652887446	0.35367419011959916	
220.5063	425.73	0.9929768144440007	0.16302633438665634	
220.5063	429.41	0.9979311778496184	-0.050132462786825246	
220.5063	430.46	0.9979311778496184	0.04730552165008288	
220.5063	432.3	0.9606500719772102	0.424835372405486	
220.5063	433.48	0.9803223266962522	-0.2851417514273662	
220.5063	435.19	0.9979311778496184	-0.0321076665173931	
220.5063	443.86	0.9846032292533713	-0.2682603332397186	
220.5575	191.77	0.8948137490833771	1.8652352318708325	
178.0711	191.12	0.8948137490833771	1.9265247536736794	
220.9016	200.73	0.8948137490833771	-1.288756833698868	
220.9415	200.6	0.9944313884574193	-0.12248709429117853	
220.9475	200.6	0.8948137490833771	-1.1894519358566176	
221.0248	198.21	0.8948137490833771	1.8790559962745927	
221.0248	204.67	0.48529223628916646	5.157894791271396	
221.0248	211.14	0.9385798245149912	-0.5107891448164835	
221.0308	198.21	0.8948137490833771	3.0889717281473357	
135.0635	50.0	0.8948137490833771	1.2571213269190424	C8H7NO
221.0344	204.14	0.8948137490833771	1.4461792675973568	
135.068	203.36	0.8948137490833771	0.8601055978890172	
221.0922	191.51	0.9961467994686428	0.08531767666293508	C11H12N2O3
221.1214	178.87	0.8948137490833771	1.2370722229715596	C9H17NO5
221.1389	27.32	0.920135162127309	-0.5906635328324541	C11H16N4O
221.1389	34.84	0.8948137490833771	1.4427219223972532	
221.8998	135.41	0.9979311778496184	0.058600768785459695	
221.8998	150.28	0.9944313884574193	-0.13459389785273515	
221.9049	200.86	0.8948137490833771	-2.04599594628743	
178.8736	200.73	0.8948137490833771	-0.7674897215942045	
77.0391	159.01	0.9928319291711152	-0.18468507322500827	
178.8811	198.21	0.8948137490833771	1.0006511709865997	
