m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.03625683498300796	-4.474800784792467	C8H5NO
132.0527	159.14	0.00545382485066944	-9.540463603395036	
132.0769	252.96	0.0161121459561102	6.251968503522299	C4H9N3O2
132.0809	155.99	0.001241205685584524	-18.062625791636208	
175.2036	358.7	0.3189728453897578	-1.3461757229286284	
218.0513	289.89	0.5680078123801138	-0.7541160964440896	
218.0513	291.76	0.923343983382843	-0.1281231913541318	
218.0513	293.73	0.8477542895750991	-0.2568233578307265	
218.0513	296.22	0.6315771108932109	0.631731904503772	
218.0598	269.31	0.022901620812758414	5.4311432145774985	
218.0653	269.18	0.013455704227810929	6.680160897931634	
175.5748	374.75	0.2005968852637928	1.9992576000066908	
175.5748	377.77	0.2005968852637928	1.9535138348247498	
175.5748	379.61	0.2005968852637928	1.9855986416732483	
132.1152	265.76	0.07796682989733032	3.2515380348939678	
132.1214	265.76	0.08026251666771697	3.2098247126716433	
218.1249	295.96	0.8588106992704897	0.23740832991194558	
73.0848	209.69	0.00175990696339372	-16.06877929329418	
73.5324	388.54	0.1353133025435559	2.5424470643034747	
176.0295	216.13	0.07748296109869109	3.26189982852434	
132.9874	108.14	0.13031672549859544	2.590643850682686	
132.9874	110.9	0.03212547499854684	4.705425037330371	
132.9874	112.74	0.11534041625695486	2.7366552988967037	
132.9874	213.89	0.8838627283654945	0.1967303042183921	
133.0279	362.77	0.015445341458660219	6.366470906554258	
133.0319	190.85	0.02399748121117276	-5.334830281453997	C5H8O2S
218.9434	200.73	0.12295754743488088	2.657315111788242	
133.0762	257.72	0.006756636210609225	8.731744137968334	
133.0801	252.83	0.09526721085387338	2.9804865176476816	C4H9N3O2
218.9964	425.47	0.07938180454593172	3.224274159881952	C7H6O6S
133.0861	26.79	0.01957668795190034	5.7979251101234555	
219.0267	198.21	0.7539767296281628	0.4234732156406681	
219.0267	204.67	0.7704147588037005	-0.3932898403666319	
219.0267	210.74	0.044260961879955825	4.12703794860781	
219.0289	2.22	0.2005968852637928	1.972669743121928	
133.1014	25.2	0.7811013916353783	0.373591506593912	
133.1014	27.84	0.35456215426267845	-1.2410246657464656	
219.0476	192.56	0.4367763094054101	-1.0330580347968992	
219.0576	269.31	0.01765857639444126	6.028187065020797	C13H11ClO,C11H10N2OS
133.1185	265.63	0.00458940869494669	10.341773004529252	
133.1185	267.47	0.001241205685584524	18.08045079410111	
133.1222	266.16	0.08079220840100389	3.198331075136335	
133.1247	265.76	0.07031753979180023	3.399366354617348	
219.134	265.76	0.46552372447305923	-0.9669726960792066	
133.1336	212.19	0.313529855313711	1.3635480127178636	
176.8754	200.73	0.05374792624631623	3.810911095061909	CK2O3
219.9076	198.21	0.19217502846277104	2.1584808437642913	
219.9076	205.06	0.02222228484703637	5.502999574370354	
219.9468	200.73	0.2005968852637928	2.068388940625486	
134.0353	190.85	0.029597271813580957	-4.8517679068050485	C5H8O2S
176.9615	364.47	0.2713245671464346	1.5113161096076964	
134.0813	41.57	0.0023272434168879375	13.964698977424009	C5H11NO3
134.0813	48.95	0.00581390805935432	9.244256138455448	C5H11NO3
220.0194	296.88	0.00013974000679001084	47.98255198388705	
220.03	198.21	0.9920606239000616	-0.014388546476918868	
220.03	204.67	0.3099914225716845	-1.375026417989782	
220.03	210.74	0.028959740057571084	4.90018723881218	
220.0371	198.07	0.02440613427293376	-5.297790535750317	
220.0371	204.54	0.08152429263544293	-3.1798228462966005	C9H11NO3
220.1181	179.0	0.8135299435398081	0.31615209655401394	C9H17NO5
177.8883	200.73	0.06504407640544543	-3.5138819358905566	
177.9668	200.99	0.4367763094054101	1.0331134440187395	H2KO4P
135.0277	190.72	0.026547952245644386	-5.104357041650833	
135.0303	135.54	0.9462092800429586	0.08781777396044901	C5H10S2,C5H2N4O,C5H10S2
135.0303	136.59	0.510342508016731	0.8707545178348184	C5H10S2,C5H2N4O,C5H10S2
178.0242	202.96	0.0011519727288325156	-19.1617985382088	
220.5063	424.26	0.3903252067950169	1.1471579630808713	
220.5063	425.73	0.26342036055598805	1.5482219344731523	
220.5063	429.41	0.30143756696000323	1.4012030615849138	
220.5063	430.46	0.2419993827922062	1.654278918003802	
220.5063	432.3	0.6721079825042412	0.564197842994067	
220.5063	433.48	0.2890031440142261	1.446426434938009	
220.5063	435.19	0.42586163342633104	1.0610123591815226	
220.5063	443.86	0.2005968852637928	1.977877209489423	
178.0711	191.12	0.8541256865679138	-0.24729862853014575	
220.9016	200.73	0.05037190414769474	3.9169523338398173	
220.9415	200.6	0.17056317895043285	2.2859997172297395	
220.9475	200.6	0.7541770590065385	-0.42287653252051943	
221.0177	313.72	0.10297440972479997	2.877892722567115	
221.0248	198.21	0.751223554064673	0.42950028804178464	
221.0248	204.67	0.8357528475349326	-0.2761474207441919	
221.0248	211.14	0.11157781119659786	2.780215834033436	
135.0635	50.0	0.08152429263544293	3.1786138307215577	C8H7NO
221.0344	204.14	0.2005968852637928	-1.9920456664853146	
135.068	203.36	0.37782874205136935	-1.179239258146973	
221.0922	191.51	0.03031587995491065	-4.807546010528481	C11H12N2O3
221.1214	178.87	0.5074852390805646	0.8771108828069474	C9H17NO5
221.1389	27.32	0.0065200942258380355	8.832188538248388	C11H16N4O
221.1389	34.84	0.018846120308482893	5.866936609877502	
221.8998	135.41	0.9969232371810433	0.006363827508464759	
221.8998	150.28	0.9893275002241002	0.021815395120084485	
221.9049	200.86	0.028959740057571084	4.898961555192175	
178.5309	314.11	0.2005968852637928	1.9528347684652487	
178.8736	200.73	0.043274897242694337	4.171485579257812	
77.0391	159.01	0.004929178678481354	-10.017396968811738	
178.8811	198.21	0.33411842903637196	1.3012937735971464	
178.8811	205.06	0.0809774369252833	3.1926112236498296	
77.9274	200.73	0.29903833110814587	1.4098715519355798	
222.0956	174.67	0.00581390805935432	-9.25604041722316	C11H12N2O3
222.0956	176.11	0.020643578189530148	-5.66673766421285	
222.0956	191.25	0.02649401672445568	-5.109279409663913	C11H12N2O3
78.9563	198.6	0.02222228484703637	5.502089811016256	
78.9563	204.67	0.054672020246459584	3.7807292202006293	
79.9903	200.73	0.034154981579476155	4.579233341918657	
80.0032	200.73	0.8283399610029857	0.2900445803795986	
80.9873	200.6	0.2320095631411725	1.708496626623825	
80.9937	200.73	0.07775107086304446	3.256013471587348	
222.8997	200.73	0.08833442766769299	3.0775509710210898	
136.9098	200.73	0.9109483202524347	0.1498055376601788	
81.0453	197.02	0.005962684898159958	-9.155281299950776	
136.9109	201.12	0.32780645429380884	1.3190049209655978	
136.9402	200.73	0.09632795993957648	2.964568392314208	H2KO4P
136.9695	200.99	0.6827711480581411	-0.5477114572484707	
136.9707	200.47	0.7293367239403509	0.46833094080802323	
179.0901	357.78	0.014302994824551699	-6.542885034089072	
223.0637	136.19	0.9896605001903606	0.02025336983697081	
81.9884	200.73	0.043497607135303595	4.162569683954767	
137.0598	204.41	0.547646062615629	-0.7946544128054601	C8H8O2
137.071	194.27	0.0001274356452566114	-52.20413621096244	C8H7NO,C5H8FNO2
223.1078	204.14	0.20004168128939476	-2.116219072919792	C9H11NO3
179.8812	198.21	0.350812982384599	1.2525156347437794	
179.8812	205.06	0.10732248501165433	2.8259961490631613	
223.1116	252.57	0.018846120308482893	-5.86764451121475	
223.1116	302.03	0.5114726088789502	0.8675596647401993	
137.0792	204.14	0.2005968852637928	-2.010689316497177	C6H6O
137.9435	200.73	0.05796610763089237	3.693168834950976	H2KO4P
138.0526	222.17	0.007567669751097556	-8.333070103966962	
223.1918	192.03	0.8135299435398081	0.31633001204973465	
84.0465	310.17	0.0041682948151670635	10.783775202300257	
84.0465	330.06	0.012812621729541536	6.8372498451446	
84.0465	332.86	0.8821248309876918	-0.19936993327114977	
138.9383	200.73	0.10843944936815719	2.8145282543223695	
138.9443	200.73	0.5221541818303861	0.844744734224495	
139.0503	182.68	0.20680587481235682	-1.8704581533616893	C6H6N2O2
180.8793	198.21	0.532567423347521	0.8229013822790164	
180.8793	204.67	0.03470515094936241	4.554936790145962	
84.9118	202.96	0.2205131515172761	-1.7758483522600172	
139.0979	198.73	0.001241205685584524	-18.12804146793257	C6H10N4
181.0948	205.75	1.7281142873045052e-05	115.93908687212708	
181.0948	213.76	0.507011777379951	-0.8783799458638734	
139.9148	198.73	0.08996871380035078	3.0517498479741367	
139.9148	203.62	0.03727666650309061	4.422765684564378	
139.9417	200.73	0.17605689526654253	2.2515270011607402	
225.0347	215.73	0.9143830844156631	-0.14385923483409108	
225.0468	198.21	0.33411842903637196	1.3014633480927107	
225.0468	204.93	0.8175061573922214	-0.30983863198266093	
225.0468	210.74	0.03350048946318093	4.620187067905429	
225.1486	28.1	0.4882902393771432	-0.9153580164398157	C13H20O3
225.1592	26.53	0.20807824125320099	1.8546214290901448	C10H17NO2
140.9364	200.73	0.1108033379018447	2.7894059749145645	
140.9426	200.6	0.5503185947284185	0.7881189783386057	
86.9092	203.09	0.13250797907979217	-2.5718936870249482	
182.0926	268.78	0.0017537410992731564	-16.160662129757885	C9H10N2O2
87.0269	190.85	0.02013731752913592	-5.737068406916612	
226.0107	388.93	0.5611383614093296	-0.7670621614603392	
141.0716	213.63	0.5336556151608511	-0.8204593397647996	
141.1136	31.03	0.0719735062214343	3.3664665847099666	
183.0226	35.89	0.2692530614639312	-1.520258582039352	
226.1551	191.51	0.0009073467094071122	21.19894204384205	C9H16N2O2
226.1803	34.44	0.25237012254765384	1.6014012327743936	
183.0844	204.27	0.19090176840003686	-2.165431258305897	C9H11NO3
142.0613	28.24	0.009772922030880721	7.570524012825443	
226.9496	1.17	0.2005968852637928	1.9870255815647513	
226.9879	212.71	0.048630978561715686	3.9701591288279143	
227.0249	151.23	0.3283395151506811	1.317318500643932	
89.0603	26.79	0.5221541818303861	0.8445605233281661	
143.019	388.93	0.039649302079236275	4.320219526373287	
227.1279	26.27	0.9916577887312271	-0.015304297067756984	
143.073	155.99	0.001237176566418016	-18.240840669013803	
184.0857	204.14	0.39624342897274756	-1.131225843462759	
91.0403	190.85	0.43062584113132346	1.0489704540402394	
184.097	30.07	0.006201658338632333	9.016758724184832	
184.097	161.51	0.0313221743049109	-4.7491972794327975	
227.9602	135.24	0.5905100278150193	0.712849718599878	
227.9916	191.51	0.05251767019064387	3.8494627078607464	
144.0479	197.16	0.03215761949110637	-4.702627829358298	
228.0633	27.32	0.35024654492077684	1.2541959379198542	C11H11NO3
144.9276	1.17	0.05766275163277935	3.700978520456611	
144.9276	198.47	0.04686974980879702	4.035036038127769	
144.9276	205.06	0.015476397627973804	6.358558697020469	
185.0642	34.05	0.10235367846413002	2.885023659186054	
95.0497	204.41	0.3365651525020838	-1.2940810539700403	C6H6O
145.0474	197.29	0.04824939964964643	-3.983649283998005	
145.0496	191.51	0.8190225543963774	0.30614951710763005	
145.0511	197.16	0.035740143132078	-4.499360022487693	
229.1437	28.1	0.08996871380035078	3.05201184324614	
145.0841	159.01	0.0001274356452566114	-55.63416118766924	
229.1548	192.56	0.009094784057241892	-7.790966213303867	
229.1548	205.06	0.012304540858451883	-6.946085934632849	C11H20N2O3
145.1009	25.61	0.4712499893448874	0.9550530953374725	
96.0813	209.43	0.0019918607245319716	-15.34020309044051	C6H9N
229.9874	191.25	0.20518386643704742	1.8813494517247928	
96.9223	135.1	0.8217998840092928	0.3017737981577096	
96.9223	198.07	0.5484154650584168	-0.7927758929246856	
96.9223	204.93	0.07060688618652769	3.393586299265244	
96.9223	210.74	0.013169721557026974	6.733039988223126	
146.0436	197.16	0.027839075943432226	-4.995578406360847	
97.0289	191.51	0.04273886127883944	4.1953907498642975	
97.0402	33.0	0.04553036968793779	-4.081990184706071	
146.0601	156.25	0.0021127802944909757	-14.629926098059283	C9H7NO
97.0483	310.96	0.2982055191002475	1.4134620616869114	
97.0483	339.03	0.45994318078735086	0.9787262400381576	
97.0483	340.47	0.2005968852637928	1.963402123374529	
97.0483	341.78	0.6628582827860294	0.5792036869438394	
97.0483	344.8	0.7457339262691982	0.43896446658371635	
97.0483	347.2	0.2245561443105819	1.7526382782774157	
97.0483	350.92	0.42829537642848936	1.0548752274699693	
146.0925	254.67	0.005390514613908678	-9.604260724388153	C5H11N3O2
98.0435	32.87	0.2203407014903793	-1.7768810429423112	
230.9952	363.16	0.005462926622332241	9.530604194208163	
231.0415	380.79	0.0020484103857397787	14.912921364467975	
231.0415	382.36	0.003443605792138673	11.901171288791552	
231.0415	384.99	0.008297304660195773	8.073956067722591	
146.9494	145.16	0.2515020926871337	1.6073357930896466	
146.9494	146.34	0.5809435961218681	0.7294703652497976	
146.9494	147.26	0.015488035945647152	6.352582641704286	
146.9494	151.76	0.9358698075051183	-0.10764510299812628	
98.9193	198.21	0.9127975388426777	0.14670817886538398	
98.9193	204.93	0.2005968852637928	2.056798467196407	
231.0741	159.27	0.002457831584233052	13.651834979063752	
231.0775	274.46	0.020225815943137673	5.728161605678282	C15H12O
231.0841	186.36	0.2005968852637928	1.9639402170521962	
98.9736	424.39	0.2005968852637928	1.9717832872471701	
98.9736	426.26	0.2005968852637928	1.9981787888539733	
98.9736	431.64	0.20099649509752124	1.937101657933512	
98.9736	433.88	0.21062695126647532	1.8350778204248945	
98.9736	434.93	0.20145093534431127	1.9294591742822798	
98.9736	436.76	0.20400245505186515	1.8972519424742618	
98.9736	439.92	0.29086917999065587	1.4386305717256036	
98.9736	442.41	0.23111563546882105	1.7146338365047953	
98.9736	446.74	0.2005968852637928	1.9585253253511352	
98.9736	449.24	0.2005968852637928	1.9518181626910875	
98.9846	28.24	0.20400245505186515	1.8966363458755648	H3O4P,C2H3KO2
187.0578	191.12	0.8304820745825022	0.2858509269113579	
147.047	197.29	0.00010677617584667379	59.09431116041585	
147.0634	155.99	0.0052258247709982	-9.761105752040036	C9H7NO
232.0775	159.67	0.003875911727472047	11.15449153978153	
187.1442	190.85	0.380022263816652	1.173686277809835	C10H17NO2
147.1164	26.4	0.9365313687142495	0.10605216375468837	
233.0352	269.31	0.22170929767901212	1.7683230562313375	C14H10O
233.0571	191.64	0.7881435651707814	0.3617886444217132	C10H13ClO4
233.0632	190.85	0.9969232371810433	0.005248598698809989	
233.0835	1.04	0.17962741544815425	2.2282235171589373	
148.0393	27.97	0.5221541818303861	0.8450142597058853	C8H5NO2
148.0393	204.41	0.36303546709743983	-1.2166465039250154	
148.0475	204.27	0.6412123744792109	-0.6148105726602161	C9H6O2,C2H6N6S
233.2013	28.63	0.7238182785328225	0.4791882758799213	
233.2013	34.31	0.3365651525020838	1.2939299396967012	
233.8111	199.26	0.21867894622621645	1.7880946833353693	
233.8111	203.22	0.2005968852637928	1.9520266736774396	
148.1333	191.9	0.017402114272973692	6.068472930683427	
148.9403	200.6	0.6832410274105534	0.5462786630288335	
189.074	155.99	0.001131528753919208	-19.356810810255848	C12H12S
234.1966	194.53	0.7545277442368253	-0.4220740355134533	C12H20N2
234.8091	198.99	0.034945738452754435	4.540041165875578	
234.8091	203.09	0.2217973722251967	1.7671341138777443	
190.0127	134.58	0.8974792744920289	0.17284572283915148	C5H5N5O,C5H13NS2
234.8759	1.17	0.8880485260116586	0.19016808363599216	
234.9173	200.73	0.13837730819365368	2.514966627885828	
234.9967	54.76	0.015972911137765246	6.275294769400425	
234.9967	56.77	0.0052258247709982	9.762926563634952	
234.9967	59.0	0.004036313754088237	10.933862983968384	
235.025	205.88	0.0004547945518548552	29.158356040786437	
235.0748	191.12	0.09243857224448336	3.0206491788128194	C8H14N2O4S
235.0748	209.69	0.027561350840046645	5.032592524756539	C8H14N2O4S
150.0245	188.72	0.9833740417881508	-0.03121940092854738	
150.0245	190.85	0.7722549898145062	-0.39046550603077945	
150.0551	47.77	0.5796348828778259	0.7324620455943968	C8H7NO2
235.9206	200.73	0.16440760517521807	2.3268883686780457	
150.0763	59.0	0.2457486007390003	-1.6345001580066452	
150.0763	98.03	0.0722800622337693	-3.3602968217134888	
150.0763	101.71	0.1754822895846965	-2.2555255464014303	
150.0775	32.61	8.42859626137167e-06	169.49508134386474	
150.0775	198.21	0.0007277494873729224	23.559135924294868	C6H7N5
236.0225	209.3	0.0011079209900078627	-19.501952237045952	
236.0783	191.25	0.08629127108130039	3.1051879803314293	C8H14N2O4S
236.0783	209.56	0.08991198513558499	3.0550565521684248	C8H14N2O4S
190.9876	12.26	0.8409361420464546	0.26824274990523334	
190.9876	18.07	0.19666363069016682	2.1348739058210464	
190.9876	18.86	0.606132636522723	0.6824366172067676	
190.9876	20.47	0.2096260705347692	1.8440318524875459	
190.9876	21.92	0.4547089451121713	0.9896222763374518	
190.9876	22.97	0.3538459535239624	1.243664198592345	
190.9927	267.86	0.17723357904367662	-2.2439495770755165	
236.9153	200.86	0.15250716508016954	2.409964325445187	
191.0816	27.97	0.0020664651351259113	-14.823984913958565	C10H10N2O2
191.085	190.72	0.04714548557448305	-4.022766613767216	
150.9768	199.52	0.1380931906963277	2.518599934883808	
150.9768	202.3	0.21811863177709195	1.790672682756911	
104.0534	190.85	0.03372047241825092	-4.605018735219184	C4H9NS
104.058	159.4	0.0018770290136587793	-15.641955711927222	
237.0	313.85	0.9462092800429586	0.08812944377692582	
151.0581	190.72	0.018753076108566035	-5.8811109413148825	
151.0616	190.85	0.019762983833579672	-5.780842387882776	C6H6N4O
237.0706	191.12	0.004417343571932461	10.502434825849045	
237.0706	209.56	0.001186416198195117	18.739592617723325	
151.0809	198.34	0.014288560964615836	6.54723478938347	C6H7N5
191.9987	191.77	0.03973094119434707	4.316451636746557	
192.0302	191.25	0.8228617602751467	-0.29939255596153264	
192.0302	210.09	0.14148686530951915	2.490205423717926	
192.0398	198.99	0.8311937244937341	0.28389792968182154	
192.0627	50.0	0.014126625992906662	6.575774680452681	
105.0227	213.89	0.7729219438248377	-0.389235159967401	
151.999	205.75	0.46259291837294914	0.9728002516750012	
151.999	238.39	0.37657423195528783	1.1826885860331287	
151.999	257.46	0.05872660088111618	3.6719978233638315	
151.999	261.3	0.752247341162279	0.4271308831676338	
151.999	268.65	0.7638136615140173	0.4045436691208177	
105.0565	190.72	0.1992913719406282	-2.120559094220513	C4H9NS
152.0542	190.85	0.022659548629579244	-5.452651576272474	
237.8917	202.3	0.6157124039116361	0.6628341926652399	
237.9187	200.86	0.14534234187427653	2.4617724252781583	
152.0568	135.54	0.8071851880499704	0.3285162330437377	C5H5N5O,C5H13NS2
152.0623	190.98	0.03696540296192567	-4.436001321760556	
105.0703	159.01	0.004302523878307758	-10.61897515309759	
152.0911	136.06	0.9174970224369154	0.13726418996401604	
152.0919	134.71	0.2005968852637928	1.9969583463391827	
106.0491	190.85	0.2193618386087195	-1.7828746715238275	
193.0644	269.44	0.16540743825856674	2.3197547248276655	
238.0452	294.25	0.1403426404462974	2.5006209556939876	
106.951	199.65	0.7606972898122578	0.4100889880136281	
106.951	202.3	0.0980668210276484	2.9351990749591983	
193.0973	50.13	0.05037190414769474	3.916256656698795	C8H9NO2
107.0658	190.59	0.1408371854949066	2.4967645222117767	
238.1652	27.05	0.0035975207582225476	11.650965425037764	
238.1652	34.84	0.027633286032906768	5.025821494557544	
153.0575	190.85	0.073665644705214	-3.3355597958348233	
153.0601	135.54	0.8068030325142673	0.3301261252056823	C5H5N5O,C5H13NS2
238.1915	192.3	0.6363231931562425	-0.6233789798115584	
153.074	50.13	0.03215761949110637	4.701390659522933	C8H9NO2
153.0911	26.53	0.5635107835973406	0.7626022576194562	
238.9136	200.73	0.16996150492060014	2.291127482188155	
238.9197	200.99	0.3383103093535101	1.287894263688429	
193.1437	34.58	0.0144770625593827	-6.512877494306747	
193.1628	37.6	0.7784334638523799	0.3781819812994962	
154.0566	189.9	0.987471038334799	0.025034453536779484	
239.0438	269.18	0.8779719209265475	0.20650430456062285	
193.9982	201.52	0.002157587228277987	-14.48505406359579	C3H10NO4P,C7H7O4
239.0996	389.98	0.6916336533021376	0.5314560466007724	
239.0996	392.08	0.8782597551852919	0.20516436215797998	
239.0996	397.2	0.4958690282418718	0.8999181191337188	
194.0813	28.24	0.20724392079803422	1.8631435184554894	C10H11NO3
109.0637	190.85	0.1812966366366987	2.217834763710273	
109.0652	27.19	0.7971665980849367	0.34668450986371324	
109.0652	204.27	0.6616514091280261	-0.5815880282559514	
194.1005	49.87	0.3543380862815149	1.2421758035722683	C8H9NO2
155.0689	191.12	0.19761578518358508	2.129570296863982	
240.0119	425.31	0.21661437648427026	1.7994885876508773	
240.0119	428.49	0.008625752962738417	7.953236598927161	
155.0751	191.12	0.31248729964302474	1.366990965297549	
240.0472	269.04	0.2078158451389054	1.8571492801704725	
155.0789	380.53	1.6989684794494787e-05	125.18906880455816	
155.0789	382.1	0.0026914204830719205	13.135410836111832	
194.855	198.6	0.11419900805888697	2.75192301080701	
194.855	203.88	0.045491936411164474	4.0881092135781305	
240.1376	269.18	0.04707599364664264	4.0255812413639225	C16H17NO
195.0257	188.59	0.2005968852637928	1.9999671795940743	
195.08	269.18	0.032614292777058226	4.678396948115837	C14H10O
240.2324	37.99	0.39624342897274756	1.1313044216723784	
195.1017	18.07	0.33335224913365635	1.304168783056272	
195.1017	19.26	0.6943916067909023	0.526901264779649	C11H14O3
195.1017	20.74	0.43695331531029874	1.0324017450500804	
195.1017	22.84	0.8189087974546321	0.3066341517412673	
195.1017	27.84	0.6200334014407619	0.6544091104595399	C11H14O3
195.1017	29.42	0.3383103093535101	-1.2876315276089063	C11H14O3
195.1017	33.13	0.6330958794184924	0.6288343672783155	C11H14O3
