m/z	rtime	p-value	t-score	custom_id
132.0446	28.24	0.023317013453206317	6.060090363937339	C8H5NO
132.0527	159.14	0.016507386567460508	-6.909765987421481	
132.0769	252.96	0.34120888892646295	1.485777846364373	C4H9N3O2
132.0809	155.99	0.0017722017581114314	-15.374357804119336	
175.2036	358.7	0.44179023492146957	-1.1825296789826665	
218.0513	289.89	0.2621866260583052	1.8407742930626834	
218.0513	291.76	0.2526245093657316	1.998980495950878	
218.0513	293.73	0.2526245093657316	1.982070996749293	
218.0513	296.22	0.2547118061938454	1.8999656457988978	
218.0598	269.31	0.00015205399394572485	40.87145833426348	
218.0653	269.18	0.005652344282109222	10.090894878304157	
175.5748	374.75	0.2526245093657316	1.9992576000066908	
175.5748	377.77	0.2526245093657316	1.9535138348247498	
175.5748	379.61	0.2526245093657316	1.9855986416732483	
132.1152	265.76	0.0026038706236438188	13.381120350405366	
132.1214	265.76	0.00111851938236366	17.992804638132586	
218.1249	295.96	0.2526245093657316	1.9553701350342598	
73.0848	209.69	0.008608325699640691	-8.7740254490173	
73.5324	388.54	0.9761003810695678	-0.05247131142575543	
176.0295	216.13	0.06585174056400896	4.001645711538614	
132.9874	108.14	0.08139613402683671	3.660463468647984	
132.9874	110.9	0.043156975258158634	4.772141401166775	
132.9874	112.74	0.02311573665248616	6.093798611738709	
132.9874	213.89	0.9454159687099348	-0.12060837345641098	
133.0279	362.77	0.7038658270368126	0.5899712729077979	
133.0319	190.85	0.0035774554080198885	-12.009390737452371	C5H8O2S
218.9434	200.73	0.14206639347040204	2.8312012055125413	
133.0762	257.72	0.0008803992004765354	-19.843330650945795	
133.0801	252.83	0.2656994588908655	1.8217752519161314	C4H9N3O2
218.9964	425.47	0.00012249865005291633	44.0750922098086	C7H6O6S
133.0861	26.79	0.9879343642305186	-0.02442035759959722	
219.0267	198.21	0.10497014926446033	-3.2698085288807377	
219.0267	204.67	0.22982791197389074	-2.2349792341473806	
219.0267	210.74	0.4671563416100999	1.115028153955412	
219.0289	2.22	0.2526245093657316	1.972669743121928	
133.1014	25.2	0.8004239644892575	-0.40041507789373953	
133.1014	27.84	0.9617711563899952	-0.08278945015877376	
219.0476	192.56	0.2995101260365443	1.6539872439086984	
219.0576	269.31	0.004645600228412433	10.846815262103625	C13H11ClO,C11H10N2OS
133.1185	265.63	0.005297650777500192	10.341773004529252	
133.1185	267.47	0.0011120628974890243	18.08045079410111	
133.1222	266.16	0.00246140048547779	13.71850193639533	
133.1247	265.76	0.0009272031373062431	19.526029146992776	
219.134	265.76	0.5281299933944164	0.9601468802646324	
133.1336	212.19	0.3788510980780248	1.3635480127178636	
176.8754	200.73	0.06310159097811961	4.073327027090699	CK2O3
219.9076	198.21	0.8284846216796097	0.3521222485438743	
219.9076	205.06	0.16799881692596733	2.615819136150285	
219.9468	200.73	0.08628863290966024	3.5757015482195453	
134.0353	190.85	0.004771287836444283	-10.727957230754006	C5H8O2S
176.9615	364.47	0.5925769581350724	-0.8171454922941923	
134.0813	41.57	0.00022865069105554395	34.11683593707945	C5H11NO3
