m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.8539647809985993	-0.6090338473043991	
108.9009	150.19	0.47464039066563757	2.4439681150515677	
108.9777	212.81	0.6503723613080095	1.5083165415298199	
108.9897	101.84	0.6854511957804328	1.2731218352348617	
108.9897	104.99	0.6503723613080095	1.492112520933211	
108.9897	107.61	0.6503723613080095	1.4641984356680986	
108.9897	111.16	0.6599528864056267	1.3777408009198844	
169.04	162.36	0.8907168844826232	0.4178843949110773	
109.0285	24.93	0.9297178177368112	0.2681548917351733	
109.0285	165.25	0.8927659226925737	0.4075320508220547	
169.0613	50.51	0.8323906205300374	-0.7551110524176584	
169.0692	50.11	0.7325737761818357	1.0806803883589315	C8H11NO3
142.0653	156.03	0.8067295427094796	0.8590358116352327	
142.9433	201.48	0.68500977676281	-1.276217518182212	
142.9743	201.75	0.9254364077589912	-0.31676576097728276	
110.8979	135.19	0.9434585734183589	-0.20667511276978368	
110.8979	150.19	0.6503723613080095	1.5271230135653706	
170.0564	301.17	0.773802046249989	-0.9555987386185576	C7H8N2O3
170.0564	309.57	0.8141813600738596	-0.8426474723617453	C6H9N3O3
170.0701	49.85	0.8553333208286238	-0.6010679722022547	
110.957	36.26	0.2165486562677156	-3.926512394913903	
143.0055	201.35	0.9678533280668706	-0.09710496742323117	
170.8286	1.7	0.8686316370240934	-0.5300566563197279	
170.8286	135.45	0.8417695304466528	-0.7034529417718642	
170.8286	138.73	0.6579730950349227	-1.428201367951171	
170.8286	149.8	0.8686316370240934	-0.5326913881325487	
170.8474	135.58	0.7962193427012768	-0.8724051139281975	
170.8474	149.8	0.6938020277276054	1.253508802746838	
143.0454	298.15	0.9138606433567359	0.3584022438697354	
143.0454	314.96	0.9547643356252298	0.15636556503014157	
143.0535	147.17	0.935294829933851	-0.23769377463956964	
143.0535	150.74	0.7537946714055396	-0.9913763711237525	
143.0535	152.45	0.6445632347400302	-1.684675833082288	
143.0535	155.89	0.6579730950349227	-1.4260369608611618	
112.9362	346.74	0.961910101159506	0.11948098512838401	
73.9954	358.42	0.9254364077589912	0.31015686085232574	
74.0059	212.41	0.28954335298450246	3.347670078926282	
171.0195	164.46	0.9254364077589912	-0.2887938609928573	
171.0195	227.54	0.6503723613080095	-1.5939044220218925	
171.0195	290.4	0.6503723613080095	1.5163178828144053	
75.0066	501.63	0.6563393260716123	1.444619138057789	
143.9007	346.74	0.9547643356252298	-0.1561992275738465	
171.0405	234.76	0.8221783164973244	0.7903090242626323	
171.0405	239.91	0.8907168844826232	0.4220409937237742	
171.0479	32.33	0.11632261069161733	5.727768775133924	
113.9356	346.6	0.9678533280668706	0.09156687309992166	
171.0558	26.91	0.9369689708588338	-0.2278160987052501	
171.0598	309.18	0.6503723613080095	-1.4771030957115603	C6H9N3O3
143.9777	201.61	0.9507918958358346	-0.17893110856535036	
171.0657	191.97	0.8860179631155356	0.4473039061196656	C8H12O4
143.9904	222.26	0.8686316370240934	0.5116701897416698	
171.0769	292.24	0.7830084533242471	-0.9177596100959787	
77.0056	212.81	0.413638128345572	2.719991324666086	
171.8736	24.27	0.6990108583399262	1.2336224745673963	
171.8736	106.96	0.7622091462675089	0.9797111808393489	
171.8736	113.52	0.6075580963110981	1.9470768809999488	
171.8736	118.25	0.9120835990414747	0.36174681127723574	
114.932	346.87	0.9572824480732085	-0.13536036628111214	
144.0293	212.15	0.36216769079578714	-2.9129354642020027	
144.0446	26.12	0.9144487595271709	-0.35472371344058146	
78.9848	182.74	0.8469616420327228	-0.6723328916917269	
144.0738	34.95	0.9942546562463098	-0.009728203780012575	
144.1021	151.01	0.6990108583399262	1.2178629170688842	
115.0027	297.76	0.13815395051942075	-4.948303776032681	
144.8687	135.32	0.8585481711372872	-0.5809233568340826	
144.8687	149.93	0.8635922736092451	-0.5514307228867827	
172.0244	64.38	0.8324262362080731	0.7543308010425802	
172.0244	237.68	0.8685325249245078	0.5388177227155873	
172.0355	267.29	0.6075580963110981	-1.990065146062817	C6H6N2O4
144.9724	201.61	0.8686316370240934	-0.5328405843395884	
172.0398	28.62	0.8907168844826232	-0.42337362181657473	
144.9783	201.61	0.6597497088454435	-1.4125153523839415	
172.069	192.36	0.9718387889084042	-0.07940359682433774	C8H12O4
82.9531	34.82	0.1176740389640671	-5.533868352999615	
82.9531	191.71	0.8730261683608693	-0.49022171572994006	
172.0721	237.68	0.6847784538846114	1.2792444966947303	
145.0477	26.25	0.8303649399776907	-0.7701999447169876	
172.5373	267.29	0.6075580963110981	-1.9122111829766777	
172.8276	1.56	0.682014740974628	1.2986101679525974	
115.0521	222.39	0.8192761458430381	0.8259911418958674	
115.0584	222.26	0.9507918958358346	0.17752412747568436	C6H12S,C6H12S
172.8417	135.58	0.853446316918583	-0.633670353024018	
172.8417	150.06	0.7842654937702284	0.9110052620062308	
145.9988	40.07	0.6503723613080095	1.6044672166161547	
145.9988	45.91	0.6599528864056267	1.3734884467866426	
146.0272	132.43	0.7770307817054237	0.9487026203713046	
116.0028	135.58	0.6676690637889412	-1.3389668113912143	
146.0531	210.97	0.650436507493868	-1.4579123325366286	
116.0061	297.63	0.1176740389640671	-5.561347344101186	
84.0067	63.07	0.6503723613080095	1.4620791163935731	
84.0067	65.17	0.8304695567417728	0.7650633521827749	
84.0067	76.23	0.6503723613080095	1.523489910300363	
84.0067	116.68	0.8444214512202209	0.6855917224276048	
116.0469	209.92	0.926884923948698	0.2796266051259741	
116.0478	209.92	0.8392968057716133	-0.7128398661158054	
116.0593	222.39	0.9457955459254146	-0.19853510869967672	
172.985	201.48	0.6579730950349227	-1.4343359053096123	
172.9907	25.73	0.8585481711372872	0.5703783975575556	C6H6O4S,C6H6O4S
172.9907	27.57	0.6503723613080095	1.600118917584526	C6H6O4S,C6H6O4S
146.0814	180.11	0.8907168844826232	0.4249942209141349	
146.8659	135.58	0.8579532820636817	-0.5840880879008098	
146.8659	149.8	0.8351313865057519	-0.734279146600006	
116.0936	210.05	0.9690246504032914	-0.08673891345887066	
116.0945	210.18	0.821331878777012	-0.7976242105754855	
84.9502	34.69	0.09520086253141591	-6.086990789433601	
84.9502	191.58	0.9941166085987714	-0.010473734893712956	
173.0083	254.89	0.48856692899935383	2.3860486742902616	C7H7FO2S
173.0083	259.39	0.583330400160718	2.1330122659046937	C7H7FO2S
173.0333	267.43	0.5735671747776331	-2.1955569543571296	
147.0176	270.31	0.7889171674051085	-0.8954427724539369	
173.0376	267.43	0.5591616382815048	-2.245649776279981	
85.0648	36.13	0.6792847231276921	1.3031545872794683	
173.056	233.85	0.8197155115575829	0.8108256922955595	
147.0667	197.78	0.6638972305733362	1.3602732309837295	
147.0667	200.96	0.8686316370240934	-0.5281196539796388	
173.0812	192.1	0.8635922736092451	-0.5516528607532661	
147.9204	2.75	0.8192761458430381	0.8182826807018582	
117.0069	297.49	0.1176740389640671	-5.46920744874855	
148.0063	273.99	0.28457754429236637	-3.548287547034729	
87.0441	192.1	0.3366704157276218	3.0602037991851248	
173.8419	135.85	0.8919717963230798	-0.4118680496043731	
173.8419	150.19	0.7499341886571934	1.00355625924857	
117.0528	156.29	0.6579730950349227	1.433602530172767	
117.0677	210.31	0.9254364077589912	0.30552423759745184	
117.074	210.31	0.8928970728878466	0.4014866761737036	C6H14S
173.994	25.59	0.9515076576311123	0.16853598300571412	C6H6O4S,C6H6O4S
173.994	27.44	0.7175632026490947	1.1593757321591438	C6H6O4S,C6H6O4S
148.8628	135.06	0.8304695567417728	-0.7630307629437794	
148.9057	28.88	0.31193127530719145	3.187508881513365	
174.0114	254.89	0.5735671747776331	2.1899823538771686	C7H7FO2S
174.0114	259.25	0.36358320197809924	2.862534498654446	C7H7FO2S
149.0001	28.22	0.8417695304466528	-0.701499467832785	
149.0425	189.45	0.14188622362052633	4.7363781975863715	
174.0224	130.99	0.8585481711372872	-0.5749156340437221	C14H26N4O11P2
118.0746	210.31	0.8984164627602336	0.38449890569826634	
118.0773	210.18	0.9377569494380273	0.22319011051854784	C6H14S
149.0462	189.84	0.0909281042052675	6.848212105833798	
149.0462	191.05	0.1539243947157399	4.642040846376719	
174.0552	27.3	0.9676795184654414	0.10396512332507828	
174.0766	222.52	0.961910101159506	-0.1193535461029022	C7H13NO4
89.0413	192.5	0.8192761458430381	-0.817608050332975	
149.0599	34.69	0.6464373938003709	1.641505764534351	
89.0427	249.11	0.8686316370240934	0.5229759615537747	
174.8389	135.58	0.935294829933851	-0.24349782534762363	
174.8389	150.06	0.7801437230572357	0.9252829722766471	
174.8643	1.7	0.7217007934158036	1.1472756455640842	
174.9637	134.93	0.8783348248948806	-0.4743873151246693	
174.9637	145.86	0.9149119390250717	0.35214532096849616	
174.9865	25.73	0.6503723613080095	1.4686858853611537	
174.9865	27.57	0.6503723613080095	1.5733882692508103	
150.0221	265.85	0.7367348907248992	-1.0638290912833668	
175.0353	318.24	0.8323906205300374	0.7563493088755131	
119.0491	198.3	0.6928066944005217	1.259070793467322	
119.0491	205.16	0.8907168844826232	-0.4287703241598227	
150.0301	270.84	0.9254364077589912	0.2996507770755488	
150.0413	135.98	0.5957940308728493	-2.0460555557345184	C5H13NS2
119.056	164.85	0.8539647809985993	-0.6242655561198657	
