m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.9405578581958427	-0.32378698027748953	
108.9009	150.19	0.933383957388087	-0.8128612060534914	
108.9777	212.81	0.9467250666681246	0.2875989499489906	
109.0285	24.93	0.9346666598275495	0.5689140867459787	
109.0285	163.28	0.4560962520555829	5.384401463462604	
109.0285	165.25	0.9348344813319838	-0.4477939212474908	
169.0613	50.51	0.933383957388087	1.9672238548980894	
169.0692	50.11	0.933383957388087	1.442126400828784	C8H11NO3
142.0653	156.03	0.933383957388087	0.7606316844535942	
142.9433	201.48	0.933383957388087	1.1413161518468538	
142.9743	201.75	0.9348344813319838	0.4483965339706444	
110.8979	150.19	0.9346666598275495	-0.5702462455159355	
170.0564	301.17	0.933383957388087	0.7018544132063053	C7H8N2O3
170.0564	309.57	0.933383957388087	0.7592246289575121	C6H9N3O3
170.0701	49.85	0.933383957388087	0.7145638080879418	
110.957	36.26	0.9697507894859414	-0.1531427052131338	
170.8286	1.7	0.933383957388087	1.0840393330494178	
170.8474	149.8	0.9433299709269035	-0.300601219557277	
143.0454	298.15	0.933383957388087	0.8155525021440493	
143.0454	314.96	0.933383957388087	0.8204758382179868	
143.0535	147.17	0.933383957388087	-0.8227425042792478	
143.0535	150.74	0.933383957388087	0.9495213136173858	
143.0535	152.45	0.933383957388087	2.012764349476986	
112.9362	346.74	0.933383957388087	-1.9751028091584364	
171.0195	227.54	0.933383957388087	-0.8401642088560206	
143.9007	346.74	0.9348344813319838	-0.3756758549009018	
171.0405	234.76	0.933383957388087	0.9200862810202634	
171.0405	239.91	0.933383957388087	0.9815835191333286	
171.0479	32.33	0.933383957388087	1.484301602346855	
113.9356	346.6	0.933383957388087	-1.9311810419217588	
171.0558	26.91	0.9348344813319838	0.5091809363829909	
171.0598	309.18	0.933383957388087	1.412267470846562	C6H9N3O3
143.9777	201.61	0.9346666598275495	0.5361363828319176	
171.0657	191.97	0.933383957388087	0.6486259998928009	C8H12O4
143.9904	222.26	0.9538782609696626	0.2367468769003527	
171.0769	292.24	0.9348344813319838	0.4562290806107274	
77.0056	212.81	0.9532642340792441	0.24183329040555623	
114.932	346.87	0.933383957388087	-1.5760800670431865	
144.0293	212.15	0.9433299709269035	-0.3032532735396724	
144.0446	26.12	0.9346666598275495	0.5462950806849965	
78.9848	182.74	0.9499989951774329	0.25330030004274223	
144.0738	34.95	0.933383957388087	0.7959320995681549	
144.1021	151.01	0.9348344813319838	0.38328405096124246	
115.0027	297.76	0.9348344813319838	0.41533513771414904	
144.8687	135.32	0.9348344813319838	-0.37515286250328633	
144.8687	149.93	0.933383957388087	-1.4883822486024973	
172.0355	267.29	0.9791618799184755	0.0887589697324948	C6H6N2O4
144.9724	201.61	0.9346666598275495	0.5572484636174633	
172.0398	28.62	0.9338403347924766	0.5837807824086333	
144.9783	201.61	0.933383957388087	0.9375168070305047	
172.069	192.36	0.9678892813819505	-0.1780782405873964	C8H12O4
82.9531	34.82	0.933383957388087	2.3342955705012325	
82.9531	191.71	0.933383957388087	1.2722737945453082	
145.0477	26.25	0.933383957388087	0.5892419770324715	
172.5373	267.29	0.9898282670394907	-0.035113077887553114	
172.8276	1.56	0.933383957388087	2.375131830407712	
115.0521	222.39	0.9348344813319838	0.5031513442935015	
115.0584	222.26	0.9348344813319838	0.3794713159211181	C6H12S,C6H12S
