m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.8275895144171526	-0.4320557611630734	
108.9009	150.19	0.615527376808064	1.2147983541873444	CaO2
108.9897	103.28	0.750919334681986	0.6587858441599288	
108.9897	104.99	0.7349598546002463	0.6957692426423895	
108.9897	108.53	0.6463105477110573	1.0284901269293734	
108.9897	111.16	0.553032671784415	1.6437309772880795	
169.0363	191.84	0.6372803272326018	-1.0915185349088312	C5H8NNaO4
169.0363	210.84	0.8660961763043851	-0.3433593774239365	C5H8NNaO4
109.0285	24.93	0.5662386868858087	1.4621236782322053	C3H8NO,CH6N4,C4H3N3O
109.0285	163.28	0.901449287680943	-0.2590080011193738	C3H8NO,CH6N4,C4H3N3O
109.0285	165.25	0.7550181864113801	-0.6458162496721784	C3H8NO,CH6N4,C4H3N3O
169.0613	50.51	0.8037185235652065	0.4980827994786293	C7H12N2O4
169.0692	50.11	0.5854522472929008	1.3749477211503691	C8H11NO3
142.0653	156.03	0.7307029187345377	0.7047938553860811	
142.9433	201.48	0.5915437962688993	1.3459592876252873	
170.0286	192.23	0.7623436001422292	-0.6087105844755041	C7H9NO2S,C7H9NO2S
170.0286	211.1	0.9101327934070333	-0.2313223768768203	C7H9NO2S,C7H9NO2S
142.9743	201.75	0.5833202782219097	1.3903253971949838	
110.8979	135.19	0.553032671784415	1.5629844022075072	
110.8979	150.19	0.9713689229430037	0.0760953166987844	
170.0564	301.17	0.615527376808064	1.2288084992578	C6H9N3O3,C6H11N3O4
170.0564	309.57	0.6212639230327911	1.1757384952032122	C6H9N3O3,C6H11N3O4
170.0701	49.85	0.5915437962688993	1.3515003258039657	
110.957	36.26	0.6865051239243019	-0.8551236043376893	
143.0064	201.75	0.6562812875832293	0.9981636040454152	
170.8286	1.7	0.8345323035239519	0.42191534360014576	
170.8286	135.45	0.6354893697812835	-1.1045414479602234	
170.8286	138.73	0.9590218570501807	-0.10679799463300074	
170.8286	149.8	0.680516979934837	-0.8856709200600579	
170.8474	135.58	0.615527376808064	-1.2341913739030361	
170.8474	149.8	0.553032671784415	-1.8183251191724843	
143.0454	298.15	0.5773200191289167	1.4238384840425022	
143.0454	314.96	0.553032671784415	1.8556332101423814	
