m/z	rtime	p-value	t-score	custom_id
108.9009	135.19	0.41614076238842646	1.9440938711983278	
108.9009	150.19	0.38899682865556456	2.0320623732284733	
109.0285	24.93	0.07175300817119663	5.830753373714709	
169.0613	50.51	0.6440296971230114	0.9232080587576305	
142.9433	201.48	0.41229449462997014	-1.9550257284466162	
142.9743	201.75	0.7613013078106509	-0.4955205414821734	
110.8979	135.19	0.5996321287167772	1.087070297130978	
110.8979	150.19	0.6536774983946111	0.8852332236598176	
170.0701	49.85	0.6648608877290209	0.8247329340593905	
170.8286	1.7	0.8365114630226562	0.31857219852943236	
170.8474	135.58	0.6521882719458371	-0.9022498692501542	
170.8474	149.8	0.5971942030975593	1.1659685608712003	
143.0535	147.17	0.672212964246619	-0.745032780691347	
143.0535	150.74	0.310303709637969	-2.417441367739388	
143.0535	152.45	0.5996321287167772	-1.1248102482372944	
113.9356	346.6	0.7415332601650112	-0.545582360244167	
171.0405	234.76	0.2905154335181732	2.541159922844094	
171.0405	239.91	0.5843320418651725	1.2321434769041615	
171.0479	32.33	0.051852765556544896	7.8730757950068355	
143.9777	201.61	0.784746564342982	-0.4283483946343732	
171.0558	26.91	0.6955561571281563	0.6775240758241381	
143.9904	222.26	0.9691637375580919	0.04990594136924881	
171.0769	292.24	0.33974108236624456	-2.2644804282690902	C7H12N2O3
114.932	346.87	0.7129741565884917	-0.6100245863404726	
144.0738	34.95	0.5518102241848755	-1.352679692720522	
144.8687	135.32	0.5862235929952674	1.2277081947664132	
144.8687	149.93	0.356580904383715	-2.154961944491207	
144.9724	201.61	0.7421344043800533	-0.5425770660149389	
172.0355	267.29	0.5614434947461938	-1.289438431433027	C6H6N2O4
172.0398	28.62	0.6571729945816481	0.8592609128734675	
144.9783	201.61	0.6968473265614183	-0.6724114640014904	
82.9531	34.82	0.05531601824485336	-6.861223746576454	
172.069	192.36	0.7323451315988478	0.5646357474469441	C8H12O4
172.5373	267.29	0.5803720976663758	-1.2396146144298326	
172.8276	1.56	0.6659239071824531	0.7643683656408189	
115.0584	222.26	0.0957887395489833	5.053298599086867	C6H12S,C6H12S
146.0531	210.97	0.5010492856749452	-1.5512163192217077	
116.0061	297.63	0.09060931318096968	-5.203028288107406	
116.0469	209.92	0.7603501040795758	0.49791179458453005	
116.0478	209.92	0.28861690365313813	2.5641142185572114	
172.985	201.48	0.09662617325653407	-4.914878448850038	
146.0814	180.11	0.36001329003410054	2.1370009285668483	
172.9907	25.73	0.0957887395489833	5.048275596873875	C6H6O4S,C6H6O4S
172.9907	27.57	0.13234089803297155	4.174711652352185	C6H6O4S,C6H6O4S
146.8659	135.58	0.6183907209714933	1.0087091133168498	
146.8659	149.8	0.28276622982343647	-2.613794244541235	
116.0936	210.05	0.5650235072117615	1.2794311512102137	
116.0945	210.18	0.8066172964002412	0.3701744220735102	
84.9502	34.69	0.1058026641213037	-4.625265742339131	
147.0176	270.31	0.11988969283595328	-4.375933311092405	
173.0333	267.43	0.5423068092426598	-1.4143404865753935	
173.0376	267.43	0.5461168901537213	-1.3999528918984248	C6H6N2O4
147.0667	197.78	0.06546845057866825	6.418410888179433	C7H12OS
147.0667	200.96	0.8549706417916224	-0.28421608374898744	
173.056	233.85	0.30269426348046813	2.458453731038735	
147.9204	2.75	0.7911137779487103	0.4052632461082365	
87.0441	192.1	0.4314402001273174	1.8501810928406588	
173.0812	192.1	0.9183173130590153	0.1448321904437619	
173.8419	135.85	0.6183907209714933	0.9990445716650146	
173.8419	150.19	0.5423068092426598	1.4154324379823775	
117.0677	210.31	0.03579711431652842	9.397306529214733	
173.994	25.59	0.04927117131677648	8.402201884961014	C6H6O4S,C6H6O4S
173.994	27.44	0.5010492856749452	1.548911705751051	C6H6O4S,C6H6O4S
174.0114	254.89	0.44592298464596164	1.7885023540313587	C7H7FO2S
174.0114	259.25	0.13457476738986657	4.142769992873138	C7H7FO2S
149.0001	28.22	0.8865861296820463	0.2245655314890866	
118.0746	210.31	0.025840338872159956	12.853369876265639	
149.0462	189.84	0.02766622950485957	11.095539553824246	
149.0462	191.05	0.10388980041161212	4.7517307368618384	
174.0552	27.3	0.6183907209714933	0.9900462649524209	
89.0427	249.11	0.6169776454701792	-1.0215806191297685	
149.0599	34.69	0.0707633974315735	6.104388812780759	
174.9637	134.93	0.7709152721831172	0.4635351735816524	
174.9637	145.86	0.44604107346150934	1.780823774431979	
174.9865	25.73	0.4771427957024437	1.6281590499743532	
174.9865	27.57	0.24925484224105532	2.810238652509285	
150.0221	265.85	0.6922551348436548	-0.6904038055248752	
119.0491	205.16	0.6636521477824681	0.8309501372325764	
175.0353	318.24	0.7277236232129696	-0.578387017169761	
150.0301	270.84	0.9800939869045987	0.02907901494603961	C5H6O5
150.0413	135.98	0.21172126879026226	-3.1119573964932017	
150.8858	134.8	0.5614434947461938	1.2965146852792082	
150.8858	150.45	0.7563988472227612	0.5106255522907185	
175.0718	305.9	0.1308388463221839	-4.211882061756684	
175.8391	135.85	0.45332879995809106	1.7537082076916284	
175.8391	150.06	0.6038156578402545	1.0767582351481486	
